Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,75,285.0,252,20.0,52,2,1,5,4,2,27,59,2.19,0.206,0.278,0.282,0.56,71.0,4.0,0.0,1,5,1,5,0.244,100,57,44
Platoon Splits,vs RHB,73,129.0,116,12.0,20,1,1,1,2,1,9,28,3.11,0.172,0.225,0.224,0.449,26.0,2.0,0.0,0,4,0,3,0.209,60,28,17
Platoon Splits,vs LHB,71,156.0,136,10.0,32,1,0,4,2,1,18,31,1.72,0.235,0.323,0.331,0.654,45.0,2.0,0.0,1,1,1,2,0.275,134,81,27
Platoon Splits,vs RHB as RHP,73,129.0,116,12.0,20,1,1,1,2,1,9,28,3.11,0.172,0.225,0.224,0.449,26.0,2.0,0.0,0,4,0,3,0.209,60,30,17
Platoon Splits,vs LHB as RHP,71,156.0,136,10.0,32,1,0,4,2,1,18,31,1.72,0.235,0.323,0.331,0.654,45.0,2.0,0.0,1,1,1,2,0.275,134,77,27
Home or Away,Home,38,140.0,126,11.0,25,2,0,1,3,1,13,32,2.46,0.198,0.271,0.238,0.51,30.0,2.0,0.0,0,1,0,3,0.255,82,48,22
Home or Away,Away,37,145.0,126,9.0,27,0,1,4,1,1,14,27,1.93,0.214,0.285,0.325,0.61,41.0,2.0,0.0,1,4,1,2,0.232,118,66,22
First or Second Half,1st Half,42,161.0,137,15.0,32,1,1,4,3,2,18,31,1.72,0.234,0.313,0.343,0.656,47.0,2.0,0.0,1,5,1,4,0.262,134,86,26
First or Second Half,2nd Half,33,124.0,115,5.0,20,1,0,1,1,0,9,28,3.11,0.174,0.234,0.209,0.443,24.0,2.0,0.0,0,0,0,1,0.221,58,24,18
Months,April/March,9,34.0,32,1.0,3,0,0,0,1,0,1,7,7.0,0.094,0.118,0.094,0.211,3.0,0.0,0.0,0,1,0,2,0.115,-24,-38,3
Months,May,14,56.0,43,6.0,11,1,0,2,1,2,10,10,1.0,0.256,0.375,0.419,0.794,18.0,1.0,0.0,0,3,0,1,0.265,184,124,8
Months,June,13,51.0,44,5.0,13,0,1,1,1,0,5,12,2.4,0.296,0.36,0.409,0.769,18.0,1.0,0.0,1,1,1,1,0.375,175,117,11
Months,July,10,35.0,31,3.0,7,0,0,1,0,0,4,5,1.25,0.226,0.314,0.323,0.637,10.0,1.0,0.0,0,0,0,0,0.24,128,80,6
Months,August,15,53.0,48,2.0,7,0,0,0,0,0,5,13,2.6,0.146,0.226,0.146,0.372,7.0,0.0,0.0,0,0,0,0,0.2,33,6,7
Months,Sept/Oct,14,56.0,54,3.0,11,1,0,1,1,0,2,12,6.0,0.204,0.232,0.278,0.51,15.0,1.0,0.0,0,0,0,1,0.244,82,39,9
Game Outcome for Pitcher,in Wins,3,10.0,9,0.0,0,0,0,0,0,0,1,1,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0,0,0,0,0.0,-64,-61,0
Game Outcome for Pitcher,in Losses,6,28.0,18,10.0,9,0,0,0,1,0,8,2,0.25,0.5,0.607,0.5,1.107,9.0,1.0,0.0,0,2,1,1,0.5,296,144,9
Game Outcome for Pitcher,in No Dec.,51,189.0,172,9.0,35,1,0,4,2,2,14,38,2.71,0.204,0.259,0.279,0.538,48.0,3.0,0.0,0,3,0,3,0.233,92,53,30
Game Outcome for Pitcher,in Saves,15,58.0,53,1.0,8,1,1,1,1,0,4,18,4.5,0.151,0.211,0.264,0.475,14.0,0.0,0.0,1,0,0,1,0.206,70,112,5
Game Outcome for Pitcher,in Sv Situ,44,171.0,152,13.0,35,2,1,5,2,2,16,45,2.81,0.23,0.3,0.355,0.655,54.0,2.0,0.0,1,2,0,2,0.289,134,102,27
Game Outcome for Pitcher,in non-Sv,31,114.0,100,7.0,17,0,0,0,2,0,11,14,1.27,0.17,0.246,0.17,0.416,17.0,2.0,0.0,0,3,1,3,0.191,49,19,17
Pitching Role,as Reliever,75,285.0,252,20.0,52,2,1,5,4,2,27,59,2.19,0.206,0.278,0.282,0.56,71.0,4.0,0.0,1,5,1,5,0.244,100,61,44
Batting Order Positions,Batting 1st,33,33.0,30,2.0,4,0,0,1,0,0,2,6,3.0,0.133,0.182,0.233,0.415,7.0,0.0,0.0,0,1,0,0,0.125,48,13,3
