Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,60,243.0,221,14.0,41,11,0,2,3,1,13,101,7.77,0.186,0.252,0.262,0.515,58.0,4.0,7.0,1,1,1,5,0.328,100,38,28
Platoon Splits,vs RHB,55,111.0,99,6.0,17,3,0,0,2,1,5,47,9.4,0.172,0.246,0.202,0.448,20.0,4.0,5.0,1,1,0,3,0.321,74,23,14
Platoon Splits,vs LHB,58,132.0,122,10.0,24,8,0,2,1,0,8,54,6.75,0.197,0.258,0.312,0.569,38.0,0.0,2.0,0,0,1,2,0.333,121,50,14
Platoon Splits,vs RHB as RHP,55,111.0,99,6.0,17,3,0,0,2,1,5,47,9.4,0.172,0.246,0.202,0.448,20.0,4.0,5.0,1,1,0,3,0.321,74,26,14
Platoon Splits,vs LHB as RHP,58,132.0,122,10.0,24,8,0,2,1,0,8,54,6.75,0.197,0.258,0.312,0.569,38.0,0.0,2.0,0,0,1,2,0.333,121,48,14
Home or Away,Home,35,137.0,125,6.0,22,5,0,1,1,0,7,60,8.57,0.176,0.241,0.24,0.481,30.0,3.0,4.0,0,1,0,1,0.323,87,32,16
Home or Away,Away,25,106.0,96,8.0,19,6,0,1,2,1,6,41,6.83,0.198,0.267,0.292,0.558,28.0,1.0,3.0,1,0,1,4,0.333,117,48,12
First or Second Half,1st Half,38,148.0,135,7.0,22,6,0,1,1,1,9,60,6.67,0.163,0.231,0.23,0.461,31.0,3.0,3.0,1,0,1,1,0.284,80,25,15
First or Second Half,2nd Half,22,95.0,86,7.0,19,5,0,1,2,0,4,41,10.25,0.221,0.284,0.314,0.598,27.0,1.0,4.0,0,1,0,4,0.4,133,60,13
Months,April/March,16,62.0,56,1.0,11,4,0,0,1,1,5,25,5.0,0.196,0.274,0.268,0.542,15.0,2.0,1.0,0,0,0,0,0.355,111,49,7
Months,May,10,38.0,34,2.0,5,1,0,0,0,0,3,20,6.67,0.147,0.237,0.177,0.413,6.0,1.0,1.0,0,0,0,0,0.357,61,14,4
Months,June,9,35.0,33,4.0,5,1,0,1,0,0,1,11,11.0,0.152,0.177,0.273,0.449,9.0,0.0,0.0,1,0,1,1,0.191,74,16,3
Months,July,7,35.0,33,1.0,6,1,0,0,1,0,0,16,,0.182,0.2,0.212,0.412,7.0,0.0,1.0,0,1,0,2,0.333,60,10,5
Months,August,13,54.0,48,6.0,12,4,0,1,1,0,3,20,6.67,0.25,0.333,0.396,0.729,19.0,1.0,3.0,0,0,0,2,0.407,183,89,7
Months,Sept/Oct,5,19.0,17,0.0,2,0,0,0,0,0,1,9,9.0,0.118,0.211,0.118,0.328,2.0,0.0,1.0,0,0,0,0,0.25,29,-6,2
Game Outcome for Pitcher,in Losses,5,30.0,24,7.0,9,4,0,1,1,0,5,8,1.6,0.375,0.5,0.667,1.167,16.0,0.0,1.0,0,0,0,2,0.533,353,133,4
Game Outcome for Pitcher,in No Dec.,14,58.0,54,5.0,13,4,0,1,0,0,1,23,23.0,0.241,0.263,0.37,0.634,20.0,1.0,1.0,1,1,1,1,0.387,146,69,8
Game Outcome for Pitcher,in Saves,41,155.0,143,2.0,19,3,0,0,2,1,7,70,10.0,0.133,0.2,0.154,0.354,22.0,3.0,5.0,0,0,0,2,0.26,38,48,16
Game Outcome for Pitcher,in Sv Situ,44,176.0,161,7.0,26,6,0,0,2,1,8,74,9.25,0.162,0.223,0.199,0.422,32.0,3.0,5.0,1,1,1,4,0.296,64,22,20
Game Outcome for Pitcher,in non-Sv,16,67.0,60,7.0,15,5,0,2,1,0,5,27,5.4,0.25,0.328,0.433,0.762,26.0,1.0,2.0,0,0,0,1,0.419,195,100,8
Pitching Role,as Reliever,60,243.0,221,14.0,41,11,0,2,3,1,13,101,7.77,0.186,0.252,0.262,0.515,58.0,4.0,7.0,1,1,1,5,0.328,100,39,28
Batting Order Positions,Batting 1st,26,26.0,26,3.0,6,2,0,1,0,0,0,8,,0.231,0.231,0.423,0.654,11.0,2.0,0.0,0,0,0,1,0.294,153,64,3
Batting Order Positions,Batting 2nd,29,29.0,27,1.0,8,1,0,0,0,0,0,11,,0.296,0.345,0.333,0.678,9.0,0.0,2.0,0,0,0,1,0.5,164,70,7
