Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,73,265.0,253,10.0,33,10,1,5,1,1,9,101,11.22,0.13,0.163,0.237,0.4,60.0,1.0,1.0,1,1,2,1,0.189,100,11,17
Platoon Splits,vs RHB,68,128.0,123,11.0,18,4,1,4,0,1,3,45,15.0,0.146,0.173,0.293,0.466,36.0,0.0,1.0,1,0,0,1,0.189,130,30,9
Platoon Splits,vs LHB,68,137.0,130,6.0,15,6,0,1,1,0,6,56,9.33,0.115,0.153,0.185,0.338,24.0,1.0,0.0,0,1,2,0,0.189,72,-6,8
Platoon Splits,vs RHB as RHP,68,128.0,123,11.0,18,4,1,4,0,1,3,45,15.0,0.146,0.173,0.293,0.466,36.0,0.0,1.0,1,0,0,1,0.189,130,33,9
Platoon Splits,vs LHB as RHP,68,137.0,130,6.0,15,6,0,1,1,0,6,56,9.33,0.115,0.153,0.185,0.338,24.0,1.0,0.0,0,1,2,0,0.189,72,-9,8
Home or Away,Home,37,137.0,129,6.0,18,6,1,3,0,0,6,47,7.83,0.14,0.183,0.271,0.454,35.0,1.0,1.0,0,1,1,0,0.188,126,28,8
Home or Away,Away,36,128.0,124,4.0,15,4,0,2,1,1,3,54,18.0,0.121,0.142,0.202,0.343,25.0,0.0,0.0,1,0,1,1,0.191,72,-6,9
First or Second Half,1st Half,44,160.0,150,9.0,24,7,0,5,1,1,8,60,7.5,0.16,0.208,0.307,0.514,46.0,0.0,1.0,1,0,2,1,0.224,157,42,12
First or Second Half,2nd Half,29,105.0,103,1.0,9,3,1,0,0,0,1,41,41.0,0.087,0.095,0.136,0.231,14.0,1.0,0.0,0,1,0,0,0.143,16,-35,5
Months,April/March,12,40.0,39,2.0,7,3,0,2,0,0,1,12,12.0,0.18,0.2,0.41,0.61,16.0,0.0,0.0,0,0,1,0,0.2,196,65,2
Months,May,10,43.0,39,3.0,9,2,0,2,1,0,3,17,5.67,0.231,0.286,0.436,0.722,17.0,0.0,0.0,1,0,1,0,0.35,259,98,5
Months,June,14,48.0,44,3.0,5,2,0,1,0,0,3,20,6.67,0.114,0.188,0.227,0.415,10.0,0.0,1.0,0,0,0,0,0.174,111,17,2
Months,July,14,52.0,51,1.0,5,1,0,0,0,1,1,21,21.0,0.098,0.115,0.118,0.233,6.0,0.0,0.0,0,0,0,1,0.167,20,-33,4
Months,August,10,36.0,35,0.0,3,1,0,0,0,0,1,12,12.0,0.086,0.111,0.114,0.225,4.0,1.0,0.0,0,0,0,0,0.13,16,-37,2
Months,Sept/Oct,13,46.0,45,1.0,4,1,1,0,0,0,0,19,,0.089,0.087,0.156,0.243,7.0,0.0,0.0,0,1,0,0,0.148,19,-33,2
Game Outcome for Pitcher,in Wins,4,16.0,15,1.0,2,0,0,1,0,0,1,4,4.0,0.133,0.188,0.333,0.521,5.0,0.0,0.0,0,0,0,0,0.1,156,83,1
Game Outcome for Pitcher,in Losses,1,4.0,3,1.0,1,0,1,0,0,0,0,1,,0.333,0.25,1.0,1.25,3.0,0.0,0.0,0,1,0,0,0.333,475,145,0
Game Outcome for Pitcher,in No Dec.,47,174.0,165,8.0,27,10,0,4,1,1,7,63,9.0,0.164,0.202,0.297,0.499,49.0,0.0,1.0,1,0,2,1,0.235,149,42,13
Game Outcome for Pitcher,in Saves,21,71.0,70,0.0,3,0,0,0,0,0,1,33,33.0,0.043,0.056,0.043,0.099,3.0,1.0,0.0,0,0,0,0,0.081,-48,-57,3
Game Outcome for Pitcher,in Sv Situ,37,127.0,125,4.0,15,3,0,3,0,0,2,57,28.5,0.12,0.134,0.216,0.35,27.0,1.0,0.0,0,0,0,1,0.185,73,4,9
Game Outcome for Pitcher,in non-Sv,36,138.0,128,6.0,18,7,1,2,1,1,7,44,6.29,0.141,0.19,0.258,0.448,33.0,0.0,1.0,1,1,2,0,0.193,125,28,8
Pitching Role,as Reliever,73,265.0,253,10.0,33,10,1,5,1,1,9,101,11.22,0.13,0.163,0.237,0.4,60.0,1.0,1.0,1,1,2,1,0.189,100,15,17
Batting Order Positions,Batting 1st,25,25.0,24,2.0,5,3,0,0,0,0,0,8,,0.208,0.208,0.333,0.542,8.0,0.0,0.0,1,0,0,0,0.313,168,49,2
Batting Order Positions,Batting 2nd,25,25.0,25,1.0,2,1,0,1,0,0,0,10,,0.08,0.08,0.24,0.32,6.0,0.0,0.0,0,0,0,0,0.071,50,-15,0
Batting Order Positions,Batting 3rd,27,27.0,25,4.0,4,1,0,1,1,0,2,10,5.0,0.16,0.222,0.32,0.542,8.0,0.0,0.0,0,0,1,0,0.214,171,35,2
Batting Order Positions,Batting 4th,28,28.0,28,2.0,7,1,0,0,0,0,0,8,,0.25,0.25,0.286,0.536,8.0,0.0,0.0,0,0,0,0,0.35,174,37,6
Batting Order Positions,Batting 5th,29,29.0,26,1.0,1,0,0,0,0,0,2,14,7.0,0.039,0.138,0.039,0.176,1.0,0.0,1.0,0,0,1,1,0.083,1,-48,1
Batting Order Positions,Batting 6th,39,39.0,37,1.0,6,2,1,1,0,0,2,15,7.5,0.162,0.205,0.351,0.557,13.0,0.0,0.0,0,0,0,0,0.238,174,52,2
Batting Order Positions,Batting 7th,38,38.0,36,2.0,3,0,0,1,0,1,1,14,14.0,0.083,0.105,0.167,0.272,6.0,1.0,0.0,0,1,0,0,0.091,35,-23,2
Batting Order Positions,Batting 8th,31,31.0,30,2.0,3,2,0,1,0,0,1,11,11.0,0.1,0.129,0.267,0.396,8.0,0.0,0.0,0,0,0,0,0.111,92,16,0
Batting Order Positions,Batting 9th,23,23.0,22,2.0,2,0,0,0,0,0,1,11,11.0,0.091,0.13,0.091,0.221,2.0,0.0,0.0,0,0,0,0,0.182,18,-18,2
Batting Order Positions,"Bat1-2,non-P",31,50.0,49,3.0,7,4,0,1,0,0,0,18,,0.143,0.143,0.286,0.429,14.0,0.0,0.0,1,0,0,0,0.2,108,17,2
Batting Order Positions,"Bat3-6,non-P",62,123.0,116,8.0,18,4,1,2,1,0,6,47,7.83,0.155,0.203,0.259,0.462,30.0,0.0,1.0,0,0,2,1,0.239,134,21,11
Batting Order Positions,"Bat7-9,non-P",47,92.0,88,6.0,8,2,0,2,0,1,3,36,12.0,0.091,0.12,0.182,0.301,16.0,1.0,0.0,0,1,0,0,0.118,50,-11,4
Swung or Took First Pitch of PA,Swung at 1st Pitch,50,79.0,77,7.0,11,3,1,1,,,1,30,30.0,0.143,0.152,0.247,0.399,19.0,0.0,0.0,0,1,0,1,0.213,98,12,6
Swung or Took First Pitch of PA,Took 1st Pitch,71,186.0,176,10.0,22,7,0,4,,,8,71,8.88,0.125,0.168,0.233,0.401,41.0,1.0,1.0,1,0,2,0,0.178,101,11,11
Count/Balls-Strikes,First Pitch,17,17.0,16,3.0,4,3,0,0,,,0,0,,0.25,0.294,0.438,0.732,7.0,0.0,1.0,0,0,0,0,0.25,265,67,1
Count/Balls-Strikes,1-0 Count,9,9.0,9,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,2-0 Count,1,1.0,1,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,2,2.0,0,0.0,0,0,0,0,,,2,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,26,33.0,31,3.0,8,2,0,2,,,0,0,,0.258,0.25,0.516,0.766,16.0,0.0,0.0,1,1,0,0,0.2,271,90,4
Count/Balls-Strikes,1-1 Count,10,13.0,13,2.0,4,1,0,1,,,0,0,,0.308,0.308,0.615,0.923,8.0,0.0,0.0,0,0,0,0,0.25,349,114,2
