Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,61,245.0,203,27.0,40,7,0,8,6,1,34,60,1.76,0.197,0.325,0.35,0.675,71.0,4.0,5.0,2,1,3,3,0.235,100,88,25
Platoon Splits,vs RHB,61,127.0,106,14.0,23,4,0,5,3,1,19,36,1.89,0.217,0.341,0.396,0.738,42.0,0.0,1.0,1,0,1,0,0.277,118,106,14
Platoon Splits,vs LHB,57,118.0,97,12.0,17,3,0,3,3,0,15,24,1.6,0.175,0.308,0.299,0.607,29.0,4.0,4.0,1,1,2,3,0.197,80,68,11
Platoon Splits,vs RHB as RHP,61,127.0,106,14.0,23,4,0,5,3,1,19,36,1.89,0.217,0.341,0.396,0.738,42.0,0.0,1.0,1,0,1,0,0.277,118,109,14
Platoon Splits,vs LHB as RHP,57,118.0,97,12.0,17,3,0,3,3,0,15,24,1.6,0.175,0.308,0.299,0.607,29.0,4.0,4.0,1,1,2,3,0.197,80,64,11
Home or Away,Home,33,136.0,111,10.0,22,2,0,2,3,1,20,40,2.0,0.198,0.341,0.27,0.611,30.0,1.0,4.0,1,0,3,2,0.29,82,76,18
Home or Away,Away,28,109.0,92,17.0,18,5,0,6,3,0,14,20,1.43,0.196,0.306,0.446,0.751,41.0,3.0,1.0,1,1,0,1,0.179,122,103,7
First or Second Half,1st Half,44,170.0,143,7.0,18,4,0,3,1,0,23,47,2.04,0.126,0.254,0.217,0.471,31.0,3.0,2.0,1,1,2,3,0.16,40,33,11
First or Second Half,2nd Half,17,75.0,60,20.0,22,3,0,5,5,1,11,13,1.18,0.367,0.487,0.667,1.153,40.0,1.0,3.0,1,0,1,0,0.405,240,215,14
Months,April/March,13,56.0,44,4.0,7,2,0,2,0,0,9,22,2.44,0.159,0.309,0.341,0.65,15.0,0.0,1.0,1,1,1,2,0.238,93,82,3
Months,May,12,44.0,37,1.0,2,1,0,0,1,0,6,5,0.83,0.054,0.205,0.081,0.286,3.0,2.0,1.0,0,0,0,1,0.063,-14,-16,1
Months,June,12,38.0,36,0.0,1,0,0,0,0,0,2,12,6.0,0.028,0.079,0.028,0.107,1.0,1.0,0.0,0,0,0,0,0.042,-68,-68,1
Months,July,11,53.0,45,9.0,16,2,0,3,1,0,7,12,1.71,0.356,0.453,0.6,1.053,27.0,0.0,1.0,0,0,1,0,0.433,211,183,11
Months,August,6,29.0,20,10.0,9,1,0,1,2,1,8,3,0.38,0.45,0.621,0.65,1.271,13.0,1.0,1.0,0,0,1,0,0.5,277,251,7
Months,Sept/Oct,7,25.0,21,3.0,5,1,0,2,2,0,2,6,3.0,0.238,0.333,0.571,0.905,12.0,0.0,1.0,1,0,0,0,0.231,166,147,2
Game Outcome for Pitcher,in Wins,1,2.0,2,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,6,27.0,22,14.0,11,2,0,5,0,0,4,2,0.5,0.5,0.556,1.273,1.828,28.0,0.0,0.0,0,1,0,0,0.375,435,259,4
Game Outcome for Pitcher,in No Dec.,44,182.0,146,12.0,26,5,0,2,6,1,30,46,1.53,0.178,0.333,0.253,0.587,37.0,4.0,4.0,2,0,3,3,0.245,75,68,19
Game Outcome for Pitcher,in Saves,10,34.0,33,1.0,3,0,0,1,0,0,0,12,,0.091,0.118,0.182,0.299,6.0,0.0,1.0,0,0,0,0,0.1,-12,33,2
Game Outcome for Pitcher,in Sv Situ,27,111.0,97,18.0,23,2,0,7,1,0,11,21,1.91,0.237,0.333,0.474,0.808,46.0,0.0,3.0,0,0,1,2,0.232,138,141,14
Game Outcome for Pitcher,in non-Sv,34,134.0,106,9.0,17,5,0,1,5,1,23,39,1.7,0.16,0.318,0.236,0.554,25.0,4.0,2.0,2,1,2,1,0.239,65,54,11
Pitching Role,as Reliever,61,245.0,203,27.0,40,7,0,8,6,1,34,60,1.76,0.197,0.325,0.35,0.675,71.0,4.0,5.0,2,1,3,3,0.235,100,88,25
Batting Order Positions,Batting 1st,30,30.0,24,1.0,2,1,0,0,2,0,5,7,1.4,0.083,0.241,0.125,0.366,3.0,2.0,0.0,1,0,0,0,0.118,10,2,1
Batting Order Positions,Batting 2nd,28,28.0,22,0.0,2,0,0,0,0,0,4,8,2.0,0.091,0.286,0.091,0.377,2.0,2.0,2.0,0,0,0,0,0.143,14,6,2
Batting Order Positions,Batting 3rd,33,33.0,30,2.0,9,1,0,1,0,1,3,12,4.0,0.3,0.364,0.433,0.797,13.0,0.0,0.0,0,0,0,0,0.471,136,101,7
Batting Order Positions,Batting 4th,28,28.0,21,2.0,4,1,0,1,3,0,6,8,1.33,0.191,0.357,0.381,0.738,8.0,0.0,0.0,0,1,1,0,0.231,119,91,2
Batting Order Positions,Batting 5th,28,28.0,26,8.0,8,1,0,3,0,0,2,5,2.5,0.308,0.357,0.692,1.049,18.0,0.0,0.0,0,0,0,1,0.278,208,171,4
Batting Order Positions,Batting 6th,29,29.0,26,3.0,3,1,0,0,0,0,2,6,3.0,0.115,0.207,0.154,0.361,4.0,0.0,1.0,0,0,0,1,0.15,8,4,2
Batting Order Positions,Batting 7th,23,23.0,17,3.0,4,0,0,1,1,0,4,4,1.0,0.235,0.435,0.412,0.847,7.0,0.0,2.0,0,0,1,0,0.25,152,147,3
Batting Order Positions,Batting 8th,23,23.0,18,0.0,3,2,0,0,0,0,4,7,1.75,0.167,0.318,0.278,0.596,5.0,0.0,0.0,1,0,0,1,0.273,77,80,1
Batting Order Positions,Batting 9th,23,23.0,19,7.0,5,0,0,2,0,0,4,3,0.75,0.263,0.391,0.579,0.97,11.0,0.0,0.0,0,0,1,0,0.214,186,240,3
Batting Order Positions,"Bat1-2,non-P",36,58.0,46,1.0,4,1,0,0,2,0,9,15,1.67,0.087,0.263,0.109,0.372,5.0,4.0,2.0,1,0,0,0,0.129,12,4,3
Batting Order Positions,"Bat3-6,non-P",50,117.0,102,15.0,23,4,0,5,3,1,13,31,2.38,0.226,0.316,0.412,0.728,42.0,0.0,1.0,0,1,1,2,0.269,115,90,14
Batting Order Positions,"Bat7-9,non-P",38,69.0,54,10.0,12,2,0,3,1,0,12,14,1.17,0.222,0.382,0.426,0.808,23.0,0.0,2.0,1,0,2,1,0.243,139,139,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,34,48.0,45,1.0,8,0,0,0,,,2,10,5.0,0.178,0.213,0.178,0.391,8.0,1.0,0.0,1,0,0,0,0.229,16,14,8
Swung or Took First Pitch of PA,Took 1st Pitch,61,197.0,158,25.0,32,7,0,8,,,32,50,1.56,0.203,0.352,0.399,0.751,63.0,3.0,5.0,1,1,3,3,0.238,122,108,17
Count/Balls-Strikes,First Pitch,13,17.0,15,0.0,5,0,0,0,,,0,0,,0.333,0.375,0.333,0.708,5.0,1.0,1.0,1,0,0,0,0.333,111,66,5
Count/Balls-Strikes,1-0 Count,12,12.0,12,8.0,3,0,0,3,,,0,0,,0.25,0.25,1.0,1.25,12.0,2.0,0.0,0,0,0,1,0.0,263,147,0
Count/Balls-Strikes,2-0 Count,7,7.0,7,3.0,3,0,0,1,,,0,0,,0.429,0.429,0.857,1.286,6.0,0.0,0.0,0,0,0,0,0.333,277,156,2
Count/Balls-Strikes,3-0 Count,11,13.0,1,1.0,1,0,0,1,,,12,0,0.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,0,0,3,0,,1351,477,0
Count/Balls-Strikes,0-1 Count,15,16.0,15,2.0,4,1,0,1,,,0,0,,0.267,0.267,0.533,0.8,8.0,0.0,0.0,1,0,0,0,0.214,134,87,2
Count/Balls-Strikes,1-1 Count,17,18.0,17,4.0,5,2,0,1,,,0,0,,0.294,0.333,0.588,0.922,10.0,0.0,1.0,0,0,0,0,0.25,171,109,2
Count/Balls-Strikes,2-1 Count,12,12.0,12,3.0,3,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,3.0,1.0,0.0,0,0,0,0,0.25,48,17,3
Count/Balls-Strikes,3-1 Count,15,15.0,7,2.0,2,0,0,1,,,8,0,0.0,0.286,0.667,0.714,1.381,5.0,0.0,0.0,0,0,0,1,0.167,309,99,1
Count/Balls-Strikes,0-2 Count,17,19.0,19,1.0,2,0,0,0,,,0,6,,0.105,0.105,0.105,0.211,2.0,0.0,0.0,0,0,0,0,0.154,-38,13,2
Count/Balls-Strikes,1-2 Count,31,37.0,36,0.0,3,0,0,0,,,0,23,,0.083,0.108,0.083,0.191,3.0,0.0,1.0,0,0,0,0,0.231,-43,-1,3
Count/Balls-Strikes,2-2 Count,23,35.0,32,1.0,6,2,0,0,,,0,15,,0.188,0.229,0.25,0.479,8.0,0.0,2.0,0,1,0,0,0.333,42,109,4
Count/Balls-Strikes,Full Count,32,44.0,30,1.0,3,2,0,0,,,14,16,1.14,0.1,0.386,0.167,0.553,5.0,0.0,0.0,0,0,0,1,0.214,67,34,1
Count/Balls-Strikes,After 1-0,51,121.0,92,21.0,19,4,0,6,,,24,26,1.08,0.207,0.388,0.446,0.834,41.0,2.0,4.0,0,1,3,3,0.213,147,103,9
Count/Balls-Strikes,After 2-0,37,47.0,27,7.0,7,0,0,3,,,20,5,0.25,0.259,0.575,0.593,1.167,16.0,0.0,0.0,0,0,3,1,0.211,246,135,4
Count/Balls-Strikes,After 3-0,18,20.0,5,2.0,3,0,0,2,,,15,1,0.07,0.6,0.9,1.8,2.7,9.0,0.0,0.0,0,0,3,0,0.5,691,369,1
Count/Balls-Strikes,After 0-1,54,107.0,96,5.0,16,3,0,2,,,10,34,3.4,0.167,0.245,0.26,0.506,25.0,1.0,0.0,1,0,0,0,0.233,50,67,11
Count/Balls-Strikes,After 1-1,53,110.0,94,8.0,16,4,0,1,,,11,37,3.36,0.17,0.282,0.245,0.527,23.0,1.0,4.0,0,1,0,1,0.263,57,58,11
Count/Balls-Strikes,After 2-1,44,67.0,51,5.0,8,2,0,0,,,14,18,1.29,0.157,0.358,0.196,0.554,10.0,1.0,2.0,0,0,0,1,0.242,66,39,6
Count/Balls-Strikes,After 3-1,27,31.0,17,2.0,4,1,0,1,,,14,6,0.43,0.235,0.581,0.471,1.051,8.0,0.0,0.0,0,0,0,1,0.3,213,97,2
Count/Balls-Strikes,After 0-2,33,43.0,40,1.0,5,2,0,0,,,3,18,6.0,0.125,0.186,0.175,0.361,7.0,0.0,0.0,0,0,0,0,0.227,7,64,3
Count/Balls-Strikes,After 1-2,46,69.0,62,1.0,7,2,0,0,,,5,35,7.0,0.113,0.188,0.145,0.334,9.0,0.0,1.0,0,1,0,1,0.25,-1,36,5
Count/Balls-Strikes,After 2-2,41,63.0,52,2.0,7,3,0,0,,,8,25,3.13,0.135,0.27,0.192,0.462,10.0,0.0,2.0,0,1,0,1,0.25,38,55,4
Count/Balls-Strikes,Zero Balls,40,52.0,49,3.0,11,1,0,1,,,0,6,,0.225,0.24,0.306,0.546,15.0,1.0,1.0,2,0,0,0,0.238,61,55,9
Count/Balls-Strikes,Zero Strikes,36,49.0,35,12.0,12,0,0,5,,,12,0,0.0,0.343,0.521,0.771,1.292,27.0,3.0,1.0,1,0,3,1,0.233,281,161,7
Count/Balls-Strikes,Three Balls,42,72.0,38,4.0,6,2,0,2,,,34,16,0.47,0.158,0.556,0.368,0.924,14.0,0.0,0.0,0,0,3,2,0.2,176,89,2
Count/Balls-Strikes,Two Strikes,59,135.0,117,3.0,14,4,0,0,,,14,60,4.29,0.12,0.23,0.154,0.383,18.0,0.0,3.0,0,1,0,1,0.241,15,50,10
Count/Balls-Strikes,Batter Ahead,51,103.0,69,18.0,15,2,0,6,,,34,16,0.47,0.217,0.476,0.507,0.983,35.0,3.0,0.0,0,0,3,3,0.192,191,101,7
Count/Balls-Strikes,Even Count,42,70.0,64,5.0,16,4,0,1,,,0,15,,0.25,0.29,0.359,0.649,23.0,1.0,4.0,1,1,0,0,0.306,92,87,11
Count/Balls-Strikes,Pitcher Ahead,47,72.0,70,3.0,9,1,0,1,,,0,29,,0.129,0.141,0.186,0.327,13.0,0.0,1.0,1,0,0,0,0.2,-4,29,7
Leading Off Inning,First Batter,61,61.0,50,3.0,10,3,0,2,,,9,13,1.44,0.2,0.344,0.38,0.724,19.0,0.0,2.0,0,0,0,2,0.229,114,106,5
Leading Off Inning,Leadoff Inn.,56,56.0,45,2.0,9,3,0,2,,,9,13,1.44,0.2,0.357,0.4,0.757,18.0,0.0,2.0,0,0,0,1,0.233,124,112,4
Opposition Defensive Position,vs. Pitcher,1,1.0,1,0.0,1,0,0,0,0,0,0,0,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0,0,0,0,1.0,493,1266,1
Opposition Defensive Position,vs. Non-P,61,244.0,202,26.0,39,7,0,8,6,1,34,60,1.76,0.193,0.322,0.347,0.669,70.0,4.0,5.0,2,1,3,3,0.23,98,83,24
