Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,63,231.0,213,15.0,45,12,1,5,2,1,12,51,4.25,0.211,0.261,0.347,0.608,74.0,4.0,3.0,1,2,1,2,0.252,100,68,27
Platoon Splits,vs RHB,59,123.0,120,11.0,27,7,0,1,1,1,2,21,10.5,0.225,0.244,0.308,0.552,37.0,4.0,1.0,0,0,0,1,0.265,82,55,19
Platoon Splits,vs LHB,53,108.0,93,12.0,18,5,1,4,1,0,10,30,3.0,0.194,0.28,0.398,0.678,37.0,0.0,2.0,1,2,1,1,0.23,122,85,8
Platoon Splits,vs RHB as RHP,59,123.0,120,11.0,27,7,0,1,1,1,2,21,10.5,0.225,0.244,0.308,0.552,37.0,4.0,1.0,0,0,0,1,0.265,82,59,19
Platoon Splits,vs LHB as RHP,53,108.0,93,12.0,18,5,1,4,1,0,10,30,3.0,0.194,0.28,0.398,0.678,37.0,0.0,2.0,1,2,1,1,0.23,122,81,8
Home or Away,Home,38,130.0,120,6.0,22,5,0,5,1,1,8,29,3.63,0.183,0.246,0.35,0.596,42.0,1.0,2.0,0,0,1,0,0.198,95,68,12
Home or Away,Away,25,101.0,93,9.0,23,7,1,0,1,0,4,22,5.5,0.247,0.28,0.344,0.624,32.0,3.0,1.0,1,2,0,2,0.315,106,70,15
First or Second Half,1st Half,39,138.0,129,9.0,27,6,1,2,1,1,5,25,5.0,0.209,0.241,0.318,0.559,41.0,3.0,1.0,1,2,0,2,0.24,84,57,18
First or Second Half,2nd Half,24,93.0,84,6.0,18,6,0,3,1,0,7,26,3.71,0.214,0.29,0.393,0.683,33.0,1.0,2.0,0,0,1,0,0.273,124,86,9
Months,April/March,11,34.0,32,2.0,7,1,0,0,0,0,0,5,,0.219,0.212,0.25,0.462,8.0,0.0,0.0,1,1,0,0,0.25,53,30,6
Months,May,11,34.0,32,2.0,7,4,0,0,1,0,1,4,4.0,0.219,0.265,0.344,0.609,11.0,2.0,1.0,0,0,0,0,0.25,101,71,3
Months,June,14,57.0,55,5.0,13,1,1,2,0,1,1,13,13.0,0.236,0.246,0.4,0.646,22.0,1.0,0.0,0,1,0,2,0.268,110,80,9
Months,July,9,41.0,35,2.0,7,3,0,0,0,0,6,11,1.83,0.2,0.317,0.286,0.603,10.0,0.0,0.0,0,0,0,0,0.292,104,71,4
Months,August,10,34.0,33,1.0,5,1,0,0,0,0,0,9,,0.152,0.177,0.182,0.358,6.0,0.0,1.0,0,0,0,0,0.208,20,-2,4
Months,Sept/Oct,8,31.0,26,3.0,6,2,0,3,1,0,4,9,2.25,0.231,0.355,0.654,1.009,17.0,1.0,1.0,0,0,1,0,0.214,225,172,1
Game Outcome for Pitcher,in Wins,5,16.0,16,2.0,5,1,0,1,0,1,0,4,,0.313,0.313,0.563,0.875,9.0,0.0,0.0,0,0,0,0,0.364,182,202,3
Game Outcome for Pitcher,in Losses,1,3.0,3,1.0,2,0,1,0,0,0,0,1,,0.667,0.667,1.333,2.0,4.0,0.0,0.0,0,0,0,0,1.0,540,319,1
Game Outcome for Pitcher,in No Dec.,32,123.0,111,10.0,28,8,0,4,1,0,8,22,2.75,0.252,0.309,0.432,0.741,48.0,2.0,2.0,0,2,1,1,0.276,143,108,16
Game Outcome for Pitcher,in Saves,25,89.0,83,2.0,10,3,0,0,1,0,4,24,6.0,0.121,0.171,0.157,0.327,13.0,2.0,1.0,1,0,0,1,0.17,10,45,7
Game Outcome for Pitcher,in Sv Situ,31,117.0,109,7.0,21,5,0,4,1,1,6,28,4.67,0.193,0.241,0.349,0.59,38.0,2.0,1.0,1,0,0,1,0.221,93,77,12
Game Outcome for Pitcher,in non-Sv,32,114.0,104,8.0,24,7,1,1,1,0,6,23,3.83,0.231,0.281,0.346,0.627,36.0,2.0,2.0,0,2,1,1,0.281,107,77,15
Pitching Role,as Reliever,63,231.0,213,15.0,45,12,1,5,2,1,12,51,4.25,0.211,0.261,0.347,0.608,74.0,4.0,3.0,1,2,1,2,0.252,100,74,27
Batting Order Positions,Batting 1st,20,20.0,20,4.0,4,1,0,2,0,0,0,4,,0.2,0.2,0.55,0.75,11.0,1.0,0.0,0,0,0,0,0.143,135,99,1
Batting Order Positions,Batting 2nd,19,19.0,18,0.0,3,3,0,0,0,0,0,3,,0.167,0.211,0.333,0.544,6.0,0.0,1.0,0,0,0,0,0.2,77,51,0
Batting Order Positions,Batting 3rd,21,21.0,19,1.0,4,0,0,1,0,0,2,7,3.5,0.211,0.286,0.368,0.654,7.0,1.0,0.0,0,0,0,0,0.273,116,62,3
Batting Order Positions,Batting 4th,21,21.0,19,1.0,5,1,0,0,0,0,2,3,1.5,0.263,0.333,0.316,0.649,6.0,0.0,0.0,0,0,0,1,0.313,119,67,4
Batting Order Positions,Batting 5th,23,23.0,21,3.0,4,0,0,1,0,0,1,4,4.0,0.191,0.217,0.333,0.551,7.0,1.0,0.0,0,1,0,0,0.177,79,44,3
Batting Order Positions,Batting 6th,29,29.0,27,3.0,9,3,1,0,1,0,2,7,3.5,0.333,0.379,0.519,0.898,14.0,0.0,0.0,0,0,1,0,0.45,195,146,5
Batting Order Positions,Batting 7th,36,36.0,32,6.0,8,1,0,0,0,0,2,10,5.0,0.25,0.286,0.281,0.567,9.0,0.0,0.0,1,1,0,0,0.348,91,65,7
Batting Order Positions,Batting 8th,34,34.0,30,2.0,5,2,0,0,0,0,2,7,3.5,0.167,0.265,0.233,0.498,7.0,0.0,2.0,0,0,0,1,0.217,69,49,3
Batting Order Positions,Batting 9th,29,28.0,27,3.0,3,1,0,1,1,1,1,6,6.0,0.111,0.143,0.259,0.402,7.0,1.0,0.0,0,0,0,0,0.1,29,43,1
