Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,66,268.0,244,28.0,54,10,1,9,4,0,22,70,3.18,0.221,0.284,0.381,0.665,93.0,6.0,0.0,0,2,2,1,0.27,100,88,34
Platoon Splits,vs RHB,63,151.0,140,23.0,37,4,1,7,3,0,10,39,3.9,0.264,0.311,0.457,0.768,64.0,3.0,0.0,0,1,0,1,0.316,130,114,25
Platoon Splits,vs LHB,62,117.0,104,14.0,17,6,0,2,1,0,12,31,2.58,0.164,0.248,0.279,0.527,29.0,3.0,0.0,0,1,2,0,0.208,61,52,9
Platoon Splits,vs RHB as RHP,63,151.0,140,23.0,37,4,1,7,3,0,10,39,3.9,0.264,0.311,0.457,0.768,64.0,3.0,0.0,0,1,0,1,0.316,130,118,25
Platoon Splits,vs LHB as RHP,62,117.0,104,14.0,17,6,0,2,1,0,12,31,2.58,0.164,0.248,0.279,0.527,29.0,3.0,0.0,0,1,2,0,0.208,61,50,9
Home or Away,Home,34,135.0,125,8.0,22,5,0,3,1,0,9,31,3.44,0.176,0.23,0.288,0.518,36.0,1.0,0.0,0,1,2,0,0.207,57,49,14
Home or Away,Away,32,133.0,119,20.0,32,5,1,6,3,0,13,39,3.0,0.269,0.338,0.479,0.817,57.0,5.0,0.0,0,1,0,1,0.347,145,126,20
First or Second Half,1st Half,39,152.0,138,18.0,33,4,1,7,4,0,13,43,3.31,0.239,0.303,0.435,0.737,60.0,4.0,0.0,0,1,1,1,0.292,121,107,21
First or Second Half,2nd Half,27,116.0,106,10.0,21,6,0,2,0,0,9,27,3.0,0.198,0.259,0.311,0.57,33.0,2.0,0.0,0,1,1,0,0.244,73,62,13
Months,April/March,9,33.0,30,6.0,6,0,1,1,1,0,3,8,2.67,0.2,0.273,0.367,0.639,11.0,2.0,0.0,0,0,0,1,0.238,93,88,4
Months,May,11,46.0,42,5.0,13,1,0,1,1,0,4,14,3.5,0.31,0.37,0.405,0.774,17.0,1.0,0.0,0,0,1,0,0.444,137,120,11
Months,June,13,49.0,44,5.0,11,3,0,3,2,0,4,14,3.5,0.25,0.306,0.523,0.829,23.0,0.0,0.0,0,1,0,0,0.286,145,125,5
