Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,65,259.0,237,16.0,60,6,1,7,5,3,16,45,2.81,0.253,0.304,0.376,0.679,89.0,7.0,2.0,2,2,2,1,0.283,100,81,46
Platoon Splits,vs RHB,59,129.0,119,11.0,36,3,0,6,4,2,7,17,2.43,0.303,0.349,0.479,0.828,57.0,6.0,2.0,0,1,1,0,0.309,142,123,27
Platoon Splits,vs LHB,58,130.0,118,8.0,24,3,1,1,1,1,9,28,3.11,0.203,0.258,0.271,0.529,32.0,1.0,0.0,2,1,1,1,0.256,57,40,19
Platoon Splits,vs RHB as RHP,59,129.0,119,11.0,36,3,0,6,4,2,7,17,2.43,0.303,0.349,0.479,0.828,57.0,6.0,2.0,0,1,1,0,0.309,142,127,27
Platoon Splits,vs LHB as RHP,58,130.0,118,8.0,24,3,1,1,1,1,9,28,3.11,0.203,0.258,0.271,0.529,32.0,1.0,0.0,2,1,1,1,0.256,57,37,19
Home or Away,Home,34,143.0,131,9.0,36,6,1,4,4,3,7,22,3.14,0.275,0.317,0.428,0.744,56.0,3.0,2.0,1,2,2,1,0.299,118,102,25
Home or Away,Away,31,116.0,106,7.0,24,0,0,3,1,0,9,23,2.56,0.226,0.287,0.311,0.598,33.0,4.0,0.0,1,0,0,0,0.263,77,57,21
First or Second Half,1st Half,38,156.0,139,11.0,34,4,0,4,5,3,11,29,2.64,0.245,0.305,0.36,0.665,50.0,2.0,2.0,2,2,1,1,0.278,96,78,26
First or Second Half,2nd Half,27,103.0,98,5.0,26,2,1,3,0,0,5,16,3.2,0.265,0.301,0.398,0.699,39.0,5.0,0.0,0,0,1,0,0.291,105,85,20
Months,April/March,10,44.0,40,4.0,13,1,0,1,0,2,2,6,3.0,0.325,0.364,0.425,0.789,17.0,0.0,1.0,0,1,0,0,0.353,133,108,11
Months,May,12,46.0,39,3.0,7,2,0,1,2,0,5,14,2.8,0.18,0.289,0.308,0.597,12.0,0.0,1.0,1,0,0,0,0.25,77,60,4
