Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,58,235.0,210,22.0,44,5,2,7,7,0,16,85,5.31,0.21,0.267,0.352,0.62,74.0,1.0,2.0,3,4,1,0,0.303,100,75,30
Platoon Splits,vs RHB,57,129.0,114,10.0,23,4,1,3,5,0,11,43,3.91,0.202,0.276,0.333,0.609,38.0,1.0,1.0,2,1,0,0,0.29,98,72,15
Platoon Splits,vs LHB,53,106.0,96,16.0,21,1,1,4,2,0,5,42,8.4,0.219,0.257,0.375,0.632,36.0,0.0,1.0,1,3,1,0,0.321,103,80,15
Platoon Splits,vs RHB as RHP,57,129.0,114,10.0,23,4,1,3,5,0,11,43,3.91,0.202,0.276,0.333,0.609,38.0,1.0,1.0,2,1,0,0,0.29,98,75,15
Platoon Splits,vs LHB as RHP,53,106.0,96,16.0,21,1,1,4,2,0,5,42,8.4,0.219,0.257,0.375,0.632,36.0,0.0,1.0,1,3,1,0,0.321,103,77,15
Home or Away,Home,29,123.0,110,10.0,26,5,1,2,7,0,9,39,4.33,0.236,0.295,0.355,0.65,39.0,0.0,1.0,1,2,1,0,0.338,111,88,18
Home or Away,Away,29,112.0,100,12.0,18,0,1,5,0,0,7,46,6.57,0.18,0.236,0.35,0.586,35.0,1.0,1.0,2,2,0,0,0.255,88,62,12
First or Second Half,1st Half,30,122.0,112,10.0,21,2,1,3,5,0,8,45,5.63,0.188,0.246,0.304,0.55,34.0,0.0,1.0,0,1,1,0,0.277,79,56,15
First or Second Half,2nd Half,28,113.0,98,12.0,23,3,1,4,2,0,8,40,5.0,0.235,0.291,0.408,0.699,40.0,1.0,1.0,3,3,0,0,0.333,125,97,15
Months,April/March,8,44.0,40,7.0,14,1,1,2,1,0,3,12,4.0,0.35,0.409,0.575,0.984,23.0,0.0,1.0,0,0,1,0,0.462,217,189,10
Months,May,13,50.0,45,3.0,7,1,0,1,3,0,4,21,5.25,0.156,0.22,0.244,0.464,11.0,0.0,0.0,0,1,0,0,0.25,52,32,5
Months,June,4,13.0,12,0.0,0,0,0,0,1,0,1,4,4.0,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0,0,0,0,0.0,-71,-76,0
Months,July,10,40.0,37,5.0,9,3,0,2,2,0,1,16,16.0,0.243,0.256,0.487,0.743,18.0,0.0,0.0,1,1,0,0,0.35,134,103,4
Months,August,11,42.0,39,5.0,9,0,1,2,0,0,2,14,7.0,0.231,0.262,0.436,0.698,17.0,0.0,0.0,0,1,0,0,0.292,122,95,6
Months,Sept/Oct,12,46.0,37,2.0,5,0,0,0,0,0,5,18,3.6,0.135,0.25,0.135,0.385,5.0,1.0,1.0,2,1,0,0,0.25,32,15,5
Game Outcome for Pitcher,in Wins,4,17.0,14,1.0,3,1,0,0,4,0,1,6,6.0,0.214,0.25,0.286,0.536,4.0,0.0,0.0,1,1,0,0,0.333,75,101,2
Game Outcome for Pitcher,in Losses,4,26.0,20,9.0,11,1,1,2,1,0,1,6,6.0,0.55,0.542,1.0,1.542,20.0,0.0,1.0,2,2,0,0,0.643,387,212,7
Game Outcome for Pitcher,in No Dec.,13,48.0,46,6.0,8,1,0,4,1,0,2,17,8.5,0.174,0.208,0.457,0.665,21.0,0.0,0.0,0,0,0,0,0.16,108,88,3
Game Outcome for Pitcher,in Saves,37,144.0,130,6.0,22,2,1,1,1,0,12,56,4.67,0.169,0.243,0.223,0.466,29.0,1.0,1.0,0,1,1,0,0.284,54,123,18
Game Outcome for Pitcher,in Sv Situ,41,165.0,148,12.0,30,2,2,4,4,0,13,63,4.85,0.203,0.273,0.324,0.597,48.0,1.0,2.0,0,2,1,0,0.313,94,82,22
