Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,71,310.0,268,32.0,58,10,0,5,7,2,34,67,1.97,0.216,0.313,0.31,0.622,83.0,6.0,4.0,2,1,2,3,0.269,100,74,43
Platoon Splits,vs RHB,69,181.0,158,16.0,27,4,0,2,5,1,15,44,2.93,0.171,0.258,0.234,0.493,37.0,4.0,4.0,2,1,1,2,0.221,58,38,21
Platoon Splits,vs LHB,59,129.0,110,10.0,31,6,0,3,2,1,19,23,1.21,0.282,0.388,0.418,0.806,46.0,2.0,0.0,0,0,1,1,0.333,159,125,22
Platoon Splits,vs RHB as RHP,69,181.0,158,16.0,27,4,0,2,5,1,15,44,2.93,0.171,0.258,0.234,0.493,37.0,4.0,4.0,2,1,1,2,0.221,58,42,21
Platoon Splits,vs LHB as RHP,59,129.0,110,10.0,31,6,0,3,2,1,19,23,1.21,0.282,0.388,0.418,0.806,46.0,2.0,0.0,0,0,1,1,0.333,159,120,22
Home or Away,Home,36,158.0,144,19.0,31,5,0,5,5,1,13,36,2.77,0.215,0.285,0.354,0.639,51.0,2.0,1.0,0,0,1,1,0.252,105,80,21
Home or Away,Away,35,152.0,124,13.0,27,5,0,0,2,1,21,31,1.48,0.218,0.342,0.258,0.6,32.0,4.0,3.0,2,1,1,2,0.287,93,67,22
First or Second Half,1st Half,42,176.0,152,13.0,30,4,0,3,4,1,21,41,1.95,0.197,0.297,0.283,0.58,43.0,5.0,1.0,1,1,2,1,0.248,86,64,23
First or Second Half,2nd Half,29,134.0,116,19.0,28,6,0,2,3,1,13,26,2.0,0.241,0.333,0.345,0.678,40.0,1.0,3.0,1,0,0,2,0.296,118,86,20
Months,April/March,13,57.0,51,3.0,8,1,0,2,1,0,6,17,2.83,0.157,0.246,0.294,0.54,15.0,2.0,0.0,0,0,0,0,0.188,73,55,5
Months,May,11,50.0,40,8.0,10,3,0,0,1,0,8,7,0.88,0.25,0.38,0.325,0.705,13.0,1.0,1.0,0,1,2,1,0.294,126,103,7
Months,June,13,48.0,45,1.0,10,0,0,1,1,0,3,11,3.67,0.222,0.271,0.289,0.56,13.0,1.0,0.0,0,0,0,0,0.273,80,54,9
Months,July,10,46.0,38,3.0,6,2,0,0,1,1,7,10,1.43,0.158,0.289,0.211,0.499,8.0,1.0,0.0,1,0,0,1,0.214,60,40,4
Months,August,11,48.0,42,8.0,11,1,0,2,2,0,5,6,1.2,0.262,0.34,0.429,0.769,18.0,1.0,0.0,1,0,0,1,0.265,147,111,8
Months,Sept/Oct,13,61.0,52,9.0,13,3,0,0,1,1,5,16,3.2,0.25,0.35,0.308,0.658,16.0,0.0,3.0,0,0,0,0,0.361,111,82,10
Game Outcome for Pitcher,in Wins,7,32.0,30,1.0,7,0,0,0,1,0,1,7,7.0,0.233,0.258,0.233,0.491,7.0,0.0,0.0,1,0,0,0,0.304,58,86,7
Game Outcome for Pitcher,in Losses,8,38.0,30,16.0,15,2,0,2,2,0,7,5,0.71,0.5,0.579,0.767,1.346,23.0,1.0,0.0,0,1,2,1,0.542,332,173,11
Game Outcome for Pitcher,in No Dec.,34,142.0,120,12.0,18,4,0,2,3,2,17,40,2.35,0.15,0.271,0.233,0.505,28.0,2.0,3.0,1,0,0,0,0.205,62,44,12
Game Outcome for Pitcher,in Saves,22,98.0,88,3.0,18,4,0,1,1,0,9,15,1.67,0.205,0.286,0.284,0.57,25.0,3.0,1.0,0,0,0,2,0.236,83,159,13
Game Outcome for Pitcher,in Sv Situ,34,153.0,135,17.0,35,8,0,3,2,0,16,30,1.88,0.259,0.34,0.385,0.725,52.0,3.0,1.0,0,1,2,3,0.311,133,112,24
Game Outcome for Pitcher,in non-Sv,37,157.0,133,15.0,23,2,0,2,5,2,18,37,2.06,0.173,0.286,0.233,0.519,31.0,3.0,3.0,2,0,0,0,0.223,67,46,19
Pitching Role,as Reliever,71,310.0,268,32.0,58,10,0,5,7,2,34,67,1.97,0.216,0.313,0.31,0.622,83.0,6.0,4.0,2,1,2,3,0.269,100,76,43
Batting Order Positions,Batting 1st,36,36.0,32,2.0,3,0,0,0,1,0,2,10,5.0,0.094,0.194,0.094,0.288,3.0,0.0,2.0,0,0,0,0,0.136,-8,-20,3
Batting Order Positions,Batting 2nd,34,33.0,29,1.0,5,1,0,0,0,1,4,8,2.0,0.172,0.273,0.207,0.48,6.0,2.0,0.0,0,0,0,0,0.238,54,29,4
Batting Order Positions,Batting 3rd,36,36.0,33,5.0,6,1,0,0,2,0,3,6,2.0,0.182,0.25,0.212,0.462,7.0,1.0,0.0,0,0,1,1,0.222,48,19,5
Batting Order Positions,Batting 4th,31,31.0,24,9.0,10,2,0,4,1,0,5,3,0.6,0.417,0.548,1.0,1.548,24.0,0.0,2.0,0,0,0,0,0.353,398,288,4
Batting Order Positions,Batting 5th,34,34.0,30,2.0,11,2,0,0,1,0,4,4,1.0,0.367,0.441,0.433,0.875,13.0,1.0,0.0,0,0,0,1,0.423,181,141,9
Batting Order Positions,Batting 6th,32,32.0,28,4.0,9,1,0,1,0,0,4,7,1.75,0.321,0.406,0.464,0.871,13.0,0.0,0.0,0,0,1,0,0.4,179,143,7
Batting Order Positions,Batting 7th,35,35.0,30,1.0,4,0,0,0,1,0,4,11,2.75,0.133,0.229,0.133,0.362,4.0,1.0,0.0,0,1,0,1,0.2,16,9,4
Batting Order Positions,Batting 8th,34,34.0,29,0.0,0,0,0,0,1,0,4,15,3.75,0.0,0.121,0.0,0.121,0.0,0.0,0.0,1,0,0,0,0.0,-61,-60,0
Batting Order Positions,Batting 9th,39,39.0,33,2.0,10,3,0,0,0,1,4,3,0.75,0.303,0.378,0.394,0.772,13.0,1.0,0.0,1,0,0,0,0.333,148,174,7
Batting Order Positions,"Bat1-2,non-P",41,69.0,61,3.0,8,1,0,0,1,1,6,18,3.0,0.131,0.232,0.148,0.379,9.0,2.0,2.0,0,0,0,0,0.186,22,3,7
Batting Order Positions,"Bat3-6,non-P",53,133.0,115,20.0,36,6,0,5,4,0,16,20,1.25,0.313,0.406,0.496,0.902,57.0,2.0,2.0,0,0,2,2,0.344,190,138,25
Batting Order Positions,"Bat7-9,non-P",57,108.0,92,3.0,14,3,0,0,2,1,12,29,2.42,0.152,0.248,0.185,0.432,17.0,2.0,0.0,2,1,0,1,0.219,39,32,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,55,99.0,88,8.0,18,2,0,2,,,6,19,3.17,0.205,0.271,0.296,0.566,26.0,0.0,2.0,2,0,1,1,0.239,82,61,14
Swung or Took First Pitch of PA,Took 1st Pitch,70,211.0,180,16.0,40,8,0,3,,,28,48,1.71,0.222,0.332,0.317,0.649,57.0,6.0,2.0,0,1,1,2,0.285,108,80,29
Count/Balls-Strikes,First Pitch,30,34.0,32,5.0,8,0,0,1,,,0,0,,0.25,0.25,0.344,0.594,11.0,0.0,0.0,1,0,0,1,0.226,91,30,7
Count/Balls-Strikes,1-0 Count,21,22.0,21,3.0,3,1,0,1,,,0,0,,0.143,0.182,0.333,0.515,7.0,0.0,1.0,0,0,0,0,0.1,66,12,1
Count/Balls-Strikes,2-0 Count,10,11.0,11,0.0,7,1,0,0,,,0,0,,0.636,0.636,0.727,1.364,8.0,0.0,0.0,0,0,0,0,0.636,338,190,6
Count/Balls-Strikes,3-0 Count,11,11.0,0,0.0,0,0,0,0,,,11,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,23,25.0,23,2.0,5,1,0,0,,,0,0,,0.217,0.25,0.261,0.511,6.0,1.0,1.0,1,0,0,1,0.217,64,28,4
Count/Balls-Strikes,1-1 Count,29,34.0,33,4.0,12,3,0,2,,,0,0,,0.364,0.382,0.636,1.019,21.0,2.0,1.0,0,0,0,1,0.323,227,123,7
Count/Balls-Strikes,2-1 Count,14,15.0,14,3.0,5,3,0,0,,,0,0,,0.357,0.333,0.571,0.905,8.0,0.0,0.0,0,1,0,0,0.333,191,94,2
Count/Balls-Strikes,3-1 Count,6,7.0,5,1.0,3,0,0,0,,,2,0,0.0,0.6,0.714,0.6,1.314,3.0,0.0,0.0,0,0,1,0,0.6,322,89,3
Count/Balls-Strikes,0-2 Count,25,31.0,30,0.0,2,0,0,0,,,0,14,,0.067,0.097,0.067,0.164,2.0,2.0,1.0,0,0,0,0,0.125,-47,-9,2
Count/Balls-Strikes,1-2 Count,35,40.0,40,2.0,4,0,0,1,,,0,26,,0.1,0.1,0.175,0.275,7.0,0.0,0.0,0,0,0,0,0.231,-12,33,3
Count/Balls-Strikes,2-2 Count,22,30.0,30,3.0,4,0,0,0,,,0,15,,0.133,0.133,0.133,0.267,4.0,0.0,0.0,0,0,0,0,0.267,-15,21,4
