Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,81,335.0,300,53.0,86,18,1,9,2,1,24,50,2.08,0.287,0.344,0.443,0.788,133.0,7.0,4.0,4,3,4,5,0.316,100,110,58
Platoon Splits,vs RHB,74,179.0,163,29.0,47,11,1,5,1,1,10,32,3.2,0.288,0.335,0.46,0.795,75.0,5.0,2.0,3,1,1,0,0.331,101,114,30
Platoon Splits,vs LHB,69,156.0,137,24.0,39,7,0,4,1,0,14,18,1.29,0.285,0.355,0.423,0.778,58.0,2.0,2.0,1,2,3,5,0.299,99,105,28
Platoon Splits,vs RHB as RHP,74,179.0,163,29.0,47,11,1,5,1,1,10,32,3.2,0.288,0.335,0.46,0.795,75.0,5.0,2.0,3,1,1,0,0.331,101,120,30
Platoon Splits,vs LHB as RHP,69,156.0,137,24.0,39,7,0,4,1,0,14,18,1.29,0.285,0.355,0.423,0.778,58.0,2.0,2.0,1,2,3,5,0.299,99,101,28
Home or Away,Home,45,200.0,183,30.0,51,7,0,6,1,1,11,29,2.64,0.279,0.325,0.415,0.74,76.0,5.0,2.0,3,1,2,4,0.302,88,103,38
Home or Away,Away,36,135.0,117,23.0,35,11,1,3,1,0,13,21,1.62,0.299,0.373,0.487,0.86,57.0,2.0,2.0,1,2,2,1,0.337,118,123,20
First or Second Half,1st Half,50,208.0,181,31.0,52,8,1,5,0,1,18,31,1.72,0.287,0.358,0.425,0.783,77.0,3.0,3.0,4,2,4,3,0.32,100,112,38
First or Second Half,2nd Half,31,127.0,119,22.0,34,10,0,4,2,0,6,19,3.17,0.286,0.323,0.471,0.793,56.0,4.0,1.0,0,1,0,2,0.309,100,107,20
Months,April/March,17,66.0,57,6.0,15,1,1,1,0,1,7,8,1.14,0.263,0.339,0.368,0.707,21.0,1.0,0.0,1,1,3,1,0.286,81,94,12
Months,May,15,69.0,61,12.0,16,4,0,3,0,0,4,14,3.5,0.262,0.324,0.475,0.799,29.0,1.0,2.0,1,1,0,1,0.289,101,115,9
Months,June,12,54.0,47,11.0,13,2,0,1,0,0,6,6,1.0,0.277,0.359,0.383,0.742,18.0,0.0,0.0,1,0,0,1,0.3,91,100,10
Months,July,10,35.0,31,5.0,12,3,0,0,1,0,2,6,3.0,0.387,0.441,0.484,0.925,15.0,3.0,1.0,1,0,1,1,0.48,138,145,9
Months,August,15,61.0,57,10.0,14,5,0,1,0,0,3,5,1.67,0.246,0.295,0.386,0.681,22.0,1.0,1.0,0,0,0,1,0.255,73,79,8
Months,Sept/Oct,12,50.0,47,9.0,16,3,0,3,1,0,2,11,5.5,0.34,0.36,0.596,0.956,28.0,1.0,0.0,0,1,0,0,0.382,139,149,10
Game Outcome for Pitcher,in Wins,2,9.0,9,0.0,1,0,0,0,0,0,0,1,,0.111,0.111,0.111,0.222,1.0,0.0,0.0,0,0,0,1,0.125,-43,-24,1
Game Outcome for Pitcher,in Losses,10,54.0,44,23.0,23,6,0,6,2,0,6,5,0.83,0.523,0.596,1.068,1.664,47.0,1.0,2.0,2,0,1,0,0.515,314,235,11
Game Outcome for Pitcher,in No Dec.,60,242.0,218,28.0,57,10,1,3,0,1,17,36,2.12,0.262,0.317,0.358,0.675,78.0,6.0,2.0,2,3,3,4,0.297,73,83,43
Game Outcome for Pitcher,in Saves,9,30.0,29,2.0,5,2,0,0,0,0,1,8,8.0,0.172,0.2,0.241,0.441,7.0,0.0,0.0,0,0,0,0,0.238,13,93,3
Game Outcome for Pitcher,in Sv Situ,35,131.0,120,23.0,34,9,0,4,1,1,7,24,3.43,0.283,0.326,0.458,0.784,55.0,0.0,1.0,2,1,1,2,0.323,98,123,21
Game Outcome for Pitcher,in non-Sv,46,204.0,180,30.0,52,9,1,5,1,0,17,26,1.53,0.289,0.356,0.433,0.79,78.0,7.0,3.0,2,2,3,3,0.311,101,113,37
Pitching Role,as Reliever,81,335.0,300,53.0,86,18,1,9,2,1,24,50,2.08,0.287,0.344,0.443,0.788,133.0,7.0,4.0,4,3,4,5,0.316,100,115,58
Batting Order Positions,Batting 1st,32,32.0,28,5.0,10,1,0,1,0,0,1,6,6.0,0.357,0.387,0.5,0.887,14.0,0.0,1.0,1,1,0,0,0.409,125,133,8
Batting Order Positions,Batting 2nd,32,32.0,29,4.0,7,1,0,1,0,0,2,7,3.5,0.241,0.29,0.379,0.67,11.0,0.0,0.0,1,0,0,0,0.286,70,80,5
Batting Order Positions,Batting 3rd,31,31.0,25,4.0,9,4,0,1,1,1,6,4,0.67,0.36,0.484,0.64,1.124,16.0,1.0,0.0,0,0,2,1,0.4,185,172,4
Batting Order Positions,Batting 4th,39,39.0,34,7.0,14,2,0,1,0,0,4,4,1.0,0.412,0.487,0.559,1.046,19.0,1.0,1.0,0,0,1,0,0.448,168,152,11
Batting Order Positions,Batting 5th,45,45.0,43,11.0,15,3,1,3,0,0,1,5,5.0,0.349,0.378,0.674,1.052,29.0,0.0,1.0,0,0,0,1,0.343,162,164,8
Batting Order Positions,Batting 6th,44,44.0,38,3.0,6,0,0,0,1,0,4,5,1.25,0.158,0.233,0.158,0.391,6.0,3.0,0.0,1,1,0,0,0.177,3,7,6
Batting Order Positions,Batting 7th,42,42.0,39,10.0,7,2,0,1,0,0,3,7,2.33,0.18,0.238,0.308,0.546,12.0,2.0,0.0,0,0,1,1,0.194,39,49,4
Batting Order Positions,Batting 8th,37,37.0,37,3.0,12,5,0,0,0,0,0,10,,0.324,0.324,0.46,0.784,17.0,0.0,0.0,0,0,0,0,0.444,98,126,7
Batting Order Positions,Batting 9th,33,33.0,27,6.0,6,0,0,1,0,0,3,2,0.67,0.222,0.313,0.333,0.646,9.0,0.0,1.0,1,1,0,2,0.2,66,122,5
Batting Order Positions,"Bat1-2,non-P",39,64.0,57,9.0,17,2,0,2,0,0,3,13,4.33,0.298,0.339,0.439,0.777,25.0,0.0,1.0,2,1,0,0,0.349,98,107,13
Batting Order Positions,"Bat3-6,non-P",67,158.0,139,25.0,44,9,1,5,2,1,15,18,1.2,0.317,0.389,0.504,0.892,70.0,5.0,2.0,1,1,3,2,0.333,127,123,29
Batting Order Positions,"Bat7-9,non-P",51,110.0,102,18.0,24,7,0,2,0,0,6,19,3.17,0.235,0.282,0.363,0.645,37.0,2.0,1.0,0,1,1,3,0.268,64,83,15
Swung or Took First Pitch of PA,Swung at 1st Pitch,56,74.0,66,16.0,24,2,1,3,,,2,6,3.0,0.364,0.394,0.561,0.955,37.0,1.0,2.0,3,1,0,2,0.362,141,158,18
Swung or Took First Pitch of PA,Took 1st Pitch,80,261.0,234,37.0,62,16,0,6,,,22,44,2.0,0.265,0.331,0.41,0.741,96.0,6.0,2.0,1,2,4,3,0.301,89,97,40
Count/Balls-Strikes,First Pitch,29,32.0,29,7.0,13,1,0,2,,,0,0,,0.448,0.452,0.69,1.141,20.0,0.0,1.0,1,1,0,0,0.393,187,159,10
Count/Balls-Strikes,1-0 Count,19,20.0,18,6.0,5,0,0,1,,,0,0,,0.278,0.3,0.444,0.744,8.0,1.0,1.0,0,1,0,0,0.222,87,68,4
Count/Balls-Strikes,2-0 Count,6,6.0,5,3.0,3,1,0,1,,,0,0,,0.6,0.5,1.4,1.9,7.0,0.0,0.0,0,1,0,0,0.4,361,267,1
Count/Balls-Strikes,3-0 Count,8,10.0,0,0.0,0,0,0,0,,,10,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,4,0,,,,0
Count/Balls-Strikes,0-1 Count,29,37.0,33,5.0,9,2,0,0,,,0,0,,0.273,0.314,0.333,0.648,11.0,1.0,2.0,2,0,0,1,0.273,66,67,7
Count/Balls-Strikes,1-1 Count,36,42.0,41,3.0,15,3,1,0,,,0,0,,0.366,0.366,0.488,0.854,20.0,0.0,0.0,1,0,0,1,0.366,117,105,11
Count/Balls-Strikes,2-1 Count,17,18.0,18,3.0,7,1,0,0,,,0,0,,0.389,0.389,0.444,0.833,8.0,1.0,0.0,0,0,0,0,0.389,113,96,6
Count/Balls-Strikes,3-1 Count,13,14.0,9,2.0,2,0,0,0,,,5,0,0.0,0.222,0.5,0.222,0.722,2.0,0.0,0.0,0,0,0,0,0.222,96,8,2
Count/Balls-Strikes,0-2 Count,23,29.0,29,5.0,8,4,0,0,,,0,7,,0.276,0.276,0.414,0.69,12.0,2.0,0.0,0,0,0,1,0.364,74,242,4
Count/Balls-Strikes,1-2 Count,39,54.0,54,7.0,10,2,0,1,,,0,24,,0.185,0.185,0.278,0.463,15.0,2.0,0.0,0,0,0,1,0.31,17,105,7
Count/Balls-Strikes,2-2 Count,33,39.0,39,5.0,10,2,0,2,,,0,12,,0.256,0.256,0.462,0.718,18.0,0.0,0.0,0,0,0,0,0.32,79,187,6
