Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,77,294.0,265,19.0,57,10,0,7,5,1,21,72,3.43,0.215,0.28,0.332,0.612,88.0,4.0,3.0,5,0,3,6,0.269,100,70,40
Platoon Splits,vs RHB,74,177.0,167,11.0,36,8,0,4,2,0,5,42,8.4,0.216,0.243,0.335,0.578,56.0,2.0,1.0,4,0,0,4,0.265,88,60,24
Platoon Splits,vs LHB,60,117.0,98,6.0,21,2,0,3,3,1,16,30,1.88,0.214,0.336,0.327,0.663,32.0,2.0,2.0,1,0,3,2,0.277,119,85,16
Platoon Splits,vs RHB as RHP,74,177.0,167,11.0,36,8,0,4,2,0,5,42,8.4,0.216,0.243,0.335,0.578,56.0,2.0,1.0,4,0,0,4,0.265,88,64,24
Platoon Splits,vs LHB as RHP,60,117.0,98,6.0,21,2,0,3,3,1,16,30,1.88,0.214,0.336,0.327,0.663,32.0,2.0,2.0,1,0,3,2,0.277,119,80,16
Home or Away,Home,43,163.0,145,7.0,26,7,0,0,2,1,14,37,2.64,0.179,0.256,0.228,0.484,33.0,4.0,1.0,3,0,1,1,0.241,60,40,19
Home or Away,Away,34,131.0,120,12.0,31,3,0,7,3,0,7,35,5.0,0.258,0.31,0.458,0.768,55.0,0.0,2.0,2,0,2,5,0.308,149,105,21
First or Second Half,1st Half,42,162.0,143,15.0,34,5,0,5,3,1,13,41,3.15,0.238,0.31,0.378,0.688,54.0,3.0,2.0,4,0,2,1,0.299,125,90,24
First or Second Half,2nd Half,35,132.0,122,4.0,23,5,0,2,2,0,8,31,3.88,0.189,0.244,0.279,0.523,34.0,1.0,1.0,1,0,1,5,0.236,71,45,16
Months,April/March,10,40.0,34,2.0,10,2,0,0,0,1,5,8,1.6,0.294,0.385,0.353,0.738,12.0,2.0,0.0,1,0,1,0,0.385,144,111,8
Months,May,13,54.0,47,9.0,12,0,0,3,2,0,5,12,2.4,0.255,0.327,0.447,0.774,21.0,1.0,0.0,2,0,1,1,0.281,151,111,9
Months,June,14,50.0,46,3.0,9,3,0,2,0,0,3,17,5.67,0.196,0.26,0.391,0.651,18.0,0.0,1.0,0,0,0,0,0.259,111,77,4
Months,July,12,48.0,46,1.0,9,1,0,0,3,0,0,11,,0.196,0.213,0.217,0.43,10.0,0.0,1.0,1,0,0,2,0.257,41,19,8
Months,August,14,51.0,48,1.0,8,3,0,1,0,0,3,14,4.67,0.167,0.216,0.292,0.507,14.0,1.0,0.0,0,0,1,1,0.212,65,40,4
Months,Sept/Oct,14,51.0,44,3.0,9,1,0,1,0,0,5,10,2.0,0.205,0.3,0.296,0.596,13.0,0.0,1.0,1,0,0,2,0.242,96,68,7
Game Outcome for Pitcher,in Wins,2,3.0,3,0.0,0,0,0,0,1,0,0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in No Dec.,66,251.0,226,18.0,51,8,0,6,4,1,18,61,3.39,0.226,0.292,0.341,0.632,77.0,3.0,3.0,4,0,3,4,0.283,107,79,37
Game Outcome for Pitcher,in Saves,9,40.0,36,1.0,6,2,0,1,0,0,3,9,3.0,0.167,0.231,0.306,0.536,11.0,1.0,0.0,1,0,0,2,0.192,75,154,3
Game Outcome for Pitcher,in Sv Situ,40,145.0,132,8.0,25,5,0,4,1,0,9,36,4.0,0.189,0.252,0.318,0.57,42.0,2.0,2.0,2,0,1,5,0.228,86,78,16
Game Outcome for Pitcher,in non-Sv,37,149.0,133,11.0,32,5,0,3,4,1,12,36,3.0,0.241,0.308,0.346,0.654,46.0,2.0,1.0,3,0,2,1,0.309,114,84,24
Pitching Role,as Reliever,77,294.0,265,19.0,57,10,0,7,5,1,21,72,3.43,0.215,0.28,0.332,0.612,88.0,4.0,3.0,5,0,3,6,0.269,100,76,40
Batting Order Positions,Batting 1st,34,34.0,30,0.0,6,1,0,0,1,0,2,7,3.5,0.2,0.25,0.233,0.483,7.0,0.0,0.0,2,0,0,1,0.261,60,37,5
Batting Order Positions,Batting 2nd,33,32.0,29,4.0,5,0,0,2,3,1,2,8,4.0,0.172,0.25,0.379,0.629,11.0,1.0,1.0,0,0,0,0,0.158,103,74,3
Batting Order Positions,Batting 3rd,31,31.0,29,0.0,6,2,0,0,0,0,2,9,4.5,0.207,0.258,0.276,0.534,8.0,0.0,0.0,0,0,1,0,0.3,75,33,4
Batting Order Positions,Batting 4th,33,33.0,32,4.0,9,1,0,1,1,0,1,3,3.0,0.281,0.303,0.406,0.709,13.0,2.0,0.0,0,0,1,1,0.286,131,75,7
Batting Order Positions,Batting 5th,34,34.0,29,2.0,6,1,0,0,0,0,4,9,2.25,0.207,0.303,0.241,0.544,7.0,0.0,0.0,1,0,0,0,0.3,81,49,5
Batting Order Positions,Batting 6th,31,31.0,28,5.0,11,2,0,3,0,0,3,6,2.0,0.393,0.452,0.786,1.237,22.0,0.0,0.0,0,0,0,0,0.421,298,228,6
Batting Order Positions,Batting 7th,36,36.0,32,1.0,6,1,0,0,0,0,2,14,7.0,0.188,0.278,0.219,0.497,7.0,0.0,2.0,0,0,0,2,0.333,65,45,5
Batting Order Positions,Batting 8th,34,34.0,30,0.0,3,2,0,0,0,0,2,11,5.5,0.1,0.156,0.167,0.323,5.0,1.0,0.0,2,0,0,2,0.158,6,-4,1
Batting Order Positions,Batting 9th,29,29.0,26,1.0,5,0,0,1,0,0,3,5,1.67,0.192,0.276,0.308,0.584,8.0,0.0,0.0,0,0,1,0,0.2,91,113,4
Batting Order Positions,"Bat1-2,non-P",44,66.0,59,4.0,11,1,0,2,4,1,4,15,3.75,0.186,0.25,0.305,0.555,18.0,1.0,1.0,2,0,0,1,0.214,81,55,8
Batting Order Positions,"Bat3-6,non-P",57,129.0,118,11.0,32,6,0,4,1,0,10,27,2.7,0.271,0.328,0.424,0.752,50.0,2.0,0.0,1,0,2,1,0.322,145,93,22
Batting Order Positions,"Bat7-9,non-P",46,93.0,83,2.0,14,3,0,1,0,0,6,27,4.5,0.169,0.242,0.241,0.483,20.0,1.0,2.0,2,0,1,4,0.236,59,43,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,42,68.0,62,5.0,15,2,0,1,,,0,13,,0.242,0.254,0.323,0.577,20.0,1.0,1.0,5,0,0,3,0.292,88,63,12
Swung or Took First Pitch of PA,Took 1st Pitch,76,226.0,203,11.0,42,8,0,6,,,21,59,2.81,0.207,0.288,0.335,0.623,68.0,3.0,2.0,0,0,3,3,0.261,104,72,28
Count/Balls-Strikes,First Pitch,24,34.0,30,1.0,11,2,0,0,,,0,0,,0.367,0.367,0.433,0.8,13.0,1.0,0.0,4,0,0,3,0.367,162,87,9
Count/Balls-Strikes,1-0 Count,12,14.0,13,1.0,1,0,0,1,,,0,0,,0.077,0.143,0.308,0.451,4.0,0.0,1.0,0,0,0,0,0.0,44,-4,0
Count/Balls-Strikes,2-0 Count,4,4.0,4,0.0,1,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,1.0,1.0,0.0,0,0,0,0,0.25,65,12,1
Count/Balls-Strikes,3-0 Count,7,7.0,0,0.0,0,0,0,0,,,7,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,20,25.0,24,2.0,12,2,0,1,,,0,0,,0.5,0.5,0.708,1.208,17.0,0.0,0.0,1,0,0,1,0.478,292,199,9
Count/Balls-Strikes,1-1 Count,20,23.0,23,0.0,4,1,0,0,,,0,0,,0.174,0.174,0.217,0.391,5.0,0.0,0.0,0,0,0,1,0.174,28,-5,3
Count/Balls-Strikes,2-1 Count,13,13.0,13,1.0,4,0,0,1,,,0,0,,0.308,0.308,0.539,0.846,7.0,0.0,0.0,0,0,0,0,0.25,172,88,3
Count/Balls-Strikes,3-1 Count,11,11.0,4,3.0,3,0,0,2,,,7,0,0.0,0.75,0.909,2.25,3.159,9.0,0.0,0.0,0,0,0,0,0.5,902,383,1
Count/Balls-Strikes,0-2 Count,31,42.0,41,3.0,7,2,0,1,,,0,18,,0.171,0.191,0.293,0.483,12.0,2.0,1.0,0,0,0,0,0.273,56,155,4
Count/Balls-Strikes,1-2 Count,40,50.0,49,1.0,5,1,0,1,,,0,32,,0.102,0.12,0.184,0.304,9.0,0.0,1.0,0,0,0,0,0.25,-2,47,3
Count/Balls-Strikes,2-2 Count,37,46.0,46,4.0,5,0,0,0,,,0,16,,0.109,0.109,0.109,0.217,5.0,0.0,0.0,0,0,0,0,0.167,-28,-4,5
Count/Balls-Strikes,Full Count,20,25.0,18,0.0,4,2,0,0,,,7,6,0.86,0.222,0.44,0.333,0.773,6.0,0.0,0.0,0,0,0,1,0.333,157,89,2
Count/Balls-Strikes,After 1-0,68,118.0,99,7.0,17,3,0,5,,,18,24,1.33,0.172,0.305,0.354,0.659,35.0,1.0,1.0,0,0,3,2,0.171,116,60,9
Count/Balls-Strikes,After 2-0,30,39.0,25,2.0,6,1,0,1,,,14,4,0.29,0.24,0.513,0.4,0.913,10.0,1.0,0.0,0,0,3,1,0.25,204,85,4
Count/Balls-Strikes,After 3-0,11,13.0,4,2.0,2,1,0,1,,,9,0,0.0,0.5,0.846,1.5,2.346,6.0,0.0,0.0,0,0,3,0,0.333,654,310,0
Count/Balls-Strikes,After 0-1,68,142.0,136,8.0,29,5,0,2,,,3,48,16.0,0.213,0.241,0.294,0.535,40.0,2.0,2.0,1,0,0,1,0.314,75,76,22
Count/Balls-Strikes,After 1-1,61,116.0,108,5.0,19,3,0,3,,,7,35,5.0,0.176,0.233,0.287,0.52,31.0,0.0,1.0,0,0,0,1,0.229,70,54,13
