Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,71,315.0,286,34.0,76,9,0,10,6,1,26,106,4.08,0.266,0.331,0.402,0.733,115.0,6.0,2.0,1,0,4,2,0.388,100,95,57
Platoon Splits,vs RHB,69,198.0,178,31.0,59,6,0,5,2,0,17,62,3.65,0.332,0.396,0.449,0.845,80.0,4.0,2.0,1,0,2,2,0.487,131,128,48
Platoon Splits,vs LHB,62,117.0,108,13.0,17,3,0,5,4,1,9,44,4.89,0.157,0.222,0.324,0.546,35.0,2.0,0.0,0,0,2,0,0.203,48,42,9
Platoon Splits,vs RHB as RHP,69,198.0,178,31.0,59,6,0,5,2,0,17,62,3.65,0.332,0.396,0.449,0.845,80.0,4.0,2.0,1,0,2,2,0.487,131,133,48
Platoon Splits,vs LHB as RHP,62,117.0,108,13.0,17,3,0,5,4,1,9,44,4.89,0.157,0.222,0.324,0.546,35.0,2.0,0.0,0,0,2,0,0.203,48,40,9
Home or Away,Home,35,143.0,133,16.0,36,4,0,6,2,1,8,51,6.38,0.271,0.317,0.436,0.753,58.0,4.0,1.0,1,0,2,1,0.395,104,101,26
Home or Away,Away,36,172.0,153,18.0,40,5,0,4,4,0,18,55,3.06,0.261,0.343,0.373,0.716,57.0,2.0,1.0,0,0,2,1,0.383,96,90,31
First or Second Half,1st Half,41,185.0,168,16.0,41,6,0,4,4,0,15,59,3.93,0.244,0.31,0.351,0.661,59.0,5.0,1.0,1,0,3,2,0.352,81,78,31
First or Second Half,2nd Half,30,130.0,118,18.0,35,3,0,6,2,1,11,47,4.27,0.297,0.362,0.475,0.836,56.0,1.0,1.0,0,0,1,0,0.446,128,121,26
Months,April/March,13,57.0,51,4.0,11,0,0,1,1,0,6,15,2.5,0.216,0.298,0.275,0.573,14.0,2.0,0.0,0,0,2,0,0.286,58,58,10
Months,May,11,55.0,52,5.0,14,3,0,1,2,0,2,21,10.5,0.269,0.309,0.385,0.694,20.0,1.0,1.0,0,0,1,0,0.433,89,85,10
Months,June,14,60.0,54,7.0,12,2,0,2,1,0,5,21,4.2,0.222,0.288,0.37,0.659,20.0,1.0,0.0,1,0,0,2,0.323,79,73,8
Months,July,10,46.0,40,9.0,15,2,0,3,0,0,6,10,1.67,0.375,0.457,0.65,1.107,26.0,1.0,0.0,0,0,1,0,0.444,200,188,10
Months,August,14,59.0,54,3.0,13,1,0,2,0,0,5,21,4.2,0.241,0.305,0.37,0.676,20.0,1.0,0.0,0,0,0,0,0.355,84,75,10
