Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,56,274.0,245,33.0,66,17,2,7,2,0,22,47,2.14,0.269,0.331,0.441,0.772,108.0,6.0,2.0,2,3,5,3,0.304,100,111,40
Platoon Splits,vs RHB,55,176.0,159,26.0,38,8,0,4,2,0,11,37,3.36,0.239,0.287,0.365,0.652,58.0,3.0,1.0,2,3,2,3,0.281,70,81,26
Platoon Splits,vs LHB,48,98.0,86,17.0,28,9,2,3,0,0,11,10,0.91,0.326,0.408,0.581,0.99,50.0,3.0,1.0,0,0,3,0,0.343,155,166,14
Platoon Splits,vs RHB as RHP,55,176.0,159,26.0,38,8,0,4,2,0,11,37,3.36,0.239,0.287,0.365,0.652,58.0,3.0,1.0,2,3,2,3,0.281,70,84,26
Platoon Splits,vs LHB as RHP,48,98.0,86,17.0,28,9,2,3,0,0,11,10,0.91,0.326,0.408,0.581,0.99,50.0,3.0,1.0,0,0,3,0,0.343,155,162,14
Home or Away,Home,27,139.0,124,23.0,38,12,1,5,0,0,11,21,1.91,0.307,0.365,0.54,0.905,67.0,4.0,1.0,2,1,2,1,0.333,133,154,20
Home or Away,Away,29,135.0,121,10.0,28,5,1,2,2,0,11,26,2.36,0.231,0.296,0.339,0.635,41.0,2.0,1.0,0,2,3,2,0.274,66,70,20
First or Second Half,1st Half,41,199.0,177,25.0,43,10,2,4,1,0,15,30,2.0,0.243,0.305,0.39,0.694,69.0,4.0,2.0,2,3,4,2,0.267,81,89,27
First or Second Half,2nd Half,15,75.0,68,8.0,23,7,0,3,1,0,7,17,2.43,0.338,0.4,0.574,0.974,39.0,2.0,0.0,0,0,1,1,0.417,151,168,13
Months,April/March,10,66.0,57,2.0,8,3,0,0,0,0,7,12,1.71,0.14,0.231,0.193,0.424,11.0,3.0,0.0,1,1,2,2,0.174,14,17,5
Months,May,13,54.0,50,6.0,9,1,1,2,0,0,2,9,4.5,0.18,0.222,0.36,0.582,18.0,0.0,1.0,0,1,1,0,0.175,49,57,5
Months,June,15,64.0,56,15.0,21,5,0,2,1,0,5,7,1.4,0.375,0.429,0.571,1.0,32.0,1.0,1.0,1,1,1,0,0.396,159,172,14
Months,July,9,46.0,42,3.0,11,4,1,0,1,0,4,13,3.25,0.262,0.326,0.405,0.731,17.0,1.0,0.0,0,0,0,0,0.379,90,99,6
Months,August,9,44.0,40,7.0,17,4,0,3,0,0,4,6,1.5,0.425,0.477,0.75,1.227,30.0,1.0,0.0,0,0,1,1,0.452,214,235,10
Game Outcome for Pitcher,in Wins,3,20.0,19,0.0,2,0,0,0,0,0,1,2,2.0,0.105,0.15,0.105,0.255,2.0,0.0,0.0,0,0,0,0,0.118,-31,-10,2
Game Outcome for Pitcher,in Losses,5,29.0,23,14.0,14,4,1,1,0,0,3,1,0.33,0.609,0.679,1.0,1.679,23.0,1.0,2.0,1,0,1,0,0.619,332,256,8
Game Outcome for Pitcher,in No Dec.,38,193.0,172,19.0,46,13,1,6,1,0,17,39,2.29,0.267,0.328,0.459,0.787,79.0,4.0,0.0,1,3,4,3,0.308,103,118,26
Game Outcome for Pitcher,in Saves,10,32.0,31,0.0,4,0,0,0,1,0,1,5,5.0,0.129,0.156,0.129,0.285,4.0,1.0,0.0,0,0,0,0,0.154,-24,22,4
Game Outcome for Pitcher,in Sv Situ,16,56.0,51,6.0,14,2,2,0,1,0,2,9,4.5,0.275,0.309,0.392,0.701,20.0,1.0,1.0,1,1,0,1,0.326,82,107,10
Game Outcome for Pitcher,in non-Sv,40,218.0,194,27.0,52,15,0,7,1,0,20,38,1.9,0.268,0.336,0.454,0.79,88.0,5.0,1.0,1,2,5,2,0.298,105,116,30
Pitching Role,as Reliever,56,274.0,245,33.0,66,17,2,7,2,0,22,47,2.14,0.269,0.331,0.441,0.772,108.0,6.0,2.0,2,3,5,3,0.304,100,115,40
Batting Order Positions,Batting 1st,28,28.0,24,8.0,9,2,0,2,0,0,3,5,1.67,0.375,0.429,0.708,1.137,17.0,0.0,0.0,0,1,0,0,0.389,190,216,5
Batting Order Positions,Batting 2nd,26,26.0,24,5.0,9,2,0,1,0,0,1,4,4.0,0.375,0.4,0.583,0.983,14.0,0.0,0.0,1,0,0,0,0.421,153,166,6
Batting Order Positions,Batting 3rd,26,26.0,24,2.0,5,1,0,0,0,0,2,4,2.0,0.208,0.269,0.25,0.519,6.0,2.0,0.0,0,0,1,2,0.25,38,29,4
Batting Order Positions,Batting 4th,32,32.0,28,3.0,5,2,0,1,0,0,3,7,2.33,0.179,0.281,0.357,0.638,10.0,0.0,1.0,0,0,0,0,0.2,66,59,2
