Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,61,230.0,213,14.0,39,7,1,2,8,0,11,45,4.09,0.183,0.239,0.254,0.493,54.0,4.0,5.0,0,1,3,1,0.222,100,37,29
Platoon Splits,vs RHB,55,120.0,110,5.0,17,4,1,0,6,0,5,31,6.2,0.155,0.217,0.209,0.426,23.0,1.0,4.0,0,1,1,1,0.213,73,20,12
Platoon Splits,vs LHB,57,110.0,103,12.0,22,3,0,2,2,0,6,14,2.33,0.214,0.264,0.301,0.565,31.0,3.0,1.0,0,0,2,0,0.23,129,54,17
Platoon Splits,vs RHB as RHP,55,120.0,110,5.0,17,4,1,0,6,0,5,31,6.2,0.155,0.217,0.209,0.426,23.0,1.0,4.0,0,1,1,1,0.213,73,22,12
Platoon Splits,vs LHB as RHP,57,110.0,103,12.0,22,3,0,2,2,0,6,14,2.33,0.214,0.264,0.301,0.565,31.0,3.0,1.0,0,0,2,0,0.23,129,51,17
Home or Away,Home,31,109.0,103,9.0,18,2,0,1,5,0,2,25,12.5,0.175,0.211,0.223,0.434,23.0,0.0,3.0,0,1,0,1,0.218,76,24,15
Home or Away,Away,30,121.0,110,5.0,21,5,1,1,3,0,9,20,2.22,0.191,0.265,0.282,0.546,31.0,4.0,2.0,0,0,3,0,0.225,122,47,14
First or Second Half,1st Half,34,125.0,117,6.0,16,5,0,1,0,0,6,33,5.5,0.137,0.192,0.205,0.397,24.0,3.0,2.0,0,0,1,1,0.181,61,9,10
First or Second Half,2nd Half,27,105.0,96,8.0,23,2,1,1,8,0,5,12,2.4,0.24,0.295,0.313,0.608,30.0,1.0,3.0,0,1,2,0,0.262,147,70,19
Months,April/March,10,31.0,28,0.0,3,1,0,0,0,0,2,9,4.5,0.107,0.194,0.143,0.336,4.0,2.0,1.0,0,0,0,0,0.158,38,-6,2
Months,May,8,29.0,27,5.0,5,3,0,1,0,0,2,4,2.0,0.185,0.241,0.407,0.649,11.0,1.0,0.0,0,0,0,1,0.182,161,74,1
Months,June,11,46.0,43,0.0,4,1,0,0,0,0,2,16,8.0,0.093,0.152,0.116,0.269,5.0,0.0,1.0,0,0,1,0,0.148,9,-25,3
Months,July,10,34.0,34,1.0,7,0,0,0,0,0,0,7,,0.206,0.206,0.206,0.412,7.0,0.0,0.0,0,0,0,0,0.259,67,14,7
Months,August,10,38.0,34,2.0,8,0,1,0,0,0,3,2,0.67,0.235,0.316,0.294,0.61,10.0,1.0,1.0,0,0,1,0,0.25,148,71,7
Months,Sept/Oct,12,52.0,47,6.0,12,2,0,1,8,0,2,7,3.5,0.255,0.308,0.362,0.669,17.0,0.0,2.0,0,1,1,0,0.275,171,89,9
Game Outcome for Pitcher,in Wins,3,19.0,18,0.0,4,1,0,0,0,0,1,6,6.0,0.222,0.263,0.278,0.541,5.0,0.0,0.0,0,0,1,0,0.333,120,88,3
Game Outcome for Pitcher,in Losses,3,17.0,13,5.0,7,2,0,0,0,0,3,0,0.0,0.539,0.647,0.692,1.339,9.0,0.0,1.0,0,0,2,1,0.539,443,191,5
Game Outcome for Pitcher,in No Dec.,22,77.0,72,6.0,12,0,0,2,6,0,3,16,5.33,0.167,0.208,0.25,0.458,18.0,2.0,1.0,0,1,0,0,0.182,86,28,10
Game Outcome for Pitcher,in Saves,33,117.0,110,3.0,16,4,1,0,2,0,4,23,5.75,0.146,0.197,0.2,0.397,22.0,2.0,3.0,0,0,0,0,0.184,61,70,11
Game Outcome for Pitcher,in Sv Situ,38,143.0,131,11.0,26,5,1,2,7,0,7,26,3.71,0.199,0.259,0.298,0.556,39.0,2.0,4.0,0,1,1,0,0.231,126,65,18
Game Outcome for Pitcher,in non-Sv,23,87.0,82,3.0,13,2,0,0,1,0,4,19,4.75,0.159,0.207,0.183,0.39,15.0,2.0,1.0,0,0,2,1,0.206,59,8,11
Pitching Role,as Reliever,61,230.0,213,14.0,39,7,1,2,8,0,11,45,4.09,0.183,0.239,0.254,0.493,54.0,4.0,5.0,0,1,3,1,0.222,100,39,29
Batting Order Positions,Batting 1st,27,27.0,27,0.0,4,0,1,0,0,0,0,5,,0.148,0.148,0.222,0.37,6.0,2.0,0.0,0,0,0,1,0.182,49,3,3
Batting Order Positions,Batting 2nd,27,27.0,27,1.0,6,1,0,0,0,0,0,6,,0.222,0.222,0.259,0.482,7.0,0.0,0.0,0,0,0,0,0.286,95,32,5
Batting Order Positions,Batting 3rd,24,24.0,22,3.0,6,3,0,0,1,0,2,3,1.5,0.273,0.333,0.409,0.742,9.0,0.0,0.0,0,0,0,0,0.316,200,81,3
Batting Order Positions,Batting 4th,29,29.0,25,2.0,4,1,0,0,0,0,2,3,1.5,0.16,0.276,0.2,0.476,5.0,0.0,2.0,0,0,1,0,0.182,94,23,3
Batting Order Positions,Batting 5th,30,30.0,28,1.0,3,0,0,1,1,0,1,6,6.0,0.107,0.167,0.214,0.381,6.0,1.0,1.0,0,0,1,0,0.095,54,-2,2
Batting Order Positions,Batting 6th,29,29.0,28,3.0,4,1,0,0,1,0,1,9,9.0,0.143,0.172,0.179,0.351,5.0,0.0,0.0,0,0,0,0,0.211,42,-4,3
Batting Order Positions,Batting 7th,19,19.0,17,4.0,6,0,0,1,0,0,2,5,2.5,0.353,0.421,0.529,0.951,9.0,0.0,0.0,0,0,1,0,0.455,284,172,5
Batting Order Positions,Batting 8th,22,22.0,21,1.0,2,0,0,0,3,0,0,5,,0.095,0.136,0.095,0.232,2.0,1.0,1.0,0,0,0,0,0.125,-6,-31,2
Batting Order Positions,Batting 9th,23,23.0,18,2.0,4,1,0,0,2,0,3,3,1.0,0.222,0.348,0.278,0.626,5.0,0.0,1.0,0,1,0,0,0.25,155,128,3
Batting Order Positions,"Bat1-2,non-P",33,54.0,54,1.0,10,1,1,0,0,0,0,11,,0.185,0.185,0.241,0.426,13.0,2.0,0.0,0,0,0,1,0.233,72,18,8
Batting Order Positions,"Bat3-6,non-P",47,112.0,103,9.0,17,5,0,1,3,0,6,21,3.5,0.165,0.232,0.243,0.475,25.0,1.0,3.0,0,0,2,0,0.198,93,22,11
Batting Order Positions,"Bat7-9,non-P",32,64.0,56,7.0,12,1,0,1,5,0,5,13,2.6,0.214,0.297,0.286,0.583,16.0,1.0,2.0,0,1,1,0,0.256,137,73,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,40,69.0,68,4.0,15,3,0,0,,,1,8,8.0,0.221,0.232,0.265,0.497,18.0,1.0,0.0,0,0,0,0,0.25,101,41,12
Swung or Took First Pitch of PA,Took 1st Pitch,58,161.0,145,13.0,24,4,1,2,,,10,37,3.7,0.166,0.242,0.248,0.491,36.0,3.0,5.0,0,1,3,1,0.206,99,35,17
Count/Balls-Strikes,First Pitch,22,25.0,24,2.0,4,1,0,0,,,0,0,,0.167,0.2,0.208,0.408,5.0,0.0,1.0,0,0,0,0,0.167,66,-2,3
Count/Balls-Strikes,1-0 Count,11,13.0,13,6.0,5,0,1,2,,,0,0,,0.385,0.385,1.0,1.385,13.0,1.0,0.0,0,0,0,1,0.273,455,194,2
Count/Balls-Strikes,2-0 Count,3,3.0,3,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,3,3.0,0,0.0,0,0,0,0,,,3,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,19,19.0,18,1.0,7,2,0,0,,,0,0,,0.389,0.421,0.5,0.921,9.0,0.0,1.0,0,0,0,0,0.389,273,133,5
Count/Balls-Strikes,1-1 Count,17,21.0,21,1.0,6,0,0,0,,,0,0,,0.286,0.286,0.286,0.571,6.0,0.0,0.0,0,0,0,0,0.286,132,44,6
Count/Balls-Strikes,2-1 Count,11,12.0,11,0.0,2,0,0,0,,,0,0,,0.182,0.25,0.182,0.432,2.0,0.0,1.0,0,0,0,0,0.182,76,10,2
Count/Balls-Strikes,3-1 Count,4,4.0,2,0.0,0,0,0,0,,,2,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,109,-28,0
Count/Balls-Strikes,0-2 Count,13,17.0,17,1.0,1,1,0,0,,,0,6,,0.059,0.059,0.118,0.176,2.0,1.0,0.0,0,0,0,0,0.091,-29,-11,0
Count/Balls-Strikes,1-2 Count,28,41.0,41,0.0,5,1,0,0,,,0,17,,0.122,0.122,0.146,0.268,6.0,1.0,0.0,0,0,0,0,0.208,9,33,4
Count/Balls-Strikes,2-2 Count,29,41.0,40,2.0,3,2,0,0,,,0,18,,0.075,0.098,0.125,0.223,5.0,1.0,1.0,0,0,0,0,0.136,-10,-4,1
Count/Balls-Strikes,Full Count,23,31.0,23,4.0,6,0,0,0,,,6,4,0.67,0.261,0.419,0.261,0.68,6.0,0.0,1.0,0,1,0,0,0.3,178,61,6
Count/Balls-Strikes,After 1-0,51,95.0,85,11.0,15,2,1,2,,,6,17,2.83,0.177,0.253,0.294,0.547,25.0,2.0,3.0,0,1,3,1,0.194,122,33,10
Count/Balls-Strikes,After 2-0,25,30.0,22,3.0,1,0,0,0,,,5,5,1.0,0.046,0.267,0.046,0.312,1.0,0.0,2.0,0,1,3,0,0.056,29,-38,1
Count/Balls-Strikes,After 3-0,10,12.0,5,3.0,1,0,0,0,,,5,1,0.2,0.2,0.583,0.2,0.783,1.0,0.0,1.0,0,1,3,0,0.2,223,16,1
Count/Balls-Strikes,After 0-1,54,110.0,104,4.0,20,4,0,0,,,5,28,5.6,0.192,0.236,0.231,0.467,24.0,2.0,1.0,0,0,0,0,0.263,90,55,16
Count/Balls-Strikes,After 1-1,50,98.0,91,4.0,17,2,0,0,,,6,22,3.67,0.187,0.245,0.209,0.454,19.0,1.0,1.0,0,0,0,0,0.246,85,36,15
Count/Balls-Strikes,After 2-1,28,42.0,35,0.0,5,0,0,0,,,5,8,1.6,0.143,0.286,0.143,0.429,5.0,0.0,2.0,0,0,0,0,0.185,76,8,5
Count/Balls-Strikes,After 3-1,15,17.0,9,3.0,1,0,0,0,,,6,2,0.33,0.111,0.471,0.111,0.582,1.0,0.0,1.0,0,1,0,0,0.125,141,3,1
Count/Balls-Strikes,After 0-2,30,45.0,45,1.0,5,2,0,0,,,0,18,,0.111,0.111,0.156,0.267,7.0,2.0,0.0,0,0,0,0,0.185,8,18,3
Count/Balls-Strikes,After 1-2,45,78.0,77,3.0,10,3,0,0,,,1,30,30.0,0.13,0.141,0.169,0.31,13.0,2.0,0.0,0,0,0,0,0.213,26,24,7
Count/Balls-Strikes,After 2-2,37,59.0,56,3.0,8,2,0,0,,,2,20,10.0,0.143,0.186,0.179,0.365,10.0,1.0,1.0,0,0,0,0,0.222,48,21,6
Count/Balls-Strikes,Zero Balls,37,61.0,59,4.0,12,4,0,0,,,0,6,,0.203,0.23,0.271,0.501,16.0,1.0,2.0,0,0,0,0,0.226,103,45,8
Count/Balls-Strikes,Zero Strikes,35,44.0,40,8.0,9,1,1,2,,,3,0,0.0,0.225,0.296,0.45,0.746,18.0,1.0,1.0,0,0,3,1,0.184,201,55,5
Count/Balls-Strikes,Three Balls,26,38.0,25,4.0,6,0,0,0,,,11,4,0.36,0.24,0.474,0.24,0.714,6.0,0.0,1.0,0,1,3,0,0.273,193,39,6
