Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,62,247.0,224,37.0,63,10,0,5,3,1,21,35,1.67,0.281,0.346,0.393,0.738,88.0,5.0,1.0,1,0,2,0,0.315,100,110,48
Platoon Splits,vs RHB,57,136.0,127,18.0,36,5,0,2,2,0,8,18,2.25,0.284,0.326,0.37,0.696,47.0,4.0,0.0,1,0,1,0,0.318,88,97,29
Platoon Splits,vs LHB,56,111.0,97,15.0,27,5,0,3,1,1,13,17,1.31,0.278,0.369,0.423,0.792,41.0,1.0,1.0,0,0,1,0,0.312,114,128,19
Platoon Splits,vs RHB as RHP,57,136.0,127,18.0,36,5,0,2,2,0,8,18,2.25,0.284,0.326,0.37,0.696,47.0,4.0,0.0,1,0,1,0,0.318,88,100,29
Platoon Splits,vs LHB as RHP,56,111.0,97,15.0,27,5,0,3,1,1,13,17,1.31,0.278,0.369,0.423,0.792,41.0,1.0,1.0,0,0,1,0,0.312,114,125,19
Home or Away,Home,36,149.0,132,26.0,37,5,0,3,1,1,17,22,1.29,0.28,0.362,0.386,0.749,51.0,1.0,0.0,0,0,2,0,0.318,103,117,29
Home or Away,Away,26,98.0,92,11.0,26,5,0,2,2,0,4,13,3.25,0.283,0.32,0.402,0.722,37.0,4.0,1.0,1,0,0,0,0.312,95,101,19
First or Second Half,1st Half,36,142.0,132,24.0,40,5,0,2,2,1,9,22,2.44,0.303,0.352,0.386,0.739,51.0,1.0,1.0,0,0,1,0,0.352,100,111,33
First or Second Half,2nd Half,26,105.0,92,13.0,23,5,0,3,1,0,12,13,1.08,0.25,0.337,0.402,0.739,37.0,4.0,0.0,1,0,1,0,0.263,100,110,15
Months,April/March,8,34.0,32,3.0,9,1,0,0,0,1,1,3,3.0,0.281,0.324,0.313,0.636,10.0,0.0,1.0,0,0,0,0,0.31,73,90,8
Months,May,12,46.0,42,14.0,16,1,0,1,1,0,4,7,1.75,0.381,0.435,0.476,0.911,20.0,1.0,0.0,0,0,0,0,0.441,147,159,14
Months,June,10,38.0,36,5.0,9,1,0,1,0,0,2,5,2.5,0.25,0.29,0.361,0.651,13.0,0.0,0.0,0,0,0,0,0.267,75,80,7
Months,July,10,40.0,35,3.0,9,3,0,0,1,0,5,11,2.2,0.257,0.35,0.343,0.693,12.0,0.0,0.0,0,0,1,0,0.375,88,98,6
Months,August,10,41.0,34,8.0,10,3,0,0,1,0,6,4,0.67,0.294,0.4,0.382,0.782,13.0,3.0,0.0,1,0,1,0,0.333,113,125,7
Months,Sept/Oct,12,48.0,45,4.0,10,1,0,3,0,0,3,5,1.67,0.222,0.271,0.444,0.715,20.0,1.0,0.0,0,0,0,0,0.189,91,101,6
Game Outcome for Pitcher,in Wins,3,12.0,11,1.0,3,0,0,0,0,0,1,3,3.0,0.273,0.333,0.273,0.606,3.0,0.0,0.0,0,0,0,0,0.375,66,131,3
Game Outcome for Pitcher,in Losses,10,52.0,44,20.0,25,4,0,2,2,0,7,4,0.57,0.568,0.628,0.796,1.423,35.0,0.0,0.0,1,0,1,0,0.605,284,198,19
Game Outcome for Pitcher,in No Dec.,31,116.0,108,14.0,25,5,0,3,0,1,8,14,1.75,0.232,0.285,0.361,0.646,39.0,3.0,0.0,0,0,0,0,0.242,74,87,17
Game Outcome for Pitcher,in Saves,18,67.0,61,2.0,10,1,0,0,1,0,5,14,2.8,0.164,0.239,0.18,0.419,11.0,2.0,1.0,0,0,1,0,0.213,15,100,9
Game Outcome for Pitcher,in Sv Situ,22,87.0,79,10.0,19,1,0,1,2,0,6,15,2.5,0.241,0.302,0.291,0.593,23.0,2.0,1.0,1,0,1,0,0.286,61,83,17
Game Outcome for Pitcher,in non-Sv,40,160.0,145,27.0,44,9,0,4,1,1,15,20,1.33,0.303,0.369,0.448,0.817,65.0,3.0,0.0,0,0,1,0,0.331,121,132,31
