Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,62,247.0,220,31.0,48,10,1,7,4,1,22,54,2.45,0.218,0.294,0.368,0.662,81.0,7.0,2.0,2,1,6,2,0.256,100,77,30
Platoon Splits,vs RHB,60,164.0,146,23.0,36,7,0,4,1,1,15,33,2.2,0.247,0.319,0.377,0.696,55.0,5.0,1.0,1,1,3,2,0.291,111,88,25
Platoon Splits,vs LHB,45,83.0,74,10.0,12,3,1,3,3,0,7,21,3.0,0.162,0.244,0.351,0.595,26.0,2.0,1.0,1,0,3,0,0.18,78,56,5
Platoon Splits,vs RHB as RHP,60,164.0,146,23.0,36,7,0,4,1,1,15,33,2.2,0.247,0.319,0.377,0.696,55.0,5.0,1.0,1,1,3,2,0.291,111,92,25
Platoon Splits,vs LHB as RHP,45,83.0,74,10.0,12,3,1,3,3,0,7,21,3.0,0.162,0.244,0.351,0.595,26.0,2.0,1.0,1,0,3,0,0.18,78,53,5
Home or Away,Home,30,133.0,117,15.0,24,6,0,4,1,1,12,32,2.67,0.205,0.288,0.359,0.647,42.0,3.0,2.0,1,1,3,1,0.244,96,77,14
Home or Away,Away,32,114.0,103,16.0,24,4,1,3,3,0,10,22,2.2,0.233,0.301,0.379,0.68,39.0,4.0,0.0,1,0,3,1,0.269,105,77,16
First or Second Half,1st Half,37,154.0,132,26.0,35,9,1,4,3,0,18,26,1.44,0.265,0.355,0.439,0.795,58.0,4.0,1.0,2,1,5,2,0.301,140,113,21
First or Second Half,2nd Half,25,93.0,88,5.0,13,1,0,3,1,1,4,28,7.0,0.148,0.194,0.261,0.455,23.0,3.0,1.0,0,0,1,0,0.175,37,21,9
Months,April/March,12,48.0,40,7.0,9,1,1,1,1,0,6,10,1.67,0.225,0.333,0.375,0.708,15.0,0.0,1.0,0,1,1,0,0.267,115,97,6
Months,May,9,36.0,29,10.0,8,3,0,2,0,0,7,6,0.86,0.276,0.417,0.586,1.003,17.0,1.0,0.0,0,0,1,1,0.286,201,167,3
Months,June,12,57.0,51,9.0,16,4,0,1,2,0,4,6,1.5,0.314,0.364,0.451,0.815,23.0,2.0,0.0,2,0,3,1,0.341,146,113,11
Months,July,11,42.0,39,0.0,5,1,0,0,0,1,2,13,6.5,0.128,0.191,0.154,0.344,6.0,2.0,1.0,0,0,0,0,0.192,7,-6,4
Months,August,9,32.0,29,4.0,6,1,0,2,1,0,3,14,4.67,0.207,0.281,0.448,0.73,13.0,1.0,0.0,0,0,1,0,0.308,117,90,3
Months,Sept/Oct,9,32.0,32,1.0,4,0,0,1,0,0,0,5,,0.125,0.125,0.219,0.344,7.0,1.0,0.0,0,0,0,0,0.115,2,-9,3
Game Outcome for Pitcher,in Wins,2,11.0,9,1.0,1,0,0,1,1,0,2,3,1.5,0.111,0.273,0.444,0.717,4.0,0.0,0.0,0,0,1,0,0.0,114,144,0
Game Outcome for Pitcher,in Losses,2,10.0,9,6.0,6,2,0,1,0,0,1,1,1.0,0.667,0.7,1.222,1.922,11.0,0.0,0.0,0,0,0,0,0.714,470,279,3
Game Outcome for Pitcher,in No Dec.,49,197.0,174,23.0,38,7,1,5,3,1,18,41,2.28,0.218,0.297,0.356,0.654,62.0,6.0,2.0,2,1,5,2,0.256,98,78,25
Game Outcome for Pitcher,in Saves,9,29.0,28,1.0,3,1,0,0,0,0,1,9,9.0,0.107,0.138,0.143,0.281,4.0,1.0,0.0,0,0,0,0,0.158,-14,29,2
Game Outcome for Pitcher,in Sv Situ,32,108.0,97,10.0,19,5,0,2,0,0,7,26,3.71,0.196,0.255,0.309,0.564,30.0,3.0,1.0,2,1,1,0,0.243,71,70,12
Game Outcome for Pitcher,in non-Sv,30,139.0,123,21.0,29,5,1,5,4,1,15,28,1.87,0.236,0.324,0.415,0.738,51.0,4.0,1.0,0,0,5,2,0.267,123,99,18
Pitching Role,as Reliever,62,247.0,220,31.0,48,10,1,7,4,1,22,54,2.45,0.218,0.294,0.368,0.662,81.0,7.0,2.0,2,1,6,2,0.256,100,83,30
Batting Order Positions,Batting 1st,25,25.0,21,3.0,3,2,0,0,0,1,3,7,2.33,0.143,0.25,0.238,0.488,5.0,0.0,0.0,1,0,0,0,0.214,50,32,1
Batting Order Positions,Batting 2nd,30,30.0,26,1.0,7,0,0,0,1,0,4,7,1.75,0.269,0.367,0.269,0.636,7.0,0.0,0.0,0,0,0,0,0.368,98,68,7
Batting Order Positions,Batting 3rd,32,32.0,27,5.0,5,1,0,2,0,0,4,5,1.25,0.185,0.313,0.444,0.757,12.0,1.0,1.0,0,0,3,1,0.15,127,83,2
Batting Order Positions,Batting 4th,32,32.0,27,5.0,4,1,0,1,1,0,4,8,2.0,0.148,0.281,0.296,0.578,8.0,2.0,1.0,0,0,1,0,0.167,76,46,2
Batting Order Positions,Batting 5th,33,33.0,30,8.0,10,2,0,2,0,0,2,6,3.0,0.333,0.364,0.6,0.964,18.0,0.0,0.0,0,1,1,0,0.348,187,144,6
Batting Order Positions,Batting 6th,28,28.0,27,6.0,3,1,0,1,0,0,1,9,9.0,0.111,0.143,0.259,0.402,7.0,1.0,0.0,0,0,0,0,0.118,19,5,1
Batting Order Positions,Batting 7th,23,23.0,20,3.0,7,1,0,0,2,0,3,1,0.33,0.35,0.435,0.4,0.835,8.0,1.0,0.0,0,0,1,1,0.368,157,133,6
Batting Order Positions,Batting 8th,23,23.0,23,2.0,4,1,0,1,0,0,0,7,,0.174,0.174,0.348,0.522,8.0,1.0,0.0,0,0,0,0,0.2,54,44,2
Batting Order Positions,Batting 9th,21,21.0,19,0.0,5,1,1,0,0,0,1,4,4.0,0.263,0.3,0.421,0.721,8.0,1.0,0.0,1,0,0,0,0.333,116,146,3
Batting Order Positions,"Bat1-2,non-P",35,55.0,47,4.0,10,2,0,0,1,1,7,14,2.0,0.213,0.315,0.255,0.57,12.0,0.0,0.0,1,0,0,0,0.303,76,52,8
Batting Order Positions,"Bat3-6,non-P",52,125.0,111,24.0,22,5,0,6,1,0,11,28,2.55,0.198,0.28,0.405,0.685,45.0,4.0,2.0,0,1,5,1,0.205,105,73,11
Batting Order Positions,"Bat7-9,non-P",35,67.0,62,5.0,16,3,1,1,2,0,4,12,3.0,0.258,0.303,0.387,0.69,24.0,3.0,0.0,1,0,1,1,0.306,108,94,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,39,67.0,66,6.0,14,2,0,2,,,1,17,17.0,0.212,0.224,0.333,0.557,22.0,3.0,0.0,0,0,0,1,0.255,67,50,10
Swung or Took First Pitch of PA,Took 1st Pitch,62,180.0,154,27.0,34,8,1,5,,,21,37,1.76,0.221,0.32,0.383,0.703,59.0,4.0,2.0,2,1,6,1,0.257,113,87,20
Count/Balls-Strikes,First Pitch,13,14.0,14,0.0,1,1,0,0,,,0,0,,0.071,0.071,0.143,0.214,2.0,2.0,0.0,0,0,0,0,0.071,-37,-56,0
Count/Balls-Strikes,1-0 Count,15,15.0,14,4.0,3,1,0,1,,,0,0,,0.214,0.2,0.5,0.7,7.0,0.0,0.0,0,1,0,0,0.143,104,40,1
Count/Balls-Strikes,2-0 Count,3,3.0,3,0.0,1,0,0,0,,,0,0,,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0,0,0,0,0.333,104,43,1
Count/Balls-Strikes,3-0 Count,6,6.0,1,0.0,0,0,0,0,,,5,0,0.0,0.0,0.833,0.0,0.833,0.0,0.0,0.0,0,0,5,0,0.0,183,-12,0
Count/Balls-Strikes,0-1 Count,26,33.0,32,6.0,15,3,0,1,,,0,0,,0.469,0.469,0.656,1.125,21.0,3.0,0.0,1,0,0,0,0.452,238,163,11
Count/Balls-Strikes,1-1 Count,19,23.0,22,7.0,5,1,0,1,,,0,0,,0.227,0.227,0.409,0.636,9.0,1.0,0.0,1,0,0,0,0.191,88,38,3
Count/Balls-Strikes,2-1 Count,8,8.0,8,3.0,3,0,0,2,,,0,0,,0.375,0.375,1.125,1.5,9.0,0.0,0.0,0,0,0,0,0.167,333,191,1
Count/Balls-Strikes,3-1 Count,11,12.0,5,0.0,3,0,0,0,,,7,0,0.0,0.6,0.833,0.6,1.433,3.0,0.0,0.0,0,0,1,0,0.6,346,109,3
Count/Balls-Strikes,0-2 Count,25,37.0,37,4.0,6,2,0,0,,,0,16,,0.162,0.162,0.216,0.378,8.0,0.0,0.0,0,0,0,2,0.286,14,96,4
