Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,69,274.0,252,31.0,66,8,1,10,2,0,13,34,2.62,0.262,0.305,0.421,0.726,106.0,6.0,4.0,2,3,1,1,0.265,100,101,47
Platoon Splits,vs RHB,63,145.0,131,16.0,34,2,1,4,0,0,7,20,2.86,0.26,0.308,0.382,0.689,50.0,5.0,3.0,2,2,0,1,0.275,92,94,27
Platoon Splits,vs LHB,58,129.0,121,22.0,32,6,0,6,2,0,6,14,2.33,0.265,0.302,0.463,0.765,56.0,1.0,1.0,0,1,1,0,0.255,109,108,20
Platoon Splits,vs RHB as RHP,63,145.0,131,16.0,34,2,1,4,0,0,7,20,2.86,0.26,0.308,0.382,0.689,50.0,5.0,3.0,2,2,0,1,0.275,92,99,27
Platoon Splits,vs LHB as RHP,58,129.0,121,22.0,32,6,0,6,2,0,6,14,2.33,0.265,0.302,0.463,0.765,56.0,1.0,1.0,0,1,1,0,0.255,109,104,20
Home or Away,Home,37,151.0,139,19.0,35,5,1,5,2,0,9,22,2.44,0.252,0.307,0.41,0.717,57.0,3.0,2.0,1,0,0,1,0.268,98,102,24
Home or Away,Away,32,123.0,113,12.0,31,3,0,5,0,0,4,12,3.0,0.274,0.303,0.434,0.737,49.0,3.0,2.0,1,3,1,0,0.263,102,99,23
First or Second Half,1st Half,37,159.0,148,19.0,38,3,1,6,1,0,5,21,4.2,0.257,0.287,0.412,0.699,61.0,2.0,2.0,2,2,0,0,0.26,92,95,28
First or Second Half,2nd Half,32,115.0,104,12.0,28,5,0,4,1,0,8,13,1.63,0.269,0.33,0.433,0.763,45.0,4.0,2.0,0,1,1,1,0.273,111,108,19
Months,April/March,12,49.0,46,5.0,10,1,0,2,0,0,0,6,,0.217,0.229,0.37,0.599,17.0,0.0,1.0,1,1,0,0,0.205,63,66,7
Months,May,9,46.0,42,8.0,10,1,1,2,1,0,1,8,8.0,0.238,0.267,0.452,0.719,19.0,0.0,1.0,1,1,0,0,0.242,95,99,6
Months,June,10,40.0,37,1.0,8,0,0,1,0,0,3,7,2.33,0.216,0.275,0.297,0.572,11.0,1.0,0.0,0,0,0,0,0.241,61,63,7
Months,July,14,52.0,50,8.0,18,1,0,3,1,0,2,2,1.0,0.36,0.385,0.56,0.945,28.0,3.0,0.0,0,0,0,0,0.333,159,161,14
Months,August,15,52.0,47,6.0,11,2,0,1,0,0,3,5,1.67,0.234,0.289,0.34,0.629,16.0,2.0,1.0,0,1,0,1,0.238,75,71,8
Months,Sept/Oct,9,35.0,30,3.0,9,3,0,1,0,0,4,6,1.5,0.3,0.4,0.5,0.9,15.0,0.0,1.0,0,0,1,0,0.348,150,148,5
Game Outcome for Pitcher,in Wins,4,16.0,15,1.0,2,0,0,1,0,0,0,0,,0.133,0.125,0.333,0.458,5.0,0.0,0.0,0,1,0,0,0.067,20,56,1
Game Outcome for Pitcher,in Losses,7,36.0,32,17.0,18,3,1,5,1,0,3,2,0.67,0.563,0.6,1.188,1.788,38.0,0.0,0.0,1,0,0,0,0.52,379,275,9
Game Outcome for Pitcher,in No Dec.,43,164.0,154,12.0,39,4,0,3,1,0,6,25,4.17,0.253,0.288,0.338,0.626,52.0,4.0,2.0,1,1,1,1,0.284,75,77,32
Game Outcome for Pitcher,in Saves,15,58.0,51,1.0,7,1,0,1,0,0,4,7,1.75,0.137,0.224,0.216,0.44,11.0,2.0,2.0,0,1,0,0,0.136,25,95,5
Game Outcome for Pitcher,in Sv Situ,31,131.0,117,20.0,35,4,1,7,2,0,7,11,1.57,0.299,0.349,0.53,0.879,62.0,2.0,3.0,2,2,1,0,0.277,140,163,23
Game Outcome for Pitcher,in non-Sv,38,143.0,135,11.0,31,4,0,3,0,0,6,23,3.83,0.23,0.266,0.326,0.592,44.0,4.0,1.0,0,1,0,1,0.255,65,67,24
Pitching Role,as Reliever,69,274.0,252,31.0,66,8,1,10,2,0,13,34,2.62,0.262,0.305,0.421,0.726,106.0,6.0,4.0,2,3,1,1,0.265,100,107,47
Batting Order Positions,Batting 1st,28,28.0,24,2.0,6,1,0,0,0,0,2,2,1.0,0.25,0.308,0.292,0.599,7.0,0.0,0.0,2,0,0,0,0.273,70,67,5
Batting Order Positions,Batting 2nd,25,25.0,22,9.0,6,2,0,2,0,0,2,2,1.0,0.273,0.32,0.636,0.956,14.0,0.0,0.0,0,1,0,0,0.211,156,163,2
Batting Order Positions,Batting 3rd,21,21.0,21,3.0,7,1,0,0,1,0,0,4,,0.333,0.333,0.381,0.714,8.0,0.0,0.0,0,0,0,0,0.412,100,79,6
Batting Order Positions,Batting 4th,26,26.0,23,4.0,3,0,0,1,1,0,2,3,1.5,0.13,0.192,0.261,0.453,6.0,1.0,0.0,0,1,0,0,0.1,25,14,2
Batting Order Positions,Batting 5th,30,30.0,29,6.0,8,1,0,2,0,0,0,3,,0.276,0.3,0.517,0.817,15.0,1.0,1.0,0,0,0,0,0.25,121,113,5
Batting Order Positions,Batting 6th,35,35.0,32,3.0,7,0,0,2,0,0,3,8,2.67,0.219,0.286,0.406,0.692,13.0,1.0,0.0,0,0,1,0,0.227,90,89,5
Batting Order Positions,Batting 7th,41,41.0,39,3.0,11,2,0,0,0,0,1,2,2.0,0.282,0.317,0.333,0.65,13.0,0.0,1.0,0,0,0,0,0.297,83,88,9
Batting Order Positions,Batting 8th,36,36.0,31,5.0,11,0,0,1,0,0,2,7,3.5,0.355,0.417,0.452,0.868,14.0,0.0,2.0,0,1,0,1,0.417,144,158,10
Batting Order Positions,Batting 9th,32,32.0,31,3.0,7,1,1,2,0,0,1,3,3.0,0.226,0.25,0.516,0.766,16.0,3.0,0.0,0,0,0,0,0.192,105,172,3
