Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,61,239.0,215,18.0,41,9,1,3,3,0,20,81,4.05,0.191,0.264,0.284,0.547,61.0,5.0,2.0,0,2,5,0,0.286,100,52,28
Platoon Splits,vs RHB,57,135.0,118,9.0,24,5,1,1,1,0,14,37,2.64,0.203,0.296,0.288,0.584,34.0,2.0,2.0,0,1,5,0,0.284,114,64,17
Platoon Splits,vs LHB,54,104.0,97,10.0,17,4,0,2,2,0,6,44,7.33,0.175,0.221,0.278,0.5,27.0,3.0,0.0,0,1,0,0,0.289,82,35,11
Platoon Splits,vs RHB as LHP,57,135.0,118,9.0,24,5,1,1,1,0,14,37,2.64,0.203,0.296,0.288,0.584,34.0,2.0,2.0,0,1,5,0,0.284,114,59,17
Platoon Splits,vs LHB as LHP,54,104.0,97,10.0,17,4,0,2,2,0,6,44,7.33,0.175,0.221,0.278,0.5,27.0,3.0,0.0,0,1,0,0,0.289,82,46,11
Home or Away,Home,30,117.0,103,13.0,22,7,0,2,2,0,13,37,2.85,0.214,0.308,0.34,0.648,35.0,4.0,1.0,0,0,3,0,0.313,136,84,13
Home or Away,Away,31,122.0,112,5.0,19,2,1,1,1,0,7,44,6.29,0.17,0.221,0.232,0.453,26.0,1.0,1.0,0,2,2,0,0.261,65,22,15
First or Second Half,1st Half,37,144.0,130,11.0,26,6,1,1,3,0,12,49,4.08,0.2,0.271,0.285,0.555,37.0,4.0,1.0,0,1,4,0,0.309,103,53,18
First or Second Half,2nd Half,24,95.0,85,7.0,15,3,0,2,0,0,8,32,4.0,0.177,0.253,0.282,0.535,24.0,1.0,1.0,0,1,1,0,0.25,95,49,10
Months,April/March,11,45.0,42,4.0,8,3,1,0,0,0,2,18,9.0,0.191,0.244,0.31,0.554,13.0,1.0,1.0,0,0,2,0,0.333,102,50,4
Months,May,10,37.0,34,0.0,3,0,0,0,1,0,3,14,4.67,0.088,0.162,0.088,0.25,3.0,1.0,0.0,0,0,0,0,0.15,-8,-29,3
Months,June,11,46.0,39,7.0,12,2,0,1,2,0,6,13,2.17,0.308,0.391,0.436,0.827,17.0,2.0,0.0,0,1,2,0,0.423,202,127,9
Months,July,10,33.0,30,0.0,8,1,0,0,0,0,2,9,4.5,0.267,0.333,0.3,0.633,9.0,0.0,1.0,0,0,0,0,0.381,132,76,7
Months,August,8,29.0,27,3.0,6,1,0,2,0,0,2,10,5.0,0.222,0.276,0.482,0.757,13.0,1.0,0.0,0,0,0,0,0.267,174,105,3
Months,Sept/Oct,11,49.0,43,4.0,4,2,0,0,0,0,5,17,3.4,0.093,0.184,0.14,0.323,6.0,0.0,0.0,0,1,1,0,0.148,19,-6,2
Game Outcome for Pitcher,in Wins,5,28.0,27,0.0,3,0,0,0,0,0,0,14,,0.111,0.143,0.111,0.254,3.0,0.0,1.0,0,0,0,0,0.231,-7,-11,3
Game Outcome for Pitcher,in Losses,4,22.0,18,10.0,10,2,1,2,0,0,3,3,1.0,0.556,0.636,1.111,1.748,20.0,0.0,1.0,0,0,2,0,0.615,532,265,5
