Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,80,315.0,268,28.0,56,16,0,7,7,2,33,90,2.73,0.209,0.311,0.347,0.658,93.0,6.0,7.0,6,1,8,6,0.285,100,76,33
Platoon Splits,vs RHB,77,208.0,170,18.0,37,9,0,5,4,2,26,58,2.23,0.218,0.34,0.359,0.699,61.0,5.0,6.0,5,1,8,3,0.296,113,91,23
Platoon Splits,vs LHB,62,107.0,98,7.0,19,7,0,2,3,0,7,32,4.57,0.194,0.255,0.327,0.581,32.0,1.0,1.0,1,0,0,3,0.266,76,52,10
Platoon Splits,vs RHB as LHP,77,208.0,170,18.0,37,9,0,5,4,2,26,58,2.23,0.218,0.34,0.359,0.699,61.0,5.0,6.0,5,1,8,3,0.296,113,83,23
Platoon Splits,vs LHB as LHP,62,107.0,98,7.0,19,7,0,2,3,0,7,32,4.57,0.194,0.255,0.327,0.581,32.0,1.0,1.0,1,0,0,3,0.266,76,65,10
Home or Away,Home,38,141.0,121,11.0,26,6,0,5,3,1,16,35,2.19,0.215,0.321,0.388,0.71,47.0,2.0,3.0,1,0,3,1,0.259,115,94,15
Home or Away,Away,42,174.0,147,17.0,30,10,0,2,4,1,17,55,3.24,0.204,0.302,0.313,0.615,46.0,4.0,4.0,5,1,5,5,0.308,87,62,18
First or Second Half,1st Half,45,182.0,153,21.0,35,12,0,4,4,2,18,55,3.06,0.229,0.328,0.386,0.713,59.0,2.0,5.0,5,1,4,3,0.326,117,91,19
First or Second Half,2nd Half,35,133.0,115,7.0,21,4,0,3,3,0,15,35,2.33,0.183,0.288,0.296,0.584,34.0,4.0,2.0,1,0,4,3,0.234,78,57,14
Months,April/March,9,35.0,32,4.0,7,2,0,1,1,0,3,16,5.33,0.219,0.286,0.375,0.661,12.0,0.0,0.0,0,0,0,0,0.4,100,73,4
Months,May,15,60.0,49,5.0,11,5,0,1,1,2,7,15,2.14,0.225,0.328,0.388,0.715,19.0,0.0,1.0,2,1,2,2,0.294,117,91,5
Months,June,15,64.0,56,7.0,13,3,0,2,1,0,4,19,4.75,0.232,0.318,0.393,0.71,22.0,2.0,3.0,1,0,2,1,0.314,115,94,8
Months,July,13,46.0,36,6.0,9,2,0,0,1,0,6,13,2.17,0.25,0.386,0.306,0.692,11.0,0.0,2.0,2,0,1,0,0.391,112,90,7
Months,August,14,56.0,47,1.0,5,2,0,0,2,0,7,14,2.0,0.106,0.236,0.149,0.385,7.0,1.0,1.0,1,0,2,1,0.152,19,5,3
Months,Sept/Oct,14,54.0,48,5.0,11,2,0,3,1,0,6,13,2.17,0.229,0.315,0.458,0.773,22.0,3.0,0.0,0,0,1,2,0.25,133,107,6
Game Outcome for Pitcher,in Wins,5,20.0,17,3.0,3,0,0,1,2,0,3,7,2.33,0.177,0.3,0.353,0.653,6.0,0.0,0.0,0,0,1,2,0.222,98,120,2
Game Outcome for Pitcher,in Losses,4,12.0,7,7.0,4,1,0,1,0,0,3,1,0.33,0.571,0.727,1.143,1.87,8.0,0.0,1.0,1,0,0,0,0.6,463,279,2
Game Outcome for Pitcher,in No Dec.,61,247.0,212,17.0,44,13,0,5,4,2,25,67,2.68,0.208,0.305,0.34,0.644,72.0,4.0,5.0,4,1,7,4,0.277,96,76,26
Game Outcome for Pitcher,in Saves,10,36.0,32,1.0,5,2,0,0,1,0,2,15,7.5,0.156,0.229,0.219,0.447,7.0,2.0,1.0,1,0,0,0,0.294,37,92,3
Game Outcome for Pitcher,in Sv Situ,34,133.0,114,14.0,25,7,0,4,3,1,13,41,3.15,0.219,0.308,0.386,0.694,44.0,3.0,2.0,3,1,2,3,0.3,110,100,14
Game Outcome for Pitcher,in non-Sv,46,182.0,154,14.0,31,9,0,3,4,1,20,49,2.45,0.201,0.313,0.318,0.631,49.0,3.0,5.0,3,0,6,3,0.275,92,71,19
Pitching Role,as Reliever,80,315.0,268,28.0,56,16,0,7,7,2,33,90,2.73,0.209,0.311,0.347,0.658,93.0,6.0,7.0,6,1,8,6,0.285,100,81,33
Batting Order Positions,Batting 1st,42,42.0,38,4.0,9,2,0,1,1,0,2,10,5.0,0.237,0.275,0.368,0.643,14.0,0.0,0.0,2,0,0,1,0.296,95,69,6
Batting Order Positions,Batting 2nd,49,48.0,44,5.0,7,3,0,1,1,0,3,11,3.67,0.159,0.213,0.296,0.508,13.0,0.0,0.0,1,0,0,2,0.188,54,34,3
Batting Order Positions,Batting 3rd,42,42.0,34,2.0,8,2,0,1,1,1,8,12,1.5,0.235,0.381,0.382,0.763,13.0,1.0,0.0,0,0,4,0,0.333,133,86,5
Batting Order Positions,Batting 4th,42,42.0,38,4.0,7,3,0,0,0,0,4,15,3.75,0.184,0.262,0.263,0.525,10.0,3.0,0.0,0,0,1,1,0.304,60,31,4
Batting Order Positions,Batting 5th,36,36.0,33,2.0,8,2,0,2,0,0,3,13,4.33,0.242,0.306,0.485,0.79,16.0,1.0,0.0,0,0,2,0,0.333,138,100,4
Batting Order Positions,Batting 6th,31,31.0,23,2.0,6,1,0,1,1,0,6,6,1.0,0.261,0.452,0.435,0.886,10.0,0.0,2.0,0,0,0,0,0.313,171,135,4
Batting Order Positions,Batting 7th,27,26.0,20,3.0,2,0,0,1,1,0,1,8,8.0,0.1,0.24,0.25,0.49,5.0,0.0,3.0,1,1,0,0,0.083,49,36,1
Batting Order Positions,Batting 8th,21,20.0,13,1.0,4,0,0,0,1,1,5,4,0.8,0.308,0.526,0.308,0.834,4.0,1.0,1.0,1,0,1,1,0.444,158,144,4
Batting Order Positions,Batting 9th,28,28.0,25,2.0,5,3,0,0,1,0,1,11,11.0,0.2,0.259,0.32,0.579,8.0,0.0,1.0,1,0,0,1,0.357,76,103,2
Batting Order Positions,"Bat1-2,non-P",52,90.0,82,9.0,16,5,0,2,2,0,5,21,4.2,0.195,0.241,0.329,0.571,27.0,0.0,0.0,3,0,0,3,0.237,72,50,9
Batting Order Positions,"Bat3-6,non-P",66,151.0,128,10.0,29,8,0,4,2,1,21,46,2.19,0.227,0.344,0.383,0.727,49.0,5.0,2.0,0,0,7,1,0.321,121,83,17
Batting Order Positions,"Bat7-9,non-P",45,74.0,58,6.0,11,3,0,1,3,1,7,23,3.29,0.19,0.324,0.293,0.617,17.0,1.0,5.0,3,1,1,2,0.286,89,78,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,51,78.0,68,8.0,13,4,0,0,,,3,23,7.67,0.191,0.222,0.25,0.472,17.0,1.0,0.0,6,1,0,3,0.283,43,31,9
Swung or Took First Pitch of PA,Took 1st Pitch,80,237.0,200,17.0,43,12,0,7,,,30,67,2.23,0.215,0.338,0.38,0.718,76.0,5.0,7.0,0,0,8,3,0.286,118,91,24
Count/Balls-Strikes,First Pitch,17,17.0,10,2.0,3,2,0,0,,,0,0,,0.3,0.462,0.5,0.962,5.0,1.0,3.0,4,0,0,1,0.3,193,124,1
Count/Balls-Strikes,1-0 Count,15,15.0,15,3.0,6,0,0,2,,,0,0,,0.4,0.4,0.8,1.2,12.0,1.0,0.0,0,0,0,0,0.308,259,159,4
Count/Balls-Strikes,2-0 Count,8,8.0,8,0.0,3,1,0,0,,,0,0,,0.375,0.375,0.5,0.875,4.0,0.0,0.0,0,0,0,1,0.375,165,77,2
Count/Balls-Strikes,3-0 Count,13,14.0,0,0.0,0,0,0,0,,,14,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,8,0,,,,0
Count/Balls-Strikes,0-1 Count,21,24.0,21,2.0,6,3,0,0,,,0,0,,0.286,0.318,0.429,0.747,9.0,0.0,1.0,2,0,0,2,0.286,126,87,3
Count/Balls-Strikes,1-1 Count,23,28.0,27,3.0,6,1,0,1,,,0,0,,0.222,0.25,0.37,0.62,10.0,2.0,1.0,0,0,0,1,0.192,87,45,4
Count/Balls-Strikes,2-1 Count,13,13.0,13,2.0,4,0,0,1,,,0,0,,0.308,0.308,0.539,0.846,7.0,2.0,0.0,0,0,0,0,0.25,154,87,3
Count/Balls-Strikes,3-1 Count,13,13.0,6,0.0,1,0,0,0,,,7,0,0.0,0.167,0.615,0.167,0.782,1.0,0.0,0.0,0,0,0,0,0.167,146,14,1
Count/Balls-Strikes,0-2 Count,28,40.0,39,5.0,8,2,0,0,,,0,22,,0.205,0.225,0.256,0.481,10.0,0.0,1.0,0,0,0,0,0.471,46,153,6
Count/Balls-Strikes,1-2 Count,37,47.0,46,3.0,10,4,0,0,,,0,23,,0.217,0.213,0.304,0.517,14.0,0.0,0.0,0,1,0,0,0.417,56,140,6
Count/Balls-Strikes,2-2 Count,40,51.0,50,4.0,5,2,0,2,,,0,28,,0.1,0.118,0.26,0.378,13.0,0.0,1.0,0,0,0,1,0.15,13,52,1
Count/Balls-Strikes,Full Count,37,45.0,33,1.0,4,1,0,1,,,12,17,1.42,0.121,0.356,0.242,0.598,8.0,0.0,0.0,0,0,0,0,0.2,84,39,2
Count/Balls-Strikes,After 1-0,68,137.0,112,10.0,23,3,0,7,,,24,33,1.38,0.205,0.35,0.42,0.77,47.0,4.0,1.0,0,0,8,1,0.222,134,81,13
Count/Balls-Strikes,After 2-0,38,46.0,26,0.0,5,1,0,0,,,20,5,0.25,0.192,0.544,0.231,0.774,6.0,1.0,0.0,0,0,8,1,0.238,141,50,4
Count/Balls-Strikes,After 3-0,20,22.0,3,0.0,0,0,0,0,,,19,2,0.11,0.0,0.864,0.0,0.864,0.0,0.0,0.0,0,0,8,0,0.0,178,14,0
Count/Balls-Strikes,After 0-1,76,161.0,146,13.0,30,11,0,0,,,9,57,6.33,0.206,0.264,0.281,0.545,41.0,1.0,3.0,2,1,0,4,0.333,66,75,19
Count/Balls-Strikes,After 1-1,73,140.0,126,12.0,23,6,0,5,,,12,47,3.92,0.183,0.257,0.349,0.606,44.0,3.0,1.0,0,1,0,2,0.24,83,71,12
Count/Balls-Strikes,After 2-1,46,58.0,51,6.0,9,2,0,3,,,7,16,2.29,0.177,0.276,0.392,0.668,20.0,2.0,0.0,0,0,0,0,0.188,102,60,4
Count/Balls-Strikes,After 3-1,17,19.0,9,0.0,1,0,0,0,,,10,3,0.3,0.111,0.579,0.111,0.69,1.0,0.0,0.0,0,0,0,0,0.167,118,19,1
Count/Balls-Strikes,After 0-2,49,73.0,70,6.0,13,4,0,0,,,1,38,38.0,0.186,0.219,0.243,0.462,17.0,0.0,2.0,0,0,0,0,0.406,40,102,9
Count/Balls-Strikes,After 1-2,62,103.0,94,4.0,15,5,0,1,,,7,50,7.14,0.16,0.223,0.245,0.468,23.0,0.0,1.0,0,1,0,1,0.318,42,81,9
Count/Balls-Strikes,After 2-2,60,90.0,80,5.0,9,3,0,3,,,9,42,4.67,0.113,0.211,0.263,0.474,21.0,0.0,1.0,0,0,0,1,0.171,44,53,3
Count/Balls-Strikes,Zero Balls,51,81.0,70,9.0,17,7,0,0,,,0,22,,0.243,0.293,0.343,0.636,24.0,1.0,5.0,6,0,0,3,0.354,93,81,10
Count/Balls-Strikes,Zero Strikes,41,54.0,33,5.0,12,3,0,2,,,14,0,0.0,0.364,0.58,0.636,1.216,21.0,2.0,3.0,4,0,8,2,0.323,270,152,7
Count/Balls-Strikes,Three Balls,51,72.0,39,1.0,5,1,0,1,,,33,17,0.52,0.128,0.528,0.231,0.759,9.0,0.0,0.0,0,0,8,0,0.191,136,43,3
Count/Balls-Strikes,Two Strikes,74,183.0,168,13.0,27,9,0,3,,,12,90,7.5,0.161,0.224,0.268,0.492,45.0,0.0,2.0,0,1,0,1,0.316,49,81,15
Count/Balls-Strikes,Batter Ahead,67,108.0,75,6.0,18,2,0,4,,,33,17,0.52,0.24,0.472,0.427,0.899,32.0,3.0,0.0,0,0,8,1,0.259,175,80,12
Count/Balls-Strikes,Even Count,61,96.0,87,9.0,14,5,0,3,,,0,28,,0.161,0.207,0.322,0.528,28.0,3.0,5.0,4,0,0,3,0.196,59,47,6
Count/Balls-Strikes,Pitcher Ahead,61,111.0,106,10.0,24,9,0,0,,,0,45,,0.226,0.239,0.311,0.55,33.0,0.0,2.0,2,1,0,2,0.387,67,111,15
Leading Off Inning,First Batter,80,80.0,75,2.0,21,6,0,1,,,4,23,5.75,0.28,0.325,0.4,0.725,30.0,0.0,1.0,0,0,0,0,0.392,120,100,14
Leading Off Inning,Leadoff Inn.,75,77.0,72,1.0,19,6,0,1,,,4,21,5.25,0.264,0.312,0.389,0.701,28.0,0.0,1.0,0,0,0,0,0.36,112,86,12
Opposition Defensive Position,vs. Non-P,80,315.0,268,25.0,56,16,0,7,7,2,33,90,2.73,0.209,0.311,0.347,0.658,93.0,6.0,7.0,6,1,8,6,0.285,100,74,33
Number of Outs in Inning,0 outs,76,106.0,92,3.0,21,6,0,1,1,1,6,29,4.83,0.228,0.29,0.326,0.616,30.0,2.0,2.0,6,0,1,2,0.323,87,63,14
Number of Outs in Inning,1 out,73,108.0,91,10.0,18,2,0,3,4,0,14,28,2.0,0.198,0.315,0.319,0.634,29.0,4.0,2.0,0,1,1,3,0.246,93,69,13
Number of Outs in Inning,2 outs,71,101.0,85,12.0,17,8,0,3,2,1,13,33,2.54,0.2,0.327,0.4,0.727,34.0,0.0,3.0,0,0,6,1,0.286,120,99,6
Bases Occupied,RISP,40,91.0,70,17.0,12,3,0,0,2,0,14,26,1.86,0.171,0.322,0.214,0.536,15.0,1.0,2.0,4,1,8,2,0.267,65,44,9
Bases Occupied,---,75,176.0,162,6.0,41,13,0,6,0,0,12,51,4.25,0.253,0.313,0.444,0.757,72.0,0.0,2.0,0,0,0,2,0.333,129,103,22
Bases Occupied,Men On,53,139.0,106,19.0,15,3,0,1,7,2,21,39,1.86,0.142,0.308,0.198,0.506,21.0,6.0,5.0,6,1,8,4,0.209,56,37,11
Bases Occupied,1--,39,48.0,36,2.0,3,0,0,1,5,2,7,13,1.86,0.083,0.283,0.167,0.449,6.0,5.0,3.0,2,0,0,2,0.091,39,23,2
Bases Occupied,-2-,24,27.0,19,1.0,2,0,0,0,2,0,6,8,1.33,0.105,0.32,0.105,0.425,2.0,0.0,0.0,2,0,4,0,0.182,33,15,2
Bases Occupied,--3,10,13.0,11,2.0,2,0,0,0,0,0,1,4,4.0,0.182,0.308,0.182,0.49,2.0,0.0,1.0,0,0,1,0,0.286,52,24,2
Bases Occupied,12-,18,21.0,17,4.0,3,2,0,0,0,0,1,6,6.0,0.177,0.263,0.294,0.557,5.0,1.0,1.0,2,0,0,2,0.273,69,56,1
Bases Occupied,1-3,6,6.0,3,2.0,1,0,0,0,0,0,2,0,0.0,0.333,0.5,0.333,0.833,1.0,0.0,0.0,0,1,0,0,0.25,157,113,1
Bases Occupied,-23,7,9.0,5,2.0,1,1,0,0,0,0,4,1,0.25,0.2,0.556,0.4,0.956,2.0,0.0,0.0,0,0,3,0,0.25,194,136,0
Bases Occupied,123,8,15.0,15,6.0,3,0,0,0,0,0,0,7,,0.2,0.2,0.2,0.4,3.0,0.0,0.0,0,0,0,0,0.375,22,8,3
