Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,58,260.0,230,35.0,49,4,3,13,9,3,26,86,3.31,0.213,0.296,0.426,0.722,98.0,3.0,2.0,0,2,1,2,0.271,100,90,29
Platoon Splits,vs RHB,56,155.0,140,13.0,25,1,1,6,7,2,13,57,4.38,0.179,0.258,0.329,0.587,46.0,1.0,2.0,0,0,0,1,0.247,64,57,17
Platoon Splits,vs LHB,50,105.0,90,19.0,24,3,2,7,2,1,13,29,2.23,0.267,0.352,0.578,0.93,52.0,2.0,0.0,0,2,1,1,0.304,155,140,12
Platoon Splits,vs RHB as RHP,56,155.0,140,13.0,25,1,1,6,7,2,13,57,4.38,0.179,0.258,0.329,0.587,46.0,1.0,2.0,0,0,0,1,0.247,64,61,17
Platoon Splits,vs LHB as RHP,50,105.0,90,19.0,24,3,2,7,2,1,13,29,2.23,0.267,0.352,0.578,0.93,52.0,2.0,0.0,0,2,1,1,0.304,155,137,12
Home or Away,Home,31,145.0,128,26.0,30,3,3,8,1,1,15,40,2.67,0.234,0.317,0.492,0.809,63.0,3.0,1.0,0,1,0,1,0.272,123,114,16
Home or Away,Away,27,115.0,102,9.0,19,1,0,5,8,2,11,46,4.18,0.186,0.27,0.343,0.613,35.0,0.0,1.0,0,1,1,1,0.269,72,61,13
First or Second Half,1st Half,30,143.0,124,20.0,28,4,1,8,4,3,16,49,3.06,0.226,0.315,0.468,0.782,58.0,1.0,1.0,0,2,0,2,0.29,116,106,15
First or Second Half,2nd Half,28,117.0,106,15.0,21,0,2,5,5,0,10,37,3.7,0.198,0.274,0.377,0.651,40.0,2.0,1.0,0,0,1,0,0.25,81,71,14
Months,April/March,9,51.0,46,6.0,11,3,0,2,0,1,4,15,3.75,0.239,0.314,0.435,0.749,20.0,0.0,1.0,0,0,0,1,0.31,108,101,6
