Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,70,269.0,245,21.0,43,8,0,5,0,0,18,71,3.94,0.176,0.246,0.269,0.516,66.0,5.0,5.0,1,0,1,1,0.225,100,42,30
Platoon Splits,vs RHB,66,138.0,127,10.0,28,3,0,4,0,0,8,31,3.88,0.221,0.277,0.339,0.616,43.0,3.0,2.0,1,0,0,1,0.261,139,71,21
Platoon Splits,vs LHB,63,131.0,118,10.0,15,5,0,1,0,0,10,40,4.0,0.127,0.214,0.195,0.409,23.0,2.0,3.0,0,0,1,0,0.182,60,12,9
Platoon Splits,vs RHB as RHP,66,138.0,127,10.0,28,3,0,4,0,0,8,31,3.88,0.221,0.277,0.339,0.616,43.0,3.0,2.0,1,0,0,1,0.261,139,74,21
Platoon Splits,vs LHB as RHP,63,131.0,118,10.0,15,5,0,1,0,0,10,40,4.0,0.127,0.214,0.195,0.409,23.0,2.0,3.0,0,0,1,0,0.182,60,11,9
Home or Away,Home,42,168.0,151,17.0,34,7,0,3,0,0,11,38,3.45,0.225,0.299,0.331,0.631,50.0,4.0,5.0,1,0,1,0,0.282,145,79,24
Home or Away,Away,28,101.0,94,4.0,9,1,0,2,0,0,7,33,4.71,0.096,0.158,0.17,0.329,16.0,1.0,0.0,0,0,0,1,0.119,27,-12,6
First or Second Half,1st Half,39,154.0,137,16.0,27,7,0,3,0,0,13,42,3.23,0.197,0.286,0.314,0.6,43.0,2.0,4.0,0,0,1,0,0.261,133,64,17
First or Second Half,2nd Half,31,115.0,108,5.0,16,1,0,2,0,0,5,29,5.8,0.148,0.193,0.213,0.406,23.0,3.0,1.0,1,0,0,1,0.182,58,13,13
Months,April/March,11,49.0,46,7.0,12,5,0,2,0,0,3,13,4.33,0.261,0.306,0.5,0.806,23.0,0.0,0.0,0,0,1,0,0.323,210,116,5
Months,May,13,45.0,42,1.0,5,1,0,0,0,0,2,12,6.0,0.119,0.178,0.143,0.321,6.0,1.0,1.0,0,0,0,0,0.167,26,-11,4
Months,June,11,41.0,33,2.0,4,0,0,0,0,0,6,12,2.0,0.121,0.293,0.121,0.414,4.0,1.0,2.0,0,0,0,0,0.191,64,19,4
Months,July,12,48.0,44,8.0,11,1,0,2,0,0,2,11,5.5,0.25,0.298,0.409,0.707,18.0,0.0,1.0,1,0,0,1,0.29,173,91,8
Months,August,11,45.0,41,3.0,8,0,0,1,0,0,3,11,3.67,0.195,0.267,0.268,0.535,11.0,2.0,1.0,0,0,0,0,0.241,108,50,7
Months,Sept/Oct,12,41.0,39,0.0,3,1,0,0,0,0,2,12,6.0,0.077,0.122,0.103,0.225,4.0,1.0,0.0,0,0,0,0,0.111,-12,-35,2
Game Outcome for Pitcher,in Wins,4,20.0,19,2.0,6,1,0,0,0,0,0,4,,0.316,0.316,0.368,0.684,7.0,1.0,0.0,1,0,0,0,0.4,165,137,5
Game Outcome for Pitcher,in Losses,3,16.0,14,6.0,8,2,0,2,0,0,1,3,3.0,0.571,0.625,1.143,1.768,16.0,0.0,1.0,0,0,0,0,0.667,579,268,4
Game Outcome for Pitcher,in No Dec.,23,94.0,82,8.0,15,1,0,1,0,0,11,21,1.91,0.183,0.287,0.232,0.519,19.0,1.0,1.0,0,0,1,0,0.233,103,47,13
Game Outcome for Pitcher,in Saves,40,139.0,130,5.0,14,4,0,2,0,0,6,43,7.17,0.108,0.166,0.185,0.35,24.0,3.0,3.0,0,0,0,1,0.141,36,50,8
Game Outcome for Pitcher,in Sv Situ,46,166.0,153,12.0,24,5,0,2,0,0,9,49,5.44,0.157,0.223,0.229,0.452,35.0,3.0,4.0,0,0,0,1,0.216,76,35,17
Game Outcome for Pitcher,in non-Sv,24,103.0,92,9.0,19,3,0,3,0,0,9,22,2.44,0.207,0.284,0.337,0.621,31.0,2.0,1.0,1,0,1,0,0.239,141,70,13
