Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,68,279.0,238,32.0,52,11,6,9,9,1,32,75,2.34,0.219,0.314,0.429,0.743,102.0,0.0,3.0,2,4,5,3,0.272,100,103,26
Platoon Splits,vs RHB,66,164.0,145,20.0,24,3,0,7,2,1,14,56,4.0,0.166,0.245,0.331,0.576,48.0,0.0,2.0,1,2,1,1,0.202,55,59,14
Platoon Splits,vs LHB,56,115.0,93,19.0,28,8,6,2,7,0,18,19,1.06,0.301,0.412,0.581,0.993,54.0,0.0,1.0,1,2,4,2,0.351,167,167,12
Platoon Splits,vs RHB as RHP,66,164.0,145,20.0,24,3,0,7,2,1,14,56,4.0,0.166,0.245,0.331,0.576,48.0,0.0,2.0,1,2,1,1,0.202,55,62,14
Platoon Splits,vs LHB as RHP,56,115.0,93,19.0,28,8,6,2,7,0,18,19,1.06,0.301,0.412,0.581,0.993,54.0,0.0,1.0,1,2,4,2,0.351,167,163,12
Home or Away,Home,35,143.0,118,15.0,22,5,2,3,5,1,18,40,2.22,0.186,0.298,0.339,0.637,40.0,0.0,2.0,2,3,3,1,0.244,74,81,12
Home or Away,Away,33,136.0,120,17.0,30,6,4,6,4,0,14,35,2.5,0.25,0.331,0.517,0.848,62.0,0.0,1.0,0,1,2,2,0.3,126,123,14
First or Second Half,1st Half,36,154.0,129,21.0,31,7,3,5,4,1,17,42,2.47,0.24,0.336,0.457,0.793,59.0,0.0,3.0,2,3,2,1,0.306,114,115,16
First or Second Half,2nd Half,32,125.0,109,11.0,21,4,3,4,5,0,15,33,2.2,0.193,0.288,0.395,0.683,43.0,0.0,0.0,0,1,3,2,0.233,84,88,10
Months,April/March,9,49.0,42,13.0,15,5,1,3,0,0,5,12,2.4,0.357,0.408,0.738,1.146,31.0,0.0,0.0,0,2,1,1,0.414,202,205,6
Months,May,11,43.0,35,1.0,4,0,1,0,1,0,6,16,2.67,0.114,0.262,0.171,0.433,6.0,0.0,1.0,1,0,1,0,0.211,23,22,3
Months,June,11,45.0,36,4.0,7,1,0,1,2,1,6,11,1.83,0.194,0.333,0.306,0.639,11.0,0.0,2.0,0,1,0,0,0.24,77,77,5
Months,July,10,36.0,35,3.0,9,3,1,1,1,0,0,9,,0.257,0.257,0.486,0.743,17.0,0.0,0.0,1,0,0,0,0.32,95,97,4
Months,August,13,50.0,40,5.0,5,1,1,1,3,0,9,13,1.44,0.125,0.28,0.275,0.555,11.0,0.0,0.0,0,1,2,0,0.148,53,56,2
Months,Sept/Oct,14,56.0,50,6.0,12,1,2,3,2,0,6,14,2.33,0.24,0.321,0.52,0.841,26.0,0.0,0.0,0,0,1,2,0.273,123,134,6
Game Outcome for Pitcher,in Wins,3,17.0,13,1.0,3,0,2,0,0,0,2,6,3.0,0.231,0.313,0.539,0.851,7.0,0.0,0.0,1,1,1,0,0.375,125,192,1
Game Outcome for Pitcher,in Losses,4,18.0,13,6.0,6,3,1,1,3,0,4,3,0.75,0.462,0.556,1.077,1.633,14.0,0.0,0.0,0,1,1,0,0.5,328,239,1
Game Outcome for Pitcher,in No Dec.,39,164.0,139,21.0,32,5,2,6,5,1,22,37,1.68,0.23,0.335,0.425,0.76,59.0,0.0,1.0,0,2,3,3,0.265,106,111,19
Game Outcome for Pitcher,in Saves,22,80.0,73,4.0,11,3,1,2,1,0,4,29,7.25,0.151,0.215,0.301,0.517,22.0,0.0,2.0,1,0,0,0,0.214,39,120,5
Game Outcome for Pitcher,in Sv Situ,32,116.0,104,11.0,21,5,3,5,2,0,8,39,4.88,0.202,0.27,0.452,0.722,47.0,0.0,2.0,1,1,1,0,0.262,91,111,8
Game Outcome for Pitcher,in non-Sv,36,163.0,134,21.0,31,6,3,4,7,1,24,36,1.5,0.231,0.346,0.41,0.756,55.0,0.0,1.0,1,3,4,3,0.278,106,107,18
Pitching Role,as Reliever,68,279.0,238,32.0,52,11,6,9,9,1,32,75,2.34,0.219,0.314,0.429,0.743,102.0,0.0,3.0,2,4,5,3,0.272,100,107,26
Batting Order Positions,Batting 1st,30,30.0,28,2.0,7,1,2,0,2,0,2,8,4.0,0.25,0.3,0.429,0.729,12.0,0.0,0.0,0,0,0,0,0.35,96,104,4
Batting Order Positions,Batting 2nd,30,31.0,25,5.0,4,0,1,1,2,0,4,9,2.25,0.16,0.258,0.36,0.618,9.0,0.0,0.0,0,2,1,1,0.177,66,68,2
Batting Order Positions,Batting 3rd,24,24.0,15,4.0,4,1,0,0,1,0,8,6,0.75,0.267,0.5,0.333,0.833,5.0,0.0,0.0,0,1,2,0,0.4,137,111,3
Batting Order Positions,Batting 4th,30,30.0,26,6.0,5,0,0,3,1,1,3,8,2.67,0.192,0.3,0.539,0.839,14.0,0.0,1.0,0,0,1,0,0.133,121,103,2
Batting Order Positions,Batting 5th,40,41.0,37,2.0,3,0,0,0,1,0,3,12,4.0,0.081,0.171,0.081,0.252,3.0,0.0,1.0,0,0,0,1,0.12,-27,-31,3
Batting Order Positions,Batting 6th,31,31.0,30,2.0,6,3,0,0,0,0,1,9,9.0,0.2,0.226,0.3,0.526,9.0,0.0,0.0,0,0,0,1,0.286,42,41,3
Batting Order Positions,Batting 7th,30,30.0,25,7.0,8,2,1,1,1,0,4,8,2.0,0.32,0.4,0.6,1.0,15.0,0.0,0.0,0,1,0,0,0.412,167,184,4
