Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,65,242.0,219,21.0,32,4,0,10,4,2,17,72,4.24,0.146,0.22,0.301,0.521,66.0,0.0,4.0,1,1,4,0,0.159,100,47,18
Platoon Splits,vs RHB,65,135.0,123,13.0,16,2,0,5,3,1,7,35,5.0,0.13,0.2,0.268,0.468,33.0,0.0,4.0,0,1,2,0,0.131,80,31,9
Platoon Splits,vs LHB,58,107.0,96,13.0,16,2,0,5,1,1,10,37,3.7,0.167,0.245,0.344,0.589,33.0,0.0,0.0,1,0,2,0,0.204,126,68,9
Platoon Splits,vs RHB as RHP,65,135.0,123,13.0,16,2,0,5,3,1,7,35,5.0,0.13,0.2,0.268,0.468,33.0,0.0,4.0,0,1,2,0,0.131,80,33,9
Platoon Splits,vs LHB as RHP,58,107.0,96,13.0,16,2,0,5,1,1,10,37,3.7,0.167,0.245,0.344,0.589,33.0,0.0,0.0,1,0,2,0,0.204,126,65,9
Home or Away,Home,35,135.0,119,20.0,22,2,0,9,4,2,10,45,4.5,0.185,0.269,0.429,0.697,51.0,0.0,4.0,1,1,3,0,0.197,165,98,11
Home or Away,Away,30,107.0,100,1.0,10,2,0,1,0,0,7,27,3.86,0.1,0.159,0.15,0.309,15.0,0.0,0.0,0,0,1,0,0.125,22,-13,7
First or Second Half,1st Half,37,138.0,128,10.0,18,2,0,6,3,0,8,43,5.38,0.141,0.203,0.297,0.5,38.0,0.0,2.0,0,0,3,0,0.152,91,40,10
First or Second Half,2nd Half,28,104.0,91,11.0,14,2,0,4,1,2,9,29,3.22,0.154,0.243,0.308,0.55,28.0,0.0,2.0,1,1,1,0,0.17,113,56,8
Months,April/March,5,15.0,15,0.0,0,0,0,0,0,0,0,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Months,May,12,48.0,44,5.0,9,1,0,2,2,0,4,11,2.75,0.205,0.271,0.364,0.634,16.0,0.0,0.0,0,0,2,0,0.226,144,78,6
Months,June,12,46.0,41,4.0,5,1,0,3,0,0,3,15,5.0,0.122,0.217,0.366,0.583,15.0,0.0,2.0,0,0,1,0,0.087,120,58,1
Months,July,12,44.0,40,3.0,5,1,0,1,1,1,4,14,3.5,0.125,0.205,0.225,0.43,9.0,0.0,0.0,0,0,0,0,0.16,68,22,3
Months,August,13,46.0,39,4.0,3,1,0,1,0,1,4,16,4.0,0.077,0.178,0.18,0.357,7.0,0.0,1.0,1,1,0,0,0.087,40,2,1
Months,Sept/Oct,11,43.0,40,5.0,10,0,0,3,1,0,2,11,5.5,0.25,0.302,0.475,0.777,19.0,0.0,1.0,0,0,1,0,0.269,195,119,7
Game Outcome for Pitcher,in Wins,5,22.0,20,3.0,4,0,0,2,1,0,1,5,5.0,0.2,0.273,0.5,0.773,10.0,0.0,1.0,0,0,1,0,0.154,190,185,2
Game Outcome for Pitcher,in Losses,4,20.0,15,8.0,5,0,0,3,0,0,1,4,4.0,0.333,0.421,0.933,1.354,14.0,0.0,2.0,1,1,0,0,0.222,401,169,2
Game Outcome for Pitcher,in No Dec.,36,130.0,118,6.0,16,3,0,2,3,2,11,38,3.45,0.136,0.215,0.212,0.427,25.0,0.0,1.0,0,0,2,0,0.18,68,25,11
Game Outcome for Pitcher,in Saves,20,70.0,66,4.0,7,1,0,3,0,0,4,25,6.25,0.106,0.157,0.258,0.415,17.0,0.0,0.0,0,0,1,0,0.105,57,100,3
Game Outcome for Pitcher,in Sv Situ,33,122.0,112,13.0,18,3,0,7,1,1,9,33,3.67,0.161,0.23,0.375,0.605,42.0,0.0,1.0,0,0,1,0,0.153,129,82,8
Game Outcome for Pitcher,in non-Sv,32,120.0,107,8.0,14,1,0,3,3,1,8,39,4.88,0.131,0.21,0.224,0.434,24.0,0.0,3.0,1,1,3,0,0.167,70,24,10
Pitching Role,as Reliever,65,242.0,219,21.0,32,4,0,10,4,2,17,72,4.24,0.146,0.22,0.301,0.521,66.0,0.0,4.0,1,1,4,0,0.159,100,50,18
Batting Order Positions,Batting 1st,28,28.0,25,4.0,4,1,0,1,1,0,0,7,,0.16,0.214,0.32,0.534,8.0,0.0,2.0,0,1,0,0,0.167,104,48,2
Batting Order Positions,Batting 2nd,32,32.0,28,5.0,4,1,0,3,1,0,4,8,2.0,0.143,0.25,0.5,0.75,14.0,0.0,0.0,0,0,2,0,0.059,180,92,0
Batting Order Positions,Batting 3rd,35,35.0,31,1.0,5,0,0,1,0,0,3,8,2.67,0.161,0.257,0.258,0.515,8.0,0.0,1.0,0,0,1,0,0.182,103,37,4
Batting Order Positions,Batting 4th,34,34.0,30,3.0,4,1,0,0,0,0,3,9,3.0,0.133,0.235,0.167,0.402,5.0,0.0,1.0,0,0,0,0,0.191,62,13,3
Batting Order Positions,Batting 5th,29,28.0,26,5.0,3,0,0,1,0,2,2,8,4.0,0.115,0.179,0.231,0.409,6.0,0.0,0.0,0,0,0,0,0.118,58,17,2
Batting Order Positions,Batting 6th,24,24.0,23,1.0,3,0,0,1,0,0,1,7,7.0,0.13,0.167,0.261,0.428,6.0,0.0,0.0,0,0,0,0,0.133,63,22,2
Batting Order Positions,Batting 7th,22,22.0,21,1.0,2,1,0,0,1,0,1,11,11.0,0.095,0.136,0.143,0.279,3.0,0.0,0.0,0,0,1,0,0.2,9,-16,1
Batting Order Positions,Batting 8th,20,20.0,20,3.0,4,0,0,2,0,0,0,8,,0.2,0.2,0.5,0.7,10.0,0.0,0.0,0,0,0,0,0.2,157,106,2
Batting Order Positions,Batting 9th,19,19.0,15,3.0,3,0,0,1,1,0,3,6,2.0,0.2,0.333,0.4,0.733,6.0,0.0,0.0,1,0,0,0,0.25,184,131,2
Batting Order Positions,"Bat1-2,non-P",36,60.0,53,9.0,8,2,0,4,2,0,4,15,3.75,0.151,0.233,0.415,0.648,22.0,0.0,2.0,0,1,2,0,0.114,144,72,2
Batting Order Positions,"Bat3-6,non-P",56,121.0,110,10.0,15,1,0,3,0,2,9,32,3.56,0.136,0.215,0.227,0.442,25.0,0.0,2.0,0,0,1,0,0.16,73,24,11
Batting Order Positions,"Bat7-9,non-P",33,61.0,56,7.0,9,1,0,3,2,0,4,25,6.25,0.161,0.217,0.339,0.556,19.0,0.0,0.0,1,0,1,0,0.214,111,68,5
Swung or Took First Pitch of PA,Swung at 1st Pitch,41,67.0,61,8.0,11,0,0,4,,,2,18,9.0,0.18,0.242,0.377,0.619,23.0,0.0,3.0,1,0,0,0,0.18,135,76,7
Swung or Took First Pitch of PA,Took 1st Pitch,63,175.0,158,18.0,21,4,0,6,,,15,54,3.6,0.133,0.211,0.272,0.484,43.0,0.0,1.0,0,1,4,0,0.152,86,36,11
Count/Balls-Strikes,First Pitch,13,15.0,15,0.0,2,0,0,0,,,0,0,,0.133,0.133,0.133,0.267,2.0,0.0,0.0,0,0,0,0,0.133,5,-38,2
Count/Balls-Strikes,1-0 Count,8,10.0,10,0.0,1,0,0,0,,,0,0,,0.1,0.1,0.1,0.2,1.0,0.0,0.0,0,0,0,0,0.1,-21,-53,1
Count/Balls-Strikes,2-0 Count,7,7.0,7,2.0,1,0,0,0,,,0,0,,0.143,0.143,0.143,0.286,1.0,0.0,0.0,0,0,0,0,0.143,13,-35,1
Count/Balls-Strikes,3-0 Count,7,7.0,0,0.0,0,0,0,0,,,7,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,4,0,,,,0
Count/Balls-Strikes,0-1 Count,21,22.0,22,4.0,4,0,0,1,,,0,0,,0.182,0.182,0.318,0.5,7.0,0.0,0.0,0,0,0,0,0.143,88,19,3
Count/Balls-Strikes,1-1 Count,19,24.0,24,8.0,8,1,0,3,,,0,0,,0.333,0.333,0.75,1.083,18.0,0.0,0.0,0,0,0,0,0.238,301,148,4
Count/Balls-Strikes,2-1 Count,6,6.0,6,1.0,2,1,0,1,,,0,0,,0.333,0.333,1.0,1.333,6.0,0.0,0.0,0,0,0,0,0.2,384,174,0
Count/Balls-Strikes,3-1 Count,4,4.0,2,1.0,1,0,0,0,,,2,0,0.0,0.5,0.75,0.5,1.25,1.0,0.0,0.0,0,0,0,0,0.5,407,88,1
Count/Balls-Strikes,0-2 Count,20,22.0,21,4.0,5,1,0,1,,,0,8,,0.238,0.238,0.429,0.667,9.0,0.0,0.0,1,0,0,0,0.333,151,242,3
Count/Balls-Strikes,1-2 Count,38,54.0,50,4.0,5,1,0,2,,,0,24,,0.1,0.148,0.24,0.388,12.0,0.0,3.0,0,1,0,0,0.12,47,86,2
Count/Balls-Strikes,2-2 Count,28,33.0,33,1.0,2,0,0,1,,,0,18,,0.061,0.061,0.152,0.212,5.0,0.0,0.0,0,0,0,0,0.071,-22,-10,1
Count/Balls-Strikes,Full Count,29,38.0,29,1.0,1,0,0,1,,,8,22,2.75,0.035,0.263,0.138,0.401,4.0,0.0,1.0,0,0,0,0,0.0,65,1,0
Count/Balls-Strikes,After 1-0,57,96.0,81,11.0,11,2,0,3,,,13,30,2.31,0.136,0.26,0.272,0.532,22.0,0.0,1.0,0,1,4,0,0.163,109,34,6
Count/Balls-Strikes,After 2-0,29,35.0,23,2.0,2,1,0,0,,,11,9,0.82,0.087,0.4,0.13,0.53,3.0,0.0,1.0,0,0,4,0,0.143,125,10,1
Count/Balls-Strikes,After 3-0,12,14.0,4,0.0,0,0,0,0,,,10,3,0.3,0.0,0.714,0.0,0.714,0.0,0.0,0.0,0,0,4,0,0.0,225,-3,0
Count/Balls-Strikes,After 0-1,62,131.0,123,15.0,19,2,0,7,,,4,42,10.5,0.155,0.2,0.342,0.542,42.0,0.0,3.0,1,0,0,0,0.162,104,80,10
Count/Balls-Strikes,After 1-1,59,108.0,101,14.0,14,1,0,6,,,6,45,7.5,0.139,0.185,0.327,0.512,33.0,0.0,0.0,0,1,0,0,0.157,93,52,7
Count/Balls-Strikes,After 2-1,34,44.0,37,3.0,4,1,0,2,,,6,21,3.5,0.108,0.25,0.297,0.547,11.0,0.0,1.0,0,0,0,0,0.143,112,40,1
Count/Balls-Strikes,After 3-1,20,20.0,14,1.0,1,0,0,0,,,5,9,1.8,0.071,0.35,0.071,0.421,1.0,0.0,1.0,0,0,0,0,0.2,83,-24,1
Count/Balls-Strikes,After 0-2,36,52.0,48,6.0,9,2,0,3,,,0,18,,0.188,0.235,0.417,0.652,20.0,0.0,3.0,1,0,0,0,0.222,145,195,4
Count/Balls-Strikes,After 1-2,53,84.0,79,5.0,7,1,0,3,,,1,40,40.0,0.089,0.131,0.215,0.346,17.0,0.0,3.0,0,1,0,0,0.108,31,41,3
Count/Balls-Strikes,After 2-2,39,55.0,50,2.0,3,0,0,2,,,5,31,6.2,0.06,0.146,0.18,0.326,9.0,0.0,0.0,0,0,0,0,0.059,26,14,1
Count/Balls-Strikes,Zero Balls,46,59.0,58,8.0,11,1,0,2,,,0,8,,0.19,0.19,0.31,0.5,18.0,0.0,0.0,1,0,0,0,0.188,89,40,8
Count/Balls-Strikes,Zero Strikes,27,39.0,32,2.0,4,0,0,0,,,7,0,0.0,0.125,0.282,0.125,0.407,4.0,0.0,0.0,0,0,4,0,0.125,70,-7,4
Count/Balls-Strikes,Three Balls,33,49.0,31,2.0,2,0,0,1,,,17,22,1.29,0.065,0.408,0.161,0.57,5.0,0.0,1.0,0,0,4,0,0.125,139,17,1
Count/Balls-Strikes,Two Strikes,60,147.0,133,10.0,13,2,0,5,,,8,72,9.0,0.098,0.171,0.226,0.397,30.0,0.0,4.0,1,1,0,0,0.14,53,57,6
Count/Balls-Strikes,Batter Ahead,43,72.0,54,5.0,6,1,0,2,,,17,22,1.29,0.111,0.333,0.241,0.574,13.0,0.0,1.0,0,0,4,0,0.133,131,21,3
Count/Balls-Strikes,Even Count,46,72.0,72,9.0,12,1,0,4,,,0,18,,0.167,0.167,0.347,0.514,25.0,0.0,0.0,0,0,0,0,0.16,91,44,7
Count/Balls-Strikes,Pitcher Ahead,55,98.0,93,12.0,14,2,0,4,,,0,32,,0.151,0.175,0.301,0.476,28.0,0.0,3.0,1,1,0,0,0.172,80,84,8
Leading Off Inning,First Batter,65,65.0,59,3.0,6,1,0,1,,,4,21,5.25,0.102,0.172,0.17,0.341,10.0,0.0,1.0,1,0,0,0,0.135,34,0,4
Leading Off Inning,Leadoff Inn.,58,59.0,53,1.0,4,1,0,1,,,4,19,4.75,0.076,0.155,0.151,0.306,8.0,0.0,1.0,1,0,0,0,0.091,21,-10,2
