Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,60,240.0,212,15.0,38,8,0,4,0,0,21,57,2.71,0.179,0.268,0.274,0.541,58.0,7.0,5.0,1,1,3,3,0.224,100,51,26
Platoon Splits,vs RHB,57,143.0,129,8.0,20,3,0,3,0,0,8,37,4.63,0.155,0.225,0.248,0.474,32.0,4.0,4.0,1,1,0,1,0.189,75,33,14
Platoon Splits,vs LHB,52,97.0,83,9.0,18,5,0,1,0,0,13,20,1.54,0.217,0.33,0.313,0.643,26.0,3.0,1.0,0,0,3,2,0.274,137,78,12
Platoon Splits,vs RHB as RHP,57,143.0,129,8.0,20,3,0,3,0,0,8,37,4.63,0.155,0.225,0.248,0.474,32.0,4.0,4.0,1,1,0,1,0.189,75,34,14
Platoon Splits,vs LHB as RHP,52,97.0,83,9.0,18,5,0,1,0,0,13,20,1.54,0.217,0.33,0.313,0.643,26.0,3.0,1.0,0,0,3,2,0.274,137,74,12
Home or Away,Home,29,113.0,102,8.0,18,4,0,2,0,0,9,26,2.89,0.177,0.25,0.275,0.525,28.0,2.0,1.0,1,0,1,1,0.216,94,48,12
Home or Away,Away,31,127.0,110,7.0,20,4,0,2,0,0,12,31,2.58,0.182,0.284,0.273,0.556,30.0,5.0,4.0,0,1,2,2,0.231,105,54,14
First or Second Half,1st Half,40,157.0,140,11.0,28,5,0,3,0,0,14,39,2.79,0.2,0.276,0.3,0.576,42.0,6.0,1.0,1,1,3,2,0.253,113,61,20
First or Second Half,2nd Half,20,83.0,72,4.0,10,3,0,1,0,0,7,18,2.57,0.139,0.253,0.222,0.475,16.0,1.0,4.0,0,0,0,1,0.17,75,33,6
Months,April/March,13,48.0,44,3.0,11,1,0,1,0,0,3,12,4.0,0.25,0.292,0.341,0.633,15.0,3.0,0.0,0,1,0,1,0.313,133,77,9
Months,May,11,45.0,40,1.0,6,2,0,0,0,0,5,9,1.8,0.15,0.244,0.2,0.444,8.0,1.0,0.0,0,0,1,0,0.194,64,25,4
Months,June,10,44.0,39,6.0,7,2,0,1,0,0,5,13,2.6,0.18,0.273,0.308,0.58,12.0,0.0,0.0,0,0,1,0,0.24,114,63,4
Months,July,10,36.0,31,2.0,7,1,0,1,0,0,3,7,2.33,0.226,0.314,0.355,0.669,11.0,2.0,1.0,1,0,1,1,0.261,147,82,5
Months,August,12,49.0,41,3.0,5,2,0,1,0,0,4,10,2.5,0.122,0.265,0.244,0.509,10.0,1.0,4.0,0,0,0,1,0.133,88,42,2
Months,Sept/Oct,4,18.0,17,0.0,2,0,0,0,0,0,1,6,6.0,0.118,0.167,0.118,0.284,2.0,0.0,0.0,0,0,0,0,0.182,5,-18,2
Game Outcome for Pitcher,in Wins,6,23.0,22,0.0,4,0,0,0,0,0,0,9,,0.182,0.174,0.182,0.356,4.0,1.0,0.0,0,1,0,0,0.286,31,30,4
Game Outcome for Pitcher,in Losses,1,9.0,6,4.0,4,1,0,1,0,0,3,1,0.33,0.667,0.778,1.333,2.111,8.0,0.0,0.0,0,0,1,0,0.75,677,326,2
Game Outcome for Pitcher,in No Dec.,40,160.0,139,9.0,24,5,0,3,0,0,16,35,2.19,0.173,0.277,0.273,0.55,38.0,6.0,4.0,1,0,2,2,0.208,103,56,16
Game Outcome for Pitcher,in Saves,13,48.0,45,2.0,6,2,0,0,0,0,2,12,6.0,0.133,0.188,0.178,0.365,8.0,0.0,1.0,0,0,0,1,0.182,35,63,4
Game Outcome for Pitcher,in Sv Situ,26,114.0,101,8.0,19,3,0,2,0,0,12,24,2.0,0.188,0.281,0.277,0.558,28.0,2.0,1.0,0,0,1,1,0.227,106,70,14
Game Outcome for Pitcher,in non-Sv,34,126.0,111,7.0,19,5,0,2,0,0,9,33,3.67,0.171,0.256,0.27,0.526,30.0,5.0,4.0,1,1,2,2,0.221,94,44,12
Pitching Role,as Reliever,60,240.0,212,15.0,38,8,0,4,0,0,21,57,2.71,0.179,0.268,0.274,0.541,58.0,7.0,5.0,1,1,3,3,0.224,100,52,26
Batting Order Positions,Batting 1st,25,25.0,21,1.0,2,0,0,0,0,0,3,5,1.67,0.095,0.2,0.095,0.295,2.0,2.0,0.0,0,1,0,1,0.118,9,-17,2
Batting Order Positions,Batting 2nd,29,29.0,27,1.0,5,1,0,0,0,0,1,13,13.0,0.185,0.241,0.222,0.464,6.0,0.0,1.0,0,0,0,1,0.357,71,23,4
Batting Order Positions,Batting 3rd,27,27.0,25,2.0,5,4,0,1,0,0,1,5,5.0,0.2,0.259,0.48,0.739,12.0,1.0,1.0,0,0,0,0,0.211,172,81,0
Batting Order Positions,Batting 4th,25,25.0,21,1.0,4,0,0,1,0,0,2,8,4.0,0.191,0.32,0.333,0.653,7.0,0.0,2.0,0,0,1,0,0.25,141,70,3
Batting Order Positions,Batting 5th,29,29.0,26,1.0,5,1,0,0,0,0,3,4,1.33,0.192,0.276,0.231,0.507,6.0,2.0,0.0,0,0,2,1,0.227,87,39,4
Batting Order Positions,Batting 6th,29,29.0,24,2.0,3,0,0,0,0,0,5,6,1.2,0.125,0.276,0.125,0.401,3.0,1.0,0.0,0,0,0,0,0.167,49,18,3
Batting Order Positions,Batting 7th,26,26.0,23,2.0,5,0,0,0,0,0,3,5,1.67,0.217,0.308,0.217,0.525,5.0,1.0,0.0,0,0,0,0,0.278,94,56,5
Batting Order Positions,Batting 8th,26,26.0,23,6.0,6,1,0,2,0,0,2,7,3.5,0.261,0.32,0.565,0.885,13.0,0.0,0.0,1,0,0,0,0.286,226,159,3
Batting Order Positions,Batting 9th,24,24.0,22,1.0,3,1,0,0,0,0,1,4,4.0,0.136,0.208,0.182,0.39,4.0,0.0,1.0,0,0,0,0,0.167,44,40,2
Batting Order Positions,"Bat1-2,non-P",34,54.0,48,2.0,7,1,0,0,0,0,4,18,4.5,0.146,0.222,0.167,0.389,8.0,2.0,1.0,0,1,0,2,0.226,44,6,6
Batting Order Positions,"Bat3-6,non-P",46,110.0,96,6.0,17,5,0,2,0,0,11,23,2.09,0.177,0.282,0.292,0.574,28.0,4.0,3.0,0,0,3,1,0.211,112,53,10
Batting Order Positions,"Bat7-9,non-P",38,75.0,68,9.0,14,2,0,2,0,0,6,16,2.67,0.206,0.28,0.324,0.604,22.0,1.0,1.0,0,0,0,0,0.24,123,79,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,44,72.0,64,9.0,15,3,0,3,,,3,14,4.67,0.234,0.296,0.422,0.718,27.0,4.0,3.0,1,1,0,0,0.25,165,98,9
Swung or Took First Pitch of PA,Took 1st Pitch,59,168.0,148,8.0,23,5,0,1,,,18,43,2.39,0.155,0.256,0.21,0.466,31.0,3.0,2.0,0,0,3,3,0.212,72,31,17
