Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,68,237.0,227,21.0,46,6,1,7,5,0,8,73,9.13,0.203,0.228,0.33,0.558,75.0,3.0,0.0,0,2,0,1,0.262,100,54,32
Platoon Splits,vs RHB,64,129.0,127,11.0,24,2,1,5,2,0,1,47,47.0,0.189,0.194,0.339,0.532,43.0,2.0,0.0,0,1,0,0,0.25,88,47,16
Platoon Splits,vs LHB,58,108.0,100,11.0,22,4,0,2,3,0,7,26,3.71,0.22,0.269,0.32,0.589,32.0,1.0,0.0,0,1,0,1,0.274,115,62,16
Platoon Splits,vs RHB as RHP,64,129.0,127,11.0,24,2,1,5,2,0,1,47,47.0,0.189,0.194,0.339,0.532,43.0,2.0,0.0,0,1,0,0,0.25,88,51,16
Platoon Splits,vs LHB as RHP,58,108.0,100,11.0,22,4,0,2,3,0,7,26,3.71,0.22,0.269,0.32,0.589,32.0,1.0,0.0,0,1,0,1,0.274,115,59,16
Home or Away,Home,36,120.0,115,7.0,22,3,1,1,2,0,3,34,11.33,0.191,0.208,0.261,0.469,30.0,3.0,0.0,0,2,0,0,0.256,70,33,17
Home or Away,Away,32,117.0,112,14.0,24,3,0,6,3,0,5,39,7.8,0.214,0.248,0.402,0.65,45.0,0.0,0.0,0,0,0,1,0.269,131,75,15
First or Second Half,1st Half,39,147.0,139,19.0,39,6,1,6,4,0,7,34,4.86,0.281,0.313,0.468,0.781,65.0,3.0,0.0,0,1,0,0,0.33,179,118,26
First or Second Half,2nd Half,29,90.0,88,2.0,7,0,0,1,1,0,1,39,39.0,0.08,0.089,0.114,0.203,10.0,0.0,0.0,0,1,0,1,0.122,-26,-45,6
Months,April/March,13,45.0,43,3.0,8,1,0,2,0,0,2,12,6.0,0.186,0.222,0.349,0.571,15.0,1.0,0.0,0,0,0,0,0.207,103,59,5
Months,May,10,42.0,39,5.0,12,2,0,1,3,0,2,9,4.5,0.308,0.333,0.436,0.769,17.0,1.0,0.0,0,1,0,0,0.367,178,116,9
Months,June,12,43.0,40,8.0,13,2,1,2,1,0,3,8,2.67,0.325,0.372,0.575,0.947,23.0,1.0,0.0,0,0,0,0,0.367,237,164,8
Months,July,12,41.0,40,4.0,8,1,0,1,1,0,1,19,19.0,0.2,0.22,0.3,0.52,12.0,0.0,0.0,0,0,0,1,0.35,87,44,6
Months,August,13,41.0,40,1.0,4,0,0,1,0,0,0,15,,0.1,0.098,0.175,0.273,7.0,0.0,0.0,0,1,0,0,0.12,-4,-28,3
Months,Sept/Oct,8,25.0,25,0.0,1,0,0,0,0,0,0,10,,0.04,0.04,0.04,0.08,1.0,0.0,0.0,0,0,0,0,0.067,-70,-78,1
Game Outcome for Pitcher,in Wins,2,5.0,5,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in No Dec.,58,207.0,198,21.0,44,6,1,7,5,0,8,64,8.0,0.222,0.251,0.369,0.62,73.0,3.0,0.0,0,1,0,1,0.289,122,74,30
Game Outcome for Pitcher,in Saves,8,25.0,24,0.0,2,0,0,0,0,0,0,9,,0.083,0.08,0.083,0.163,2.0,0.0,0.0,0,1,0,0,0.125,-40,-28,2
Game Outcome for Pitcher,in Sv Situ,35,123.0,116,12.0,26,3,0,5,3,0,5,34,6.8,0.224,0.252,0.379,0.631,44.0,1.0,0.0,0,2,0,0,0.266,125,89,18
Game Outcome for Pitcher,in non-Sv,33,114.0,111,9.0,20,3,1,2,2,0,3,39,13.0,0.18,0.202,0.279,0.481,31.0,2.0,0.0,0,0,0,1,0.257,73,35,14
Pitching Role,as Reliever,68,237.0,227,21.0,46,6,1,7,5,0,8,73,9.13,0.203,0.228,0.33,0.558,75.0,3.0,0.0,0,2,0,1,0.262,100,59,32
Batting Order Positions,Batting 1st,22,22.0,21,2.0,4,0,0,1,0,0,1,4,4.0,0.191,0.227,0.333,0.561,7.0,0.0,0.0,0,0,0,0,0.188,101,53,3
Batting Order Positions,Batting 2nd,24,24.0,24,1.0,5,1,0,1,0,0,0,6,,0.208,0.208,0.375,0.583,9.0,0.0,0.0,0,0,0,0,0.235,105,61,3
Batting Order Positions,Batting 3rd,24,24.0,23,4.0,4,0,0,2,0,0,1,5,5.0,0.174,0.208,0.435,0.643,10.0,1.0,0.0,0,0,0,1,0.125,123,55,2
Batting Order Positions,Batting 4th,26,26.0,25,1.0,10,1,0,0,1,0,1,8,8.0,0.4,0.423,0.44,0.863,11.0,0.0,0.0,0,0,0,0,0.588,219,121,9
Batting Order Positions,Batting 5th,27,27.0,24,3.0,6,1,0,1,0,0,3,10,3.33,0.25,0.333,0.417,0.75,10.0,0.0,0.0,0,0,0,0,0.385,172,99,4
Batting Order Positions,Batting 6th,29,29.0,27,3.0,4,1,0,0,0,0,0,9,,0.148,0.138,0.185,0.323,5.0,1.0,0.0,0,2,0,0,0.2,17,-12,3
Batting Order Positions,Batting 7th,29,29.0,29,4.0,5,1,1,1,0,0,0,11,,0.172,0.172,0.379,0.552,11.0,1.0,0.0,0,0,0,0,0.235,90,53,2
Batting Order Positions,Batting 8th,28,28.0,26,4.0,6,0,0,1,2,0,2,9,4.5,0.231,0.286,0.346,0.632,9.0,0.0,0.0,0,0,0,0,0.313,130,87,5
Batting Order Positions,Batting 9th,28,28.0,28,0.0,2,1,0,0,2,0,0,11,,0.071,0.071,0.107,0.179,3.0,0.0,0.0,0,0,0,0,0.118,-36,-36,1
Batting Order Positions,"Bat1-2,non-P",28,46.0,45,3.0,9,1,0,2,0,0,1,10,10.0,0.2,0.217,0.356,0.573,16.0,0.0,0.0,0,0,0,0,0.212,103,57,6
Batting Order Positions,"Bat3-6,non-P",50,106.0,99,11.0,24,3,0,3,1,0,5,32,6.4,0.242,0.274,0.364,0.637,36.0,2.0,0.0,0,2,0,1,0.318,131,66,18
Batting Order Positions,"Bat7-9,non-P",44,83.0,81,8.0,13,2,1,2,4,0,2,30,15.0,0.161,0.181,0.284,0.465,23.0,1.0,0.0,0,0,0,0,0.225,65,36,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,55,85.0,83,9.0,23,2,1,2,,,1,20,20.0,0.277,0.282,0.398,0.68,33.0,1.0,0.0,0,1,0,0,0.339,144,93,18
Swung or Took First Pitch of PA,Took 1st Pitch,63,152.0,144,13.0,23,4,0,5,,,7,53,7.57,0.16,0.197,0.292,0.489,42.0,2.0,0.0,0,1,0,1,0.207,75,34,14
Count/Balls-Strikes,First Pitch,14,18.0,18,1.0,7,2,0,1,,,0,0,,0.389,0.389,0.667,1.056,12.0,0.0,0.0,0,0,0,0,0.353,273,143,4
Count/Balls-Strikes,1-0 Count,9,10.0,10,2.0,4,1,0,2,,,0,0,,0.4,0.4,1.1,1.5,11.0,0.0,0.0,0,0,0,0,0.25,409,219,1
Count/Balls-Strikes,2-0 Count,4,4.0,4,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,2,2.0,0,0.0,0,0,0,0,,,2,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,26,30.0,28,7.0,10,0,0,1,,,0,0,,0.357,0.333,0.464,0.798,13.0,1.0,0.0,0,2,0,0,0.31,187,101,9
Count/Balls-Strikes,1-1 Count,11,12.0,12,3.0,4,0,0,1,,,0,0,,0.333,0.333,0.583,0.917,7.0,0.0,0.0,0,0,0,0,0.273,223,122,3
Count/Balls-Strikes,2-1 Count,4,5.0,5,2.0,2,1,0,1,,,0,0,,0.4,0.4,1.2,1.6,6.0,0.0,0.0,0,0,0,0,0.25,439,238,0
Count/Balls-Strikes,3-1 Count,6,7.0,4,0.0,0,0,0,0,,,3,0,0.0,0.0,0.429,0.0,0.429,0.0,0.0,0.0,0,0,0,0,0.0,88,-38,0
