Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,71,270.0,243,22.0,47,7,1,3,8,0,23,73,3.17,0.193,0.268,0.268,0.535,65.0,9.0,2.0,1,1,2,1,0.262,100,54,36
Platoon Splits,vs RHB,65,139.0,129,13.0,29,3,1,1,6,0,8,40,5.0,0.225,0.273,0.287,0.56,37.0,5.0,1.0,0,1,1,1,0.315,109,59,24
Platoon Splits,vs LHB,69,131.0,114,11.0,18,4,0,2,2,0,15,33,2.2,0.158,0.262,0.246,0.507,28.0,4.0,1.0,1,0,1,0,0.203,90,48,12
Platoon Splits,vs RHB as RHP,65,139.0,129,13.0,29,3,1,1,6,0,8,40,5.0,0.225,0.273,0.287,0.56,37.0,5.0,1.0,0,1,1,1,0.315,109,62,24
Platoon Splits,vs LHB as RHP,69,131.0,114,11.0,18,4,0,2,2,0,15,33,2.2,0.158,0.262,0.246,0.507,28.0,4.0,1.0,1,0,1,0,0.203,90,46,12
Home or Away,Home,41,156.0,143,11.0,25,3,1,1,3,0,11,44,4.0,0.175,0.237,0.231,0.468,33.0,5.0,1.0,0,1,0,0,0.242,75,37,20
Home or Away,Away,30,114.0,100,11.0,22,4,0,2,5,0,12,29,2.42,0.22,0.31,0.32,0.63,32.0,4.0,1.0,1,0,2,1,0.29,136,77,16
First or Second Half,1st Half,38,148.0,133,10.0,25,2,1,1,6,0,14,43,3.07,0.188,0.265,0.241,0.506,32.0,5.0,0.0,1,0,1,1,0.27,89,46,21
First or Second Half,2nd Half,33,122.0,110,12.0,22,5,0,2,2,0,9,30,3.33,0.2,0.271,0.3,0.571,33.0,4.0,2.0,0,1,1,0,0.253,113,63,15
Months,April/March,9,37.0,35,1.0,7,0,0,1,2,0,2,15,7.5,0.2,0.243,0.286,0.529,10.0,1.0,0.0,0,0,0,0,0.316,98,57,6
Months,May,13,41.0,37,2.0,5,0,0,0,0,0,3,8,2.67,0.135,0.2,0.135,0.335,5.0,1.0,0.0,1,0,0,0,0.172,25,-2,5
Months,June,10,43.0,37,5.0,9,2,0,0,3,0,6,8,1.33,0.243,0.349,0.297,0.646,11.0,3.0,0.0,0,0,0,1,0.31,142,84,7
Months,July,11,44.0,39,2.0,6,0,1,0,1,0,4,14,3.5,0.154,0.25,0.205,0.455,8.0,1.0,1.0,0,0,1,0,0.24,70,31,5
Months,August,14,58.0,51,9.0,15,5,0,1,1,0,6,13,2.17,0.294,0.379,0.451,0.83,23.0,2.0,1.0,0,0,1,0,0.378,210,136,9
Months,Sept/Oct,14,47.0,44,3.0,5,0,0,1,1,0,2,15,7.5,0.114,0.149,0.182,0.331,8.0,1.0,0.0,0,1,0,0,0.138,24,-6,4
Game Outcome for Pitcher,in Wins,5,19.0,18,2.0,3,0,0,1,0,0,0,4,,0.167,0.167,0.333,0.5,6.0,0.0,0.0,1,0,0,0,0.154,87,84,2
Game Outcome for Pitcher,in Losses,2,13.0,11,4.0,5,2,0,0,0,0,2,1,0.5,0.455,0.539,0.636,1.175,7.0,0.0,0.0,0,0,1,0,0.5,339,148,3
Game Outcome for Pitcher,in No Dec.,50,186.0,168,13.0,30,4,0,1,8,0,15,54,3.6,0.179,0.253,0.22,0.473,37.0,7.0,2.0,0,1,1,1,0.254,77,40,25
Game Outcome for Pitcher,in Saves,14,52.0,46,3.0,9,1,1,1,0,0,6,14,2.33,0.196,0.289,0.326,0.615,15.0,2.0,0.0,0,0,0,0,0.258,130,194,6
Game Outcome for Pitcher,in Sv Situ,39,139.0,121,6.0,21,3,1,1,1,0,15,37,2.47,0.174,0.273,0.24,0.513,29.0,7.0,2.0,0,1,1,1,0.238,92,59,16
Game Outcome for Pitcher,in non-Sv,32,131.0,122,16.0,26,4,0,2,7,0,8,36,4.5,0.213,0.262,0.295,0.557,36.0,2.0,0.0,1,0,1,0,0.286,108,59,20
Pitching Role,as Reliever,71,270.0,243,22.0,47,7,1,3,8,0,23,73,3.17,0.193,0.268,0.268,0.535,65.0,9.0,2.0,1,1,2,1,0.262,100,56,36
Batting Order Positions,Batting 1st,30,30.0,27,3.0,6,0,1,1,1,0,3,11,3.67,0.222,0.3,0.407,0.707,11.0,0.0,0.0,0,0,0,0,0.333,164,97,4
Batting Order Positions,Batting 2nd,39,39.0,37,5.0,8,1,0,0,4,0,1,7,7.0,0.216,0.231,0.243,0.474,9.0,4.0,0.0,0,1,1,1,0.258,77,27,7
Batting Order Positions,Batting 3rd,37,37.0,33,7.0,7,2,0,2,0,0,3,10,3.33,0.212,0.297,0.455,0.752,15.0,2.0,1.0,0,0,0,0,0.238,181,94,3
Batting Order Positions,Batting 4th,33,33.0,31,1.0,4,1,0,0,1,0,2,13,6.5,0.129,0.182,0.161,0.343,5.0,2.0,0.0,0,0,1,0,0.222,28,-5,3
Batting Order Positions,Batting 5th,32,32.0,28,2.0,8,1,0,0,0,0,4,5,1.25,0.286,0.375,0.321,0.696,9.0,0.0,0.0,0,0,0,0,0.348,160,104,7
Batting Order Positions,Batting 6th,28,28.0,24,3.0,7,1,0,0,2,0,3,4,1.33,0.292,0.37,0.333,0.704,8.0,0.0,0.0,1,0,0,0,0.35,163,108,6
Batting Order Positions,Batting 7th,24,24.0,22,2.0,3,0,0,0,0,0,2,8,4.0,0.136,0.208,0.136,0.345,3.0,1.0,0.0,0,0,0,0,0.214,29,6,3
Batting Order Positions,Batting 8th,22,22.0,18,0.0,0,0,0,0,0,0,3,6,2.0,0.0,0.182,0.0,0.182,0.0,0.0,1.0,0,0,0,0,0.0,-32,-38,0
Batting Order Positions,Batting 9th,25,25.0,23,1.0,4,1,0,0,0,0,2,9,4.5,0.174,0.24,0.217,0.457,5.0,0.0,0.0,0,0,0,0,0.286,71,46,3
Batting Order Positions,"Bat1-2,non-P",42,69.0,64,8.0,14,1,1,1,5,0,4,18,4.5,0.219,0.261,0.313,0.573,20.0,4.0,0.0,0,1,1,1,0.283,115,56,11
Batting Order Positions,"Bat3-6,non-P",56,130.0,116,13.0,26,5,0,2,3,0,12,32,2.67,0.224,0.302,0.319,0.621,37.0,4.0,1.0,1,0,1,0,0.293,132,74,19
Batting Order Positions,"Bat7-9,non-P",37,70.0,62,3.0,6,1,0,0,0,0,7,23,3.29,0.097,0.2,0.113,0.313,7.0,1.0,1.0,0,0,0,0,0.154,17,-1,5
Swung or Took First Pitch of PA,Swung at 1st Pitch,51,83.0,80,10.0,16,1,0,2,,,2,19,9.5,0.2,0.22,0.288,0.507,23.0,1.0,0.0,1,0,0,0,0.237,90,47,13
Swung or Took First Pitch of PA,Took 1st Pitch,69,187.0,163,13.0,31,6,1,1,,,21,54,2.57,0.19,0.289,0.258,0.547,42.0,8.0,2.0,0,1,2,1,0.275,105,56,23
Count/Balls-Strikes,First Pitch,21,25.0,24,3.0,5,0,0,1,,,0,0,,0.208,0.208,0.333,0.542,8.0,0.0,0.0,1,0,0,0,0.174,102,20,4
Count/Balls-Strikes,1-0 Count,11,11.0,11,2.0,2,0,0,0,,,0,0,,0.182,0.182,0.182,0.364,2.0,1.0,0.0,0,0,0,0,0.182,36,-15,2
Count/Balls-Strikes,2-0 Count,5,6.0,6,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,6,6.0,1,0.0,0,0,0,0,,,5,0,0.0,0.0,0.833,0.0,0.833,0.0,0.0,0.0,0,0,1,0,0.0,211,-11,0
Count/Balls-Strikes,0-1 Count,26,32.0,31,6.0,10,0,0,1,,,0,0,,0.323,0.344,0.419,0.763,13.0,2.0,1.0,0,0,0,0,0.3,185,89,9
Count/Balls-Strikes,1-1 Count,13,13.0,12,0.0,5,0,0,0,,,0,0,,0.417,0.462,0.417,0.878,5.0,0.0,1.0,0,0,0,0,0.417,229,123,5
Count/Balls-Strikes,2-1 Count,8,9.0,9,2.0,2,0,0,0,,,0,0,,0.222,0.222,0.222,0.444,2.0,1.0,0.0,0,0,0,0,0.222,66,4,2
Count/Balls-Strikes,3-1 Count,15,16.0,9,0.0,1,0,0,0,,,7,0,0.0,0.111,0.5,0.111,0.611,1.0,2.0,0.0,0,0,1,1,0.111,128,-11,1
Count/Balls-Strikes,0-2 Count,23,27.0,27,3.0,5,1,0,0,,,0,9,,0.185,0.185,0.222,0.407,6.0,1.0,0.0,0,0,0,0,0.278,52,115,4
Count/Balls-Strikes,1-2 Count,31,40.0,40,1.0,7,2,0,0,,,0,19,,0.175,0.175,0.225,0.4,9.0,2.0,0.0,0,0,0,0,0.333,50,95,5
Count/Balls-Strikes,2-2 Count,33,39.0,39,3.0,6,3,0,1,,,0,22,,0.154,0.154,0.308,0.462,12.0,0.0,0.0,0,0,0,0,0.313,73,100,2
Count/Balls-Strikes,Full Count,39,46.0,34,3.0,4,1,1,0,,,11,23,2.09,0.118,0.326,0.206,0.532,7.0,0.0,0.0,0,1,0,0,0.333,99,36,2
