Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,68,277.0,259,24.0,65,6,2,7,3,0,17,51,3.0,0.251,0.297,0.371,0.668,96.0,3.0,0.0,1,0,2,1,0.289,100,87,50
Platoon Splits,vs RHB,67,159.0,153,12.0,36,4,0,3,3,0,6,28,4.67,0.235,0.264,0.32,0.585,49.0,3.0,0.0,0,0,0,1,0.271,75,65,29
Platoon Splits,vs LHB,64,118.0,106,12.0,29,2,2,4,0,0,11,23,2.09,0.274,0.342,0.443,0.785,47.0,0.0,0.0,1,0,2,0,0.317,135,117,21
Platoon Splits,vs RHB as RHP,67,159.0,153,12.0,36,4,0,3,3,0,6,28,4.67,0.235,0.264,0.32,0.585,49.0,3.0,0.0,0,0,0,1,0.271,75,69,29
Platoon Splits,vs LHB as RHP,64,118.0,106,12.0,29,2,2,4,0,0,11,23,2.09,0.274,0.342,0.443,0.785,47.0,0.0,0.0,1,0,2,0,0.317,135,112,21
Home or Away,Home,36,150.0,137,13.0,34,2,0,3,2,0,12,27,2.25,0.248,0.309,0.329,0.637,45.0,2.0,0.0,1,0,1,1,0.29,93,83,29
Home or Away,Away,32,127.0,122,11.0,31,4,2,4,1,0,5,24,4.8,0.254,0.284,0.418,0.702,51.0,1.0,0.0,0,0,1,0,0.287,108,92,21
First or Second Half,1st Half,40,164.0,155,11.0,39,3,2,3,2,0,8,29,3.63,0.252,0.288,0.355,0.643,55.0,2.0,0.0,1,0,2,0,0.293,93,79,31
First or Second Half,2nd Half,28,113.0,104,13.0,26,3,0,4,1,0,9,22,2.44,0.25,0.31,0.394,0.704,41.0,1.0,0.0,0,0,0,1,0.282,111,98,19
Months,April/March,10,39.0,36,4.0,7,0,1,2,0,0,3,10,3.33,0.194,0.256,0.417,0.673,15.0,1.0,0.0,0,0,0,0,0.208,99,85,4
Months,May,13,52.0,51,4.0,13,1,1,0,2,0,1,7,7.0,0.255,0.269,0.314,0.583,16.0,0.0,0.0,0,0,1,0,0.296,75,62,11
Months,June,11,49.0,45,2.0,14,1,0,0,0,0,3,10,3.33,0.311,0.354,0.333,0.688,15.0,1.0,0.0,1,0,1,0,0.4,109,96,13
Months,July,11,46.0,42,6.0,11,3,0,2,0,0,4,6,1.5,0.262,0.326,0.476,0.802,20.0,0.0,0.0,0,0,0,0,0.265,138,125,6
Months,August,13,52.0,50,8.0,14,1,0,3,1,0,2,10,5.0,0.28,0.308,0.48,0.788,24.0,0.0,0.0,0,0,0,0,0.297,133,117,10
Months,Sept/Oct,10,39.0,35,0.0,6,0,0,0,0,0,4,8,2.0,0.171,0.256,0.171,0.428,6.0,1.0,0.0,0,0,0,1,0.222,32,25,6
Game Outcome for Pitcher,in Wins,3,15.0,14,2.0,5,1,0,0,0,0,1,1,1.0,0.357,0.4,0.429,0.829,6.0,0.0,0.0,0,0,0,0,0.385,150,196,4
Game Outcome for Pitcher,in Losses,3,15.0,14,5.0,5,0,0,2,2,0,1,3,3.0,0.357,0.4,0.786,1.186,11.0,0.0,0.0,0,0,0,0,0.333,247,144,3
Game Outcome for Pitcher,in No Dec.,19,78.0,71,10.0,22,3,2,3,0,0,6,12,2.0,0.31,0.364,0.535,0.899,38.0,2.0,0.0,1,0,1,1,0.339,167,156,14
Game Outcome for Pitcher,in Saves,43,169.0,160,7.0,33,2,0,2,1,0,9,35,3.89,0.206,0.249,0.256,0.505,41.0,1.0,0.0,0,0,1,0,0.252,53,119,29
Game Outcome for Pitcher,in Sv Situ,49,202.0,190,18.0,45,2,2,6,1,0,12,38,3.17,0.237,0.282,0.363,0.645,69.0,1.0,0.0,0,0,2,0,0.267,93,93,35
Game Outcome for Pitcher,in non-Sv,19,75.0,69,6.0,20,4,0,1,2,0,5,13,2.6,0.29,0.338,0.391,0.729,27.0,2.0,0.0,1,0,0,1,0.346,119,109,15
Pitching Role,as Reliever,68,277.0,259,24.0,65,6,2,7,3,0,17,51,3.0,0.251,0.297,0.371,0.668,96.0,3.0,0.0,1,0,2,1,0.289,100,93,50
Batting Order Positions,Batting 1st,35,35.0,32,3.0,7,1,0,2,0,0,2,6,3.0,0.219,0.265,0.438,0.702,14.0,1.0,0.0,1,0,0,0,0.208,107,93,4
Batting Order Positions,Batting 2nd,31,31.0,27,1.0,9,1,0,0,0,0,4,3,0.75,0.333,0.419,0.37,0.79,10.0,1.0,0.0,0,0,0,0,0.375,141,123,8
Batting Order Positions,Batting 3rd,35,35.0,33,6.0,10,0,1,2,0,0,2,7,3.5,0.303,0.343,0.546,0.888,18.0,1.0,0.0,0,0,0,0,0.333,162,120,7
Batting Order Positions,Batting 4th,33,33.0,33,3.0,10,0,0,0,0,0,0,8,,0.303,0.303,0.303,0.606,10.0,0.0,0.0,0,0,0,0,0.4,84,57,10
Batting Order Positions,Batting 5th,30,30.0,29,5.0,10,0,0,2,1,0,1,6,6.0,0.345,0.367,0.552,0.918,16.0,0.0,0.0,0,0,0,1,0.381,172,146,8
Batting Order Positions,Batting 6th,28,28.0,27,0.0,5,0,0,0,0,0,1,5,5.0,0.185,0.214,0.185,0.4,5.0,0.0,0.0,0,0,1,0,0.227,22,14,5
Batting Order Positions,Batting 7th,28,28.0,27,2.0,6,2,1,0,2,0,1,6,6.0,0.222,0.25,0.37,0.62,10.0,0.0,0.0,0,0,0,0,0.286,84,77,3
Batting Order Positions,Batting 8th,27,27.0,25,3.0,4,1,0,1,0,0,2,3,1.5,0.16,0.222,0.32,0.542,8.0,0.0,0.0,0,0,1,0,0.143,61,62,2
Batting Order Positions,Batting 9th,30,30.0,26,1.0,4,1,0,0,0,0,4,7,1.75,0.154,0.267,0.192,0.459,5.0,0.0,0.0,0,0,0,0,0.211,42,70,3
Batting Order Positions,"Bat1-2,non-P",39,66.0,59,4.0,16,2,0,2,0,0,6,9,1.5,0.271,0.339,0.407,0.745,24.0,2.0,0.0,1,0,0,0,0.292,124,107,12
Batting Order Positions,"Bat3-6,non-P",53,126.0,122,14.0,35,0,1,4,1,0,4,26,6.5,0.287,0.31,0.402,0.711,49.0,1.0,0.0,0,0,1,1,0.337,113,87,30
Batting Order Positions,"Bat7-9,non-P",46,85.0,78,6.0,14,4,1,1,2,0,7,16,2.29,0.18,0.247,0.295,0.542,23.0,0.0,0.0,0,0,1,0,0.213,63,62,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,39,54.0,53,9.0,18,2,1,3,,,0,5,,0.34,0.34,0.585,0.925,31.0,1.0,0.0,1,0,0,0,0.333,172,157,12
Swung or Took First Pitch of PA,Took 1st Pitch,67,223.0,206,13.0,47,4,1,4,,,17,46,2.71,0.228,0.287,0.316,0.603,65.0,2.0,0.0,0,0,2,1,0.276,82,69,38
