Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,67,246.0,226,20.0,46,10,0,5,1,0,14,78,5.57,0.204,0.258,0.314,0.572,71.0,3.0,3.0,2,1,1,1,0.285,100,62,31
Platoon Splits,vs RHB,65,137.0,126,11.0,26,7,0,1,0,0,9,46,5.11,0.206,0.27,0.286,0.556,36.0,2.0,2.0,0,0,1,0,0.317,96,58,18
Platoon Splits,vs LHB,60,109.0,100,16.0,20,3,0,4,1,0,5,32,6.4,0.2,0.243,0.35,0.593,35.0,1.0,1.0,2,1,0,1,0.246,106,69,13
Platoon Splits,vs RHB as RHP,65,137.0,126,11.0,26,7,0,1,0,0,9,46,5.11,0.206,0.27,0.286,0.556,36.0,2.0,2.0,0,0,1,0,0.317,96,61,18
Platoon Splits,vs LHB as RHP,60,109.0,100,16.0,20,3,0,4,1,0,5,32,6.4,0.2,0.243,0.35,0.593,35.0,1.0,1.0,2,1,0,1,0.246,106,66,13
Home or Away,Home,34,120.0,112,4.0,20,5,0,2,1,0,6,41,6.83,0.179,0.227,0.277,0.504,31.0,2.0,1.0,1,0,1,0,0.261,76,45,13
Home or Away,Away,33,126.0,114,16.0,26,5,0,3,0,0,8,37,4.63,0.228,0.288,0.351,0.639,40.0,1.0,2.0,1,1,0,1,0.307,123,78,18
First or Second Half,1st Half,35,130.0,119,18.0,25,6,0,5,1,0,8,46,5.75,0.21,0.271,0.387,0.658,46.0,1.0,2.0,1,0,1,0,0.294,128,85,14
First or Second Half,2nd Half,32,116.0,107,2.0,21,4,0,0,0,0,6,32,5.33,0.196,0.244,0.234,0.477,25.0,2.0,1.0,1,1,0,1,0.276,69,37,17
Months,April/March,10,31.0,30,1.0,3,0,0,1,0,0,1,12,12.0,0.1,0.129,0.2,0.329,6.0,1.0,0.0,0,0,0,0,0.118,14,-4,2
Months,May,10,36.0,31,8.0,9,3,0,2,1,0,3,12,4.0,0.29,0.371,0.581,0.952,18.0,0.0,1.0,1,0,0,0,0.412,229,165,4
Months,June,10,38.0,37,4.0,6,1,0,2,0,0,1,16,16.0,0.162,0.184,0.351,0.536,13.0,0.0,0.0,0,0,0,0,0.211,83,44,3
Months,July,9,41.0,36,5.0,11,3,0,0,0,0,4,8,2.0,0.306,0.39,0.389,0.779,14.0,0.0,1.0,0,0,1,0,0.393,175,122,8
Months,August,12,40.0,35,1.0,6,2,0,0,0,0,3,9,3.0,0.171,0.256,0.229,0.485,8.0,1.0,1.0,1,0,0,0,0.231,72,40,4
Months,Sept/Oct,16,60.0,57,1.0,11,1,0,0,0,0,2,21,10.5,0.193,0.217,0.211,0.427,12.0,1.0,0.0,0,1,0,1,0.297,51,24,10
Game Outcome for Pitcher,in Wins,2,6.0,6,0.0,0,0,0,0,0,0,0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,6,32.0,28,13.0,14,3,0,3,0,0,3,5,1.67,0.5,0.548,0.929,1.477,26.0,0.0,0.0,1,0,1,0,0.55,408,201,8
Game Outcome for Pitcher,in No Dec.,42,155.0,143,7.0,28,6,0,2,1,0,7,45,6.43,0.196,0.247,0.28,0.527,40.0,2.0,3.0,1,1,0,1,0.268,85,54,20
Game Outcome for Pitcher,in Saves,17,53.0,49,0.0,4,1,0,0,0,0,4,25,6.25,0.082,0.151,0.102,0.253,5.0,1.0,0.0,0,0,0,0,0.167,-9,21,3
Game Outcome for Pitcher,in Sv Situ,36,131.0,122,10.0,25,6,0,2,0,0,8,49,6.13,0.205,0.254,0.303,0.557,37.0,1.0,0.0,1,0,0,0,0.324,95,70,17
Game Outcome for Pitcher,in non-Sv,31,115.0,104,10.0,21,4,0,3,1,0,6,29,4.83,0.202,0.263,0.327,0.59,34.0,2.0,3.0,1,1,1,1,0.247,106,67,14
Pitching Role,as Reliever,67,246.0,226,20.0,46,10,0,5,1,0,14,78,5.57,0.204,0.258,0.314,0.572,71.0,3.0,3.0,2,1,1,1,0.285,100,65,31
Batting Order Positions,Batting 1st,24,24.0,21,2.0,4,0,0,0,0,0,2,6,3.0,0.191,0.292,0.191,0.482,4.0,0.0,1.0,0,0,0,0,0.267,74,40,4
Batting Order Positions,Batting 2nd,22,22.0,21,2.0,6,0,0,1,0,0,1,4,4.0,0.286,0.318,0.429,0.747,9.0,1.0,0.0,0,0,0,0,0.313,160,96,5
Batting Order Positions,Batting 3rd,26,26.0,25,5.0,5,2,0,1,0,0,1,8,8.0,0.2,0.231,0.4,0.631,10.0,0.0,0.0,0,0,0,0,0.25,117,62,2
Batting Order Positions,Batting 4th,32,32.0,26,2.0,4,0,0,1,0,0,4,10,2.5,0.154,0.313,0.269,0.582,7.0,0.0,2.0,0,0,1,0,0.2,107,62,3
Batting Order Positions,Batting 5th,36,36.0,35,2.0,6,3,0,0,0,0,1,14,14.0,0.171,0.194,0.257,0.452,9.0,2.0,0.0,0,0,0,0,0.286,57,29,3
Batting Order Positions,Batting 6th,32,32.0,31,4.0,7,2,0,0,1,0,1,13,13.0,0.226,0.25,0.29,0.54,9.0,0.0,0.0,0,0,0,1,0.389,89,57,5
Batting Order Positions,Batting 7th,27,27.0,25,6.0,7,0,0,2,0,0,1,8,8.0,0.28,0.308,0.52,0.828,13.0,0.0,0.0,1,0,0,0,0.333,185,143,5
Batting Order Positions,Batting 8th,24,24.0,22,1.0,3,0,0,0,0,0,2,7,3.5,0.136,0.208,0.136,0.345,3.0,0.0,0.0,0,0,0,0,0.2,24,8,3
Batting Order Positions,Batting 9th,23,23.0,20,3.0,4,3,0,0,0,0,1,8,8.0,0.2,0.227,0.35,0.577,7.0,0.0,0.0,1,1,0,0,0.308,99,79,1
Batting Order Positions,"Bat1-2,non-P",30,46.0,42,4.0,10,0,0,1,0,0,3,10,3.33,0.238,0.304,0.31,0.614,13.0,1.0,1.0,0,0,0,0,0.29,117,69,9
Batting Order Positions,"Bat3-6,non-P",50,126.0,117,13.0,22,7,0,2,1,0,7,45,6.43,0.188,0.246,0.299,0.545,35.0,2.0,2.0,0,0,1,1,0.286,91,51,13
Batting Order Positions,"Bat7-9,non-P",42,74.0,67,10.0,14,3,0,2,0,0,4,23,5.75,0.209,0.25,0.343,0.593,23.0,0.0,0.0,2,1,0,0,0.279,106,80,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,53,75.0,71,11.0,15,1,0,3,,,2,20,10.0,0.211,0.233,0.352,0.585,25.0,1.0,0.0,2,0,0,0,0.25,102,67,11
Swung or Took First Pitch of PA,Took 1st Pitch,67,171.0,155,16.0,31,9,0,2,,,12,58,4.83,0.2,0.269,0.297,0.566,46.0,2.0,3.0,0,1,1,1,0.302,99,60,20
Count/Balls-Strikes,First Pitch,18,20.0,18,2.0,6,1,0,1,,,0,0,,0.333,0.333,0.556,0.889,10.0,1.0,0.0,2,0,0,0,0.294,206,96,4
Count/Balls-Strikes,1-0 Count,14,14.0,13,4.0,4,2,0,0,,,0,0,,0.308,0.357,0.462,0.819,6.0,0.0,1.0,0,0,0,0,0.308,186,85,2
Count/Balls-Strikes,2-0 Count,4,4.0,4,1.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,1,1.0,0,0.0,0,0,0,0,,,1,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,16,16.0,16,2.0,4,1,0,0,,,0,0,,0.25,0.25,0.313,0.563,5.0,1.0,0.0,0,0,0,0,0.25,97,39,3
Count/Balls-Strikes,1-1 Count,20,24.0,24,6.0,6,1,0,1,,,0,0,,0.25,0.25,0.417,0.667,10.0,0.0,0.0,0,0,0,0,0.217,130,58,4
Count/Balls-Strikes,2-1 Count,8,10.0,10,0.0,4,1,0,0,,,0,0,,0.4,0.4,0.5,0.9,5.0,0.0,0.0,0,0,0,0,0.4,214,106,3
Count/Balls-Strikes,3-1 Count,9,10.0,3,0.0,2,0,0,0,,,7,0,0.0,0.667,0.9,0.667,1.567,2.0,0.0,0.0,0,0,0,0,0.667,461,137,2
Count/Balls-Strikes,0-2 Count,32,35.0,35,0.0,2,0,0,0,,,0,22,,0.057,0.057,0.057,0.114,2.0,0.0,0.0,0,0,0,0,0.154,-60,-39,2
Count/Balls-Strikes,1-2 Count,34,47.0,45,4.0,7,2,0,0,,,0,23,,0.156,0.17,0.2,0.37,9.0,0.0,1.0,0,1,0,1,0.304,30,82,5
Count/Balls-Strikes,2-2 Count,33,38.0,38,2.0,5,1,0,2,,,0,27,,0.132,0.132,0.316,0.447,12.0,1.0,0.0,0,0,0,0,0.333,52,91,2
Count/Balls-Strikes,Full Count,23,27.0,20,6.0,6,1,0,1,,,6,6,1.0,0.3,0.482,0.5,0.982,10.0,0.0,1.0,0,0,0,0,0.385,246,160,4
Count/Balls-Strikes,After 1-0,54,97.0,86,12.0,22,6,0,1,,,9,22,2.44,0.256,0.34,0.361,0.701,31.0,1.0,2.0,0,0,1,0,0.333,146,76,15
Count/Balls-Strikes,After 2-0,25,30.0,23,3.0,6,2,0,1,,,7,9,1.29,0.261,0.433,0.478,0.912,11.0,0.0,0.0,0,0,1,0,0.385,220,92,3
Count/Balls-Strikes,After 3-0,7,7.0,2,0.0,1,0,0,0,,,5,1,0.2,0.5,0.857,0.5,1.357,1.0,0.0,0.0,0,0,1,0,1.0,391,122,1
Count/Balls-Strikes,After 0-1,64,129.0,122,13.0,18,3,0,3,,,5,56,11.2,0.148,0.186,0.246,0.432,30.0,1.0,1.0,0,1,0,1,0.234,50,46,12
Count/Balls-Strikes,After 1-1,55,104.0,94,11.0,19,3,0,2,,,7,32,4.57,0.202,0.269,0.298,0.567,28.0,1.0,2.0,0,1,0,0,0.279,99,72,14
Count/Balls-Strikes,After 2-1,37,57.0,49,4.0,11,2,0,2,,,8,21,2.63,0.225,0.333,0.388,0.721,19.0,1.0,0.0,0,0,0,0,0.346,153,84,7
Count/Balls-Strikes,After 3-1,16,18.0,8,0.0,3,0,0,0,,,10,1,0.1,0.375,0.722,0.375,1.097,3.0,0.0,0.0,0,0,0,0,0.429,299,108,3
Count/Balls-Strikes,After 0-2,44,62.0,62,5.0,7,1,0,1,,,0,37,,0.113,0.113,0.177,0.29,11.0,0.0,0.0,0,0,0,1,0.25,0,32,5
Count/Balls-Strikes,After 1-2,48,69.0,65,8.0,12,3,0,1,,,1,34,34.0,0.185,0.217,0.277,0.494,18.0,0.0,2.0,0,1,0,1,0.355,72,104,8
Count/Balls-Strikes,After 2-2,38,57.0,53,8.0,10,2,0,3,,,3,32,10.67,0.189,0.246,0.396,0.642,21.0,1.0,1.0,0,0,0,0,0.389,122,126,5
Count/Balls-Strikes,Zero Balls,51,71.0,69,4.0,12,2,0,1,,,0,22,,0.174,0.174,0.246,0.42,17.0,2.0,0.0,2,0,0,0,0.239,46,20,9
Count/Balls-Strikes,Zero Strikes,30,39.0,35,7.0,10,3,0,1,,,1,0,0.0,0.286,0.324,0.457,0.781,16.0,1.0,1.0,2,0,1,0,0.265,171,62,6
Count/Balls-Strikes,Three Balls,29,38.0,23,6.0,8,1,0,1,,,14,6,0.43,0.348,0.605,0.522,1.127,12.0,0.0,1.0,0,0,1,0,0.438,301,148,6
Count/Balls-Strikes,Two Strikes,64,147.0,138,12.0,20,4,0,3,,,6,78,13.0,0.145,0.191,0.239,0.43,33.0,1.0,2.0,0,1,0,1,0.293,50,69,13
Count/Balls-Strikes,Batter Ahead,42,66.0,50,11.0,16,4,0,1,,,14,6,0.43,0.32,0.485,0.46,0.945,23.0,0.0,2.0,0,0,1,0,0.349,235,99,11
Count/Balls-Strikes,Even Count,50,82.0,80,10.0,17,3,0,4,,,0,27,,0.213,0.213,0.4,0.613,32.0,2.0,0.0,2,0,0,0,0.265,110,74,10
Count/Balls-Strikes,Pitcher Ahead,55,98.0,96,6.0,13,3,0,0,,,0,45,,0.135,0.143,0.167,0.31,16.0,1.0,1.0,0,1,0,1,0.25,9,24,10
Leading Off Inning,First Batter,67,67.0,61,4.0,13,4,0,0,,,4,20,5.0,0.213,0.284,0.279,0.562,17.0,0.0,2.0,0,0,0,1,0.317,99,65,9
Leading Off Inning,Leadoff Inn.,58,58.0,53,2.0,12,2,0,1,,,4,15,3.75,0.226,0.293,0.321,0.614,17.0,0.0,1.0,0,0,0,1,0.297,116,80,9
