Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,72,281.0,244,16.0,51,9,0,5,3,3,36,76,2.11,0.209,0.311,0.307,0.618,75.0,8.0,0.0,1,0,2,3,0.282,100,75,37
Platoon Splits,vs RHB,71,194.0,170,22.0,39,8,0,5,3,1,23,49,2.13,0.229,0.321,0.365,0.686,62.0,8.0,0.0,1,0,2,3,0.293,122,95,26
Platoon Splits,vs LHB,54,87.0,74,1.0,12,1,0,0,0,2,13,27,2.08,0.162,0.287,0.176,0.463,13.0,0.0,0.0,0,0,0,0,0.255,50,33,11
Platoon Splits,vs RHB as LHP,71,194.0,170,22.0,39,8,0,5,3,1,23,49,2.13,0.229,0.321,0.365,0.686,62.0,8.0,0.0,1,0,2,3,0.293,122,87,26
Platoon Splits,vs LHB as LHP,54,87.0,74,1.0,12,1,0,0,0,2,13,27,2.08,0.162,0.287,0.176,0.463,13.0,0.0,0.0,0,0,0,0,0.255,50,48,11
Home or Away,Home,38,153.0,135,12.0,31,5,0,3,3,3,18,39,2.17,0.23,0.32,0.333,0.654,45.0,4.0,0.0,0,0,1,2,0.301,111,87,23
Home or Away,Away,34,128.0,109,4.0,20,4,0,2,0,0,18,37,2.06,0.184,0.299,0.275,0.574,30.0,4.0,0.0,1,0,1,1,0.257,86,61,14
First or Second Half,1st Half,43,157.0,138,4.0,26,4,0,3,3,3,19,41,2.16,0.188,0.287,0.283,0.569,39.0,6.0,0.0,0,0,0,1,0.245,85,61,19
First or Second Half,2nd Half,29,124.0,106,12.0,25,5,0,2,0,0,17,35,2.06,0.236,0.342,0.34,0.681,36.0,2.0,0.0,1,0,2,2,0.333,120,94,18
Months,April/March,14,51.0,45,1.0,11,2,0,0,1,1,6,14,2.33,0.244,0.333,0.289,0.622,13.0,2.0,0.0,0,0,0,0,0.355,101,77,9
Months,May,12,43.0,38,0.0,7,1,0,0,0,1,5,9,1.8,0.184,0.279,0.211,0.49,8.0,3.0,0.0,0,0,0,1,0.241,58,40,6
Months,June,11,43.0,37,1.0,5,1,0,1,2,1,6,14,2.33,0.135,0.256,0.243,0.499,9.0,0.0,0.0,0,0,0,0,0.182,62,42,3
Months,July,10,38.0,33,4.0,5,2,0,2,0,0,5,8,1.6,0.152,0.263,0.394,0.657,13.0,1.0,0.0,0,0,0,1,0.13,113,84,1
Months,August,13,52.0,47,3.0,9,3,0,1,0,0,5,17,3.4,0.192,0.269,0.319,0.588,15.0,1.0,0.0,0,0,1,0,0.276,90,64,5
Months,Sept/Oct,12,54.0,44,7.0,14,0,0,1,0,0,9,14,1.56,0.318,0.434,0.386,0.82,17.0,1.0,0.0,1,0,1,1,0.448,165,136,13
Game Outcome for Pitcher,in Wins,2,7.0,7,0.0,2,0,0,0,0,1,0,3,,0.286,0.286,0.286,0.571,2.0,0.0,0.0,0,0,0,0,0.5,85,105,2
Game Outcome for Pitcher,in Losses,1,6.0,3,2.0,3,0,0,1,0,0,2,0,0.0,1.0,1.0,2.0,3.0,6.0,0.0,0.0,1,0,1,0,1.0,873,517,2
Game Outcome for Pitcher,in No Dec.,50,192.0,169,11.0,35,4,0,4,3,2,23,52,2.26,0.207,0.302,0.302,0.604,51.0,6.0,0.0,0,0,0,2,0.274,96,75,27
Game Outcome for Pitcher,in Saves,19,76.0,65,3.0,11,5,0,0,0,0,11,21,1.91,0.169,0.29,0.246,0.536,16.0,2.0,0.0,0,0,1,1,0.25,73,132,6
Game Outcome for Pitcher,in Sv Situ,33,125.0,107,5.0,19,6,0,1,0,0,17,33,1.94,0.178,0.29,0.262,0.552,28.0,4.0,0.0,1,0,2,1,0.247,79,68,12
Game Outcome for Pitcher,in non-Sv,39,156.0,137,11.0,32,3,0,4,3,3,19,43,2.26,0.234,0.327,0.343,0.67,47.0,4.0,0.0,0,0,0,2,0.311,117,93,25
Pitching Role,as Reliever,72,281.0,244,16.0,51,9,0,5,3,3,36,76,2.11,0.209,0.311,0.307,0.618,75.0,8.0,0.0,1,0,2,3,0.282,100,80,37
