Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,64,251.0,239,21.0,50,11,2,8,0,1,10,42,4.2,0.209,0.247,0.372,0.619,89.0,2.0,2.0,0,0,1,0,0.222,100,68,29
Platoon Splits,vs RHB,60,129.0,122,8.0,25,5,1,2,0,0,6,18,3.0,0.205,0.248,0.312,0.56,38.0,1.0,1.0,0,0,1,0,0.226,84,54,17
Platoon Splits,vs LHB,58,122.0,117,15.0,25,6,1,6,0,1,4,24,6.0,0.214,0.246,0.436,0.682,51.0,1.0,1.0,0,0,0,0,0.218,117,85,12
Platoon Splits,vs RHB as RHP,60,129.0,122,8.0,25,5,1,2,0,0,6,18,3.0,0.205,0.248,0.312,0.56,38.0,1.0,1.0,0,0,1,0,0.226,84,58,17
Platoon Splits,vs LHB as RHP,58,122.0,117,15.0,25,6,1,6,0,1,4,24,6.0,0.214,0.246,0.436,0.682,51.0,1.0,1.0,0,0,0,0,0.218,117,81,12
Home or Away,Home,36,147.0,140,17.0,34,6,1,7,0,0,5,21,4.2,0.243,0.279,0.45,0.729,63.0,1.0,2.0,0,0,0,0,0.241,134,102,20
Home or Away,Away,28,104.0,99,4.0,16,5,1,1,0,1,5,21,4.2,0.162,0.202,0.263,0.465,26.0,1.0,0.0,0,0,1,0,0.195,53,25,9
First or Second Half,1st Half,34,131.0,127,9.0,24,6,0,1,0,1,3,29,9.67,0.189,0.214,0.26,0.474,33.0,1.0,1.0,0,0,0,0,0.237,57,32,17
First or Second Half,2nd Half,30,120.0,112,12.0,26,5,2,7,0,0,7,13,1.86,0.232,0.283,0.5,0.783,56.0,1.0,1.0,0,0,1,0,0.207,149,108,12
Months,April/March,10,33.0,32,0.0,1,0,0,0,0,0,1,10,10.0,0.031,0.061,0.031,0.092,1.0,0.0,0.0,0,0,0,0,0.046,-67,-72,1
Months,May,11,46.0,45,4.0,10,4,0,0,0,0,1,7,7.0,0.222,0.239,0.311,0.55,14.0,0.0,0.0,0,0,0,0,0.263,80,54,6
Months,June,8,31.0,30,2.0,7,0,0,1,0,1,1,10,10.0,0.233,0.258,0.333,0.591,10.0,0.0,0.0,0,0,0,0,0.316,94,61,6
Months,July,9,39.0,36,6.0,11,2,1,1,0,0,2,6,3.0,0.306,0.359,0.5,0.859,18.0,2.0,1.0,0,0,0,0,0.345,180,131,7
Months,August,13,50.0,46,2.0,7,1,0,1,0,0,3,5,1.67,0.152,0.22,0.239,0.459,11.0,0.0,1.0,0,0,0,0,0.15,53,27,5
Months,Sept/Oct,13,52.0,50,7.0,14,4,1,5,0,0,2,4,2.0,0.28,0.308,0.7,1.008,35.0,0.0,0.0,0,0,1,0,0.22,213,161,4
Game Outcome for Pitcher,in Wins,5,25.0,23,0.0,2,1,0,0,0,0,1,4,4.0,0.087,0.16,0.13,0.29,3.0,0.0,1.0,0,0,1,0,0.105,0,11,1
Game Outcome for Pitcher,in Losses,4,22.0,21,7.0,8,1,0,4,0,0,1,2,2.0,0.381,0.409,1.0,1.409,21.0,0.0,0.0,0,0,0,0,0.267,334,169,3
Game Outcome for Pitcher,in No Dec.,41,153.0,147,12.0,32,7,1,4,0,1,5,23,4.6,0.218,0.248,0.361,0.609,53.0,1.0,1.0,0,0,0,0,0.233,97,69,20
Game Outcome for Pitcher,in Saves,14,51.0,48,2.0,8,2,1,0,0,0,3,13,4.33,0.167,0.216,0.25,0.466,12.0,1.0,0.0,0,0,0,0,0.229,55,111,5
