Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,68,345.0,304,44.0,76,14,1,8,6,0,28,70,2.5,0.25,0.319,0.382,0.7,116.0,7.0,5.0,3,5,6,6,0.294,100,94,53
Platoon Splits,vs RHB,64,181.0,165,24.0,46,5,1,2,3,0,9,36,4.0,0.279,0.33,0.358,0.687,59.0,7.0,4.0,2,1,1,3,0.344,97,93,38
Platoon Splits,vs LHB,64,164.0,139,22.0,30,9,0,6,3,0,19,34,1.79,0.216,0.307,0.41,0.717,57.0,0.0,1.0,1,4,5,3,0.233,104,94,15
Platoon Splits,vs RHB as RHP,64,181.0,165,24.0,46,5,1,2,3,0,9,36,4.0,0.279,0.33,0.358,0.687,59.0,7.0,4.0,2,1,1,3,0.344,97,96,38
Platoon Splits,vs LHB as RHP,64,164.0,139,22.0,30,9,0,6,3,0,19,34,1.79,0.216,0.307,0.41,0.717,57.0,0.0,1.0,1,4,5,3,0.233,104,90,15
Home or Away,Home,37,188.0,165,24.0,39,5,1,4,4,0,14,47,3.36,0.236,0.307,0.352,0.658,58.0,2.0,4.0,2,3,3,2,0.299,88,85,29
Home or Away,Away,31,157.0,139,20.0,37,9,0,4,2,0,14,23,1.64,0.266,0.333,0.417,0.751,58.0,5.0,1.0,1,2,3,4,0.29,114,104,24
First or Second Half,1st Half,43,232.0,201,29.0,49,6,0,7,5,0,21,50,2.38,0.244,0.323,0.378,0.701,76.0,6.0,4.0,3,3,5,4,0.286,100,94,36
First or Second Half,2nd Half,25,113.0,103,15.0,27,8,1,1,1,0,7,20,2.86,0.262,0.31,0.388,0.698,40.0,1.0,1.0,0,2,1,2,0.31,99,92,17
Months,April/March,13,63.0,56,4.0,13,0,0,0,3,0,6,19,3.17,0.232,0.307,0.232,0.539,13.0,2.0,0.0,1,0,0,1,0.351,57,54,13
Months,May,13,83.0,71,10.0,18,4,0,3,0,0,9,12,1.33,0.254,0.342,0.437,0.778,31.0,2.0,1.0,1,1,4,0,0.263,121,113,11
Months,June,11,63.0,53,12.0,13,2,0,2,2,0,5,16,3.2,0.245,0.323,0.396,0.719,21.0,1.0,2.0,1,2,1,3,0.297,105,100,9
Months,July,10,47.0,41,7.0,10,2,0,2,1,0,5,7,1.4,0.244,0.34,0.439,0.779,18.0,1.0,1.0,0,0,1,1,0.25,122,110,6
Months,August,11,43.0,42,2.0,7,2,0,1,0,0,1,9,9.0,0.167,0.186,0.286,0.472,12.0,0.0,0.0,0,0,0,0,0.188,33,27,4
Months,Sept/Oct,10,46.0,41,9.0,15,4,1,0,0,0,2,7,3.5,0.366,0.391,0.512,0.904,21.0,1.0,1.0,0,2,0,1,0.417,157,151,10
Game Outcome for Pitcher,in Wins,6,38.0,33,2.0,7,1,0,1,0,0,4,8,2.0,0.212,0.29,0.333,0.623,11.0,1.0,0.0,0,1,1,0,0.24,78,126,5
Game Outcome for Pitcher,in Losses,3,18.0,15,8.0,6,2,0,1,0,0,3,2,0.67,0.4,0.5,0.733,1.233,11.0,0.0,0.0,0,0,1,1,0.417,249,153,3
Game Outcome for Pitcher,in No Dec.,46,227.0,199,29.0,54,8,1,5,6,0,18,48,2.67,0.271,0.339,0.397,0.736,79.0,5.0,4.0,3,3,3,3,0.329,110,106,40
Game Outcome for Pitcher,in Saves,13,62.0,57,5.0,9,3,0,1,0,0,3,12,4.0,0.158,0.21,0.263,0.473,15.0,1.0,1.0,0,1,1,2,0.178,35,111,5
Game Outcome for Pitcher,in Sv Situ,36,166.0,150,20.0,34,7,0,4,2,0,11,30,2.73,0.227,0.283,0.353,0.636,53.0,2.0,2.0,0,3,2,5,0.252,81,91,23
Game Outcome for Pitcher,in non-Sv,32,179.0,154,24.0,42,7,1,4,4,0,17,40,2.35,0.273,0.352,0.409,0.761,63.0,5.0,3.0,3,2,4,1,0.339,117,107,30
Pitching Role,as Reliever,68,345.0,304,44.0,76,14,1,8,6,0,28,70,2.5,0.25,0.319,0.382,0.7,116.0,7.0,5.0,3,5,6,6,0.294,100,95,53
Batting Order Positions,Batting 1st,32,34.0,28,1.0,4,1,0,0,2,0,4,5,1.25,0.143,0.265,0.179,0.443,5.0,0.0,1.0,0,1,1,1,0.167,30,22,3
Batting Order Positions,Batting 2nd,30,31.0,30,1.0,7,2,0,0,1,0,1,5,5.0,0.233,0.258,0.3,0.558,9.0,1.0,0.0,0,0,0,1,0.28,59,46,5
Batting Order Positions,Batting 3rd,34,34.0,28,6.0,7,3,0,1,0,0,5,9,1.8,0.25,0.382,0.464,0.847,13.0,1.0,1.0,0,0,1,0,0.333,141,113,3
Batting Order Positions,Batting 4th,38,38.0,36,10.0,14,3,1,0,0,0,2,5,2.5,0.389,0.421,0.528,0.949,19.0,1.0,0.0,0,0,0,1,0.452,170,143,10
Batting Order Positions,Batting 5th,44,44.0,38,5.0,13,3,0,2,0,0,3,11,3.67,0.342,0.409,0.579,0.988,22.0,0.0,2.0,0,1,1,0,0.423,180,161,8
Batting Order Positions,Batting 6th,42,42.0,40,5.0,9,0,0,1,0,0,2,9,4.5,0.225,0.262,0.3,0.562,12.0,1.0,0.0,0,0,2,1,0.267,61,57,8
Batting Order Positions,Batting 7th,39,41.0,32,7.0,6,0,0,1,3,0,4,12,3.0,0.188,0.282,0.281,0.563,9.0,0.0,1.0,2,2,1,1,0.238,62,64,5
