Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,66,249.0,234,26.0,46,7,1,3,6,0,9,83,9.22,0.197,0.234,0.274,0.507,64.0,4.0,3.0,1,2,0,3,0.287,100,37,35
Platoon Splits,vs RHB,64,137.0,131,14.0,25,5,1,2,0,0,4,47,11.75,0.191,0.219,0.29,0.509,38.0,2.0,1.0,0,1,0,1,0.277,99,37,17
Platoon Splits,vs LHB,57,112.0,103,14.0,21,2,0,1,6,0,5,36,7.2,0.204,0.252,0.252,0.505,26.0,2.0,2.0,1,1,0,2,0.299,100,35,18
Platoon Splits,vs RHB as RHP,64,137.0,131,14.0,25,5,1,2,0,0,4,47,11.75,0.191,0.219,0.29,0.509,38.0,2.0,1.0,0,1,0,1,0.277,99,39,17
Platoon Splits,vs LHB as RHP,57,112.0,103,14.0,21,2,0,1,6,0,5,36,7.2,0.204,0.252,0.252,0.505,26.0,2.0,2.0,1,1,0,2,0.299,100,32,18
Home or Away,Home,35,123.0,117,9.0,18,4,0,1,3,0,3,43,14.33,0.154,0.179,0.214,0.393,25.0,3.0,1.0,0,2,0,3,0.227,55,8,13
Home or Away,Away,31,126.0,117,17.0,28,3,1,2,3,0,6,40,6.67,0.239,0.288,0.333,0.621,39.0,1.0,2.0,1,0,0,0,0.347,145,63,22
First or Second Half,1st Half,37,129.0,124,8.0,22,5,0,2,3,0,3,47,15.67,0.177,0.195,0.266,0.461,33.0,2.0,0.0,1,1,0,2,0.263,80,23,15
First or Second Half,2nd Half,29,120.0,110,18.0,24,2,1,1,3,0,6,36,6.0,0.218,0.275,0.282,0.557,31.0,2.0,3.0,0,1,0,1,0.311,120,51,20
Months,April/March,8,34.0,32,5.0,10,2,0,1,2,0,0,8,,0.313,0.303,0.469,0.772,15.0,0.0,0.0,1,1,0,1,0.375,201,111,7
Months,May,14,46.0,44,2.0,7,1,0,1,1,0,2,17,8.5,0.159,0.196,0.25,0.446,11.0,2.0,0.0,0,0,0,1,0.231,75,19,5
Months,June,12,39.0,38,1.0,4,2,0,0,0,0,1,19,19.0,0.105,0.128,0.158,0.286,6.0,0.0,0.0,0,0,0,0,0.211,12,-25,2
Months,July,12,49.0,44,6.0,10,1,0,0,1,0,2,16,8.0,0.227,0.286,0.25,0.536,11.0,0.0,2.0,0,1,0,0,0.345,114,46,9
Months,August,13,54.0,51,9.0,11,0,1,0,1,0,2,14,7.0,0.216,0.259,0.255,0.514,13.0,2.0,1.0,0,0,0,1,0.297,104,38,10
Months,Sept/Oct,7,27.0,25,3.0,4,1,0,1,1,0,2,9,4.5,0.16,0.222,0.32,0.542,8.0,0.0,0.0,0,0,0,0,0.2,112,45,2
Game Outcome for Pitcher,in Wins,3,10.0,9,1.0,1,0,0,0,1,0,0,3,,0.111,0.1,0.111,0.211,1.0,0.0,0.0,0,1,0,0,0.143,-17,-27,1
Game Outcome for Pitcher,in Losses,4,26.0,21,12.0,12,1,1,0,1,0,1,5,5.0,0.571,0.615,0.714,1.33,15.0,0.0,3.0,0,1,0,0,0.706,423,173,10
