Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,64,294.0,259,37.0,79,13,2,9,5,1,29,69,2.38,0.305,0.372,0.475,0.847,123.0,7.0,1.0,1,4,2,2,0.378,100,140,55
Platoon Splits,vs RHB,59,152.0,136,22.0,37,5,1,6,2,0,12,34,2.83,0.272,0.329,0.456,0.785,62.0,3.0,1.0,0,3,1,2,0.313,84,119,25
Platoon Splits,vs LHB,62,142.0,123,20.0,42,8,1,3,3,1,17,35,2.06,0.342,0.418,0.496,0.914,61.0,4.0,0.0,1,1,1,0,0.454,117,163,30
Platoon Splits,vs RHB as RHP,59,152.0,136,22.0,37,5,1,6,2,0,12,34,2.83,0.272,0.329,0.456,0.785,62.0,3.0,1.0,0,3,1,2,0.313,84,123,25
Platoon Splits,vs LHB as RHP,62,142.0,123,20.0,42,8,1,3,3,1,17,35,2.06,0.342,0.418,0.496,0.914,61.0,4.0,0.0,1,1,1,0,0.454,117,159,30
Home or Away,Home,32,151.0,132,21.0,40,7,2,4,3,1,15,38,2.53,0.303,0.371,0.477,0.848,63.0,2.0,1.0,0,3,0,2,0.387,100,144,27
Home or Away,Away,32,143.0,127,16.0,39,6,0,5,2,0,14,31,2.21,0.307,0.373,0.472,0.846,60.0,5.0,0.0,1,1,2,0,0.37,100,135,28
First or Second Half,1st Half,39,191.0,168,27.0,54,9,2,4,3,0,19,40,2.11,0.321,0.387,0.47,0.858,79.0,5.0,1.0,0,3,2,2,0.394,103,143,39
First or Second Half,2nd Half,25,103.0,91,10.0,25,4,0,5,2,1,10,29,2.9,0.275,0.343,0.484,0.827,44.0,2.0,0.0,1,1,0,0,0.345,94,133,16
Months,April/March,7,29.0,26,2.0,7,2,1,0,1,0,2,9,4.5,0.269,0.31,0.423,0.733,11.0,1.0,0.0,0,1,0,1,0.389,72,116,4
Months,May,12,58.0,48,9.0,15,2,0,1,2,0,8,12,1.5,0.313,0.414,0.417,0.831,20.0,3.0,1.0,0,1,0,0,0.389,99,137,12
Months,June,12,61.0,55,10.0,20,5,1,2,0,0,5,11,2.2,0.364,0.41,0.6,1.01,33.0,0.0,0.0,0,1,1,0,0.419,137,177,12
Months,July,11,53.0,48,6.0,13,0,0,1,0,0,5,12,2.4,0.271,0.34,0.333,0.673,16.0,2.0,0.0,0,0,1,1,0.343,62,92,12
Months,August,12,55.0,48,8.0,16,2,0,4,0,1,5,12,2.4,0.333,0.389,0.625,1.014,30.0,1.0,0.0,1,1,0,0,0.364,136,183,10
Months,Sept/Oct,10,38.0,34,2.0,8,2,0,1,2,0,4,13,3.25,0.235,0.316,0.382,0.698,13.0,0.0,0.0,0,0,0,0,0.35,65,100,5
Game Outcome for Pitcher,in Wins,4,21.0,20,0.0,6,0,0,0,0,0,1,4,4.0,0.3,0.333,0.3,0.633,6.0,0.0,0.0,0,0,0,0,0.375,53,140,6
Game Outcome for Pitcher,in Losses,7,37.0,29,17.0,16,2,0,2,1,0,6,3,0.5,0.552,0.611,0.828,1.439,24.0,0.0,0.0,1,1,1,1,0.56,239,200,12
Game Outcome for Pitcher,in No Dec.,44,198.0,174,19.0,50,10,2,7,4,0,20,48,2.4,0.287,0.359,0.489,0.847,85.0,6.0,1.0,0,3,1,1,0.353,100,145,31
Game Outcome for Pitcher,in Saves,9,38.0,36,1.0,7,1,0,0,0,1,2,14,7.0,0.194,0.237,0.222,0.459,8.0,1.0,0.0,0,0,0,0,0.318,10,120,6
Game Outcome for Pitcher,in Sv Situ,19,83.0,76,9.0,24,3,1,4,0,1,6,22,3.67,0.316,0.361,0.54,0.901,41.0,2.0,0.0,0,1,0,0,0.392,111,172,16
Game Outcome for Pitcher,in non-Sv,45,211.0,183,28.0,55,10,1,5,5,0,23,47,2.04,0.301,0.376,0.448,0.824,82.0,5.0,1.0,1,3,2,2,0.373,95,134,39
Pitching Role,as Reliever,64,294.0,259,37.0,79,13,2,9,5,1,29,69,2.38,0.305,0.372,0.475,0.847,123.0,7.0,1.0,1,4,2,2,0.378,100,144,55
Batting Order Positions,Batting 1st,34,34.0,30,7.0,11,2,0,2,1,0,4,5,1.25,0.367,0.441,0.633,1.075,19.0,1.0,0.0,0,0,0,0,0.391,152,199,7
Batting Order Positions,Batting 2nd,30,30.0,28,6.0,6,1,1,2,2,0,1,9,9.0,0.214,0.233,0.536,0.769,15.0,1.0,0.0,0,1,1,0,0.222,76,95,2
Batting Order Positions,Batting 3rd,31,31.0,26,10.0,11,1,0,2,0,0,4,7,1.75,0.423,0.484,0.692,1.176,18.0,0.0,0.0,0,1,1,2,0.5,176,205,8
Batting Order Positions,Batting 4th,31,31.0,26,1.0,8,2,0,0,0,0,5,4,0.8,0.308,0.419,0.385,0.804,10.0,2.0,0.0,0,0,0,0,0.364,94,123,6
Batting Order Positions,Batting 5th,33,33.0,28,5.0,9,2,0,1,0,0,5,5,1.0,0.321,0.424,0.5,0.924,14.0,0.0,0.0,0,0,0,0,0.364,119,165,6
Batting Order Positions,Batting 6th,33,33.0,30,6.0,9,3,1,1,2,0,3,10,3.33,0.3,0.364,0.567,0.93,17.0,0.0,0.0,0,0,0,0,0.421,117,166,4
Batting Order Positions,Batting 7th,32,32.0,28,0.0,10,1,0,0,0,0,3,5,1.67,0.357,0.438,0.393,0.83,11.0,2.0,1.0,0,0,0,0,0.435,101,152,9
Batting Order Positions,Batting 8th,32,32.0,31,2.0,9,0,0,0,0,0,0,12,,0.29,0.281,0.29,0.572,9.0,0.0,0.0,0,1,0,0,0.45,37,75,9
Batting Order Positions,Batting 9th,38,38.0,32,5.0,6,1,0,1,0,1,4,12,3.0,0.188,0.27,0.313,0.583,10.0,1.0,0.0,1,1,0,0,0.25,39,84,4
Batting Order Positions,"Bat1-2,non-P",40,64.0,58,13.0,17,3,1,4,3,0,5,14,2.8,0.293,0.344,0.586,0.93,34.0,2.0,0.0,0,1,1,0,0.317,116,148,9
Batting Order Positions,"Bat3-6,non-P",51,128.0,110,22.0,37,8,1,4,2,0,17,26,1.53,0.336,0.422,0.536,0.958,59.0,2.0,0.0,0,1,1,2,0.407,126,165,24
Batting Order Positions,"Bat7-9,non-P",47,102.0,91,7.0,25,2,0,1,0,1,7,29,4.14,0.275,0.327,0.33,0.656,30.0,3.0,1.0,1,2,0,0,0.381,57,103,22
Swung or Took First Pitch of PA,Swung at 1st Pitch,51,91.0,81,9.0,17,2,0,2,,,4,19,4.75,0.21,0.244,0.309,0.553,25.0,1.0,1.0,1,4,0,0,0.234,31,60,13
Swung or Took First Pitch of PA,Took 1st Pitch,64,203.0,178,33.0,62,11,2,7,,,25,50,2.0,0.348,0.429,0.551,0.979,98.0,6.0,0.0,0,0,2,2,0.455,131,176,42
