Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,71,288.0,253,18.0,42,8,2,4,4,2,27,80,2.96,0.166,0.256,0.261,0.517,66.0,7.0,4.0,3,1,4,5,0.224,100,45,28
Platoon Splits,vs RHB,66,152.0,136,11.0,22,4,1,1,2,1,12,45,3.75,0.162,0.245,0.228,0.473,31.0,2.0,3.0,1,0,2,2,0.233,83,34,16
Platoon Splits,vs LHB,62,136.0,117,10.0,20,4,1,3,2,1,15,35,2.33,0.171,0.269,0.299,0.568,35.0,5.0,1.0,2,1,2,3,0.213,120,57,12
Platoon Splits,vs RHB as RHP,66,152.0,136,11.0,22,4,1,1,2,1,12,45,3.75,0.162,0.245,0.228,0.473,31.0,2.0,3.0,1,0,2,2,0.233,83,37,16
Platoon Splits,vs LHB as RHP,62,136.0,117,10.0,20,4,1,3,2,1,15,35,2.33,0.171,0.269,0.299,0.568,35.0,5.0,1.0,2,1,2,3,0.213,120,53,12
Home or Away,Home,36,137.0,123,15.0,21,4,1,4,3,2,13,37,2.85,0.171,0.25,0.317,0.567,39.0,3.0,0.0,1,0,2,2,0.207,119,60,12
Home or Away,Away,35,151.0,130,3.0,21,4,1,0,1,0,14,43,3.07,0.162,0.262,0.208,0.469,27.0,4.0,4.0,2,1,2,3,0.239,82,30,16
First or Second Half,1st Half,38,149.0,124,6.0,13,4,2,0,2,2,21,39,1.86,0.105,0.243,0.169,0.413,21.0,5.0,2.0,1,1,3,4,0.151,60,18,7
First or Second Half,2nd Half,33,139.0,129,12.0,29,4,0,4,2,0,6,41,6.83,0.225,0.27,0.349,0.619,45.0,2.0,2.0,2,0,1,1,0.298,139,71,21
Months,April/March,9,34.0,29,0.0,1,1,0,0,0,1,5,8,1.6,0.035,0.177,0.069,0.246,2.0,3.0,0.0,0,0,0,1,0.048,-5,-27,0
Months,May,13,57.0,46,2.0,5,2,0,0,2,0,9,13,1.44,0.109,0.25,0.152,0.402,7.0,0.0,0.0,1,1,3,1,0.147,56,15,3
Months,June,12,44.0,35,4.0,6,1,1,0,0,1,7,16,2.29,0.171,0.341,0.257,0.598,9.0,2.0,2.0,0,0,0,2,0.316,132,69,4
