Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,59,264.0,248,25.0,57,13,3,7,2,1,10,42,4.2,0.23,0.27,0.391,0.661,97.0,5.0,4.0,1,1,1,3,0.25,100,80,34
Platoon Splits,vs RHB,57,153.0,144,12.0,31,7,1,3,1,1,4,22,5.5,0.215,0.257,0.34,0.597,49.0,2.0,4.0,1,0,0,3,0.235,82,65,20
Platoon Splits,vs LHB,53,111.0,104,16.0,26,6,2,4,1,0,6,20,3.33,0.25,0.288,0.462,0.75,48.0,3.0,0.0,0,1,1,0,0.272,125,101,14
Platoon Splits,vs RHB as RHP,57,153.0,144,12.0,31,7,1,3,1,1,4,22,5.5,0.215,0.257,0.34,0.597,49.0,2.0,4.0,1,0,0,3,0.235,82,68,20
Platoon Splits,vs LHB as RHP,53,111.0,104,16.0,26,6,2,4,1,0,6,20,3.33,0.25,0.288,0.462,0.75,48.0,3.0,0.0,0,1,1,0,0.272,125,97,14
Home or Away,Home,32,129.0,124,9.0,26,6,2,2,1,1,3,23,7.67,0.21,0.233,0.339,0.571,42.0,2.0,1.0,0,1,1,2,0.24,73,60,16
Home or Away,Away,27,135.0,124,16.0,31,7,1,5,1,0,7,19,2.71,0.25,0.306,0.444,0.75,55.0,3.0,3.0,1,0,0,1,0.26,127,98,18
First or Second Half,1st Half,32,144.0,135,14.0,35,6,1,3,0,1,5,20,4.0,0.259,0.301,0.385,0.686,52.0,3.0,3.0,1,0,0,1,0.286,110,86,25
First or Second Half,2nd Half,27,120.0,113,11.0,22,7,2,4,2,0,5,22,4.4,0.195,0.233,0.398,0.632,45.0,2.0,1.0,0,1,1,2,0.205,88,72,9
Months,April/March,10,40.0,39,4.0,11,3,0,0,0,1,0,3,,0.282,0.3,0.359,0.659,14.0,1.0,1.0,0,0,0,0,0.306,103,79,8
Months,May,10,47.0,44,1.0,8,1,0,0,0,0,1,10,10.0,0.182,0.217,0.205,0.422,9.0,1.0,1.0,1,0,0,1,0.235,33,17,7
Months,June,9,41.0,36,3.0,7,1,1,1,0,0,4,6,1.5,0.194,0.293,0.361,0.654,13.0,1.0,1.0,0,0,0,0,0.207,101,79,4
Months,July,10,47.0,45,6.0,13,3,0,2,1,0,1,6,6.0,0.289,0.319,0.489,0.808,22.0,0.0,1.0,0,0,1,1,0.297,143,117,8
Months,August,9,41.0,40,7.0,11,2,2,2,0,0,1,7,7.0,0.275,0.293,0.575,0.868,23.0,0.0,0.0,0,0,0,0,0.29,156,134,5
Months,Sept/Oct,11,48.0,44,4.0,7,3,0,2,1,0,3,10,3.33,0.159,0.208,0.364,0.572,16.0,2.0,0.0,0,1,0,1,0.152,70,59,2
Game Outcome for Pitcher,in Wins,6,35.0,33,0.0,5,1,0,0,1,0,1,9,9.0,0.152,0.2,0.182,0.382,6.0,0.0,1.0,0,0,1,1,0.208,21,34,4
Game Outcome for Pitcher,in Losses,2,14.0,14,8.0,9,2,0,3,0,0,0,1,,0.643,0.643,1.429,2.072,20.0,0.0,0.0,0,0,0,0,0.6,504,325,4
Game Outcome for Pitcher,in No Dec.,24,108.0,102,12.0,25,5,2,3,1,1,2,20,10.0,0.245,0.271,0.422,0.693,43.0,2.0,2.0,1,1,0,1,0.275,108,91,15
Game Outcome for Pitcher,in Saves,27,107.0,99,5.0,18,5,1,1,0,0,7,12,1.71,0.182,0.243,0.283,0.526,28.0,3.0,1.0,0,0,0,1,0.198,62,125,11
Game Outcome for Pitcher,in Sv Situ,30,122.0,113,9.0,24,6,1,2,0,0,8,14,1.75,0.212,0.271,0.336,0.607,38.0,3.0,1.0,0,0,0,1,0.227,86,79,15
