Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,54,239.0,219,11.0,28,6,0,6,1,0,20,94,4.7,0.128,0.201,0.237,0.438,52.0,3.0,0.0,0,0,1,0,0.185,100,24,16
Platoon Splits,vs RHB,50,139.0,127,9.0,15,3,0,4,1,0,12,62,5.17,0.118,0.194,0.236,0.43,30.0,1.0,0.0,0,0,0,0,0.18,96,21,8
Platoon Splits,vs LHB,49,100.0,92,5.0,13,3,0,2,0,0,8,32,4.0,0.141,0.21,0.239,0.449,22.0,2.0,0.0,0,0,1,0,0.19,105,29,8
Platoon Splits,vs RHB as RHP,50,139.0,127,9.0,15,3,0,4,1,0,12,62,5.17,0.118,0.194,0.236,0.43,30.0,1.0,0.0,0,0,0,0,0.18,96,23,8
Platoon Splits,vs LHB as RHP,49,100.0,92,5.0,13,3,0,2,0,0,8,32,4.0,0.141,0.21,0.239,0.449,22.0,2.0,0.0,0,0,1,0,0.19,105,28,8
Home or Away,Home,33,137.0,125,6.0,17,1,0,4,0,0,12,52,4.33,0.136,0.212,0.24,0.452,30.0,3.0,0.0,0,0,0,0,0.188,107,31,12
Home or Away,Away,21,102.0,94,5.0,11,5,0,2,1,0,8,42,5.25,0.117,0.186,0.234,0.42,22.0,0.0,0.0,0,0,1,0,0.18,91,17,4
First or Second Half,1st Half,31,141.0,129,5.0,14,4,0,1,1,0,12,57,4.75,0.109,0.184,0.163,0.347,21.0,2.0,0.0,0,0,0,0,0.183,60,0,9
First or Second Half,2nd Half,23,98.0,90,6.0,14,2,0,5,0,0,8,37,4.63,0.156,0.225,0.344,0.569,31.0,1.0,0.0,0,0,1,0,0.188,157,59,7
Months,April/March,6,20.0,20,0.0,1,1,0,0,1,0,0,12,,0.05,0.05,0.1,0.15,2.0,0.0,0.0,0,0,0,0,0.125,-33,-57,0
Months,May,10,44.0,39,2.0,3,0,0,0,0,0,5,16,3.2,0.077,0.182,0.077,0.259,3.0,2.0,0.0,0,0,0,0,0.13,23,-23,3
Months,June,9,47.0,42,2.0,6,3,0,1,0,0,5,17,3.4,0.143,0.234,0.286,0.52,12.0,0.0,0.0,0,0,0,0,0.208,137,44,2
Months,July,9,40.0,38,1.0,4,0,0,0,0,0,2,19,9.5,0.105,0.15,0.105,0.255,4.0,0.0,0.0,0,0,0,0,0.211,19,-26,4
Months,August,9,43.0,40,3.0,7,0,0,3,0,0,3,15,5.0,0.175,0.233,0.4,0.633,16.0,0.0,0.0,0,0,1,0,0.182,185,76,4
Months,Sept/Oct,11,45.0,40,3.0,7,2,0,2,0,0,5,15,3.0,0.175,0.267,0.375,0.642,15.0,1.0,0.0,0,0,0,0,0.217,191,82,3
Game Outcome for Pitcher,in Wins,9,50.0,45,3.0,6,0,0,1,0,0,5,24,4.8,0.133,0.22,0.2,0.42,9.0,0.0,0.0,0,0,0,0,0.25,94,59,5
Game Outcome for Pitcher,in Losses,1,6.0,5,2.0,2,0,0,1,0,0,1,3,3.0,0.4,0.5,1.0,1.5,5.0,0.0,0.0,0,0,0,0,1.0,571,201,1
Game Outcome for Pitcher,in No Dec.,25,107.0,97,3.0,11,4,0,2,1,0,10,38,3.8,0.113,0.196,0.217,0.413,21.0,2.0,0.0,0,0,1,0,0.158,89,20,5
Game Outcome for Pitcher,in Saves,19,76.0,72,3.0,9,2,0,2,0,0,4,29,7.25,0.125,0.171,0.236,0.407,17.0,1.0,0.0,0,0,0,0,0.171,85,96,5
Game Outcome for Pitcher,in Sv Situ,30,128.0,119,8.0,16,4,0,5,1,0,9,52,5.78,0.135,0.195,0.294,0.489,35.0,2.0,0.0,0,0,0,0,0.177,121,48,7
Game Outcome for Pitcher,in non-Sv,24,111.0,100,3.0,12,2,0,1,0,0,11,42,3.82,0.12,0.207,0.17,0.377,17.0,1.0,0.0,0,0,1,0,0.193,75,9,9
Pitching Role,as Reliever,54,239.0,219,11.0,28,6,0,6,1,0,20,94,4.7,0.128,0.201,0.237,0.438,52.0,3.0,0.0,0,0,1,0,0.185,100,27,16
Batting Order Positions,Batting 1st,31,31.0,26,5.0,6,1,0,2,0,0,5,9,1.8,0.231,0.355,0.5,0.855,13.0,0.0,0.0,0,0,0,0,0.267,288,138,3
Batting Order Positions,Batting 2nd,34,34.0,32,2.0,4,1,0,0,0,0,2,13,6.5,0.125,0.177,0.156,0.333,5.0,2.0,0.0,0,0,0,0,0.211,53,-10,3
Batting Order Positions,Batting 3rd,35,35.0,32,3.0,4,0,0,2,1,0,3,13,4.33,0.125,0.2,0.313,0.513,10.0,1.0,0.0,0,0,0,0,0.118,132,32,2
Batting Order Positions,Batting 4th,27,27.0,25,0.0,3,1,0,0,0,0,2,14,7.0,0.12,0.185,0.16,0.345,4.0,0.0,0.0,0,0,0,0,0.273,60,-4,2
