Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,79,320.0,291,29.0,73,12,0,7,5,1,22,78,3.55,0.251,0.309,0.364,0.673,106.0,8.0,3.0,3,1,3,2,0.319,100,80,54
Platoon Splits,vs RHB,76,165.0,155,13.0,38,8,0,3,0,1,6,49,8.17,0.245,0.282,0.355,0.637,55.0,6.0,2.0,2,0,0,0,0.34,89,72,27
Platoon Splits,vs LHB,69,155.0,136,15.0,35,4,0,4,5,0,16,29,1.81,0.257,0.338,0.375,0.713,51.0,2.0,1.0,1,1,3,2,0.298,112,88,27
Platoon Splits,vs RHB as RHP,76,165.0,155,13.0,38,8,0,3,0,1,6,49,8.17,0.245,0.282,0.355,0.637,55.0,6.0,2.0,2,0,0,0,0.34,89,76,27
Platoon Splits,vs LHB as RHP,69,155.0,136,15.0,35,4,0,4,5,0,16,29,1.81,0.257,0.338,0.375,0.713,51.0,2.0,1.0,1,1,3,2,0.298,112,85,27
Home or Away,Home,36,155.0,139,15.0,38,5,0,4,1,0,13,35,2.69,0.273,0.344,0.396,0.74,55.0,5.0,2.0,1,0,1,0,0.34,120,103,29
Home or Away,Away,43,165.0,152,14.0,35,7,0,3,4,1,9,43,4.78,0.23,0.276,0.336,0.612,51.0,3.0,1.0,2,1,2,2,0.299,82,59,25
First or Second Half,1st Half,45,188.0,168,16.0,38,7,0,4,2,0,16,44,2.75,0.226,0.296,0.339,0.635,57.0,1.0,1.0,2,1,3,2,0.281,89,70,27
First or Second Half,2nd Half,34,132.0,123,13.0,35,5,0,3,3,1,6,34,5.67,0.285,0.328,0.398,0.727,49.0,7.0,2.0,1,0,0,0,0.372,116,93,27
Months,April/March,10,43.0,39,4.0,8,2,0,0,0,0,4,15,3.75,0.205,0.279,0.256,0.536,10.0,0.0,0.0,0,0,0,1,0.333,61,43,6
Months,May,15,61.0,55,3.0,12,2,0,0,0,0,4,13,3.25,0.218,0.267,0.255,0.521,14.0,0.0,0.0,1,1,0,0,0.279,57,41,10
Months,June,14,60.0,51,6.0,13,1,0,3,1,0,8,12,1.5,0.255,0.367,0.451,0.818,23.0,1.0,1.0,0,0,3,1,0.278,143,123,9
Months,July,13,49.0,47,7.0,13,2,0,2,1,0,1,10,10.0,0.277,0.292,0.447,0.739,21.0,1.0,0.0,1,0,0,0,0.314,117,95,9
Months,August,14,56.0,51,4.0,14,2,0,1,2,0,3,14,4.67,0.275,0.327,0.373,0.7,19.0,3.0,1.0,1,0,0,0,0.361,108,84,11
Months,Sept/Oct,13,51.0,48,5.0,13,3,0,1,1,1,2,14,7.0,0.271,0.314,0.396,0.71,19.0,3.0,1.0,0,0,0,0,0.364,110,91,9
Game Outcome for Pitcher,in Wins,5,23.0,23,1.0,3,0,0,1,0,0,0,6,,0.13,0.13,0.261,0.391,6.0,1.0,0.0,0,0,0,0,0.125,14,29,2
Game Outcome for Pitcher,in Losses,5,29.0,26,12.0,13,2,0,5,1,0,2,1,0.5,0.5,0.536,1.154,1.69,30.0,1.0,0.0,1,0,0,0,0.4,391,233,6
Game Outcome for Pitcher,in No Dec.,59,231.0,205,15.0,48,8,0,1,3,0,20,63,3.15,0.234,0.31,0.288,0.598,59.0,5.0,3.0,2,1,3,2,0.331,79,64,39
Game Outcome for Pitcher,in Saves,10,37.0,37,1.0,9,2,0,0,1,1,0,8,,0.243,0.243,0.297,0.541,11.0,1.0,0.0,0,0,0,0,0.31,60,132,7
Game Outcome for Pitcher,in Sv Situ,43,173.0,161,17.0,42,6,0,4,1,1,10,40,4.0,0.261,0.312,0.373,0.685,60.0,5.0,2.0,0,0,3,2,0.325,103,98,32
Game Outcome for Pitcher,in non-Sv,36,147.0,130,12.0,31,6,0,3,4,0,12,38,3.17,0.239,0.306,0.354,0.659,46.0,3.0,1.0,3,1,0,0,0.311,96,78,22
Pitching Role,as Reliever,79,320.0,291,29.0,73,12,0,7,5,1,22,78,3.55,0.251,0.309,0.364,0.673,106.0,8.0,3.0,3,1,3,2,0.319,100,85,54
Batting Order Positions,Batting 1st,31,31.0,28,5.0,8,3,0,1,0,0,2,10,5.0,0.286,0.355,0.5,0.855,14.0,0.0,1.0,0,0,0,0,0.412,152,124,4
Batting Order Positions,Batting 2nd,28,28.0,25,2.0,5,1,0,0,1,0,2,9,4.5,0.2,0.25,0.24,0.49,6.0,0.0,0.0,0,1,0,0,0.294,47,32,4
Batting Order Positions,Batting 3rd,34,34.0,31,5.0,13,1,0,1,0,1,2,4,2.0,0.419,0.471,0.548,1.019,17.0,1.0,1.0,0,0,1,0,0.462,203,146,11
Batting Order Positions,Batting 4th,41,41.0,39,1.0,10,1,0,1,0,0,2,11,5.5,0.256,0.293,0.359,0.652,14.0,2.0,0.0,0,0,0,0,0.333,93,60,8
Batting Order Positions,Batting 5th,40,40.0,36,1.0,8,1,0,0,1,0,2,10,5.0,0.222,0.282,0.25,0.532,9.0,1.0,1.0,1,0,1,1,0.308,60,40,7
Batting Order Positions,Batting 6th,36,36.0,32,2.0,5,1,0,0,0,0,4,10,2.5,0.156,0.25,0.188,0.438,6.0,3.0,0.0,0,0,0,0,0.227,33,18,4
Batting Order Positions,Batting 7th,37,37.0,33,6.0,10,1,0,2,2,0,3,6,2.0,0.303,0.361,0.515,0.876,17.0,0.0,0.0,1,0,1,0,0.32,158,139,7
Batting Order Positions,Batting 8th,37,37.0,33,2.0,7,3,0,1,1,0,4,10,2.5,0.212,0.297,0.394,0.691,13.0,0.0,0.0,0,0,0,1,0.273,104,95,3
Batting Order Positions,Batting 9th,36,36.0,34,4.0,7,0,0,1,0,0,1,8,8.0,0.206,0.229,0.294,0.523,10.0,1.0,0.0,1,0,0,0,0.24,55,83,6
Batting Order Positions,"Bat1-2,non-P",35,59.0,53,7.0,13,4,0,1,1,0,4,19,4.75,0.245,0.305,0.377,0.683,20.0,0.0,1.0,0,1,0,0,0.353,102,81,8
Batting Order Positions,"Bat3-6,non-P",64,151.0,138,9.0,36,4,0,2,1,1,10,35,3.5,0.261,0.32,0.333,0.653,46.0,7.0,2.0,1,0,2,1,0.337,95,66,30
Batting Order Positions,"Bat7-9,non-P",52,110.0,100,12.0,24,4,0,4,3,0,8,24,3.0,0.24,0.296,0.4,0.696,40.0,1.0,0.0,2,0,1,1,0.278,106,96,16
Swung or Took First Pitch of PA,Swung at 1st Pitch,56,105.0,101,12.0,28,4,0,3,,,1,24,24.0,0.277,0.291,0.406,0.697,41.0,2.0,1.0,2,0,0,1,0.338,106,90,21
Swung or Took First Pitch of PA,Took 1st Pitch,78,215.0,190,16.0,45,8,0,4,,,21,54,2.57,0.237,0.318,0.342,0.66,65.0,6.0,2.0,1,1,3,1,0.308,97,76,33
Count/Balls-Strikes,First Pitch,34,42.0,41,9.0,18,4,0,1,,,0,0,,0.439,0.439,0.61,1.049,25.0,1.0,0.0,1,0,0,1,0.425,210,137,13
Count/Balls-Strikes,1-0 Count,14,15.0,14,1.0,3,1,0,0,,,0,0,,0.214,0.214,0.286,0.5,4.0,2.0,0.0,1,0,0,0,0.214,48,14,2
Count/Balls-Strikes,2-0 Count,6,6.0,5,1.0,3,0,0,0,,,0,0,,0.6,0.5,0.6,1.1,3.0,0.0,0.0,0,1,0,0,0.5,227,127,3
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,27,33.0,30,1.0,7,1,0,1,,,0,0,,0.233,0.281,0.367,0.648,11.0,1.0,2.0,1,0,0,0,0.207,92,63,5
Count/Balls-Strikes,1-1 Count,23,25.0,25,1.0,7,1,0,0,,,0,0,,0.28,0.28,0.32,0.6,8.0,0.0,0.0,0,0,0,0,0.28,79,44,6
Count/Balls-Strikes,2-1 Count,14,14.0,14,0.0,6,1,0,0,,,0,0,,0.429,0.429,0.5,0.929,7.0,0.0,0.0,0,0,0,0,0.429,176,116,5
Count/Balls-Strikes,3-1 Count,6,6.0,2,1.0,1,1,0,0,,,4,0,0.0,0.5,0.833,1.0,1.833,2.0,0.0,0.0,0,0,0,0,0.5,444,177,0
