Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,64,250.0,236,19.0,49,9,0,4,2,0,13,81,6.23,0.208,0.249,0.297,0.546,70.0,6.0,0.0,1,0,1,1,0.298,100,51,36
Platoon Splits,vs RHB,61,136.0,128,14.0,28,2,0,3,1,0,8,41,5.13,0.219,0.265,0.305,0.569,39.0,5.0,0.0,0,0,0,0,0.298,109,58,23
Platoon Splits,vs LHB,58,114.0,108,6.0,21,7,0,1,1,0,5,40,8.0,0.194,0.23,0.287,0.517,31.0,1.0,0.0,1,0,1,1,0.299,89,43,13
Platoon Splits,vs RHB as RHP,61,136.0,128,14.0,28,2,0,3,1,0,8,41,5.13,0.219,0.265,0.305,0.569,39.0,5.0,0.0,0,0,0,0,0.298,109,62,23
Platoon Splits,vs LHB as RHP,58,114.0,108,6.0,21,7,0,1,1,0,5,40,8.0,0.194,0.23,0.287,0.517,31.0,1.0,0.0,1,0,1,1,0.299,89,40,13
Home or Away,Home,36,141.0,134,12.0,22,6,0,3,1,0,7,52,7.43,0.164,0.206,0.276,0.482,37.0,1.0,0.0,0,0,1,1,0.241,76,35,13
Home or Away,Away,28,109.0,102,7.0,27,3,0,1,1,0,6,29,4.83,0.265,0.306,0.324,0.629,33.0,5.0,0.0,1,0,0,0,0.361,132,72,23
First or Second Half,1st Half,36,141.0,136,9.0,25,3,0,1,2,0,5,48,9.6,0.184,0.213,0.228,0.441,31.0,3.0,0.0,0,0,1,0,0.276,62,24,21
First or Second Half,2nd Half,28,109.0,100,10.0,24,6,0,3,0,0,8,33,4.13,0.24,0.296,0.39,0.686,39.0,3.0,0.0,1,0,0,1,0.328,150,85,15
Months,April/March,10,45.0,43,2.0,11,2,0,0,1,0,2,13,6.5,0.256,0.289,0.302,0.591,13.0,1.0,0.0,0,0,1,0,0.367,118,71,9
Months,May,11,44.0,42,6.0,8,1,0,1,1,0,2,11,5.5,0.191,0.227,0.286,0.513,12.0,2.0,0.0,0,0,0,0,0.233,88,44,6
Months,June,9,32.0,31,1.0,4,0,0,0,0,0,1,15,15.0,0.129,0.156,0.129,0.285,4.0,0.0,0.0,0,0,0,0,0.25,6,-20,4
Months,July,12,49.0,46,4.0,9,1,0,2,0,0,3,16,5.33,0.196,0.245,0.348,0.593,16.0,0.0,0.0,0,0,0,1,0.25,116,59,6
Months,August,10,38.0,36,1.0,7,1,0,1,0,0,2,13,6.5,0.194,0.237,0.306,0.542,11.0,1.0,0.0,0,0,0,0,0.273,98,49,5
Months,Sept/Oct,12,42.0,38,5.0,10,4,0,0,0,0,3,13,4.33,0.263,0.317,0.368,0.686,14.0,2.0,0.0,1,0,0,0,0.4,151,86,6
Game Outcome for Pitcher,in Wins,5,29.0,28,3.0,8,1,0,0,0,0,1,10,10.0,0.286,0.31,0.321,0.632,9.0,1.0,0.0,0,0,1,0,0.444,133,138,7
Game Outcome for Pitcher,in Losses,3,13.0,12,5.0,5,1,0,0,0,0,1,3,3.0,0.417,0.462,0.5,0.962,6.0,0.0,0.0,0,0,0,0,0.556,254,99,4
Game Outcome for Pitcher,in No Dec.,30,113.0,107,9.0,24,6,0,4,2,0,5,36,7.2,0.224,0.259,0.393,0.651,42.0,0.0,0.0,1,0,0,1,0.299,136,80,14
Game Outcome for Pitcher,in Saves,26,95.0,89,2.0,12,1,0,0,0,0,6,32,5.33,0.135,0.19,0.146,0.336,13.0,5.0,0.0,0,0,0,0,0.211,25,52,11
Game Outcome for Pitcher,in Sv Situ,29,107.0,100,6.0,15,2,0,2,0,0,7,36,5.14,0.15,0.206,0.23,0.436,23.0,5.0,0.0,0,0,0,0,0.21,60,28,11
Game Outcome for Pitcher,in non-Sv,35,143.0,136,13.0,34,7,0,2,2,0,6,45,7.5,0.25,0.282,0.346,0.627,47.0,1.0,0.0,1,0,1,1,0.36,130,73,25
Pitching Role,as Reliever,64,250.0,236,19.0,49,9,0,4,2,0,13,81,6.23,0.208,0.249,0.297,0.546,70.0,6.0,0.0,1,0,1,1,0.298,100,53,36
Batting Order Positions,Batting 1st,31,31.0,30,1.0,4,1,0,0,0,0,1,12,12.0,0.133,0.161,0.167,0.328,5.0,0.0,0.0,0,0,0,0,0.222,21,-13,3
Batting Order Positions,Batting 2nd,28,28.0,26,2.0,8,2,0,0,0,0,2,8,4.0,0.308,0.357,0.385,0.742,10.0,2.0,0.0,0,0,0,0,0.444,173,94,6
Batting Order Positions,Batting 3rd,26,26.0,26,1.0,5,2,0,1,1,0,0,7,,0.192,0.192,0.385,0.577,10.0,0.0,0.0,0,0,0,1,0.222,107,39,2
Batting Order Positions,Batting 4th,21,21.0,19,6.0,6,0,0,1,0,0,2,7,3.5,0.316,0.381,0.474,0.855,9.0,2.0,0.0,0,0,1,0,0.455,213,121,5
Batting Order Positions,Batting 5th,23,23.0,23,2.0,6,2,0,0,0,0,0,5,,0.261,0.261,0.348,0.609,8.0,0.0,0.0,0,0,0,0,0.333,122,64,4
Batting Order Positions,Batting 6th,23,24.0,24,3.0,9,2,0,1,0,0,0,7,,0.375,0.375,0.583,0.958,14.0,1.0,0.0,0,0,0,0,0.5,247,162,6
Batting Order Positions,Batting 7th,27,27.0,25,1.0,5,0,0,0,0,0,2,10,5.0,0.2,0.259,0.2,0.459,5.0,0.0,0.0,0,0,0,0,0.333,71,37,5
Batting Order Positions,Batting 8th,35,35.0,32,2.0,3,0,0,1,0,0,3,13,4.33,0.094,0.171,0.188,0.359,6.0,1.0,0.0,0,0,0,0,0.111,32,9,2
Batting Order Positions,Batting 9th,35,35.0,31,2.0,3,0,0,0,1,0,3,12,4.0,0.097,0.177,0.097,0.273,3.0,0.0,0.0,1,0,0,0,0.158,3,-1,3
Batting Order Positions,"Bat1-2,non-P",37,59.0,56,3.0,12,3,0,0,0,0,3,20,6.67,0.214,0.254,0.268,0.522,15.0,2.0,0.0,0,0,0,0,0.333,92,37,9
Batting Order Positions,"Bat3-6,non-P",42,94.0,92,12.0,26,6,0,3,1,0,2,26,13.0,0.283,0.298,0.446,0.744,41.0,3.0,0.0,0,0,1,1,0.365,170,93,17
Batting Order Positions,"Bat7-9,non-P",47,97.0,88,5.0,11,0,0,1,1,0,8,35,4.38,0.125,0.198,0.159,0.357,14.0,1.0,0.0,1,0,0,0,0.192,33,8,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,55,89.0,88,7.0,20,5,0,0,,,0,19,,0.227,0.227,0.284,0.511,25.0,2.0,0.0,1,0,0,1,0.29,87,44,15
Swung or Took First Pitch of PA,Took 1st Pitch,61,161.0,148,13.0,29,4,0,4,,,13,62,4.77,0.196,0.261,0.304,0.565,45.0,4.0,0.0,0,0,1,0,0.305,107,56,21
Count/Balls-Strikes,First Pitch,27,35.0,35,3.0,14,4,0,0,,,0,0,,0.4,0.4,0.514,0.914,18.0,1.0,0.0,0,0,0,0,0.4,234,101,10
Count/Balls-Strikes,1-0 Count,6,6.0,6,2.0,2,0,0,0,,,0,0,,0.333,0.333,0.333,0.667,2.0,1.0,0.0,0,0,0,0,0.333,146,57,2
Count/Balls-Strikes,2-0 Count,2,2.0,2,0.0,1,0,0,0,,,0,0,,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0,0.5,269,117,1
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,18,20.0,20,4.0,7,1,0,1,,,0,0,,0.35,0.35,0.55,0.9,11.0,1.0,0.0,0,0,0,0,0.316,226,115,5
Count/Balls-Strikes,1-1 Count,15,20.0,20,7.0,6,1,0,2,,,0,0,,0.3,0.3,0.65,0.95,13.0,1.0,0.0,0,0,0,0,0.222,239,102,3
Count/Balls-Strikes,2-1 Count,3,3.0,3,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-1 Count,9,9.0,3,0.0,1,0,0,0,,,5,0,0.0,0.333,0.75,0.333,1.083,1.0,0.0,0.0,1,0,0,0,0.333,313,54,1
