Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,73,285.0,258,19.0,63,9,1,5,5,2,23,55,2.39,0.244,0.313,0.345,0.658,89.0,12.0,3.0,1,0,0,2,0.293,100,80,48
Platoon Splits,vs RHB,67,157.0,145,9.0,32,5,0,3,3,0,9,34,3.78,0.221,0.276,0.317,0.593,46.0,7.0,2.0,1,0,0,1,0.269,80,62,24
Platoon Splits,vs LHB,60,128.0,113,14.0,31,4,1,2,2,2,14,21,1.5,0.274,0.359,0.381,0.74,43.0,5.0,1.0,0,0,0,1,0.322,125,102,24
Platoon Splits,vs RHB as RHP,67,157.0,145,9.0,32,5,0,3,3,0,9,34,3.78,0.221,0.276,0.317,0.593,46.0,7.0,2.0,1,0,0,1,0.269,80,65,24
Platoon Splits,vs LHB as RHP,60,128.0,113,14.0,31,4,1,2,2,2,14,21,1.5,0.274,0.359,0.381,0.74,43.0,5.0,1.0,0,0,0,1,0.322,125,98,24
Home or Away,Home,37,131.0,121,4.0,20,4,1,0,4,1,9,33,3.67,0.165,0.229,0.215,0.444,26.0,7.0,1.0,0,0,0,1,0.227,36,25,15
Home or Away,Away,36,154.0,137,15.0,43,5,0,5,1,1,14,22,1.57,0.314,0.386,0.46,0.846,63.0,5.0,2.0,1,0,0,1,0.346,157,126,33
First or Second Half,1st Half,44,163.0,150,12.0,35,6,1,3,1,1,10,31,3.1,0.233,0.295,0.347,0.641,52.0,7.0,3.0,0,0,0,1,0.276,95,74,25
First or Second Half,2nd Half,29,122.0,108,7.0,28,3,0,2,4,1,13,24,1.85,0.259,0.339,0.343,0.681,37.0,5.0,0.0,1,0,0,1,0.317,108,89,23
Months,April/March,10,40.0,35,3.0,9,2,0,1,1,0,4,9,2.25,0.257,0.35,0.4,0.75,14.0,3.0,1.0,0,0,0,0,0.32,128,109,6
Months,May,17,56.0,53,3.0,9,2,1,0,0,1,2,13,6.5,0.17,0.214,0.245,0.46,13.0,2.0,1.0,0,0,0,1,0.225,39,26,6
Months,June,14,56.0,51,6.0,14,2,0,2,0,0,4,7,1.75,0.275,0.339,0.431,0.771,22.0,1.0,1.0,0,0,0,0,0.286,133,103,10
Months,July,10,40.0,36,1.0,9,1,0,0,1,0,4,6,1.5,0.25,0.325,0.278,0.603,10.0,2.0,0.0,0,0,0,0,0.3,84,70,8
Months,August,11,50.0,44,5.0,13,2,0,1,2,0,5,10,2.0,0.296,0.367,0.409,0.776,18.0,2.0,0.0,1,0,0,1,0.364,136,109,10
Months,Sept/Oct,11,43.0,39,1.0,9,0,0,1,1,1,4,10,2.5,0.231,0.302,0.308,0.61,12.0,2.0,0.0,0,0,0,0,0.286,86,69,8
