Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,73,272.0,245,24.0,55,10,0,8,5,1,22,55,2.5,0.225,0.293,0.363,0.656,89.0,2.0,2.0,2,1,4,5,0.257,100,82,37
Platoon Splits,vs RHB,70,161.0,147,21.0,29,4,0,6,3,0,11,37,3.36,0.197,0.261,0.347,0.608,51.0,2.0,2.0,0,1,2,3,0.219,85,68,19
Platoon Splits,vs LHB,57,111.0,98,9.0,26,6,0,2,2,1,11,18,1.64,0.265,0.339,0.388,0.727,38.0,0.0,0.0,2,0,2,2,0.308,123,101,18
Platoon Splits,vs RHB as RHP,70,161.0,147,21.0,29,4,0,6,3,0,11,37,3.36,0.197,0.261,0.347,0.608,51.0,2.0,2.0,0,1,2,3,0.219,85,72,19
Platoon Splits,vs LHB as RHP,57,111.0,98,9.0,26,6,0,2,2,1,11,18,1.64,0.265,0.339,0.388,0.727,38.0,0.0,0.0,2,0,2,2,0.308,123,95,18
Home or Away,Home,38,141.0,130,12.0,28,6,0,5,4,0,10,33,3.3,0.215,0.27,0.377,0.646,49.0,0.0,0.0,0,1,2,4,0.247,96,82,17
Home or Away,Away,35,131.0,115,12.0,27,4,0,3,1,1,12,22,1.83,0.235,0.318,0.348,0.666,40.0,2.0,2.0,2,0,2,1,0.267,104,81,20
First or Second Half,1st Half,36,143.0,130,13.0,31,4,0,5,0,0,11,30,2.73,0.239,0.303,0.385,0.687,50.0,0.0,1.0,1,0,2,5,0.274,110,90,22
First or Second Half,2nd Half,37,129.0,115,11.0,24,6,0,3,5,1,11,25,2.27,0.209,0.281,0.339,0.62,39.0,2.0,1.0,1,1,2,0,0.239,89,72,15
Months,April/March,10,36.0,32,1.0,5,0,0,0,0,0,3,8,2.67,0.156,0.25,0.156,0.406,5.0,0.0,1.0,0,0,0,1,0.208,28,19,5
Months,May,14,60.0,57,4.0,11,1,0,2,0,0,3,12,4.0,0.193,0.233,0.316,0.549,18.0,0.0,0.0,0,0,1,3,0.209,67,50,8
Months,June,10,35.0,31,6.0,10,2,0,3,0,0,4,8,2.0,0.323,0.4,0.677,1.077,21.0,0.0,0.0,0,0,0,0,0.35,223,190,5
Months,July,11,45.0,38,8.0,11,4,0,2,1,0,6,16,2.67,0.29,0.386,0.553,0.939,21.0,0.0,0.0,1,0,2,1,0.45,184,155,5
