Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,69,290.0,262,23.0,52,4,1,9,4,1,22,77,3.5,0.199,0.266,0.324,0.59,85.0,10.0,3.0,0,3,1,1,0.24,100,67,38
Platoon Splits,vs RHB,65,155.0,139,19.0,26,1,0,6,1,0,14,38,2.71,0.187,0.258,0.324,0.582,45.0,6.0,0.0,0,2,1,1,0.206,97,64,19
Platoon Splits,vs LHB,66,135.0,123,15.0,26,3,1,3,3,1,8,39,4.88,0.211,0.274,0.325,0.599,40.0,4.0,3.0,0,1,0,0,0.281,103,72,19
Platoon Splits,vs RHB as RHP,65,155.0,139,19.0,26,1,0,6,1,0,14,38,2.71,0.187,0.258,0.324,0.582,45.0,6.0,0.0,0,2,1,1,0.206,97,67,19
Platoon Splits,vs LHB as RHP,66,135.0,123,15.0,26,3,1,3,3,1,8,39,4.88,0.211,0.274,0.325,0.599,40.0,4.0,3.0,0,1,0,0,0.281,103,70,19
Home or Away,Home,39,160.0,146,8.0,27,4,1,4,3,0,12,41,3.42,0.185,0.25,0.308,0.558,45.0,7.0,1.0,0,1,1,0,0.226,89,61,18
Home or Away,Away,30,130.0,116,15.0,25,0,0,5,1,1,10,36,3.6,0.216,0.285,0.345,0.629,40.0,3.0,2.0,0,2,0,1,0.26,114,76,20
First or Second Half,1st Half,40,173.0,155,11.0,30,4,1,5,2,0,12,44,3.67,0.194,0.26,0.329,0.589,51.0,4.0,3.0,0,3,1,0,0.229,99,67,20
First or Second Half,2nd Half,29,117.0,107,12.0,22,0,0,4,2,1,10,33,3.3,0.206,0.274,0.318,0.591,34.0,6.0,0.0,0,0,0,1,0.257,101,69,18
Months,April/March,9,37.0,34,2.0,7,1,1,1,0,0,3,10,3.33,0.206,0.27,0.382,0.653,13.0,1.0,0.0,0,0,0,0,0.261,119,92,4
Months,May,9,45.0,40,3.0,8,0,0,2,0,0,4,9,2.25,0.2,0.267,0.35,0.617,14.0,2.0,0.0,0,1,1,0,0.2,108,73,6
Months,June,12,52.0,47,4.0,10,3,0,1,2,0,3,15,5.0,0.213,0.269,0.34,0.61,16.0,0.0,1.0,0,1,0,0,0.281,106,69,6
Months,July,14,59.0,53,9.0,13,0,0,2,0,0,3,12,4.0,0.245,0.305,0.359,0.664,19.0,3.0,2.0,0,1,0,1,0.275,125,87,11
Months,August,13,50.0,47,5.0,10,0,0,3,1,1,3,16,5.33,0.213,0.26,0.404,0.664,19.0,4.0,0.0,0,0,0,0,0.25,122,86,7
Months,Sept/Oct,12,47.0,41,0.0,4,0,0,0,1,0,6,15,2.5,0.098,0.213,0.098,0.31,4.0,0.0,0.0,0,0,0,0,0.154,10,-6,4
Game Outcome for Pitcher,in Wins,7,36.0,33,0.0,7,0,0,0,0,1,2,8,4.0,0.212,0.278,0.212,0.49,7.0,2.0,1.0,0,0,0,0,0.28,70,87,7
Game Outcome for Pitcher,in Losses,4,20.0,18,10.0,7,0,0,3,0,0,2,3,1.5,0.389,0.45,0.889,1.339,16.0,0.0,0.0,0,0,0,1,0.333,344,169,4
