Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,73,256.0,237,18.0,55,7,1,3,1,2,16,74,4.63,0.232,0.289,0.308,0.597,73.0,1.0,3.0,0,0,2,2,0.325,100,67,44
Platoon Splits,vs RHB,65,154.0,139,20.0,38,4,1,3,1,1,12,40,3.33,0.273,0.344,0.381,0.726,53.0,1.0,3.0,0,0,2,2,0.365,143,103,30
Platoon Splits,vs LHB,65,102.0,98,3.0,17,3,0,0,0,1,4,34,8.5,0.174,0.206,0.204,0.41,20.0,0.0,0.0,0,0,0,0,0.266,38,14,14
Platoon Splits,vs RHB as LHP,65,154.0,139,20.0,38,4,1,3,1,1,12,40,3.33,0.273,0.344,0.381,0.726,53.0,1.0,3.0,0,0,2,2,0.365,143,94,30
Platoon Splits,vs LHB as LHP,65,102.0,98,3.0,17,3,0,0,0,1,4,34,8.5,0.174,0.206,0.204,0.41,20.0,0.0,0.0,0,0,0,0,0.266,38,28,14
Home or Away,Home,37,120.0,114,6.0,22,3,0,1,1,2,6,33,5.5,0.193,0.233,0.246,0.479,28.0,0.0,0.0,0,0,1,1,0.263,61,37,18
Home or Away,Away,36,136.0,123,12.0,33,4,1,2,0,0,10,41,4.1,0.268,0.338,0.366,0.704,45.0,1.0,3.0,0,0,1,1,0.388,136,92,26
First or Second Half,1st Half,38,142.0,134,11.0,35,4,1,3,1,1,7,41,5.86,0.261,0.303,0.373,0.676,50.0,0.0,1.0,0,0,1,1,0.356,126,87,27
First or Second Half,2nd Half,35,114.0,103,7.0,20,3,0,0,0,1,9,33,3.67,0.194,0.272,0.223,0.495,23.0,1.0,2.0,0,0,1,1,0.286,67,40,17
Months,April/March,9,36.0,33,5.0,9,0,1,1,0,1,3,12,4.0,0.273,0.333,0.424,0.758,14.0,0.0,0.0,0,0,0,0,0.4,153,113,7
Months,May,12,42.0,40,3.0,13,2,0,1,0,0,2,12,6.0,0.325,0.357,0.45,0.807,18.0,0.0,0.0,0,0,0,0,0.444,170,121,10
Months,June,13,44.0,42,1.0,6,1,0,0,1,0,1,12,12.0,0.143,0.182,0.167,0.349,7.0,0.0,1.0,0,0,1,1,0.2,17,-2,5
Months,July,13,49.0,47,2.0,14,1,0,1,0,0,2,12,6.0,0.298,0.327,0.383,0.71,18.0,0.0,0.0,0,0,0,0,0.382,138,95,12
Months,August,12,41.0,37,6.0,8,2,0,0,0,1,4,13,3.25,0.216,0.293,0.27,0.563,10.0,0.0,0.0,0,0,0,0,0.333,89,59,6
Months,Sept/Oct,14,44.0,38,1.0,5,1,0,0,0,0,4,13,3.25,0.132,0.25,0.158,0.408,6.0,1.0,2.0,0,0,1,1,0.2,38,18,4
Game Outcome for Pitcher,in Wins,5,15.0,15,0.0,2,0,0,0,1,0,0,4,,0.133,0.133,0.133,0.267,2.0,0.0,0.0,0,0,0,0,0.182,-11,-7,2
