Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,53,231.0,204,19.0,32,7,0,4,1,0,22,74,3.36,0.157,0.251,0.25,0.501,51.0,3.0,4.0,0,1,2,2,0.221,100,40,21
Platoon Splits,vs RHB,50,115.0,103,9.0,13,1,0,1,1,0,8,44,5.5,0.126,0.209,0.165,0.374,17.0,1.0,3.0,0,1,0,2,0.203,49,7,11
Platoon Splits,vs LHB,51,116.0,101,9.0,19,6,0,3,0,0,14,30,2.14,0.188,0.293,0.337,0.63,34.0,2.0,1.0,0,0,2,0,0.235,152,72,10
Platoon Splits,vs RHB as RHP,50,115.0,103,9.0,13,1,0,1,1,0,8,44,5.5,0.126,0.209,0.165,0.374,17.0,1.0,3.0,0,1,0,2,0.203,49,9,11
Platoon Splits,vs LHB as RHP,51,116.0,101,9.0,19,6,0,3,0,0,14,30,2.14,0.188,0.293,0.337,0.63,34.0,2.0,1.0,0,0,2,0,0.235,152,69,10
Home or Away,Home,28,121.0,107,8.0,17,3,0,2,1,0,12,42,3.5,0.159,0.248,0.243,0.491,26.0,2.0,1.0,0,1,0,2,0.234,96,39,12
Home or Away,Away,25,110.0,97,11.0,15,4,0,2,0,0,10,32,3.2,0.155,0.255,0.258,0.512,25.0,1.0,3.0,0,0,2,0,0.206,105,41,9
First or Second Half,1st Half,28,124.0,115,6.0,16,3,0,1,1,0,6,43,7.17,0.139,0.194,0.191,0.385,22.0,1.0,2.0,0,1,1,0,0.208,54,8,12
First or Second Half,2nd Half,25,107.0,89,13.0,16,4,0,3,0,0,16,31,1.94,0.18,0.318,0.326,0.644,29.0,2.0,2.0,0,0,1,2,0.236,157,79,9
Months,May,11,43.0,42,0.0,2,0,0,0,0,0,0,15,,0.048,0.07,0.048,0.117,2.0,1.0,1.0,0,0,0,0,0.074,-53,-66,2
Months,June,12,58.0,52,6.0,12,3,0,1,0,0,4,21,5.25,0.231,0.293,0.346,0.639,18.0,0.0,1.0,0,1,1,0,0.355,155,79,8
Months,July,10,43.0,33,2.0,3,0,0,0,1,0,9,12,1.33,0.091,0.302,0.091,0.393,3.0,1.0,1.0,0,0,0,0,0.143,57,15,3
Months,August,11,45.0,42,8.0,12,4,0,3,0,0,2,15,7.5,0.286,0.333,0.595,0.929,25.0,0.0,1.0,0,0,0,1,0.375,271,147,5
