Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,63,260.0,226,25.0,41,8,2,6,5,0,29,92,3.17,0.181,0.282,0.314,0.596,71.0,4.0,3.0,1,1,5,1,0.271,100,67,25
Platoon Splits,vs RHB,59,131.0,115,14.0,15,2,1,3,3,0,12,57,4.75,0.13,0.229,0.244,0.473,28.0,0.0,3.0,0,1,1,0,0.214,59,34,9
Platoon Splits,vs LHB,54,129.0,111,11.0,26,6,1,3,2,0,17,35,2.06,0.234,0.336,0.387,0.723,43.0,4.0,0.0,1,0,4,1,0.315,142,100,16
Platoon Splits,vs RHB as RHP,59,131.0,115,14.0,15,2,1,3,3,0,12,57,4.75,0.13,0.229,0.244,0.473,28.0,0.0,3.0,0,1,1,0,0.214,59,37,9
Platoon Splits,vs LHB as RHP,54,129.0,111,11.0,26,6,1,3,2,0,17,35,2.06,0.234,0.336,0.387,0.723,43.0,4.0,0.0,1,0,4,1,0.315,142,95,16
Home or Away,Home,33,145.0,125,20.0,28,6,1,4,3,0,17,50,2.94,0.224,0.331,0.384,0.715,48.0,2.0,3.0,0,0,4,1,0.338,140,103,17
Home or Away,Away,30,115.0,101,5.0,13,2,1,2,2,0,12,42,3.5,0.129,0.219,0.228,0.447,23.0,2.0,0.0,1,1,1,0,0.19,50,23,8
First or Second Half,1st Half,36,172.0,148,15.0,26,6,1,3,3,0,21,56,2.67,0.176,0.287,0.291,0.577,43.0,3.0,2.0,1,0,4,0,0.258,94,64,16
First or Second Half,2nd Half,27,88.0,78,10.0,15,2,1,3,2,0,8,36,4.5,0.192,0.273,0.359,0.632,28.0,1.0,1.0,0,1,1,1,0.3,111,73,9
Months,April/March,9,45.0,40,0.0,7,2,0,0,1,0,5,14,2.8,0.175,0.267,0.225,0.492,9.0,2.0,0.0,0,0,1,0,0.269,66,41,5
Months,May,11,55.0,46,4.0,6,1,0,1,1,0,8,16,2.0,0.13,0.259,0.217,0.477,10.0,1.0,0.0,1,0,1,0,0.172,61,37,4
Months,June,13,58.0,49,9.0,9,3,0,1,1,0,7,21,3.0,0.184,0.31,0.306,0.616,15.0,0.0,2.0,0,0,1,0,0.296,107,76,5
Months,July,10,25.0,23,2.0,4,0,1,1,0,0,2,8,4.0,0.174,0.24,0.391,0.631,9.0,0.0,0.0,0,0,1,0,0.214,110,73,2
Months,August,10,35.0,31,1.0,3,0,0,0,2,0,3,18,6.0,0.097,0.2,0.097,0.297,3.0,1.0,1.0,0,0,1,1,0.231,2,-15,3
Months,Sept/Oct,10,42.0,37,9.0,12,2,1,3,0,0,4,15,3.75,0.324,0.381,0.676,1.057,25.0,0.0,0.0,0,1,0,0,0.45,250,185,6
Game Outcome for Pitcher,in Wins,4,23.0,21,1.0,4,0,0,1,0,0,2,7,3.5,0.191,0.261,0.333,0.594,7.0,1.0,0.0,0,0,0,0,0.231,99,107,3
Game Outcome for Pitcher,in Losses,5,39.0,32,16.0,16,5,1,4,1,0,6,9,1.5,0.5,0.59,1.094,1.684,35.0,0.0,1.0,0,0,2,0,0.632,458,255,6
Game Outcome for Pitcher,in No Dec.,24,97.0,84,5.0,15,2,1,1,1,0,10,31,3.1,0.179,0.278,0.262,0.54,22.0,2.0,2.0,0,1,3,0,0.264,82,54,11
