Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,62,264.0,239,31.0,68,11,1,10,0,0,15,54,3.6,0.285,0.33,0.464,0.794,111.0,1.0,3.0,3,4,9,2,0.324,100,111,46
Platoon Splits,vs RHB,61,153.0,140,21.0,35,5,1,3,0,0,7,37,5.29,0.25,0.278,0.364,0.642,51.0,1.0,0.0,2,4,3,1,0.308,63,73,26
Platoon Splits,vs LHB,52,111.0,99,18.0,33,6,0,7,0,0,8,17,2.13,0.333,0.4,0.606,1.006,60.0,0.0,3.0,1,0,6,1,0.347,152,162,20
Platoon Splits,vs RHB as RHP,61,153.0,140,21.0,35,5,1,3,0,0,7,37,5.29,0.25,0.278,0.364,0.642,51.0,1.0,0.0,2,4,3,1,0.308,63,75,26
Platoon Splits,vs LHB as RHP,52,111.0,99,18.0,33,6,0,7,0,0,8,17,2.13,0.333,0.4,0.606,1.006,60.0,0.0,3.0,1,0,6,1,0.347,152,157,20
Home or Away,Home,30,137.0,127,18.0,41,4,1,6,0,0,5,30,6.0,0.323,0.353,0.512,0.865,65.0,0.0,2.0,1,2,4,1,0.376,117,134,30
Home or Away,Away,32,127.0,112,13.0,27,7,0,4,0,0,10,24,2.4,0.241,0.304,0.411,0.715,46.0,1.0,1.0,2,2,5,1,0.267,81,85,16
First or Second Half,1st Half,38,179.0,163,19.0,45,7,0,7,0,0,11,38,3.45,0.276,0.328,0.448,0.776,73.0,1.0,2.0,2,1,6,1,0.319,96,107,31
First or Second Half,2nd Half,24,85.0,76,12.0,23,4,1,3,0,0,4,16,4.0,0.303,0.333,0.5,0.833,38.0,0.0,1.0,1,3,3,1,0.333,109,120,15
Months,April/March,11,54.0,50,6.0,14,4,0,2,0,0,2,10,5.0,0.28,0.333,0.48,0.813,24.0,0.0,2.0,0,0,0,0,0.316,104,123,8
Months,May,11,58.0,48,5.0,11,2,0,1,0,0,8,14,1.75,0.229,0.339,0.333,0.673,16.0,1.0,0.0,2,0,5,1,0.303,75,83,8
Months,June,11,47.0,46,7.0,14,1,0,3,0,0,0,8,,0.304,0.298,0.522,0.82,24.0,0.0,0.0,0,1,0,0,0.306,103,109,10
Months,July,12,48.0,45,5.0,13,1,0,2,0,0,2,14,7.0,0.289,0.313,0.444,0.757,20.0,0.0,0.0,0,1,2,1,0.367,91,99,10
Months,August,12,38.0,34,4.0,11,2,1,0,0,0,1,7,7.0,0.324,0.342,0.441,0.783,15.0,0.0,1.0,0,2,1,0,0.379,99,107,8
Months,Sept/Oct,5,19.0,16,4.0,5,1,0,2,0,0,2,1,0.5,0.313,0.389,0.75,1.139,12.0,0.0,0.0,1,0,1,0,0.231,180,200,2
Game Outcome for Pitcher,in Wins,1,9.0,7,3.0,2,0,0,1,0,0,0,2,,0.286,0.444,0.714,1.159,5.0,0.0,2.0,0,0,0,0,0.25,188,294,1
Game Outcome for Pitcher,in Losses,6,34.0,30,13.0,12,2,0,5,0,0,3,4,1.33,0.4,0.455,0.967,1.421,29.0,0.0,0.0,1,0,3,1,0.333,246,175,5
Game Outcome for Pitcher,in No Dec.,35,137.0,124,11.0,32,6,1,4,0,0,7,28,4.0,0.258,0.296,0.419,0.716,52.0,0.0,1.0,2,3,3,1,0.295,80,93,21
Game Outcome for Pitcher,in Saves,20,84.0,78,4.0,22,3,0,0,0,0,5,20,4.0,0.282,0.321,0.321,0.642,25.0,1.0,0.0,0,1,3,0,0.373,67,195,19
Game Outcome for Pitcher,in Sv Situ,31,130.0,120,11.0,37,5,0,2,0,0,6,31,5.17,0.308,0.346,0.4,0.746,48.0,1.0,2.0,0,2,4,0,0.393,91,125,30
Game Outcome for Pitcher,in non-Sv,31,134.0,119,20.0,31,6,1,8,0,0,9,23,2.56,0.261,0.313,0.529,0.842,63.0,0.0,1.0,3,2,5,2,0.256,109,123,16
Pitching Role,as Reliever,62,264.0,239,31.0,68,11,1,10,0,0,15,54,3.6,0.285,0.33,0.464,0.794,111.0,1.0,3.0,3,4,9,2,0.324,100,118,46
