Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,66,279.0,254,39.0,68,6,4,12,1,2,19,65,3.42,0.268,0.323,0.465,0.787,118.0,3.0,3.0,0,3,1,4,0.311,100,115,46
Platoon Splits,vs RHB,61,129.0,120,20.0,35,2,3,6,1,2,6,29,4.83,0.292,0.326,0.508,0.834,61.0,2.0,1.0,0,2,0,2,0.333,110,129,24
Platoon Splits,vs LHB,62,150.0,134,19.0,33,4,1,6,0,0,13,36,2.77,0.246,0.32,0.425,0.745,57.0,1.0,2.0,0,1,1,2,0.29,91,102,22
Platoon Splits,vs RHB as RHP,61,129.0,120,20.0,35,2,3,6,1,2,6,29,4.83,0.292,0.326,0.508,0.834,61.0,2.0,1.0,0,2,0,2,0.333,110,132,24
Platoon Splits,vs LHB as RHP,62,150.0,134,19.0,33,4,1,6,0,0,13,36,2.77,0.246,0.32,0.425,0.745,57.0,1.0,2.0,0,1,1,2,0.29,91,97,22
Home or Away,Home,40,166.0,152,25.0,42,4,3,9,0,2,12,41,3.42,0.276,0.331,0.52,0.851,79.0,2.0,1.0,0,1,1,2,0.32,114,134,26
Home or Away,Away,26,113.0,102,14.0,26,2,1,3,1,0,7,24,3.43,0.255,0.31,0.382,0.692,39.0,1.0,2.0,0,2,0,2,0.299,78,88,20
First or Second Half,1st Half,41,171.0,158,21.0,39,3,2,7,0,1,11,43,3.91,0.247,0.298,0.424,0.722,67.0,3.0,1.0,0,1,1,4,0.294,83,98,27
First or Second Half,2nd Half,25,108.0,96,18.0,29,3,2,5,1,1,8,22,2.75,0.302,0.361,0.531,0.892,51.0,0.0,2.0,0,2,0,0,0.338,126,142,19
Months,April/March,12,51.0,45,9.0,12,0,1,3,0,1,5,13,2.6,0.267,0.353,0.511,0.864,23.0,1.0,1.0,0,0,1,2,0.31,119,138,8
Months,May,15,63.0,59,5.0,13,1,1,2,0,0,4,17,4.25,0.22,0.27,0.373,0.643,22.0,2.0,0.0,0,0,0,2,0.275,64,76,9
Months,June,11,45.0,43,6.0,11,1,0,2,0,0,2,12,6.0,0.256,0.289,0.419,0.708,18.0,0.0,0.0,0,0,0,0,0.31,80,95,8
Months,July,8,33.0,31,4.0,9,1,2,0,0,0,0,5,,0.29,0.273,0.452,0.724,14.0,0.0,0.0,0,2,0,0,0.321,82,92,6
Months,August,10,40.0,35,3.0,7,3,0,0,1,0,4,9,2.25,0.2,0.3,0.286,0.586,10.0,0.0,1.0,0,0,0,0,0.269,54,63,4
Months,Sept/Oct,10,47.0,41,12.0,16,0,0,5,0,1,4,9,2.25,0.39,0.447,0.756,1.203,31.0,0.0,1.0,0,1,0,0,0.393,201,229,11
Game Outcome for Pitcher,in Wins,4,16.0,16,3.0,4,0,0,2,0,0,0,7,,0.25,0.25,0.625,0.875,10.0,0.0,0.0,0,0,0,0,0.286,112,209,2
Game Outcome for Pitcher,in Losses,6,31.0,27,14.0,14,1,0,6,0,0,4,4,1.0,0.519,0.581,1.222,1.803,33.0,0.0,0.0,0,0,1,1,0.471,343,257,7
Game Outcome for Pitcher,in No Dec.,24,104.0,92,14.0,28,3,3,2,1,2,9,19,2.11,0.304,0.375,0.467,0.842,43.0,1.0,2.0,0,1,0,0,0.361,117,135,20
Game Outcome for Pitcher,in Saves,32,128.0,119,8.0,22,2,1,2,0,0,6,35,5.83,0.185,0.227,0.269,0.496,32.0,2.0,1.0,0,2,0,3,0.238,28,121,17
Game Outcome for Pitcher,in Sv Situ,38,156.0,146,20.0,36,4,1,7,0,0,7,41,5.86,0.247,0.282,0.432,0.714,63.0,2.0,1.0,0,2,1,4,0.29,80,113,24
Game Outcome for Pitcher,in non-Sv,28,123.0,108,19.0,32,2,3,5,1,2,12,24,2.0,0.296,0.374,0.509,0.883,55.0,1.0,2.0,0,1,0,0,0.338,125,138,22
Pitching Role,as Reliever,66,279.0,254,39.0,68,6,4,12,1,2,19,65,3.42,0.268,0.323,0.465,0.787,118.0,3.0,3.0,0,3,1,4,0.311,100,117,46
Batting Order Positions,Batting 1st,33,33.0,30,4.0,7,0,1,0,0,1,3,8,2.67,0.233,0.303,0.3,0.603,9.0,1.0,0.0,0,0,0,2,0.318,58,63,6
Batting Order Positions,Batting 2nd,30,30.0,29,4.0,9,2,1,2,0,1,1,7,7.0,0.31,0.333,0.655,0.989,19.0,0.0,0.0,0,0,0,1,0.35,144,150,4
Batting Order Positions,Batting 3rd,26,26.0,23,5.0,8,0,0,2,0,0,3,6,2.0,0.348,0.423,0.609,1.032,14.0,2.0,0.0,0,0,1,0,0.4,162,157,6
Batting Order Positions,Batting 4th,27,27.0,23,9.0,8,1,0,5,0,0,1,6,6.0,0.348,0.37,1.044,1.414,24.0,0.0,1.0,0,2,0,0,0.214,239,241,2
Batting Order Positions,Batting 5th,32,32.0,30,4.0,10,2,0,0,0,0,2,4,2.0,0.333,0.375,0.4,0.775,12.0,0.0,0.0,0,0,0,0,0.385,102,109,8
Batting Order Positions,Batting 6th,35,35.0,33,5.0,6,0,1,2,1,0,2,10,5.0,0.182,0.229,0.424,0.653,14.0,0.0,0.0,0,0,0,0,0.191,62,77,3
Batting Order Positions,Batting 7th,31,31.0,29,3.0,5,0,0,0,0,0,0,8,,0.172,0.194,0.172,0.366,5.0,0.0,1.0,0,1,0,1,0.227,-3,7,5
Batting Order Positions,Batting 8th,34,34.0,31,1.0,7,0,1,1,0,0,3,8,2.67,0.226,0.294,0.387,0.681,12.0,0.0,0.0,0,0,0,0,0.273,74,102,5
Batting Order Positions,Batting 9th,31,31.0,26,4.0,8,1,0,0,0,0,4,8,2.0,0.308,0.419,0.346,0.766,9.0,0.0,1.0,0,0,0,0,0.444,104,175,7
Batting Order Positions,"Bat1-2,non-P",43,63.0,59,8.0,16,2,2,2,0,2,4,15,3.75,0.271,0.318,0.475,0.792,28.0,1.0,0.0,0,0,0,3,0.333,100,106,10
Batting Order Positions,"Bat3-6,non-P",51,120.0,109,23.0,32,3,1,9,1,0,8,26,3.25,0.294,0.342,0.587,0.929,64.0,2.0,1.0,0,2,1,0,0.303,132,138,19
Batting Order Positions,"Bat7-9,non-P",45,96.0,86,8.0,20,1,1,1,0,0,7,24,3.43,0.233,0.302,0.302,0.604,26.0,0.0,2.0,0,1,0,1,0.307,58,80,17
Swung or Took First Pitch of PA,Swung at 1st Pitch,42,68.0,62,15.0,27,2,0,3,,,3,9,3.0,0.436,0.456,0.613,1.069,38.0,0.0,1.0,0,2,0,0,0.462,173,197,22
Swung or Took First Pitch of PA,Took 1st Pitch,66,211.0,192,23.0,41,4,4,9,,,16,56,3.5,0.214,0.28,0.417,0.696,80.0,3.0,2.0,0,1,1,4,0.25,76,90,24
Count/Balls-Strikes,First Pitch,25,31.0,29,9.0,14,0,0,2,,,0,0,,0.483,0.452,0.69,1.141,20.0,0.0,0.0,0,2,0,0,0.414,188,150,12
Count/Balls-Strikes,1-0 Count,15,19.0,16,7.0,6,3,1,1,,,0,0,,0.375,0.421,0.875,1.296,14.0,0.0,2.0,0,1,0,0,0.313,219,175,1
Count/Balls-Strikes,2-0 Count,6,7.0,7,2.0,2,0,1,1,,,0,0,,0.286,0.286,1.0,1.286,7.0,0.0,0.0,0,0,0,0,0.167,204,136,0
Count/Balls-Strikes,3-0 Count,4,4.0,2,0.0,1,0,0,0,,,2,0,0.0,0.5,0.75,0.5,1.25,1.0,0.0,0.0,0,0,1,0,0.5,240,39,1
Count/Balls-Strikes,0-1 Count,25,31.0,30,3.0,10,0,0,0,,,0,0,,0.333,0.355,0.333,0.688,10.0,0.0,1.0,0,0,0,2,0.333,82,74,10
Count/Balls-Strikes,1-1 Count,14,20.0,20,4.0,8,0,0,1,,,0,0,,0.4,0.4,0.55,0.95,11.0,0.0,0.0,0,0,0,0,0.368,142,122,7
Count/Balls-Strikes,2-1 Count,10,10.0,10,1.0,2,1,0,1,,,0,0,,0.2,0.2,0.6,0.8,6.0,0.0,0.0,0,0,0,0,0.111,91,63,0
Count/Balls-Strikes,3-1 Count,8,8.0,3,0.0,0,0,0,0,,,5,0,0.0,0.0,0.625,0.0,0.625,0.0,1.0,0.0,0,0,0,0,0.0,94,-11,0
Count/Balls-Strikes,0-2 Count,19,26.0,26,4.0,2,0,1,1,,,0,17,,0.077,0.077,0.269,0.346,7.0,0.0,0.0,0,0,0,1,0.125,-18,68,0
Count/Balls-Strikes,1-2 Count,30,37.0,37,0.0,7,0,0,0,,,0,19,,0.189,0.189,0.189,0.378,7.0,1.0,0.0,0,0,0,0,0.389,-1,91,7
Count/Balls-Strikes,2-2 Count,33,51.0,51,5.0,10,1,1,3,,,0,23,,0.196,0.196,0.431,0.628,22.0,1.0,0.0,0,0,0,0,0.28,53,153,5
Count/Balls-Strikes,Full Count,28,35.0,23,3.0,6,1,0,2,,,12,6,0.5,0.261,0.514,0.565,1.08,13.0,0.0,0.0,0,0,0,1,0.267,181,177,3
Count/Balls-Strikes,After 1-0,55,94.0,80,16.0,23,3,3,8,,,11,19,1.73,0.288,0.383,0.7,1.083,56.0,1.0,2.0,0,1,1,0,0.278,169,159,9
Count/Balls-Strikes,After 2-0,20,26.0,19,3.0,5,0,1,2,,,7,2,0.29,0.263,0.462,0.684,1.146,13.0,0.0,0.0,0,0,1,0,0.2,190,132,2
Count/Balls-Strikes,After 3-0,7,9.0,5,0.0,1,0,0,0,,,4,1,0.25,0.2,0.556,0.2,0.756,1.0,0.0,0.0,0,0,1,0,0.25,115,14,1
Count/Balls-Strikes,After 0-1,60,154.0,145,13.0,31,3,1,2,,,8,46,5.75,0.214,0.26,0.29,0.549,42.0,2.0,1.0,0,0,0,4,0.299,43,82,25
Count/Balls-Strikes,After 1-1,59,114.0,104,9.0,24,2,1,6,,,10,32,3.2,0.231,0.298,0.442,0.741,46.0,2.0,0.0,0,0,0,1,0.273,87,115,15
Count/Balls-Strikes,After 2-1,40,54.0,44,4.0,10,2,0,4,,,10,12,1.2,0.227,0.37,0.546,0.916,24.0,1.0,0.0,0,0,0,1,0.214,132,126,4
Count/Balls-Strikes,After 3-1,17,18.0,10,0.0,2,0,0,0,,,8,2,0.25,0.2,0.556,0.2,0.756,2.0,1.0,0.0,0,0,0,1,0.25,115,37,2
Count/Balls-Strikes,After 0-2,40,58.0,56,7.0,9,1,1,1,,,2,31,15.5,0.161,0.19,0.268,0.458,15.0,1.0,0.0,0,0,0,1,0.333,17,102,6
Count/Balls-Strikes,After 1-2,53,82.0,77,5.0,15,1,1,2,,,5,35,7.0,0.195,0.244,0.312,0.556,24.0,2.0,0.0,0,0,0,0,0.325,43,121,11
Count/Balls-Strikes,After 2-2,45,76.0,67,8.0,14,2,1,5,,,9,27,3.0,0.209,0.303,0.493,0.795,33.0,1.0,0.0,0,0,0,0,0.257,100,164,6
Count/Balls-Strikes,Zero Balls,53,88.0,85,16.0,26,0,1,3,,,0,17,,0.306,0.307,0.435,0.742,37.0,0.0,1.0,0,2,0,3,0.343,89,109,22
Count/Balls-Strikes,Zero Strikes,41,61.0,54,18.0,23,3,2,4,,,2,0,0.0,0.426,0.443,0.778,1.22,42.0,0.0,2.0,0,3,1,0,0.359,205,143,14
Count/Balls-Strikes,Three Balls,34,47.0,28,3.0,7,1,0,2,,,19,6,0.32,0.25,0.553,0.5,1.053,14.0,1.0,0.0,0,0,1,1,0.25,179,120,4
Count/Balls-Strikes,Two Strikes,61,149.0,137,12.0,25,2,2,6,,,12,65,5.42,0.183,0.248,0.358,0.606,49.0,2.0,0.0,0,0,0,2,0.288,54,132,15
Count/Balls-Strikes,Batter Ahead,46,83.0,61,13.0,17,5,2,5,,,19,6,0.32,0.279,0.458,0.672,1.13,41.0,1.0,2.0,0,1,1,1,0.235,186,130,5
Count/Balls-Strikes,Even Count,49,102.0,100,18.0,32,1,1,6,,,0,23,,0.32,0.314,0.53,0.844,53.0,1.0,0.0,0,2,0,0,0.356,111,135,24
Count/Balls-Strikes,Pitcher Ahead,50,94.0,93,7.0,19,0,1,1,,,0,36,,0.204,0.213,0.258,0.471,24.0,1.0,1.0,0,0,0,3,0.321,21,88,17
Leading Off Inning,First Batter,66,66.0,64,4.0,19,3,2,3,,,2,12,6.0,0.297,0.318,0.547,0.865,35.0,0.0,0.0,0,0,0,1,0.327,116,140,11
Leading Off Inning,Leadoff Inn.,65,65.0,63,3.0,19,3,2,3,,,2,13,6.5,0.302,0.323,0.556,0.879,35.0,0.0,0.0,0,0,0,1,0.34,120,139,11
Opposition Defensive Position,vs. Non-P,66,279.0,254,39.0,68,6,4,12,1,2,19,65,3.42,0.268,0.323,0.465,0.787,118.0,3.0,3.0,0,3,1,4,0.311,100,112,46
Number of Outs in Inning,0 outs,65,94.0,91,10.0,28,3,2,5,0,2,2,20,10.0,0.308,0.319,0.55,0.869,50.0,2.0,0.0,0,1,0,1,0.343,117,132,18
Number of Outs in Inning,1 out,62,82.0,74,16.0,15,2,0,4,0,0,4,23,5.75,0.203,0.256,0.392,0.648,29.0,1.0,2.0,0,2,0,2,0.225,64,73,9
Number of Outs in Inning,2 outs,60,103.0,89,13.0,25,1,2,3,1,0,13,22,1.69,0.281,0.379,0.438,0.817,39.0,0.0,1.0,0,0,1,1,0.344,112,132,19
Bases Occupied,RISP,29,61.0,52,24.0,13,2,0,2,0,0,6,17,2.83,0.25,0.312,0.404,0.715,21.0,0.0,0.0,0,3,1,2,0.306,83,89,9
Bases Occupied,---,65,166.0,151,7.0,37,3,3,7,0,0,13,35,2.69,0.245,0.313,0.444,0.757,67.0,0.0,2.0,0,0,0,2,0.275,92,112,24
Bases Occupied,Men On,48,113.0,103,32.0,31,3,1,5,1,2,6,30,5.0,0.301,0.336,0.495,0.831,51.0,3.0,1.0,0,3,1,2,0.366,111,119,22
Bases Occupied,1--,41,52.0,51,8.0,18,1,1,3,1,2,0,13,,0.353,0.365,0.588,0.954,30.0,3.0,1.0,0,0,0,0,0.429,140,151,13
Bases Occupied,-2-,15,19.0,17,4.0,3,0,0,1,0,0,2,7,3.5,0.177,0.263,0.353,0.616,6.0,0.0,0.0,0,0,0,1,0.222,57,66,2
Bases Occupied,--3,6,7.0,4,4.0,2,0,0,0,0,0,1,0,0.0,0.5,0.429,0.5,0.929,2.0,0.0,0.0,0,2,0,0,0.333,140,128,2
Bases Occupied,12-,7,10.0,9,2.0,1,0,0,0,0,0,1,4,4.0,0.111,0.2,0.111,0.311,1.0,0.0,0.0,0,0,0,1,0.2,-14,-9,1
Bases Occupied,1-3,10,14.0,12,5.0,2,1,0,0,0,0,1,4,4.0,0.167,0.214,0.25,0.464,3.0,0.0,0.0,0,1,0,0,0.222,20,19,1
Bases Occupied,-23,5,8.0,7,7.0,4,1,0,1,0,0,1,1,1.0,0.571,0.625,1.143,1.768,8.0,0.0,0.0,0,0,1,0,0.6,339,348,2
Bases Occupied,123,3,3.0,3,2.0,1,0,0,0,0,0,0,1,,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0,0,0,0,0.5,75,82,1
Bases Occupied,"on 1st, <2 out",23,40.0,39,9.0,13,1,0,2,0,1,0,9,,0.333,0.325,0.513,0.838,20.0,3.0,0.0,0,1,0,1,0.379,111,114,10
Bases Occupied,"on 3rd, <2 out",9,14.0,11,9.0,4,2,0,0,0,0,0,2,,0.364,0.286,0.546,0.831,6.0,0.0,0.0,0,3,0,0,0.333,106,88,2
Bases Occupied,"on 3rd, 2 out",12,18.0,15,8.0,5,0,0,1,0,0,3,4,1.33,0.333,0.444,0.533,0.978,8.0,0.0,0.0,0,0,1,0,0.4,152,172,4
Bases Occupied,"0 out, ---",65,69.0,67,3.0,20,3,2,3,0,0,2,15,7.5,0.299,0.319,0.537,0.856,36.0,0.0,0.0,0,0,0,1,0.347,114,133,12
Bases Occupied,"0 out, 1--",17,15.0,15,4.0,6,0,0,2,0,2,0,3,,0.4,0.4,0.8,1.2,12.0,2.0,0.0,0,0,0,0,0.4,196,200,4
Bases Occupied,"0 out, -2-",4,4.0,4,1.0,1,0,0,0,0,0,0,2,,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0,0,0,0,0.5,31,40,1
Bases Occupied,"0 out, --3",2,2.0,2,1.0,1,0,0,0,0,0,0,0,,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0,0.5,162,147,1
Bases Occupied,"0 out, 12-",2,2.0,2,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 1-3",2,2.0,1,1.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, ---",47,50.0,44,3.0,5,0,0,3,0,0,4,13,3.25,0.114,0.22,0.318,0.538,14.0,0.0,2.0,0,0,0,0,0.071,37,51,2
Bases Occupied,"1 out, 1--",14,14.0,14,0.0,5,0,0,0,0,0,0,4,,0.357,0.357,0.357,0.714,5.0,1.0,0.0,0,0,0,0,0.5,87,91,5
Bases Occupied,"1 out, -2-",4,5.0,5,3.0,1,0,0,1,0,0,0,3,,0.2,0.2,0.8,1.0,4.0,0.0,0.0,0,0,0,1,0.0,134,159,0
Bases Occupied,"1 out, --3",2,2.0,0,2.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0,2,0,0,0.0,,,0
Bases Occupied,"1 out, 12-",2,3.0,3,2.0,1,0,0,0,0,0,0,1,,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0,0,0,1,0.5,75,82,1
Bases Occupied,"1 out, 1-3",5,4.0,4,3.0,1,1,0,0,0,0,0,1,,0.25,0.25,0.5,0.75,2.0,0.0,0.0,0,0,0,0,0.333,85,66,0
