Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,73,298.0,276,25.0,66,12,1,9,1,0,17,76,4.47,0.239,0.287,0.388,0.675,107.0,6.0,2.0,2,1,5,5,0.297,100,86,44
Platoon Splits,vs RHB,63,136.0,124,13.0,29,4,1,3,0,0,9,37,4.11,0.234,0.284,0.355,0.638,44.0,4.0,0.0,2,1,1,2,0.306,90,80,21
Platoon Splits,vs LHB,68,162.0,152,12.0,37,8,0,6,1,0,8,39,4.88,0.243,0.29,0.415,0.705,63.0,2.0,2.0,0,0,4,3,0.29,108,91,23
Platoon Splits,vs RHB as RHP,63,136.0,124,13.0,29,4,1,3,0,0,9,37,4.11,0.234,0.284,0.355,0.638,44.0,4.0,0.0,2,1,1,2,0.306,90,83,21
Platoon Splits,vs LHB as RHP,68,162.0,152,12.0,37,8,0,6,1,0,8,39,4.88,0.243,0.29,0.415,0.705,63.0,2.0,2.0,0,0,4,3,0.29,108,87,23
Home or Away,Home,38,156.0,146,14.0,41,5,1,5,0,0,9,37,4.11,0.281,0.323,0.432,0.754,63.0,5.0,0.0,1,0,2,3,0.346,124,114,30
Home or Away,Away,35,142.0,130,11.0,25,7,0,4,1,0,8,39,4.88,0.192,0.248,0.339,0.587,44.0,1.0,2.0,1,1,3,2,0.239,74,58,14
First or Second Half,1st Half,37,155.0,143,13.0,37,7,0,4,1,0,8,40,5.0,0.259,0.307,0.392,0.699,56.0,4.0,2.0,2,0,3,2,0.333,108,97,26
First or Second Half,2nd Half,36,143.0,133,12.0,29,5,1,5,0,0,9,36,4.0,0.218,0.266,0.384,0.649,51.0,2.0,0.0,0,1,2,3,0.258,91,75,18
Months,April/March,9,35.0,34,2.0,7,1,0,0,0,0,1,13,13.0,0.206,0.229,0.235,0.464,8.0,1.0,0.0,0,0,0,0,0.333,40,33,6
Months,May,14,58.0,53,5.0,12,4,0,2,0,0,3,17,5.67,0.226,0.281,0.415,0.696,22.0,1.0,1.0,1,0,2,2,0.294,105,94,6
Months,June,10,44.0,40,3.0,11,2,0,1,1,0,3,4,1.33,0.275,0.341,0.4,0.741,16.0,2.0,1.0,0,0,1,0,0.286,122,109,8
Months,July,12,47.0,44,6.0,11,1,0,3,0,0,2,12,6.0,0.25,0.283,0.477,0.76,21.0,0.0,0.0,1,0,0,0,0.276,122,108,7
Months,August,15,63.0,57,3.0,11,2,0,1,0,0,6,19,3.17,0.193,0.27,0.281,0.551,16.0,0.0,0.0,0,0,2,2,0.27,67,52,8
Months,Sept/Oct,13,51.0,48,6.0,14,2,1,2,0,0,2,11,5.5,0.292,0.314,0.5,0.814,24.0,2.0,0.0,0,1,0,1,0.333,138,118,9
Game Outcome for Pitcher,in Wins,6,30.0,27,0.0,4,1,0,0,0,0,3,10,3.33,0.148,0.233,0.185,0.419,5.0,0.0,0.0,0,0,2,2,0.235,29,52,3
Game Outcome for Pitcher,in Losses,4,22.0,19,7.0,10,2,1,1,0,0,3,1,0.33,0.526,0.591,0.895,1.486,17.0,1.0,0.0,0,0,1,1,0.529,337,210,6
Game Outcome for Pitcher,in No Dec.,28,110.0,103,13.0,28,4,0,6,0,0,5,33,6.6,0.272,0.303,0.485,0.788,50.0,4.0,0.0,1,1,1,1,0.339,131,119,18
Game Outcome for Pitcher,in Saves,35,136.0,127,5.0,24,5,0,2,1,0,6,32,5.33,0.189,0.237,0.276,0.513,35.0,1.0,2.0,1,0,1,1,0.237,54,129,17
Game Outcome for Pitcher,in Sv Situ,43,169.0,157,11.0,33,5,0,4,1,0,8,39,4.88,0.21,0.258,0.319,0.576,50.0,1.0,2.0,2,0,1,2,0.254,72,77,24
Game Outcome for Pitcher,in non-Sv,30,129.0,119,14.0,33,7,1,5,0,0,9,37,4.11,0.277,0.326,0.479,0.805,57.0,5.0,0.0,0,1,4,3,0.359,137,122,20
Pitching Role,as Reliever,73,298.0,276,25.0,66,12,1,9,1,0,17,76,4.47,0.239,0.287,0.388,0.675,107.0,6.0,2.0,2,1,5,5,0.297,100,91,44
Batting Order Positions,Batting 1st,37,37.0,36,7.0,11,2,0,3,0,0,0,9,,0.306,0.324,0.611,0.935,22.0,0.0,1.0,0,0,0,1,0.333,170,150,6
Batting Order Positions,Batting 2nd,34,34.0,30,5.0,5,2,0,2,0,0,3,8,2.67,0.167,0.265,0.433,0.698,13.0,0.0,1.0,0,0,0,2,0.15,104,83,1
Batting Order Positions,Batting 3rd,30,30.0,24,1.0,9,3,1,0,0,0,6,7,1.17,0.375,0.5,0.583,1.083,14.0,2.0,0.0,0,0,4,0,0.529,225,169,5
Batting Order Positions,Batting 4th,29,29.0,28,2.0,6,0,0,0,0,0,1,10,10.0,0.214,0.241,0.214,0.456,6.0,1.0,0.0,0,0,1,0,0.333,39,18,6
Batting Order Positions,Batting 5th,28,28.0,28,2.0,3,0,0,0,0,0,0,6,,0.107,0.107,0.107,0.214,3.0,1.0,0.0,0,0,0,0,0.136,-35,-41,3
Batting Order Positions,Batting 6th,34,34.0,31,1.0,7,3,0,0,0,0,2,10,5.0,0.226,0.265,0.323,0.587,10.0,0.0,0.0,0,1,0,0,0.318,76,66,4
