Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,68,275.0,235,26.0,54,10,3,3,3,0,29,68,2.34,0.23,0.327,0.336,0.663,79.0,9.0,6.0,3,2,6,4,0.307,100,86,38
Platoon Splits,vs RHB,62,142.0,124,16.0,23,2,2,2,3,0,13,30,2.31,0.186,0.266,0.282,0.549,35.0,6.0,1.0,3,1,1,3,0.226,65,54,17
Platoon Splits,vs LHB,60,133.0,111,11.0,31,8,1,1,0,0,16,38,2.38,0.279,0.391,0.396,0.787,44.0,3.0,5.0,0,1,5,1,0.411,137,119,21
Platoon Splits,vs RHB as RHP,62,142.0,124,16.0,23,2,2,2,3,0,13,30,2.31,0.186,0.266,0.282,0.549,35.0,6.0,1.0,3,1,1,3,0.226,65,58,17
Platoon Splits,vs LHB as RHP,60,133.0,111,11.0,31,8,1,1,0,0,16,38,2.38,0.279,0.391,0.396,0.787,44.0,3.0,5.0,0,1,5,1,0.411,137,113,21
Home or Away,Home,37,147.0,127,19.0,30,5,1,2,1,0,15,33,2.2,0.236,0.329,0.339,0.667,43.0,6.0,3.0,1,1,3,3,0.301,102,91,22
Home or Away,Away,31,128.0,108,7.0,24,5,2,1,2,0,14,35,2.5,0.222,0.325,0.333,0.659,36.0,3.0,3.0,2,1,3,1,0.315,99,80,16
First or Second Half,1st Half,39,162.0,137,15.0,31,6,2,3,2,0,18,36,2.0,0.226,0.321,0.365,0.686,50.0,5.0,2.0,3,2,5,4,0.28,107,91,20
First or Second Half,2nd Half,29,113.0,98,11.0,23,4,1,0,1,0,11,32,2.91,0.235,0.336,0.296,0.632,29.0,4.0,4.0,0,0,1,0,0.349,91,78,18
Months,April/March,11,35.0,30,1.0,4,3,0,0,0,0,4,9,2.25,0.133,0.257,0.233,0.49,7.0,3.0,1.0,0,0,3,1,0.191,48,40,1
Months,May,11,55.0,47,4.0,12,2,1,0,1,0,6,13,2.17,0.255,0.333,0.34,0.674,16.0,1.0,0.0,1,1,1,1,0.343,103,87,9
Months,June,11,52.0,41,10.0,12,1,1,3,1,0,8,8,1.0,0.293,0.412,0.585,0.997,24.0,1.0,1.0,1,1,1,1,0.29,200,171,7
Months,July,12,42.0,39,0.0,7,0,0,0,1,0,1,11,11.0,0.18,0.22,0.18,0.399,7.0,2.0,1.0,1,0,1,1,0.25,21,12,7
Months,August,11,42.0,35,3.0,6,1,0,0,0,0,5,11,2.2,0.171,0.31,0.2,0.51,7.0,1.0,2.0,0,0,0,0,0.25,54,47,5
Months,Sept/Oct,12,49.0,43,8.0,13,3,1,0,0,0,5,16,3.2,0.302,0.388,0.419,0.806,18.0,1.0,1.0,0,0,0,0,0.482,143,127,9
Game Outcome for Pitcher,in Wins,5,31.0,26,0.0,4,0,0,0,1,0,3,10,3.33,0.154,0.267,0.154,0.421,4.0,1.0,1.0,1,0,1,0,0.25,28,51,4
Game Outcome for Pitcher,in Losses,2,17.0,13,8.0,7,0,0,1,0,0,3,1,0.33,0.539,0.625,0.769,1.394,10.0,0.0,0.0,1,0,1,0,0.546,320,200,6
Game Outcome for Pitcher,in No Dec.,46,168.0,145,15.0,32,8,3,2,1,0,18,40,2.22,0.221,0.317,0.359,0.676,52.0,6.0,3.0,1,1,4,4,0.289,104,92,19
Game Outcome for Pitcher,in Saves,15,59.0,51,3.0,11,2,0,0,1,0,5,17,3.4,0.216,0.305,0.255,0.56,13.0,2.0,2.0,0,1,0,0,0.314,69,164,9
Game Outcome for Pitcher,in Sv Situ,33,127.0,110,11.0,25,3,2,0,2,0,13,37,2.85,0.227,0.315,0.291,0.606,32.0,3.0,2.0,0,2,0,1,0.333,83,91,20
Game Outcome for Pitcher,in non-Sv,35,148.0,125,15.0,29,7,1,3,1,0,16,31,1.94,0.232,0.338,0.376,0.714,47.0,6.0,4.0,3,0,6,3,0.286,115,101,18
Pitching Role,as Reliever,68,275.0,235,26.0,54,10,3,3,3,0,29,68,2.34,0.23,0.327,0.336,0.663,79.0,9.0,6.0,3,2,6,4,0.307,100,92,38
Batting Order Positions,Batting 1st,29,29.0,24,2.0,5,2,0,0,0,0,3,10,3.33,0.208,0.345,0.292,0.637,7.0,1.0,2.0,0,0,0,0,0.357,92,81,3
Batting Order Positions,Batting 2nd,30,30.0,28,1.0,6,1,0,0,0,0,1,6,6.0,0.214,0.233,0.25,0.483,7.0,2.0,0.0,0,1,0,0,0.261,46,36,5
