Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,67,289.0,233,34.0,55,7,2,5,1,1,46,90,1.96,0.236,0.363,0.348,0.711,81.0,4.0,4.0,0,6,1,1,0.347,100,104,41
Platoon Splits,vs RHB,67,205.0,168,24.0,40,6,1,3,1,0,29,64,2.21,0.238,0.351,0.339,0.691,57.0,4.0,3.0,0,5,1,0,0.349,94,97,30
Platoon Splits,vs LHB,55,84.0,65,10.0,15,1,1,2,0,1,17,26,1.53,0.231,0.393,0.369,0.762,24.0,0.0,1.0,0,1,0,1,0.342,114,122,11
Platoon Splits,vs RHB as LHP,67,205.0,168,24.0,40,6,1,3,1,0,29,64,2.21,0.238,0.351,0.339,0.691,57.0,4.0,3.0,0,5,1,0,0.349,94,91,30
Platoon Splits,vs LHB as LHP,55,84.0,65,10.0,15,1,1,2,0,1,17,26,1.53,0.231,0.393,0.369,0.762,24.0,0.0,1.0,0,1,0,1,0.342,114,137,11
Home or Away,Home,35,149.0,121,14.0,29,3,0,2,1,1,23,50,2.17,0.24,0.369,0.314,0.683,38.0,3.0,3.0,0,2,1,0,0.38,92,101,24
Home or Away,Away,32,140.0,112,20.0,26,4,2,3,0,0,23,40,1.74,0.232,0.357,0.384,0.741,43.0,1.0,1.0,0,4,0,1,0.315,109,108,17
First or Second Half,1st Half,41,168.0,135,21.0,26,5,1,3,1,1,26,55,2.12,0.193,0.327,0.311,0.639,42.0,1.0,3.0,0,4,0,1,0.284,80,84,17
First or Second Half,2nd Half,26,121.0,98,13.0,29,2,1,2,0,0,20,35,1.75,0.296,0.413,0.398,0.811,39.0,3.0,1.0,0,2,1,0,0.429,128,134,24
Months,April/March,10,36.0,30,5.0,5,1,0,2,0,0,4,15,3.75,0.167,0.278,0.4,0.678,12.0,0.0,1.0,0,1,0,0,0.214,92,99,2
Months,May,11,48.0,37,7.0,10,0,1,0,1,0,8,12,1.5,0.27,0.396,0.324,0.72,12.0,1.0,1.0,0,2,0,0,0.37,102,108,9
Months,June,11,43.0,38,4.0,6,2,0,1,0,0,5,20,4.0,0.158,0.256,0.29,0.545,11.0,0.0,0.0,0,0,0,0,0.294,54,52,3
Months,July,13,65.0,50,9.0,11,3,0,0,0,1,13,14,1.08,0.22,0.385,0.28,0.665,14.0,1.0,1.0,0,1,0,1,0.297,87,93,8
Months,August,11,49.0,41,5.0,11,1,0,2,0,0,7,14,2.0,0.268,0.367,0.439,0.806,18.0,0.0,0.0,0,1,1,0,0.346,127,129,8
Months,Sept/Oct,11,48.0,37,4.0,12,0,1,0,0,0,9,15,1.67,0.324,0.458,0.378,0.837,14.0,2.0,1.0,0,1,0,0,0.522,135,144,11
Game Outcome for Pitcher,in Wins,4,18.0,15,2.0,3,1,0,0,0,0,2,7,3.5,0.2,0.333,0.267,0.6,4.0,0.0,1.0,0,0,0,0,0.375,69,128,2
Game Outcome for Pitcher,in Losses,5,29.0,23,10.0,11,1,0,2,0,0,5,5,1.0,0.478,0.586,0.783,1.369,18.0,1.0,1.0,0,0,1,1,0.563,286,185,8
Game Outcome for Pitcher,in No Dec.,38,161.0,126,20.0,30,3,2,3,1,1,29,51,1.76,0.238,0.379,0.365,0.744,46.0,3.0,2.0,0,4,0,0,0.355,109,119,22
Game Outcome for Pitcher,in Saves,20,81.0,69,2.0,11,2,0,0,0,0,10,27,2.7,0.159,0.259,0.188,0.448,13.0,0.0,0.0,0,2,0,0,0.25,25,113,9
Game Outcome for Pitcher,in Sv Situ,32,141.0,107,18.0,26,4,1,3,0,0,29,36,1.24,0.243,0.397,0.383,0.78,41.0,1.0,1.0,0,4,1,1,0.319,119,140,18
Game Outcome for Pitcher,in non-Sv,35,148.0,126,16.0,29,3,1,2,1,1,17,54,3.18,0.23,0.331,0.318,0.649,40.0,3.0,3.0,0,2,0,0,0.375,82,86,23
Pitching Role,as Reliever,67,289.0,233,34.0,55,7,2,5,1,1,46,90,1.96,0.236,0.363,0.348,0.711,81.0,4.0,4.0,0,6,1,1,0.347,100,108,41
Batting Order Positions,Batting 1st,37,37.0,26,2.0,4,1,0,1,0,0,10,11,1.1,0.154,0.405,0.308,0.713,8.0,0.0,1.0,0,0,0,1,0.214,100,105,2
Batting Order Positions,Batting 2nd,32,32.0,22,1.0,3,0,0,0,0,0,9,3,0.33,0.136,0.375,0.136,0.511,3.0,2.0,0.0,0,1,0,0,0.15,42,45,3
Batting Order Positions,Batting 3rd,32,32.0,27,7.0,8,0,0,2,1,0,4,9,2.25,0.296,0.375,0.519,0.894,14.0,2.0,0.0,0,1,0,0,0.353,152,133,6
Batting Order Positions,Batting 4th,30,30.0,21,3.0,5,1,0,0,0,0,7,8,1.14,0.238,0.433,0.286,0.719,6.0,0.0,1.0,0,1,0,0,0.357,102,104,4
Batting Order Positions,Batting 5th,31,31.0,29,1.0,6,1,0,0,0,0,2,12,6.0,0.207,0.258,0.241,0.5,7.0,0.0,0.0,0,0,0,0,0.353,40,45,5
Batting Order Positions,Batting 6th,29,29.0,22,2.0,7,1,0,0,0,0,6,12,2.0,0.318,0.483,0.364,0.846,8.0,0.0,1.0,0,0,1,0,0.7,138,153,6
Batting Order Positions,Batting 7th,31,31.0,26,4.0,6,2,0,0,0,0,4,9,2.25,0.231,0.355,0.308,0.663,8.0,0.0,1.0,0,0,0,0,0.353,86,102,4
Batting Order Positions,Batting 8th,29,29.0,26,5.0,7,0,1,0,0,0,1,7,7.0,0.269,0.276,0.346,0.622,9.0,0.0,0.0,0,2,0,0,0.333,76,89,6
Batting Order Positions,Batting 9th,38,38.0,34,9.0,9,1,1,2,0,1,3,19,6.33,0.265,0.316,0.529,0.845,18.0,0.0,0.0,0,1,0,0,0.5,139,162,5
Batting Order Positions,"Bat1-2,non-P",44,69.0,48,3.0,7,1,0,1,0,0,19,14,0.74,0.146,0.391,0.229,0.621,11.0,2.0,1.0,0,1,0,1,0.177,74,76,5
Batting Order Positions,"Bat3-6,non-P",54,122.0,99,13.0,26,3,0,2,1,0,19,41,2.16,0.263,0.385,0.354,0.739,35.0,2.0,2.0,0,2,1,0,0.414,108,108,21
Batting Order Positions,"Bat7-9,non-P",48,98.0,86,18.0,22,3,2,2,0,1,8,35,4.38,0.256,0.316,0.407,0.723,35.0,0.0,1.0,0,3,0,0,0.385,104,120,15
Swung or Took First Pitch of PA,Swung at 1st Pitch,47,80.0,71,5.0,19,5,0,1,,,8,28,3.5,0.268,0.35,0.38,0.73,27.0,1.0,1.0,0,0,0,1,0.429,106,115,13
Swung or Took First Pitch of PA,Took 1st Pitch,66,209.0,162,28.0,36,2,2,4,,,38,62,1.63,0.222,0.368,0.333,0.702,54.0,3.0,3.0,0,6,1,0,0.314,97,100,28
Count/Balls-Strikes,First Pitch,17,20.0,19,3.0,5,1,0,1,,,0,0,,0.263,0.3,0.474,0.774,9.0,0.0,1.0,0,0,0,0,0.222,119,71,3
Count/Balls-Strikes,1-0 Count,11,11.0,9,3.0,1,0,0,1,,,0,0,,0.111,0.091,0.444,0.535,4.0,0.0,0.0,0,2,0,0,0.0,53,4,0
Count/Balls-Strikes,2-0 Count,4,4.0,3,2.0,2,0,1,0,,,0,0,,0.667,0.75,1.333,2.083,4.0,0.0,1.0,0,0,0,0,0.667,490,334,1
Count/Balls-Strikes,3-0 Count,7,7.0,0,0.0,0,0,0,0,,,7,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,13,14.0,14,2.0,7,1,0,0,,,0,0,,0.5,0.5,0.571,1.071,8.0,1.0,0.0,0,0,0,1,0.5,202,167,6
Count/Balls-Strikes,1-1 Count,16,19.0,18,2.0,4,1,0,0,,,0,0,,0.222,0.211,0.278,0.488,5.0,1.0,0.0,0,1,0,0,0.211,38,19,3
Count/Balls-Strikes,2-1 Count,10,11.0,9,5.0,5,0,0,1,,,0,0,,0.556,0.455,0.889,1.343,8.0,0.0,0.0,0,2,0,0,0.4,281,190,4
Count/Balls-Strikes,3-1 Count,14,17.0,2,2.0,1,0,0,1,,,15,0,0.0,0.5,0.941,2.0,2.941,4.0,0.0,0.0,0,0,0,0,0.0,734,361,0
Count/Balls-Strikes,0-2 Count,26,32.0,32,0.0,7,1,0,0,,,0,14,,0.219,0.219,0.25,0.469,8.0,0.0,0.0,0,0,0,0,0.389,32,149,6
Count/Balls-Strikes,1-2 Count,42,53.0,51,6.0,8,1,1,0,,,0,30,,0.157,0.189,0.216,0.404,11.0,1.0,2.0,0,0,0,0,0.381,14,100,6
Count/Balls-Strikes,2-2 Count,34,46.0,45,5.0,7,1,0,1,,,0,29,,0.156,0.152,0.244,0.397,11.0,1.0,0.0,0,1,0,0,0.375,12,76,5
Count/Balls-Strikes,Full Count,36,55.0,31,3.0,8,1,0,0,,,24,17,0.71,0.258,0.582,0.29,0.872,9.0,0.0,0.0,0,0,0,0,0.571,144,118,7
Count/Balls-Strikes,After 1-0,56,130.0,94,16.0,20,2,1,3,,,32,33,1.03,0.213,0.408,0.351,0.759,33.0,2.0,1.0,0,3,1,0,0.279,113,92,14
Count/Balls-Strikes,After 2-0,38,49.0,27,6.0,8,0,1,1,,,20,10,0.5,0.296,0.592,0.482,1.073,13.0,0.0,1.0,0,1,1,0,0.412,201,125,6
Count/Balls-Strikes,After 3-0,18,18.0,5,1.0,3,0,0,0,,,13,1,0.08,0.6,0.889,0.6,1.489,3.0,0.0,0.0,0,0,1,0,0.75,317,147,3
Count/Balls-Strikes,After 0-1,64,139.0,120,14.0,30,4,1,1,,,14,57,4.07,0.25,0.331,0.325,0.656,39.0,2.0,2.0,0,3,0,1,0.446,85,126,24
Count/Balls-Strikes,After 1-1,60,129.0,105,19.0,25,4,1,2,,,20,47,2.35,0.238,0.357,0.352,0.709,37.0,3.0,1.0,0,3,0,0,0.39,100,117,18
Count/Balls-Strikes,After 2-1,44,76.0,50,10.0,13,1,0,2,,,23,25,1.09,0.26,0.474,0.4,0.874,20.0,1.0,0.0,0,3,0,0,0.423,146,124,10
Count/Balls-Strikes,After 3-1,29,38.0,14,5.0,6,1,0,1,,,24,6,0.25,0.429,0.79,0.714,1.504,10.0,0.0,0.0,0,0,0,0,0.714,323,196,4
Count/Balls-Strikes,After 0-2,47,66.0,59,0.0,9,1,0,0,,,6,33,5.5,0.153,0.242,0.17,0.412,10.0,0.0,1.0,0,0,0,0,0.346,15,96,8
Count/Balls-Strikes,After 1-2,55,95.0,83,10.0,13,2,1,1,,,10,50,5.0,0.157,0.263,0.241,0.504,20.0,1.0,2.0,0,0,0,0,0.375,42,111,9
Count/Balls-Strikes,After 2-2,50,80.0,64,5.0,10,1,0,1,,,15,40,2.67,0.156,0.313,0.219,0.531,14.0,1.0,0.0,0,1,0,0,0.375,49,88,8
Count/Balls-Strikes,Zero Balls,43,66.0,65,6.0,19,3,0,1,,,0,14,,0.292,0.303,0.385,0.688,25.0,1.0,1.0,0,0,0,1,0.36,94,98,15
Count/Balls-Strikes,Zero Strikes,33,42.0,31,8.0,8,1,1,2,,,7,0,0.0,0.258,0.405,0.548,0.953,17.0,0.0,2.0,0,2,1,0,0.194,169,99,4
Count/Balls-Strikes,Three Balls,45,79.0,33,5.0,9,1,0,1,,,46,17,0.37,0.273,0.696,0.394,1.09,13.0,0.0,0.0,0,0,1,0,0.533,205,131,7
Count/Balls-Strikes,Two Strikes,66,186.0,159,15.0,30,4,1,1,,,24,90,3.75,0.189,0.301,0.245,0.546,39.0,2.0,2.0,0,1,0,0,0.42,53,118,24
Count/Balls-Strikes,Batter Ahead,50,105.0,54,15.0,17,1,1,3,,,46,17,0.37,0.315,0.61,0.537,1.147,29.0,0.0,1.0,0,4,1,0,0.368,222,141,12
Count/Balls-Strikes,Even Count,51,85.0,82,10.0,16,3,0,2,,,0,29,,0.195,0.2,0.305,0.505,25.0,2.0,1.0,0,2,0,0,0.264,43,47,11
Count/Balls-Strikes,Pitcher Ahead,57,99.0,97,8.0,22,3,1,0,,,0,44,,0.227,0.242,0.278,0.521,27.0,2.0,2.0,0,0,0,1,0.415,47,108,18
Leading Off Inning,First Batter,67,67.0,57,3.0,12,1,0,1,,,9,29,3.22,0.211,0.328,0.281,0.609,16.0,0.0,1.0,0,0,0,0,0.407,71,80,10
Leading Off Inning,Leadoff Inn.,64,65.0,54,2.0,11,0,0,1,,,10,28,2.8,0.204,0.339,0.259,0.598,14.0,0.0,1.0,0,0,0,0,0.4,68,79,10
Opposition Defensive Position,vs. Non-P,67,289.0,233,34.0,55,7,2,5,1,1,46,90,1.96,0.236,0.363,0.348,0.711,81.0,4.0,4.0,0,6,1,1,0.347,100,104,41
Number of Outs in Inning,0 outs,65,103.0,84,5.0,18,2,0,1,0,0,16,38,2.38,0.214,0.35,0.274,0.623,23.0,4.0,2.0,0,1,0,0,0.37,75,82,15
Number of Outs in Inning,1 out,62,93.0,71,14.0,19,3,1,3,1,1,15,27,1.8,0.268,0.387,0.465,0.852,33.0,0.0,2.0,0,5,0,0,0.348,140,141,12
Number of Outs in Inning,2 outs,63,93.0,78,15.0,18,2,1,1,0,0,15,25,1.67,0.231,0.355,0.321,0.675,25.0,0.0,0.0,0,0,1,1,0.327,90,96,14
Bases Occupied,RISP,39,90.0,72,29.0,15,4,2,2,1,0,11,25,2.27,0.208,0.3,0.403,0.703,29.0,1.0,1.0,0,6,1,1,0.255,98,89,7
Bases Occupied,---,60,132.0,110,2.0,27,2,0,2,0,0,20,47,2.35,0.246,0.371,0.318,0.689,35.0,0.0,2.0,0,0,0,0,0.41,94,106,23
Bases Occupied,Men On,52,157.0,123,32.0,28,5,2,3,1,1,26,43,1.65,0.228,0.357,0.374,0.731,46.0,4.0,2.0,0,6,1,1,0.301,106,101,18
Bases Occupied,1--,45,67.0,51,3.0,13,1,0,1,0,1,15,18,1.2,0.255,0.433,0.333,0.766,17.0,3.0,1.0,0,0,0,0,0.375,115,118,11
Bases Occupied,-2-,14,23.0,22,5.0,3,1,0,1,1,0,1,10,10.0,0.136,0.174,0.318,0.492,7.0,0.0,0.0,0,0,0,1,0.182,39,35,1
Bases Occupied,--3,7,7.0,5,2.0,1,0,0,0,0,0,1,2,2.0,0.2,0.286,0.2,0.486,1.0,0.0,0.0,0,1,0,0,0.25,36,22,1
Bases Occupied,12-,22,34.0,28,12.0,8,2,2,1,0,0,6,8,1.33,0.286,0.412,0.607,1.019,17.0,1.0,0.0,0,0,0,0,0.368,188,181,3
