Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,60,278,258,20.0,58,9,0,8,0,0,11,90,8.18,0.225,0.273,0.353,0.625,91.0,6.0,6.0,3,0,2,4,0.313,100,66,41
Platoon Splits,vs RHB,59,206,192,22.0,40,8,0,7,0,0,7,65,9.29,0.208,0.251,0.359,0.611,69.0,6.0,4.0,3,0,2,3,0.275,94,61,25
Platoon Splits,vs LHB,45,72,66,3.0,18,1,0,1,0,0,4,25,6.25,0.273,0.333,0.333,0.667,22.0,0.0,2.0,0,0,0,1,0.425,116,78,16
Platoon Splits,vs RHB as LHP,59,206,192,22.0,40,8,0,7,0,0,7,65,9.29,0.208,0.251,0.359,0.611,69.0,6.0,4.0,3,0,2,3,0.275,94,55,25
Platoon Splits,vs LHB as LHP,45,72,66,3.0,18,1,0,1,0,0,4,25,6.25,0.273,0.333,0.333,0.667,22.0,0.0,2.0,0,0,0,1,0.425,116,88,16
Home or Away,Home,31,137,129,14.0,29,4,0,5,0,0,5,44,8.8,0.225,0.265,0.372,0.637,48.0,3.0,2.0,1,0,0,1,0.3,103,70,20
Home or Away,Away,29,141,129,6.0,29,5,0,3,0,0,6,46,7.67,0.225,0.281,0.333,0.614,43.0,3.0,4.0,2,0,2,3,0.325,97,62,21
First or Second Half,1st Half,33,160,148,8.0,32,5,0,4,0,0,7,51,7.29,0.216,0.27,0.331,0.602,49.0,2.0,4.0,1,0,1,2,0.301,93,61,23
First or Second Half,2nd Half,27,118,110,12.0,26,4,0,4,0,0,4,39,9.75,0.236,0.276,0.382,0.658,42.0,4.0,2.0,2,0,1,2,0.328,109,73,18
Months,April/March,12,63,56,3.0,16,3,0,1,0,0,4,20,5.0,0.286,0.365,0.393,0.758,22.0,1.0,3.0,0,0,1,0,0.429,145,107,12
Months,May,10,46,44,3.0,11,1,0,2,0,0,2,11,5.5,0.25,0.283,0.409,0.692,18.0,1.0,0.0,0,0,0,0,0.29,120,83,8
Months,June,9,40,37,2.0,4,1,0,1,0,0,1,13,13.0,0.108,0.154,0.216,0.37,8.0,0.0,1.0,1,0,0,1,0.13,18,-3,2
Months,July,10,51,49,4.0,11,2,0,1,0,0,1,18,18.0,0.225,0.255,0.327,0.581,16.0,1.0,1.0,0,0,0,1,0.333,86,52,8
Months,August,8,37,35,4.0,9,0,0,1,0,0,2,14,7.0,0.257,0.297,0.343,0.64,12.0,1.0,0.0,0,0,1,0,0.4,106,66,8
Months,Sept/Oct,11,41,37,4.0,7,2,0,2,0,0,1,14,14.0,0.189,0.231,0.405,0.636,15.0,2.0,1.0,2,0,0,2,0.238,99,69,3
Game Outcome for Pitcher,in Wins,2,15,14,0.0,2,0,0,0,0,0,1,3,3.0,0.143,0.2,0.143,0.343,2.0,0.0,0.0,0,0,0,0,0.182,14,24,2
