Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,53,267.0,228,24.0,56,12,3,3,2,1,29,60,2.07,0.246,0.332,0.364,0.696,83.0,9.0,2.0,4,3,3,2,0.316,100,95,38
Platoon Splits,vs RHB,52,152.0,132,22.0,25,4,2,2,2,1,14,33,2.36,0.189,0.269,0.296,0.564,39.0,3.0,1.0,2,2,2,2,0.232,62,60,17
Platoon Splits,vs LHB,47,115.0,96,14.0,31,8,1,1,0,0,15,27,1.8,0.323,0.416,0.458,0.874,44.0,6.0,1.0,2,1,1,0,0.435,151,141,21
Platoon Splits,vs RHB as RHP,52,152.0,132,22.0,25,4,2,2,2,1,14,33,2.36,0.189,0.269,0.296,0.564,39.0,3.0,1.0,2,2,2,2,0.232,62,62,17
Platoon Splits,vs LHB as RHP,47,115.0,96,14.0,31,8,1,1,0,0,15,27,1.8,0.323,0.416,0.458,0.874,44.0,6.0,1.0,2,1,1,0,0.435,151,136,21
Home or Away,Home,24,115.0,98,11.0,24,5,1,2,0,1,10,26,2.6,0.245,0.324,0.378,0.702,37.0,5.0,2.0,3,1,0,2,0.31,101,101,16
Home or Away,Away,29,152.0,130,13.0,32,7,2,1,2,0,19,34,1.79,0.246,0.338,0.354,0.692,46.0,4.0,0.0,1,2,3,0,0.32,99,90,22
First or Second Half,1st Half,22,115.0,101,15.0,32,6,2,1,1,0,11,28,2.55,0.317,0.384,0.446,0.829,45.0,5.0,0.0,3,0,2,2,0.431,138,135,23
First or Second Half,2nd Half,31,152.0,127,9.0,24,6,1,2,1,1,18,32,1.78,0.189,0.293,0.299,0.593,38.0,4.0,2.0,1,3,1,0,0.229,70,64,15
Months,April/March,2,14.0,13,2.0,5,2,0,0,0,0,1,3,3.0,0.385,0.429,0.539,0.967,7.0,0.0,0.0,0,0,1,0,0.5,177,174,3
Months,May,8,38.0,34,0.0,8,1,0,0,0,0,2,11,5.5,0.235,0.278,0.265,0.543,9.0,2.0,0.0,2,0,0,1,0.348,57,55,7
Months,June,10,55.0,46,12.0,17,3,1,1,0,0,8,12,1.5,0.37,0.463,0.544,1.007,25.0,3.0,0.0,1,0,1,1,0.485,189,184,12
Months,July,8,46.0,38,4.0,8,2,2,1,2,0,7,9,1.29,0.211,0.333,0.447,0.781,17.0,1.0,0.0,1,0,1,0,0.25,123,116,3
Months,August,14,60.0,53,4.0,10,2,0,1,0,1,6,12,2.0,0.189,0.267,0.283,0.55,15.0,2.0,0.0,0,1,0,0,0.22,58,52,7
Months,Sept/Oct,11,54.0,44,2.0,8,2,0,0,0,0,5,13,2.6,0.182,0.283,0.227,0.51,10.0,1.0,2.0,0,2,0,0,0.242,48,43,6
Game Outcome for Pitcher,in Wins,2,16.0,13,0.0,3,0,0,0,0,0,1,3,3.0,0.231,0.286,0.231,0.517,3.0,0.0,0.0,1,0,0,0,0.3,50,88,3
Game Outcome for Pitcher,in Losses,2,13.0,11,3.0,7,1,0,0,0,0,2,0,0.0,0.636,0.692,0.727,1.42,8.0,3.0,0.0,0,0,1,0,0.636,308,206,6
Game Outcome for Pitcher,in No Dec.,36,183.0,153,21.0,37,7,3,3,2,1,23,42,1.83,0.242,0.343,0.386,0.728,59.0,5.0,2.0,2,3,1,2,0.306,109,107,24
Game Outcome for Pitcher,in Saves,13,55.0,51,0.0,9,4,0,0,0,0,3,15,5.0,0.177,0.222,0.255,0.477,13.0,1.0,0.0,1,0,1,0,0.25,37,113,5
Game Outcome for Pitcher,in Sv Situ,23,103.0,88,5.0,16,6,0,1,0,0,10,21,2.1,0.182,0.267,0.284,0.551,25.0,2.0,1.0,2,2,1,0,0.221,58,71,9
Game Outcome for Pitcher,in non-Sv,30,164.0,140,19.0,40,6,3,2,2,1,19,39,2.05,0.286,0.373,0.414,0.787,58.0,7.0,1.0,2,1,2,2,0.38,126,120,29
Pitching Role,as Reliever,53,267.0,228,24.0,56,12,3,3,2,1,29,60,2.07,0.246,0.332,0.364,0.696,83.0,9.0,2.0,4,3,3,2,0.316,100,99,38
Batting Order Positions,Batting 1st,25,25.0,20,2.0,6,2,0,0,0,0,3,6,2.0,0.3,0.375,0.4,0.775,8.0,0.0,0.0,1,1,0,0,0.4,123,113,4
Batting Order Positions,Batting 2nd,29,29.0,23,2.0,4,0,0,0,0,0,5,6,1.2,0.174,0.345,0.174,0.519,4.0,0.0,1.0,0,0,1,0,0.235,52,45,4
Batting Order Positions,Batting 3rd,28,28.0,26,6.0,8,2,0,1,0,0,1,5,5.0,0.308,0.321,0.5,0.821,13.0,2.0,0.0,0,1,1,1,0.333,134,100,5
Batting Order Positions,Batting 4th,30,31.0,27,1.0,2,0,0,0,1,0,4,9,2.25,0.074,0.194,0.074,0.268,2.0,1.0,0.0,0,0,0,0,0.111,-21,-26,2
