Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,60,241.0,225,22.0,55,14,0,4,4,1,12,45,3.75,0.244,0.283,0.36,0.643,81.0,12.0,1.0,1,2,3,3,0.287,100,83,37
Platoon Splits,vs RHB,56,125.0,115,13.0,28,7,0,2,2,1,7,30,4.29,0.244,0.29,0.357,0.647,41.0,8.0,1.0,1,1,0,2,0.31,102,85,19
Platoon Splits,vs LHB,51,116.0,110,11.0,27,7,0,2,2,0,5,15,3.0,0.246,0.276,0.364,0.64,40.0,4.0,0.0,0,1,3,1,0.266,99,82,18
Platoon Splits,vs RHB as RHP,56,125.0,115,13.0,28,7,0,2,2,1,7,30,4.29,0.244,0.29,0.357,0.647,41.0,8.0,1.0,1,1,0,2,0.31,102,89,19
Platoon Splits,vs LHB as RHP,51,116.0,110,11.0,27,7,0,2,2,0,5,15,3.0,0.246,0.276,0.364,0.64,40.0,4.0,0.0,0,1,3,1,0.266,99,79,18
Home or Away,Home,33,131.0,125,15.0,28,6,0,3,3,1,5,22,4.4,0.224,0.26,0.344,0.604,43.0,5.0,1.0,0,0,0,1,0.25,87,75,19
Home or Away,Away,27,110.0,100,7.0,27,8,0,1,1,0,7,23,3.29,0.27,0.312,0.38,0.692,38.0,7.0,0.0,1,2,3,2,0.333,116,94,18
First or Second Half,1st Half,32,134.0,123,16.0,34,9,0,3,3,0,8,23,2.88,0.276,0.323,0.423,0.746,52.0,6.0,1.0,1,1,2,0,0.316,132,110,22
First or Second Half,2nd Half,28,107.0,102,6.0,21,5,0,1,1,1,4,22,5.5,0.206,0.234,0.284,0.518,29.0,6.0,0.0,0,1,1,3,0.25,62,50,15
Months,April/March,9,37.0,34,3.0,11,3,0,1,0,0,1,6,6.0,0.324,0.351,0.5,0.851,17.0,2.0,1.0,0,1,1,0,0.357,163,139,7
Months,May,10,39.0,34,8.0,14,4,0,2,2,0,4,9,2.25,0.412,0.474,0.706,1.18,24.0,2.0,0.0,1,0,1,0,0.522,264,228,8
Months,June,9,40.0,37,5.0,6,2,0,0,1,0,3,4,1.33,0.162,0.225,0.216,0.441,8.0,1.0,0.0,0,0,0,0,0.182,40,28,4
Months,July,9,43.0,40,2.0,6,1,0,0,1,1,3,12,4.0,0.15,0.209,0.175,0.384,7.0,2.0,0.0,0,0,1,1,0.214,23,12,5
Months,August,11,44.0,43,4.0,11,2,0,1,0,0,0,6,,0.256,0.25,0.372,0.622,16.0,4.0,0.0,0,1,0,2,0.27,92,78,8
Months,Sept/Oct,12,38.0,37,0.0,7,2,0,0,0,0,1,8,8.0,0.189,0.211,0.243,0.454,9.0,1.0,0.0,0,0,0,0,0.241,42,32,5
Game Outcome for Pitcher,in Wins,3,9.0,9,0.0,2,1,0,0,0,0,0,2,,0.222,0.222,0.333,0.556,3.0,0.0,0.0,0,0,0,0,0.286,71,97,1
Game Outcome for Pitcher,in Losses,2,15.0,11,6.0,5,1,0,2,2,0,4,2,0.5,0.455,0.6,1.091,1.691,12.0,1.0,0.0,0,0,1,0,0.429,415,263,2
Game Outcome for Pitcher,in No Dec.,44,170.0,165,12.0,33,7,0,2,1,1,4,31,7.75,0.2,0.218,0.279,0.496,46.0,8.0,0.0,0,1,0,3,0.233,55,45,24
Game Outcome for Pitcher,in Saves,11,47.0,40,4.0,15,5,0,0,1,0,4,10,2.5,0.375,0.435,0.5,0.935,20.0,3.0,1.0,1,1,2,0,0.484,193,320,10
Game Outcome for Pitcher,in Sv Situ,29,122.0,110,13.0,30,9,0,3,3,0,8,27,3.38,0.273,0.322,0.436,0.759,48.0,5.0,1.0,1,2,3,0,0.329,135,136,18
Game Outcome for Pitcher,in non-Sv,31,119.0,115,9.0,25,5,0,1,1,1,4,18,4.5,0.217,0.244,0.287,0.531,33.0,7.0,0.0,0,0,0,3,0.25,66,53,19
Pitching Role,as Reliever,60,241.0,225,22.0,55,14,0,4,4,1,12,45,3.75,0.244,0.283,0.36,0.643,81.0,12.0,1.0,1,2,3,3,0.287,100,88,37
Batting Order Positions,Batting 1st,28,28.0,26,2.0,4,0,0,0,0,0,2,3,1.5,0.154,0.214,0.154,0.368,4.0,2.0,0.0,0,0,1,0,0.174,18,5,4
Batting Order Positions,Batting 2nd,21,21.0,19,2.0,5,1,0,1,0,0,2,4,2.0,0.263,0.333,0.474,0.807,9.0,1.0,0.0,0,0,0,0,0.286,149,124,3
Batting Order Positions,Batting 3rd,21,21.0,18,5.0,5,3,0,1,0,0,2,2,1.0,0.278,0.333,0.611,0.944,11.0,1.0,0.0,0,1,1,1,0.25,187,131,1
Batting Order Positions,Batting 4th,19,19.0,18,2.0,4,1,0,1,1,0,1,4,4.0,0.222,0.263,0.444,0.708,8.0,1.0,0.0,0,0,0,0,0.231,116,85,2
Batting Order Positions,Batting 5th,25,25.0,25,4.0,3,1,0,0,0,0,0,5,,0.12,0.12,0.16,0.28,4.0,2.0,0.0,0,0,0,1,0.15,-13,-24,2
Batting Order Positions,Batting 6th,29,29.0,29,3.0,9,4,0,0,0,0,0,7,,0.31,0.31,0.448,0.759,13.0,1.0,0.0,0,0,0,1,0.409,134,120,5
Batting Order Positions,Batting 7th,29,29.0,28,1.0,12,2,0,1,2,0,1,5,5.0,0.429,0.448,0.607,1.055,17.0,1.0,0.0,0,0,0,0,0.5,227,207,9
Batting Order Positions,Batting 8th,37,37.0,34,4.0,11,2,0,0,0,1,2,10,5.0,0.324,0.351,0.382,0.734,13.0,0.0,0.0,0,1,1,0,0.44,130,125,9
Batting Order Positions,Batting 9th,32,32.0,28,1.0,2,0,0,0,1,0,2,5,2.5,0.071,0.161,0.071,0.233,2.0,3.0,1.0,1,0,0,0,0.087,-23,-11,2
Batting Order Positions,"Bat1-2,non-P",30,49.0,45,4.0,9,1,0,1,0,0,4,7,1.75,0.2,0.265,0.289,0.554,13.0,3.0,0.0,0,0,1,0,0.216,74,56,7
Batting Order Positions,"Bat3-6,non-P",46,94.0,90,14.0,21,9,0,2,1,0,3,18,6.0,0.233,0.255,0.4,0.655,36.0,5.0,0.0,0,1,1,3,0.268,101,74,10
Batting Order Positions,"Bat7-9,non-P",42,98.0,90,6.0,25,4,0,1,3,1,5,20,4.0,0.278,0.32,0.356,0.675,32.0,4.0,1.0,1,1,1,0,0.343,112,106,20
Swung or Took First Pitch of PA,Swung at 1st Pitch,43,73.0,70,6.0,17,4,0,1,,,1,10,10.0,0.243,0.25,0.343,0.593,24.0,8.0,0.0,1,1,0,1,0.267,84,71,12
Swung or Took First Pitch of PA,Took 1st Pitch,56,168.0,155,17.0,38,10,0,3,,,11,35,3.18,0.245,0.298,0.368,0.665,57.0,4.0,1.0,0,1,3,2,0.297,108,90,25
Count/Balls-Strikes,First Pitch,26,35.0,35,4.0,10,2,0,1,,,0,0,,0.286,0.286,0.429,0.714,15.0,4.0,0.0,0,0,0,1,0.265,120,65,7
Count/Balls-Strikes,1-0 Count,14,16.0,16,3.0,6,2,0,1,,,0,0,,0.375,0.375,0.688,1.063,11.0,2.0,0.0,0,0,0,0,0.333,224,142,3
Count/Balls-Strikes,2-0 Count,3,5.0,5,0.0,3,2,0,0,,,0,0,,0.6,0.6,1.0,1.6,5.0,0.0,0.0,0,0,0,0,0.6,390,238,1
Count/Balls-Strikes,3-0 Count,4,4.0,1,0.0,0,0,0,0,,,3,0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0,0,3,0,0.0,165,-20,0
Count/Balls-Strikes,0-1 Count,19,26.0,24,1.0,6,0,0,0,,,0,0,,0.25,0.24,0.25,0.49,6.0,4.0,0.0,1,1,0,0,0.24,54,26,6
Count/Balls-Strikes,1-1 Count,21,27.0,26,3.0,7,3,0,1,,,0,0,,0.269,0.296,0.5,0.796,13.0,0.0,1.0,0,0,0,0,0.24,144,96,3
Count/Balls-Strikes,2-1 Count,11,13.0,13,2.0,4,0,0,0,,,0,0,,0.308,0.308,0.308,0.615,4.0,1.0,0.0,0,0,0,1,0.308,94,53,4
Count/Balls-Strikes,3-1 Count,8,10.0,3,2.0,2,1,0,0,,,7,0,0.0,0.667,0.9,1.0,1.9,3.0,0.0,0.0,0,0,0,0,0.667,496,199,1
Count/Balls-Strikes,0-2 Count,17,19.0,19,1.0,2,0,0,0,,,0,5,,0.105,0.105,0.105,0.211,2.0,0.0,0.0,0,0,0,0,0.143,-34,15,2
Count/Balls-Strikes,1-2 Count,30,41.0,41,2.0,6,0,0,1,,,0,20,,0.146,0.146,0.22,0.366,9.0,1.0,0.0,0,0,0,0,0.25,13,78,5
Count/Balls-Strikes,2-2 Count,18,20.0,20,1.0,2,1,0,0,,,0,9,,0.1,0.1,0.15,0.25,3.0,0.0,0.0,0,0,0,0,0.182,-23,8,1
Count/Balls-Strikes,Full Count,22,25.0,22,4.0,7,3,0,0,,,2,11,5.5,0.318,0.36,0.455,0.815,10.0,0.0,0.0,0,1,0,1,0.583,154,113,4
Count/Balls-Strikes,After 1-0,46,84.0,75,10.0,21,7,0,1,,,9,15,1.67,0.28,0.357,0.413,0.77,31.0,3.0,0.0,0,0,3,1,0.339,141,94,13
Count/Balls-Strikes,After 2-0,21,26.0,19,1.0,6,4,0,0,,,7,5,0.71,0.316,0.5,0.526,1.026,10.0,0.0,0.0,0,0,3,1,0.429,223,116,2
Count/Balls-Strikes,After 3-0,10,10.0,5,1.0,1,1,0,0,,,5,2,0.4,0.2,0.6,0.4,1.0,2.0,0.0,0.0,0,0,3,1,0.333,223,66,0
Count/Balls-Strikes,After 0-1,53,122.0,115,9.0,24,5,0,2,,,3,30,10.0,0.209,0.231,0.304,0.536,35.0,5.0,1.0,1,2,0,1,0.259,66,80,17
Count/Balls-Strikes,After 1-1,51,89.0,83,11.0,20,6,0,1,,,4,21,5.25,0.241,0.281,0.349,0.63,29.0,2.0,1.0,0,1,0,1,0.307,96,92,13
Count/Balls-Strikes,After 2-1,31,39.0,33,6.0,10,2,0,0,,,5,7,1.4,0.303,0.385,0.364,0.748,12.0,1.0,0.0,0,1,0,1,0.37,137,93,8
Count/Balls-Strikes,After 3-1,12,15.0,8,3.0,3,1,0,0,,,7,3,0.43,0.375,0.667,0.5,1.167,4.0,0.0,0.0,0,0,0,1,0.6,275,127,2
Count/Balls-Strikes,After 0-2,32,49.0,48,3.0,7,0,0,1,,,1,19,19.0,0.146,0.163,0.208,0.372,10.0,0.0,0.0,0,0,0,0,0.214,15,69,6
Count/Balls-Strikes,After 1-2,38,64.0,62,4.0,10,2,0,1,,,2,31,15.5,0.161,0.188,0.242,0.429,15.0,1.0,0.0,0,0,0,0,0.3,34,76,7
Count/Balls-Strikes,After 2-2,34,40.0,37,4.0,8,4,0,0,,,2,17,8.5,0.216,0.25,0.324,0.574,12.0,0.0,0.0,0,1,0,0,0.381,78,97,4
Count/Balls-Strikes,Zero Balls,46,80.0,78,7.0,18,2,0,1,,,0,5,,0.231,0.228,0.295,0.523,23.0,8.0,0.0,1,1,0,1,0.233,63,53,15
Count/Balls-Strikes,Zero Strikes,37,60.0,57,7.0,19,6,0,2,,,3,0,0.0,0.333,0.367,0.544,0.911,31.0,6.0,0.0,0,0,3,1,0.309,181,94,11
Count/Balls-Strikes,Three Balls,27,39.0,26,6.0,9,4,0,0,,,12,11,0.92,0.346,0.539,0.5,1.039,13.0,0.0,0.0,0,1,3,1,0.563,229,124,5
Count/Balls-Strikes,Two Strikes,54,105.0,102,9.0,17,4,0,1,,,2,45,22.5,0.167,0.181,0.235,0.416,24.0,1.0,0.0,0,1,0,1,0.281,29,64,12
