Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,65,271,229,30.0,54,10,3,5,0,5,37,49,1.32,0.236,0.348,0.371,0.719,85.0,5.0,3.0,1,1,1,2,0.278,100,97,36
Platoon Splits,vs RHB,62,177,147,19.0,37,7,1,3,0,2,27,26,0.96,0.252,0.369,0.374,0.743,55.0,4.0,1.0,1,1,1,2,0.286,107,105,26
Platoon Splits,vs LHB,56,94,82,16.0,17,3,2,2,0,3,10,23,2.3,0.207,0.309,0.366,0.674,30.0,1.0,2.0,0,0,0,0,0.263,87,83,10
Platoon Splits,vs RHB as LHP,62,177,147,19.0,37,7,1,3,0,2,27,26,0.96,0.252,0.369,0.374,0.743,55.0,4.0,1.0,1,1,1,2,0.286,107,98,26
Platoon Splits,vs LHB as LHP,56,94,82,16.0,17,3,2,2,0,3,10,23,2.3,0.207,0.309,0.366,0.674,30.0,1.0,2.0,0,0,0,0,0.263,87,101,10
Home or Away,Home,35,145,124,15.0,29,8,1,3,0,3,18,23,1.28,0.234,0.333,0.387,0.72,48.0,4.0,1.0,1,1,1,1,0.263,100,100,17
Home or Away,Away,30,126,105,15.0,25,2,2,2,0,2,19,26,1.37,0.238,0.365,0.352,0.718,37.0,1.0,2.0,0,0,0,1,0.299,100,94,19
First or Second Half,1st Half,40,163,139,15.0,28,5,2,4,0,4,21,28,1.33,0.201,0.313,0.353,0.665,49.0,2.0,2.0,0,1,1,2,0.222,85,81,17
First or Second Half,2nd Half,25,108,90,15.0,26,5,1,1,0,1,16,21,1.31,0.289,0.402,0.4,0.802,36.0,3.0,1.0,1,0,0,0,0.368,123,122,19
Months,April/March,12,44,35,4.0,7,2,1,0,0,1,8,11,1.38,0.2,0.364,0.314,0.678,11.0,0.0,1.0,0,0,0,1,0.292,89,92,4
Months,May,13,55,45,7.0,11,2,1,3,0,2,8,13,1.63,0.244,0.364,0.533,0.897,24.0,1.0,1.0,0,1,1,0,0.267,148,143,5
Months,June,12,52,47,4.0,9,1,0,1,0,0,5,2,0.4,0.192,0.269,0.277,0.546,13.0,1.0,0.0,0,0,0,1,0.182,52,46,7
Months,July,10,39,36,2.0,7,0,0,0,0,1,2,8,4.0,0.194,0.237,0.194,0.431,7.0,0.0,0.0,1,0,0,0,0.25,20,22,7
Months,August,9,38,29,5.0,7,1,1,0,0,0,8,7,0.88,0.241,0.421,0.345,0.766,10.0,2.0,1.0,0,0,0,0,0.318,114,111,5
Months,Sept/Oct,9,43,37,8.0,13,4,0,1,0,1,6,8,1.33,0.351,0.442,0.541,0.982,20.0,1.0,0.0,0,0,0,0,0.429,173,169,8
Game Outcome for Pitcher,in Wins,2,9,9,2.0,3,1,0,0,0,0,0,0,,0.333,0.333,0.444,0.778,4.0,0.0,0.0,0,0,0,0,0.333,115,169,2
Game Outcome for Pitcher,in Losses,5,27,21,12.0,12,0,1,0,0,1,4,2,0.5,0.571,0.667,0.667,1.333,14.0,0.0,2.0,0,0,0,0,0.632,272,184,11
Game Outcome for Pitcher,in No Dec.,41,170,141,15.0,30,8,1,5,0,3,26,35,1.35,0.213,0.337,0.39,0.727,55.0,3.0,1.0,1,1,1,2,0.245,102,102,16
Game Outcome for Pitcher,in Saves,17,65,58,1.0,9,1,1,0,0,1,7,12,1.71,0.155,0.246,0.207,0.453,12.0,2.0,0.0,0,0,0,0,0.196,27,96,7
Game Outcome for Pitcher,in Sv Situ,31,117,97,11.0,21,3,2,2,0,2,16,20,1.25,0.217,0.336,0.351,0.687,34.0,3.0,2.0,1,1,0,0,0.25,91,107,14
Game Outcome for Pitcher,in non-Sv,34,154,132,19.0,33,7,1,3,0,3,21,29,1.38,0.25,0.357,0.386,0.744,51.0,2.0,1.0,0,0,1,2,0.3,107,105,22
Pitching Role,as Reliever,65,271,229,30.0,54,10,3,5,0,5,37,49,1.32,0.236,0.348,0.371,0.719,85.0,5.0,3.0,1,1,1,2,0.278,100,102,36
Batting Order Positions,Batting 1st,24,24,22,9.0,10,1,1,2,0,0,2,3,1.5,0.455,0.5,0.864,1.364,19.0,1.0,0.0,0,0,0,0,0.471,277,251,6
Batting Order Positions,Batting 2nd,37,37,30,6.0,6,1,0,0,0,1,6,7,1.17,0.2,0.324,0.233,0.558,7.0,0.0,0.0,0,1,0,0,0.25,56,52,5
Batting Order Positions,Batting 3rd,33,33,27,5.0,5,2,0,1,0,1,5,7,1.4,0.185,0.333,0.37,0.704,10.0,0.0,1.0,0,0,0,1,0.211,95,73,2
