Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,70,272.0,242,26.0,52,11,1,10,5,0,20,58,2.9,0.215,0.28,0.393,0.673,95.0,9.0,3.0,4,3,1,3,0.237,100,81,30
Platoon Splits,vs RHB,66,195.0,171,20.0,37,9,1,8,4,0,17,39,2.29,0.216,0.29,0.421,0.711,72.0,6.0,2.0,2,3,1,3,0.228,111,92,19
Platoon Splits,vs LHB,53,77.0,71,4.0,15,2,0,2,1,0,3,19,6.33,0.211,0.253,0.324,0.577,23.0,3.0,1.0,2,0,0,0,0.26,73,55,11
Platoon Splits,vs RHB as LHP,66,195.0,171,20.0,37,9,1,8,4,0,17,39,2.29,0.216,0.29,0.421,0.711,72.0,6.0,2.0,2,3,1,3,0.228,111,85,19
Platoon Splits,vs LHB as LHP,53,77.0,71,4.0,15,2,0,2,1,0,3,19,6.33,0.211,0.253,0.324,0.577,23.0,3.0,1.0,2,0,0,0,0.26,73,71,11
Home or Away,Home,38,146.0,124,17.0,29,7,0,6,2,0,14,31,2.21,0.234,0.31,0.436,0.745,54.0,6.0,1.0,4,3,1,1,0.256,121,104,16
Home or Away,Away,32,126.0,118,9.0,23,4,1,4,3,0,6,27,4.5,0.195,0.246,0.348,0.594,41.0,3.0,2.0,0,0,0,2,0.218,76,57,14
First or Second Half,1st Half,39,154.0,136,15.0,26,7,1,4,2,0,13,33,2.54,0.191,0.27,0.346,0.615,47.0,5.0,2.0,2,1,1,1,0.22,85,66,14
First or Second Half,2nd Half,31,118.0,106,11.0,26,4,0,6,3,0,7,25,3.57,0.245,0.293,0.453,0.746,48.0,4.0,1.0,2,2,0,2,0.26,120,101,16
Months,April/March,12,53.0,45,7.0,10,2,1,3,2,0,6,11,1.83,0.222,0.308,0.511,0.819,23.0,2.0,0.0,1,1,1,1,0.219,140,123,4
Months,May,9,32.0,27,0.0,1,0,0,0,0,0,3,6,2.0,0.037,0.161,0.037,0.198,1.0,0.0,1.0,1,0,0,0,0.048,-33,-41,1
Months,June,12,47.0,44,7.0,11,4,0,1,0,0,2,13,6.5,0.25,0.298,0.409,0.707,18.0,1.0,1.0,0,0,0,0,0.333,111,86,6
Months,July,12,46.0,42,1.0,10,1,0,0,0,0,4,9,2.25,0.238,0.304,0.262,0.566,11.0,3.0,0.0,0,0,0,1,0.303,75,59,9
Months,August,14,52.0,44,5.0,9,1,0,2,3,0,5,9,1.8,0.205,0.294,0.364,0.658,16.0,2.0,1.0,1,1,0,1,0.206,98,76,6
Months,Sept/Oct,11,42.0,40,6.0,11,3,0,4,0,0,0,10,,0.275,0.268,0.65,0.918,26.0,1.0,0.0,1,1,0,0,0.259,161,141,4
Game Outcome for Pitcher,in Wins,2,7.0,4,1.0,0,0,0,0,1,0,1,1,1.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,1,1,0,0,0.0,-40,-36,0
Game Outcome for Pitcher,in Losses,5,26.0,23,9.0,11,3,0,4,0,0,0,5,,0.478,0.48,1.13,1.61,26.0,0.0,1.0,1,1,0,0,0.467,359,217,4
Game Outcome for Pitcher,in No Dec.,48,187.0,167,13.0,33,7,1,4,2,0,16,39,2.44,0.198,0.27,0.323,0.594,54.0,7.0,1.0,2,1,1,2,0.232,79,64,21
Game Outcome for Pitcher,in Saves,15,52.0,48,3.0,8,1,0,2,2,0,3,13,4.33,0.167,0.231,0.313,0.543,15.0,2.0,1.0,0,0,0,1,0.182,62,134,5
Game Outcome for Pitcher,in Sv Situ,43,162.0,147,15.0,26,3,1,9,4,0,11,38,3.45,0.177,0.242,0.395,0.637,58.0,6.0,2.0,1,1,0,3,0.168,87,88,13
Game Outcome for Pitcher,in non-Sv,27,110.0,95,11.0,26,8,0,1,1,0,9,20,2.22,0.274,0.336,0.39,0.726,37.0,3.0,1.0,3,2,1,0,0.329,119,99,17
Pitching Role,as Reliever,70,272.0,242,26.0,52,11,1,10,5,0,20,58,2.9,0.215,0.28,0.393,0.673,95.0,9.0,3.0,4,3,1,3,0.237,100,87,30
Batting Order Positions,Batting 1st,34,34.0,29,3.0,6,2,0,1,0,0,3,5,1.67,0.207,0.273,0.379,0.652,11.0,1.0,0.0,1,1,0,0,0.208,94,70,3
Batting Order Positions,Batting 2nd,40,40.0,37,3.0,8,0,0,1,1,0,2,10,5.0,0.216,0.275,0.297,0.572,11.0,0.0,1.0,0,0,0,0,0.269,74,53,7
Batting Order Positions,Batting 3rd,33,33.0,28,0.0,6,0,0,0,0,0,5,8,1.6,0.214,0.333,0.214,0.548,6.0,3.0,0.0,0,0,1,0,0.3,73,40,6
Batting Order Positions,Batting 4th,30,30.0,28,5.0,5,0,0,2,0,0,1,8,8.0,0.179,0.2,0.393,0.593,11.0,1.0,0.0,0,1,0,0,0.158,71,44,3
Batting Order Positions,Batting 5th,26,26.0,23,4.0,6,1,0,3,2,0,3,7,2.33,0.261,0.346,0.696,1.042,16.0,0.0,0.0,0,0,0,0,0.231,201,163,2
Batting Order Positions,Batting 6th,25,25.0,25,4.0,5,1,0,2,1,0,0,6,,0.2,0.2,0.48,0.68,12.0,1.0,0.0,0,0,0,0,0.177,94,77,2
Batting Order Positions,Batting 7th,26,26.0,23,1.0,3,0,0,1,0,0,2,6,3.0,0.13,0.231,0.261,0.492,6.0,1.0,1.0,0,0,0,1,0.125,49,42,2
