Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,72,308.0,256,25.0,57,13,1,2,2,0,42,87,2.07,0.223,0.337,0.305,0.641,78.0,8.0,4.0,2,4,5,2,0.322,100,86,41
Platoon Splits,vs RHB,68,169.0,140,17.0,36,8,1,2,1,0,22,53,2.41,0.257,0.367,0.371,0.738,52.0,5.0,4.0,0,3,2,0,0.386,131,114,25
Platoon Splits,vs LHB,65,139.0,116,10.0,21,5,0,0,1,0,20,34,1.7,0.181,0.299,0.224,0.523,26.0,3.0,0.0,2,1,3,2,0.253,62,53,16
Platoon Splits,vs RHB as RHP,68,169.0,140,17.0,36,8,1,2,1,0,22,53,2.41,0.257,0.367,0.371,0.738,52.0,5.0,4.0,0,3,2,0,0.386,131,119,25
Platoon Splits,vs LHB as RHP,65,139.0,116,10.0,21,5,0,0,1,0,20,34,1.7,0.181,0.299,0.224,0.523,26.0,3.0,0.0,2,1,3,2,0.253,62,50,16
Home or Away,Home,46,202.0,166,21.0,42,9,1,1,2,0,28,58,2.07,0.253,0.363,0.337,0.701,56.0,5.0,3.0,1,4,5,1,0.369,118,107,31
Home or Away,Away,26,106.0,90,4.0,15,4,0,1,0,0,14,29,2.07,0.167,0.286,0.244,0.53,22.0,3.0,1.0,1,0,0,1,0.233,65,51,10
First or Second Half,1st Half,43,191.0,158,17.0,34,6,1,1,1,0,26,56,2.15,0.215,0.333,0.285,0.618,45.0,5.0,3.0,2,2,3,1,0.32,92,78,26
First or Second Half,2nd Half,29,117.0,98,8.0,23,7,0,1,1,0,16,31,1.94,0.235,0.342,0.337,0.679,33.0,3.0,1.0,0,2,2,1,0.324,112,99,15
Months,April/March,11,57.0,47,7.0,8,1,1,1,0,0,7,18,2.57,0.17,0.286,0.298,0.584,14.0,0.0,1.0,1,1,1,0,0.241,83,67,5
Months,May,14,56.0,47,5.0,11,4,0,0,0,0,7,17,2.43,0.234,0.327,0.319,0.646,15.0,1.0,0.0,1,1,1,0,0.355,102,84,7
Months,June,12,51.0,41,1.0,7,1,0,0,0,0,9,14,1.56,0.171,0.333,0.195,0.528,8.0,3.0,1.0,0,0,1,1,0.259,63,57,6
Months,July,12,50.0,45,5.0,14,2,0,0,1,0,3,14,4.67,0.311,0.38,0.356,0.736,16.0,3.0,2.0,0,0,0,0,0.452,130,113,12
Months,August,13,55.0,43,6.0,10,3,0,1,1,0,11,13,1.18,0.233,0.382,0.372,0.754,16.0,0.0,0.0,0,1,1,1,0.3,135,121,6
Months,Sept/Oct,10,39.0,33,1.0,7,2,0,0,0,0,5,11,2.2,0.212,0.308,0.273,0.58,9.0,1.0,0.0,0,1,1,0,0.304,81,72,5
Game Outcome for Pitcher,in Wins,2,8.0,7,0.0,2,0,0,0,0,0,1,1,1.0,0.286,0.375,0.286,0.661,2.0,1.0,0.0,0,0,0,0,0.333,105,140,2
Game Outcome for Pitcher,in Losses,6,35.0,27,10.0,12,5,0,1,0,0,5,6,1.2,0.444,0.529,0.741,1.27,20.0,1.0,1.0,1,1,4,0,0.524,300,178,6
Game Outcome for Pitcher,in No Dec.,19,78.0,64,7.0,14,3,0,0,1,0,12,22,1.83,0.219,0.333,0.266,0.599,17.0,0.0,0.0,0,2,1,0,0.318,86,79,11
Game Outcome for Pitcher,in Saves,45,187.0,158,8.0,29,5,1,1,1,0,24,58,2.42,0.184,0.301,0.247,0.548,39.0,6.0,3.0,1,1,0,2,0.28,70,147,22
