Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,74,307.0,269,32.0,55,11,2,7,8,0,29,84,2.9,0.205,0.283,0.338,0.621,91.0,1.0,2.0,3,4,2,4,0.264,100,72,35
Platoon Splits,vs RHB,70,151.0,134,16.0,32,6,0,6,4,0,13,44,3.38,0.239,0.307,0.418,0.725,56.0,0.0,1.0,1,2,2,1,0.302,132,100,20
Platoon Splits,vs LHB,71,156.0,135,18.0,23,5,2,1,4,0,16,40,2.5,0.17,0.26,0.259,0.519,35.0,1.0,1.0,2,2,0,3,0.229,69,45,15
Platoon Splits,vs RHB as RHP,70,151.0,134,16.0,32,6,0,6,4,0,13,44,3.38,0.239,0.307,0.418,0.725,56.0,0.0,1.0,1,2,2,1,0.302,132,105,20
Platoon Splits,vs LHB as RHP,71,156.0,135,18.0,23,5,2,1,4,0,16,40,2.5,0.17,0.26,0.259,0.519,35.0,1.0,1.0,2,2,0,3,0.229,69,41,15
Home or Away,Home,39,168.0,150,23.0,39,5,2,5,6,0,12,43,3.58,0.26,0.315,0.42,0.735,63.0,0.0,1.0,3,2,1,1,0.327,136,107,27
Home or Away,Away,35,139.0,119,9.0,16,6,0,2,2,0,17,41,2.41,0.135,0.245,0.235,0.48,28.0,1.0,1.0,0,2,1,3,0.18,56,32,8
First or Second Half,1st Half,38,148.0,128,9.0,19,7,0,0,4,0,15,43,2.87,0.148,0.235,0.203,0.438,26.0,0.0,0.0,3,2,1,2,0.218,43,23,12
First or Second Half,2nd Half,36,159.0,141,23.0,36,4,2,7,4,0,14,41,2.93,0.255,0.327,0.461,0.788,65.0,1.0,2.0,0,2,1,2,0.305,152,116,23
Months,April/March,10,48.0,42,6.0,11,4,0,0,3,0,6,12,2.0,0.262,0.354,0.357,0.711,15.0,0.0,0.0,0,0,0,1,0.367,131,102,7
Months,May,12,42.0,37,2.0,3,0,0,0,1,0,3,15,5.0,0.081,0.143,0.081,0.224,3.0,0.0,0.0,0,2,1,1,0.125,-26,-36,3
Months,June,12,43.0,35,0.0,2,2,0,0,0,0,6,12,2.0,0.057,0.195,0.114,0.309,4.0,0.0,0.0,2,0,0,0,0.087,3,-11,0
Months,July,14,60.0,53,9.0,12,1,1,4,0,0,5,21,4.2,0.226,0.305,0.509,0.815,27.0,0.0,1.0,1,0,0,0,0.286,158,119,6
Months,August,12,51.0,44,3.0,6,1,0,0,1,0,6,10,1.67,0.136,0.255,0.159,0.414,7.0,0.0,1.0,0,0,0,2,0.177,37,20,5
