Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,80,326.0,305,23.0,74,11,0,5,4,2,13,55,4.23,0.243,0.283,0.328,0.611,100.0,9.0,5.0,1,2,0,3,0.279,100,69,58
Platoon Splits,vs RHB,77,172.0,164,15.0,49,7,0,4,0,1,7,31,4.43,0.299,0.331,0.415,0.746,68.0,4.0,1.0,0,0,0,2,0.349,144,105,38
Platoon Splits,vs LHB,77,154.0,141,11.0,25,4,0,1,4,1,6,24,4.0,0.177,0.229,0.227,0.456,32.0,5.0,4.0,1,2,0,1,0.203,50,28,20
Platoon Splits,vs RHB as RHP,77,172.0,164,15.0,49,7,0,4,0,1,7,31,4.43,0.299,0.331,0.415,0.746,68.0,4.0,1.0,0,0,0,2,0.349,144,110,38
Platoon Splits,vs LHB as RHP,77,154.0,141,11.0,25,4,0,1,4,1,6,24,4.0,0.177,0.229,0.227,0.456,32.0,5.0,4.0,1,2,0,1,0.203,50,25,20
Home or Away,Home,41,164.0,159,11.0,40,7,0,2,3,1,4,31,7.75,0.252,0.268,0.333,0.602,53.0,6.0,0.0,0,1,0,1,0.299,96,69,31
Home or Away,Away,39,162.0,146,12.0,34,4,0,3,1,1,9,24,2.67,0.233,0.298,0.322,0.62,47.0,3.0,5.0,1,1,0,2,0.258,104,69,27
First or Second Half,1st Half,42,171.0,159,10.0,37,3,0,2,4,1,7,24,3.43,0.233,0.277,0.289,0.566,46.0,6.0,3.0,1,1,0,2,0.261,86,59,32
First or Second Half,2nd Half,38,155.0,146,13.0,37,8,0,3,0,1,6,31,5.17,0.253,0.29,0.37,0.66,54.0,3.0,2.0,0,1,0,1,0.301,115,79,26
Months,April/March,15,62.0,57,3.0,11,2,0,1,0,0,3,9,3.0,0.193,0.258,0.281,0.539,16.0,2.0,2.0,0,0,0,0,0.213,77,56,8
Months,May,12,50.0,47,3.0,11,0,0,1,1,0,2,5,2.5,0.234,0.28,0.298,0.578,14.0,1.0,1.0,0,0,0,1,0.244,90,64,10
Months,June,10,40.0,37,3.0,8,0,0,0,3,1,1,8,8.0,0.216,0.231,0.216,0.447,8.0,1.0,0.0,1,1,0,1,0.267,48,24,8
Months,July,12,42.0,39,4.0,10,2,0,1,0,0,3,10,3.33,0.256,0.31,0.385,0.694,15.0,2.0,0.0,0,0,0,0,0.321,127,88,7
Months,August,14,55.0,55,3.0,15,3,0,1,0,0,0,9,,0.273,0.273,0.382,0.655,21.0,1.0,0.0,0,0,0,0,0.311,113,78,11
Months,Sept/Oct,17,77.0,70,7.0,19,4,0,1,0,1,4,14,3.5,0.271,0.325,0.371,0.696,26.0,2.0,2.0,0,1,0,1,0.321,128,89,14
Game Outcome for Pitcher,in Wins,7,31.0,31,3.0,8,2,0,1,0,1,0,7,,0.258,0.258,0.419,0.678,13.0,0.0,0.0,0,0,0,0,0.304,119,151,5
Game Outcome for Pitcher,in Losses,1,3.0,1,3.0,1,0,0,1,0,0,2,0,0.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,0,0,0,0,,1473,817,0
Game Outcome for Pitcher,in No Dec.,59,241.0,224,15.0,54,9,0,3,2,1,10,43,4.3,0.241,0.283,0.321,0.605,72.0,7.0,4.0,1,2,0,0,0.283,98,69,42
Game Outcome for Pitcher,in Saves,13,51.0,49,2.0,11,0,0,0,2,0,1,5,5.0,0.225,0.255,0.225,0.479,11.0,2.0,1.0,0,0,0,3,0.25,58,117,11
Game Outcome for Pitcher,in Sv Situ,49,200.0,188,17.0,47,7,0,4,3,1,7,29,4.14,0.25,0.29,0.351,0.641,66.0,7.0,4.0,0,1,0,3,0.276,110,87,36
Game Outcome for Pitcher,in non-Sv,31,126.0,117,6.0,27,4,0,1,1,1,6,26,4.33,0.231,0.272,0.291,0.563,34.0,2.0,1.0,1,1,0,0,0.286,85,56,22
Pitching Role,as Reliever,80,326.0,305,23.0,74,11,0,5,4,2,13,55,4.23,0.243,0.283,0.328,0.611,100.0,9.0,5.0,1,2,0,3,0.279,100,71,58
Batting Order Positions,Batting 1st,40,40.0,36,0.0,7,2,0,0,0,0,2,4,2.0,0.194,0.256,0.25,0.506,9.0,1.0,1.0,1,0,0,1,0.219,67,35,5
Batting Order Positions,Batting 2nd,41,41.0,38,1.0,9,2,0,1,2,0,3,10,3.33,0.237,0.293,0.368,0.661,14.0,0.0,0.0,0,0,0,1,0.296,116,71,6
Batting Order Positions,Batting 3rd,41,41.0,39,5.0,12,1,0,1,0,0,2,6,3.0,0.308,0.342,0.41,0.752,16.0,1.0,0.0,0,0,0,0,0.344,146,88,10
Batting Order Positions,Batting 4th,38,38.0,36,3.0,9,1,0,0,0,0,2,8,4.0,0.25,0.29,0.278,0.567,10.0,2.0,0.0,0,0,0,0,0.321,87,49,8
Batting Order Positions,Batting 5th,37,37.0,35,1.0,10,2,0,0,0,0,1,8,8.0,0.286,0.297,0.343,0.64,12.0,1.0,0.0,0,1,0,0,0.357,110,75,8
Batting Order Positions,Batting 6th,35,35.0,33,6.0,9,1,0,1,2,1,1,4,4.0,0.273,0.314,0.394,0.708,13.0,1.0,1.0,0,0,0,0,0.286,131,97,7
Batting Order Positions,Batting 7th,31,31.0,27,7.0,7,1,0,2,0,0,1,2,2.0,0.259,0.323,0.519,0.841,14.0,0.0,2.0,0,1,0,0,0.208,172,139,4
Batting Order Positions,Batting 8th,29,28.0,28,2.0,5,0,0,0,0,1,0,8,,0.179,0.179,0.179,0.357,5.0,3.0,0.0,0,0,0,0,0.25,18,9,5
Batting Order Positions,Batting 9th,35,35.0,33,1.0,6,1,0,0,0,0,1,5,5.0,0.182,0.229,0.212,0.441,7.0,0.0,1.0,0,0,0,1,0.214,46,57,5
Batting Order Positions,"Bat1-2,non-P",47,81.0,74,1.0,16,4,0,1,2,0,5,14,2.8,0.216,0.275,0.311,0.586,23.0,1.0,1.0,1,0,0,2,0.254,92,54,11
