Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,67,263.0,235,19.0,38,11,1,6,1,1,25,90,3.6,0.162,0.247,0.294,0.541,69.0,1.0,2.0,0,1,1,0,0.229,100,47,20
Platoon Splits,vs RHB,65,151.0,135,15.0,25,8,1,5,0,1,14,45,3.21,0.185,0.265,0.37,0.635,50.0,1.0,1.0,0,1,0,0,0.233,133,72,11
Platoon Splits,vs LHB,61,112.0,100,7.0,13,3,0,1,1,0,11,45,4.09,0.13,0.223,0.19,0.413,19.0,0.0,1.0,0,0,1,0,0.222,55,14,9
Platoon Splits,vs RHB as RHP,65,151.0,135,15.0,25,8,1,5,0,1,14,45,3.21,0.185,0.265,0.37,0.635,50.0,1.0,1.0,0,1,0,0,0.233,133,74,11
Platoon Splits,vs LHB as RHP,61,112.0,100,7.0,13,3,0,1,1,0,11,45,4.09,0.13,0.223,0.19,0.413,19.0,0.0,1.0,0,0,1,0,0.222,55,12,9
Home or Away,Home,37,141.0,125,8.0,20,7,0,2,1,1,15,51,3.4,0.16,0.255,0.264,0.519,33.0,1.0,1.0,0,0,0,0,0.25,93,45,11
Home or Away,Away,30,122.0,110,11.0,18,4,1,4,0,0,10,39,3.9,0.164,0.238,0.327,0.565,36.0,0.0,1.0,0,1,1,0,0.206,108,50,9
First or Second Half,1st Half,36,138.0,125,10.0,21,5,0,5,1,0,12,48,4.0,0.168,0.246,0.328,0.574,41.0,0.0,1.0,0,0,0,0,0.222,111,54,11
First or Second Half,2nd Half,31,125.0,110,9.0,17,6,1,1,0,1,13,42,3.23,0.155,0.248,0.255,0.503,28.0,1.0,1.0,0,1,1,0,0.235,87,39,9
Months,April/March,9,38.0,34,3.0,6,0,0,2,0,0,4,15,3.75,0.177,0.263,0.353,0.616,12.0,0.0,0.0,0,0,0,0,0.235,127,70,4
