Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,59,242.0,210,16.0,39,8,0,6,4,0,28,79,2.82,0.186,0.291,0.31,0.6,65.0,6.0,3.0,1,0,1,1,0.264,100,62,25
Platoon Splits,vs RHB,55,131.0,114,11.0,24,4,0,5,2,0,15,42,2.8,0.211,0.313,0.377,0.69,43.0,3.0,2.0,0,0,0,0,0.284,130,87,15
Platoon Splits,vs LHB,53,111.0,96,7.0,15,4,0,1,2,0,13,37,2.85,0.156,0.264,0.229,0.493,22.0,3.0,1.0,1,0,1,1,0.241,65,33,10
Platoon Splits,vs RHB as RHP,55,131.0,114,11.0,24,4,0,5,2,0,15,42,2.8,0.211,0.313,0.377,0.69,43.0,3.0,2.0,0,0,0,0,0.284,130,90,15
Platoon Splits,vs LHB as RHP,53,111.0,96,7.0,15,4,0,1,2,0,13,37,2.85,0.156,0.264,0.229,0.493,22.0,3.0,1.0,1,0,1,1,0.241,65,31,10
Home or Away,Home,37,149.0,128,6.0,20,2,0,3,1,0,18,45,2.5,0.156,0.27,0.242,0.513,31.0,3.0,2.0,1,0,0,1,0.213,71,43,15
Home or Away,Away,22,93.0,82,10.0,19,6,0,3,3,0,10,34,3.4,0.232,0.323,0.415,0.737,34.0,3.0,1.0,0,0,1,0,0.356,145,92,10
First or Second Half,1st Half,31,120.0,106,7.0,18,5,0,1,2,0,12,43,3.58,0.17,0.261,0.245,0.506,26.0,3.0,1.0,1,0,0,1,0.274,69,38,12
First or Second Half,2nd Half,28,122.0,104,9.0,21,3,0,5,2,0,16,36,2.25,0.202,0.32,0.375,0.695,39.0,3.0,2.0,0,0,1,0,0.254,131,87,13
Months,April/March,11,37.0,35,0.0,4,2,0,0,0,0,2,12,6.0,0.114,0.162,0.171,0.334,6.0,1.0,0.0,0,0,0,1,0.174,11,-7,2
Months,May,8,32.0,28,3.0,4,0,0,1,2,0,4,12,3.0,0.143,0.25,0.25,0.5,7.0,1.0,0.0,0,0,0,0,0.2,67,36,3
Months,June,10,43.0,37,4.0,9,3,0,0,0,0,4,18,4.5,0.243,0.333,0.324,0.658,12.0,0.0,1.0,1,0,0,0,0.474,119,75,6
Months,July,8,35.0,28,2.0,6,0,0,0,2,0,7,8,1.14,0.214,0.371,0.214,0.586,6.0,2.0,0.0,0,0,1,0,0.3,97,64,6
Months,August,10,41.0,34,3.0,6,0,0,3,0,0,7,8,1.14,0.177,0.317,0.441,0.758,15.0,1.0,0.0,0,0,0,0,0.13,152,99,3
Months,Sept/Oct,12,54.0,48,4.0,10,3,0,2,0,0,4,21,5.25,0.208,0.296,0.396,0.692,19.0,1.0,2.0,0,0,0,0,0.32,130,86,5
Game Outcome for Pitcher,in Wins,4,18.0,16,0.0,2,0,0,0,0,0,1,7,7.0,0.125,0.222,0.125,0.347,2.0,1.0,1.0,0,0,0,1,0.222,17,24,2
Game Outcome for Pitcher,in Losses,2,14.0,14,5.0,7,1,0,4,0,0,0,4,,0.5,0.5,1.429,1.929,20.0,0.0,0.0,0,0,0,0,0.5,533,264,2
Game Outcome for Pitcher,in No Dec.,21,86.0,73,5.0,16,6,0,1,0,0,12,27,2.25,0.219,0.329,0.343,0.672,25.0,1.0,0.0,1,0,0,0,0.333,124,85,9
Game Outcome for Pitcher,in Saves,32,124.0,107,6.0,14,1,0,1,4,0,15,41,2.73,0.131,0.25,0.168,0.418,18.0,4.0,2.0,0,0,1,0,0.2,40,92,12
Game Outcome for Pitcher,in Sv Situ,33,131.0,114,9.0,17,2,0,3,4,0,15,44,2.93,0.149,0.26,0.246,0.505,28.0,4.0,2.0,0,0,1,0,0.209,69,54,12
Game Outcome for Pitcher,in non-Sv,26,111.0,96,7.0,22,6,0,3,0,0,13,35,2.69,0.229,0.327,0.385,0.713,37.0,2.0,1.0,1,0,0,1,0.328,137,93,13
Pitching Role,as Reliever,59,242.0,210,16.0,39,8,0,6,4,0,28,79,2.82,0.186,0.291,0.31,0.6,65.0,6.0,3.0,1,0,1,1,0.264,100,67,25
Batting Order Positions,Batting 1st,29,29.0,24,1.0,2,1,0,0,0,0,4,11,2.75,0.083,0.241,0.125,0.366,3.0,1.0,1.0,0,0,0,0,0.154,23,2,1
Batting Order Positions,Batting 2nd,28,28.0,25,2.0,5,0,0,0,1,0,3,15,5.0,0.2,0.286,0.2,0.486,5.0,0.0,0.0,0,0,0,0,0.5,63,29,5
Batting Order Positions,Batting 3rd,22,22.0,19,0.0,3,1,0,0,0,0,2,7,3.5,0.158,0.273,0.211,0.483,4.0,2.0,1.0,0,0,0,0,0.25,62,22,2
Batting Order Positions,Batting 4th,22,22.0,20,7.0,7,0,0,3,0,0,2,7,3.5,0.35,0.409,0.8,1.209,16.0,0.0,0.0,0,0,0,0,0.4,299,192,4
Batting Order Positions,Batting 5th,20,20.0,16,1.0,3,0,0,1,1,0,3,2,0.67,0.188,0.35,0.375,0.725,6.0,1.0,1.0,0,0,0,0,0.154,142,90,2
Batting Order Positions,Batting 6th,28,28.0,25,0.0,7,3,0,0,0,0,3,7,2.33,0.28,0.357,0.4,0.757,10.0,1.0,0.0,0,0,1,0,0.389,152,105,4
Batting Order Positions,Batting 7th,29,29.0,24,2.0,5,0,0,1,1,0,5,6,1.2,0.208,0.345,0.333,0.678,8.0,0.0,0.0,0,0,0,0,0.235,126,89,4
Batting Order Positions,Batting 8th,31,31.0,29,3.0,6,2,0,1,1,0,2,11,5.5,0.207,0.258,0.379,0.637,11.0,1.0,0.0,0,0,0,0,0.294,111,79,3
Batting Order Positions,Batting 9th,33,33.0,28,2.0,1,1,0,0,0,0,4,13,3.25,0.036,0.156,0.071,0.228,2.0,0.0,0.0,1,0,0,1,0.067,-23,-18,0
Batting Order Positions,"Bat1-2,non-P",32,57.0,49,3.0,7,1,0,0,1,0,7,26,3.71,0.143,0.263,0.163,0.427,8.0,1.0,1.0,0,0,0,0,0.304,43,16,6
Batting Order Positions,"Bat3-6,non-P",44,92.0,80,8.0,20,4,0,4,1,0,10,23,2.3,0.25,0.348,0.45,0.798,36.0,4.0,2.0,0,0,1,0,0.302,165,103,12
Batting Order Positions,"Bat7-9,non-P",45,93.0,81,7.0,12,3,0,2,2,0,11,30,2.73,0.148,0.25,0.259,0.509,21.0,1.0,0.0,1,0,0,1,0.204,70,45,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,77.0,67,3.0,15,3,0,2,,,7,27,3.86,0.224,0.316,0.358,0.674,24.0,3.0,2.0,1,0,0,0,0.342,124,87,10
Swung or Took First Pitch of PA,Took 1st Pitch,56,165.0,143,13.0,24,5,0,4,,,21,52,2.48,0.168,0.279,0.287,0.566,41.0,3.0,1.0,0,0,1,1,0.23,89,52,15
Count/Balls-Strikes,First Pitch,23,25.0,23,2.0,9,2,0,1,,,0,0,,0.391,0.417,0.609,1.025,14.0,2.0,1.0,1,0,0,0,0.364,240,122,6
Count/Balls-Strikes,1-0 Count,8,9.0,9,2.0,3,0,0,1,,,0,0,,0.333,0.333,0.667,1.0,6.0,1.0,0.0,0,0,0,0,0.25,230,106,2
Count/Balls-Strikes,2-0 Count,2,2.0,2,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,1,1.0,0,0.0,0,0,0,0,,,1,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,13,14.0,14,1.0,5,2,0,1,,,0,0,,0.357,0.357,0.714,1.071,10.0,2.0,0.0,0,0,0,0,0.308,253,141,2
Count/Balls-Strikes,1-1 Count,19,19.0,18,1.0,2,0,0,0,,,0,0,,0.111,0.158,0.111,0.269,2.0,1.0,1.0,0,0,0,0,0.111,-10,-35,2
Count/Balls-Strikes,2-1 Count,11,11.0,11,2.0,3,1,0,1,,,0,0,,0.273,0.273,0.636,0.909,7.0,0.0,0.0,0,0,0,0,0.2,199,82,1
Count/Balls-Strikes,3-1 Count,6,7.0,1,0.0,0,0,0,0,,,6,0,0.0,0.0,0.857,0.0,0.857,0.0,0.0,0.0,0,0,0,0,0.0,196,23,0
Count/Balls-Strikes,0-2 Count,13,17.0,17,0.0,3,0,0,0,,,0,11,,0.177,0.177,0.177,0.353,3.0,0.0,0.0,0,0,0,0,0.5,18,88,3
Count/Balls-Strikes,1-2 Count,26,34.0,33,0.0,1,0,0,0,,,0,27,,0.03,0.059,0.03,0.089,1.0,0.0,1.0,0,0,0,0,0.167,-70,-53,1
Count/Balls-Strikes,2-2 Count,36,43.0,43,4.0,8,2,0,1,,,0,21,,0.186,0.186,0.302,0.488,13.0,0.0,0.0,0,0,0,0,0.333,62,104,5
Count/Balls-Strikes,Full Count,41,60.0,39,4.0,5,1,0,1,,,21,20,0.95,0.128,0.433,0.231,0.664,9.0,0.0,0.0,0,0,0,0,0.222,124,56,3
Count/Balls-Strikes,After 1-0,51,99.0,84,13.0,14,2,0,4,,,15,30,2.0,0.167,0.293,0.333,0.626,28.0,1.0,0.0,0,0,1,1,0.2,109,47,8
Count/Balls-Strikes,After 2-0,23,29.0,22,3.0,3,1,0,2,,,7,8,1.14,0.136,0.345,0.455,0.799,10.0,0.0,0.0,0,0,1,1,0.083,166,56,0
Count/Balls-Strikes,After 3-0,7,8.0,5,0.0,0,0,0,0,,,3,4,1.33,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0,0,1,0,0.0,29,-49,0
Count/Balls-Strikes,After 0-1,53,118.0,103,1.0,16,4,0,1,,,13,49,3.77,0.155,0.263,0.223,0.486,23.0,3.0,2.0,0,0,0,0,0.283,63,60,11
Count/Balls-Strikes,After 1-1,56,125.0,105,8.0,13,1,0,1,,,19,49,2.58,0.124,0.264,0.162,0.426,17.0,1.0,1.0,0,0,0,0,0.218,43,26,11
Count/Balls-Strikes,After 2-1,41,68.0,51,5.0,9,1,0,2,,,17,18,1.06,0.177,0.382,0.314,0.696,16.0,0.0,0.0,0,0,0,0,0.226,133,68,6
Count/Balls-Strikes,After 3-1,28,32.0,18,1.0,1,0,0,1,,,14,8,0.57,0.056,0.469,0.222,0.691,4.0,0.0,0.0,0,0,0,0,0.0,133,26,0
Count/Balls-Strikes,After 0-2,31,40.0,37,0.0,6,2,0,0,,,2,22,11.0,0.162,0.225,0.216,0.441,8.0,0.0,1.0,0,0,0,0,0.4,47,100,4
Count/Balls-Strikes,After 1-2,45,80.0,71,5.0,8,3,0,1,,,8,46,5.75,0.113,0.213,0.197,0.41,14.0,0.0,1.0,0,0,0,0,0.292,37,65,4
Count/Balls-Strikes,After 2-2,48,78.0,65,7.0,12,3,0,1,,,13,33,2.54,0.185,0.321,0.277,0.597,18.0,0.0,0.0,0,0,0,0,0.355,100,96,8
Count/Balls-Strikes,Zero Balls,44,56.0,54,3.0,17,4,0,2,,,0,11,,0.315,0.327,0.5,0.827,27.0,4.0,1.0,1,0,0,0,0.366,174,124,11
Count/Balls-Strikes,Zero Strikes,33,37.0,34,4.0,12,2,0,2,,,1,0,0.0,0.353,0.389,0.588,0.977,20.0,3.0,1.0,1,0,1,1,0.313,224,92,8
Count/Balls-Strikes,Three Balls,44,68.0,40,4.0,5,1,0,1,,,28,20,0.71,0.125,0.485,0.225,0.71,9.0,0.0,0.0,0,0,1,0,0.211,140,39,3
Count/Balls-Strikes,Two Strikes,57,154.0,132,9.0,17,3,0,2,,,21,79,3.76,0.129,0.253,0.197,0.45,26.0,0.0,1.0,0,0,0,0,0.294,51,71,12
Count/Balls-Strikes,Batter Ahead,52,90.0,62,8.0,11,2,0,3,,,28,20,0.71,0.177,0.433,0.355,0.788,22.0,1.0,0.0,0,0,1,1,0.205,164,58,6
