Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,66,255.0,236,17.0,52,8,0,3,11,1,15,69,4.6,0.22,0.268,0.292,0.56,69.0,6.0,1.0,1,2,1,3,0.295,100,53,41
Platoon Splits,vs RHB,63,134.0,123,10.0,29,4,0,2,10,0,9,31,3.44,0.236,0.286,0.317,0.603,39.0,5.0,0.0,1,1,1,2,0.297,115,66,23
Platoon Splits,vs LHB,61,121.0,113,6.0,23,4,0,1,1,1,6,38,6.33,0.204,0.248,0.266,0.513,30.0,1.0,1.0,0,1,0,1,0.293,83,40,18
Platoon Splits,vs RHB as RHP,63,134.0,123,10.0,29,4,0,2,10,0,9,31,3.44,0.236,0.286,0.317,0.603,39.0,5.0,0.0,1,1,1,2,0.297,115,68,23
Platoon Splits,vs LHB as RHP,61,121.0,113,6.0,23,4,0,1,1,1,6,38,6.33,0.204,0.248,0.266,0.513,30.0,1.0,1.0,0,1,0,1,0.293,83,37,18
Home or Away,Home,37,143.0,132,11.0,29,6,0,2,7,1,9,38,4.22,0.22,0.273,0.311,0.583,41.0,2.0,1.0,0,1,1,1,0.29,108,62,21
Home or Away,Away,29,112.0,104,6.0,23,2,0,1,4,0,6,31,5.17,0.221,0.261,0.269,0.531,28.0,4.0,0.0,1,1,0,2,0.301,90,43,20
First or Second Half,1st Half,39,153.0,144,7.0,31,2,0,1,5,0,6,39,6.5,0.215,0.243,0.25,0.493,36.0,4.0,0.0,1,2,1,3,0.283,76,35,28
First or Second Half,2nd Half,27,102.0,92,10.0,21,6,0,2,6,1,9,30,3.33,0.228,0.304,0.359,0.663,33.0,2.0,1.0,0,0,0,0,0.317,136,82,13
Months,April/March,10,42.0,40,1.0,7,0,0,0,0,0,1,11,11.0,0.175,0.191,0.175,0.366,7.0,1.0,0.0,0,1,0,2,0.233,31,3,7
Months,May,13,49.0,45,0.0,7,0,0,0,3,0,3,15,5.0,0.156,0.208,0.156,0.364,7.0,0.0,0.0,1,0,1,1,0.233,31,3,7
Months,June,11,43.0,40,2.0,11,0,0,0,2,0,2,8,4.0,0.275,0.302,0.275,0.577,11.0,3.0,0.0,0,1,0,0,0.333,107,56,11
Months,July,9,36.0,35,7.0,12,4,0,1,0,0,1,11,11.0,0.343,0.361,0.543,0.904,19.0,0.0,0.0,0,0,0,0,0.478,221,145,7
