Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,71,283.0,248,27.0,49,14,2,11,1,0,28,87,3.11,0.198,0.29,0.403,0.693,100.0,6.0,5.0,0,2,2,2,0.25,100,90,22
Platoon Splits,vs RHB,71,205.0,182,15.0,35,13,1,8,1,0,19,65,3.42,0.192,0.283,0.407,0.69,74.0,4.0,4.0,0,0,1,1,0.248,99,88,13
Platoon Splits,vs LHB,53,78.0,66,12.0,14,1,1,3,0,0,9,22,2.44,0.212,0.308,0.394,0.702,26.0,2.0,1.0,0,2,1,1,0.256,104,94,9
Platoon Splits,vs RHB as LHP,71,205.0,182,15.0,35,13,1,8,1,0,19,65,3.42,0.192,0.283,0.407,0.69,74.0,4.0,4.0,0,0,1,1,0.248,99,79,13
Platoon Splits,vs LHB as LHP,53,78.0,66,12.0,14,1,1,3,0,0,9,22,2.44,0.212,0.308,0.394,0.702,26.0,2.0,1.0,0,2,1,1,0.256,104,113,9
Home or Away,Home,37,150.0,134,18.0,26,8,2,7,1,0,12,42,3.5,0.194,0.267,0.44,0.707,59.0,2.0,2.0,0,2,2,2,0.218,101,95,9
Home or Away,Away,34,133.0,114,9.0,23,6,0,4,0,0,16,45,2.81,0.202,0.316,0.36,0.675,41.0,4.0,3.0,0,0,0,0,0.292,98,83,13
First or Second Half,1st Half,39,152.0,137,15.0,29,9,0,4,1,0,12,47,3.92,0.212,0.283,0.365,0.648,50.0,2.0,2.0,0,1,0,0,0.287,88,80,16
First or Second Half,2nd Half,32,131.0,111,12.0,20,5,2,7,0,0,16,40,2.5,0.18,0.298,0.451,0.748,50.0,4.0,3.0,0,1,2,2,0.2,114,100,6
Months,April/March,11,42.0,33,4.0,5,2,0,0,0,0,7,15,2.14,0.152,0.31,0.212,0.522,7.0,1.0,1.0,0,1,0,0,0.263,60,55,3
Months,May,11,43.0,42,5.0,11,4,0,1,1,0,1,12,12.0,0.262,0.279,0.429,0.708,18.0,0.0,0.0,0,0,0,0,0.345,103,97,6
Months,June,13,48.0,45,4.0,8,3,0,2,0,0,2,17,8.5,0.178,0.229,0.378,0.607,17.0,1.0,1.0,0,0,0,0,0.231,73,62,3
Months,July,10,43.0,41,3.0,11,2,0,2,0,0,2,8,4.0,0.268,0.302,0.463,0.766,19.0,1.0,0.0,0,0,0,1,0.29,119,104,7
Months,August,13,57.0,46,8.0,10,3,0,5,0,0,9,17,1.89,0.217,0.368,0.609,0.977,28.0,1.0,2.0,0,0,0,0,0.208,178,163,2
Months,Sept/Oct,13,50.0,41,3.0,4,0,2,1,0,0,7,18,2.57,0.098,0.24,0.268,0.508,11.0,2.0,1.0,0,1,2,1,0.13,49,38,1
Game Outcome for Pitcher,in Wins,3,12.0,12,1.0,2,0,0,1,1,0,0,4,,0.167,0.167,0.417,0.583,5.0,0.0,0.0,0,0,0,0,0.143,61,114,1
Game Outcome for Pitcher,in Losses,7,34.0,30,13.0,16,5,0,4,0,0,2,4,2.0,0.533,0.559,1.1,1.659,33.0,0.0,1.0,0,1,0,0,0.522,366,224,7
Game Outcome for Pitcher,in No Dec.,24,90.0,81,7.0,12,1,1,3,0,0,8,33,4.13,0.148,0.233,0.296,0.53,24.0,1.0,1.0,0,0,1,1,0.2,54,48,7
Game Outcome for Pitcher,in Saves,37,147.0,125,6.0,19,8,1,3,0,0,18,46,2.56,0.152,0.272,0.304,0.576,38.0,5.0,3.0,0,1,1,1,0.208,69,161,7
Game Outcome for Pitcher,in Sv Situ,43,177.0,151,16.0,28,9,2,8,0,0,21,55,2.62,0.185,0.299,0.431,0.73,65.0,5.0,4.0,0,1,2,1,0.225,110,111,9
Game Outcome for Pitcher,in non-Sv,28,106.0,97,11.0,21,5,0,3,1,0,7,32,4.57,0.217,0.274,0.361,0.634,35.0,1.0,1.0,0,1,0,1,0.286,84,75,13
Pitching Role,as Reliever,71,283.0,248,27.0,49,14,2,11,1,0,28,87,3.11,0.198,0.29,0.403,0.693,100.0,6.0,5.0,0,2,2,2,0.25,100,92,22
Batting Order Positions,Batting 1st,29,29.0,27,0.0,5,0,1,0,0,0,2,8,4.0,0.185,0.241,0.259,0.501,7.0,0.0,0.0,0,0,0,0,0.263,47,33,4
Batting Order Positions,Batting 2nd,24,24.0,21,4.0,3,1,0,1,0,0,2,12,6.0,0.143,0.25,0.333,0.583,7.0,0.0,1.0,0,0,0,0,0.25,69,50,1
Batting Order Positions,Batting 3rd,24,24.0,17,1.0,1,0,0,0,0,0,5,7,1.4,0.059,0.333,0.059,0.392,1.0,0.0,2.0,0,0,1,0,0.1,30,10,1
Batting Order Positions,Batting 4th,29,29.0,24,6.0,6,0,1,3,0,0,5,6,1.2,0.25,0.379,0.708,1.088,17.0,1.0,0.0,0,0,0,0,0.2,206,172,2
Batting Order Positions,Batting 5th,32,32.0,28,5.0,11,5,0,3,1,0,4,8,2.0,0.393,0.469,0.893,1.362,25.0,0.0,0.0,0,0,0,1,0.471,283,259,3
Batting Order Positions,Batting 6th,40,40.0,36,1.0,7,3,0,1,0,0,3,11,3.67,0.194,0.275,0.361,0.636,13.0,1.0,1.0,0,0,1,0,0.25,84,76,3
Batting Order Positions,Batting 7th,38,38.0,31,5.0,6,3,0,1,0,0,4,11,2.75,0.194,0.29,0.387,0.677,12.0,1.0,1.0,0,2,0,0,0.238,96,94,2
Batting Order Positions,Batting 8th,37,37.0,35,3.0,4,1,0,1,0,0,2,11,5.5,0.114,0.162,0.229,0.391,8.0,3.0,0.0,0,0,0,0,0.13,13,17,2
Batting Order Positions,Batting 9th,30,30.0,29,2.0,6,1,0,1,0,0,1,13,13.0,0.207,0.233,0.345,0.578,10.0,0.0,0.0,0,0,0,1,0.333,66,102,4
Batting Order Positions,"Bat1-2,non-P",36,53.0,48,4.0,8,1,1,1,0,0,4,20,5.0,0.167,0.245,0.292,0.537,14.0,0.0,1.0,0,0,0,0,0.259,57,40,5
Batting Order Positions,"Bat3-6,non-P",55,125.0,105,13.0,25,8,1,7,1,0,17,32,1.88,0.238,0.36,0.533,0.893,56.0,2.0,3.0,0,0,2,1,0.273,156,132,9
Batting Order Positions,"Bat7-9,non-P",53,105.0,95,10.0,16,5,0,3,0,0,7,35,5.0,0.168,0.229,0.316,0.544,30.0,4.0,1.0,0,2,0,1,0.22,57,61,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,59,93.0,84,12.0,16,7,1,4,,,7,30,4.29,0.191,0.247,0.441,0.688,37.0,6.0,0.0,0,2,0,0,0.231,94,86,4
Swung or Took First Pitch of PA,Took 1st Pitch,70,190.0,164,15.0,33,7,1,7,,,21,57,2.71,0.201,0.311,0.384,0.695,63.0,0.0,5.0,0,0,2,2,0.26,103,91,18
Count/Balls-Strikes,First Pitch,23,27.0,27,7.0,9,4,1,2,,,0,0,,0.333,0.333,0.778,1.111,21.0,2.0,0.0,0,0,0,0,0.28,208,128,2
Count/Balls-Strikes,1-0 Count,21,25.0,23,1.0,11,0,0,1,,,0,0,,0.478,0.52,0.609,1.129,14.0,0.0,2.0,0,0,0,0,0.455,230,160,10
Count/Balls-Strikes,2-0 Count,3,3.0,3,1.0,1,0,0,1,,,0,0,,0.333,0.333,1.333,1.667,4.0,0.0,0.0,0,0,0,1,0.0,346,195,0
Count/Balls-Strikes,3-0 Count,6,6.0,1,1.0,1,0,0,0,,,5,0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0,0,2,0,1.0,493,133,1
Count/Balls-Strikes,0-1 Count,28,29.0,28,3.0,7,3,0,1,,,0,0,,0.25,0.276,0.464,0.74,13.0,1.0,1.0,0,0,0,0,0.222,110,75,3
