Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,64,260.0,244,18.0,61,10,1,4,1,0,8,54,6.75,0.25,0.277,0.348,0.626,85.0,8.0,2.0,4,2,2,1,0.303,100,73,46
Platoon Splits,vs RHB,63,161.0,153,16.0,40,9,1,3,0,0,3,38,12.67,0.261,0.285,0.392,0.677,60.0,3.0,2.0,3,0,0,1,0.33,116,87,27
Platoon Splits,vs LHB,48,99.0,91,8.0,21,1,0,1,1,0,5,16,3.2,0.231,0.265,0.275,0.54,25.0,5.0,0.0,1,2,2,0,0.263,75,50,19
Platoon Splits,vs RHB as RHP,63,161.0,153,16.0,40,9,1,3,0,0,3,38,12.67,0.261,0.285,0.392,0.677,60.0,3.0,2.0,3,0,0,1,0.33,116,92,27
Platoon Splits,vs LHB as RHP,48,99.0,91,8.0,21,1,0,1,1,0,5,16,3.2,0.231,0.265,0.275,0.54,25.0,5.0,0.0,1,2,2,0,0.263,75,46,19
Home or Away,Home,38,149.0,142,9.0,33,8,1,0,0,0,4,35,8.75,0.232,0.255,0.303,0.558,43.0,4.0,1.0,0,2,1,0,0.303,79,58,24
Home or Away,Away,26,111.0,102,9.0,28,2,0,4,1,0,4,19,4.75,0.275,0.308,0.412,0.72,42.0,4.0,1.0,4,0,1,1,0.304,130,94,22
First or Second Half,1st Half,32,124.0,114,9.0,27,2,1,3,0,0,4,26,6.5,0.237,0.265,0.351,0.615,40.0,3.0,1.0,3,2,1,0,0.276,96,69,21
First or Second Half,2nd Half,32,136.0,130,9.0,34,8,0,1,1,0,4,28,7.0,0.262,0.289,0.346,0.635,45.0,5.0,1.0,1,0,1,1,0.327,104,76,25
Months,April/March,12,48.0,48,4.0,10,0,0,1,0,0,0,6,,0.208,0.208,0.271,0.479,13.0,1.0,0.0,0,0,0,0,0.22,53,34,9
Months,May,15,57.0,48,3.0,12,0,1,1,0,0,4,15,3.75,0.25,0.315,0.354,0.669,17.0,2.0,1.0,3,1,1,0,0.333,115,85,10
Months,June,5,19.0,18,2.0,5,2,0,1,0,0,0,5,,0.278,0.263,0.556,0.819,10.0,0.0,0.0,0,1,0,0,0.308,155,118,2
Months,July,8,31.0,30,2.0,9,2,0,0,1,0,1,5,5.0,0.3,0.323,0.367,0.689,11.0,0.0,0.0,0,0,0,0,0.36,122,90,7
Months,August,11,50.0,48,4.0,11,3,0,1,0,0,0,12,,0.229,0.245,0.354,0.599,17.0,1.0,1.0,1,0,0,0,0.286,90,64,7
Months,Sept/Oct,13,55.0,52,3.0,14,3,0,0,0,0,3,11,3.67,0.269,0.309,0.327,0.636,17.0,4.0,0.0,0,0,1,1,0.342,106,79,11
Game Outcome for Pitcher,in Wins,6,23.0,22,1.0,4,1,0,0,0,0,1,8,8.0,0.182,0.217,0.227,0.445,5.0,1.0,0.0,0,0,0,0,0.286,44,55,3
Game Outcome for Pitcher,in Losses,3,18.0,17,3.0,6,1,0,1,0,0,0,4,,0.353,0.353,0.588,0.941,10.0,0.0,0.0,1,0,0,0,0.417,196,97,4
Game Outcome for Pitcher,in No Dec.,45,176.0,165,12.0,42,7,1,3,1,0,5,36,7.2,0.255,0.278,0.364,0.641,60.0,2.0,1.0,3,2,1,0,0.305,105,80,31
Game Outcome for Pitcher,in Saves,10,43.0,40,2.0,9,1,0,0,0,0,2,6,3.0,0.225,0.279,0.25,0.529,10.0,5.0,1.0,0,0,1,1,0.265,73,149,8
Game Outcome for Pitcher,in Sv Situ,25,111.0,104,9.0,32,6,1,1,1,0,4,26,6.5,0.308,0.333,0.414,0.747,43.0,6.0,1.0,0,2,1,1,0.392,139,133,24
Game Outcome for Pitcher,in non-Sv,39,149.0,140,9.0,29,4,0,3,0,0,4,28,7.0,0.207,0.235,0.3,0.535,42.0,2.0,1.0,4,0,1,0,0.239,71,49,22
Pitching Role,as Reliever,64,260.0,244,18.0,61,10,1,4,1,0,8,54,6.75,0.25,0.277,0.348,0.626,85.0,8.0,2.0,4,2,2,1,0.303,100,79,46
Batting Order Positions,Batting 1st,28,28.0,27,0.0,6,0,0,0,0,0,0,5,,0.222,0.222,0.222,0.444,6.0,2.0,0.0,1,0,0,0,0.273,44,25,6
Batting Order Positions,Batting 2nd,24,24.0,24,0.0,5,0,1,0,0,0,0,6,,0.208,0.208,0.292,0.5,7.0,0.0,0.0,0,0,0,0,0.278,59,39,4
Batting Order Positions,Batting 3rd,25,26.0,23,4.0,4,1,0,1,1,0,0,6,,0.174,0.192,0.348,0.54,8.0,1.0,1.0,0,2,0,0,0.167,69,30,2
Batting Order Positions,Batting 4th,32,33.0,30,5.0,8,0,0,2,0,0,3,7,2.33,0.267,0.333,0.467,0.8,14.0,0.0,0.0,0,0,1,0,0.286,154,97,6
Batting Order Positions,Batting 5th,31,32.0,30,1.0,5,1,0,0,0,0,1,6,6.0,0.167,0.194,0.2,0.394,6.0,1.0,0.0,1,0,0,0,0.208,28,6,4
Batting Order Positions,Batting 6th,25,25.0,23,2.0,7,3,0,0,0,0,2,5,2.5,0.304,0.36,0.435,0.795,10.0,1.0,0.0,0,0,1,0,0.389,155,115,4
Batting Order Positions,Batting 7th,29,29.0,27,6.0,12,2,0,1,0,0,1,5,5.0,0.444,0.483,0.63,1.112,17.0,0.0,1.0,0,0,0,0,0.524,255,214,9
Batting Order Positions,Batting 8th,33,33.0,32,3.0,7,1,0,0,0,0,0,6,,0.219,0.219,0.25,0.469,8.0,2.0,0.0,1,0,0,0,0.269,51,39,6
Batting Order Positions,Batting 9th,30,30.0,28,3.0,7,2,0,0,0,0,1,8,8.0,0.25,0.276,0.321,0.597,9.0,1.0,0.0,1,0,0,1,0.35,92,117,5
Batting Order Positions,"Bat1-2,non-P",33,52.0,51,0.0,11,0,1,0,0,0,0,11,,0.216,0.216,0.255,0.471,13.0,2.0,0.0,1,0,0,0,0.275,51,32,10
Batting Order Positions,"Bat3-6,non-P",45,116.0,106,12.0,24,5,0,3,1,0,6,24,4.0,0.226,0.27,0.359,0.628,38.0,3.0,1.0,1,2,2,0,0.259,100,61,16
Batting Order Positions,"Bat7-9,non-P",45,89.0,85,12.0,26,5,0,1,0,0,2,17,8.5,0.306,0.33,0.4,0.73,34.0,3.0,1.0,1,0,0,1,0.373,134,114,20
Swung or Took First Pitch of PA,Swung at 1st Pitch,47,97.0,89,6.0,23,4,1,0,,,1,17,17.0,0.258,0.269,0.326,0.595,29.0,4.0,1.0,4,2,0,0,0.311,91,68,18
Swung or Took First Pitch of PA,Took 1st Pitch,59,163.0,155,18.0,38,6,0,4,,,7,37,5.29,0.245,0.282,0.361,0.644,56.0,4.0,1.0,0,0,2,1,0.298,106,77,28
Count/Balls-Strikes,First Pitch,28,39.0,34,4.0,13,3,0,0,,,0,0,,0.382,0.4,0.471,0.871,16.0,1.0,1.0,4,0,0,0,0.382,180,104,10
Count/Balls-Strikes,1-0 Count,16,18.0,18,1.0,7,1,0,0,,,0,0,,0.389,0.389,0.444,0.833,8.0,1.0,0.0,0,0,0,0,0.389,168,93,6
Count/Balls-Strikes,2-0 Count,7,7.0,7,3.0,2,0,0,2,,,0,0,,0.286,0.286,1.143,1.429,8.0,2.0,0.0,0,0,0,0,0.0,332,168,0
Count/Balls-Strikes,3-0 Count,4,4.0,1,1.0,0,0,0,0,,,3,0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0,0,2,0,0.0,171,-21,0
Count/Balls-Strikes,0-1 Count,25,32.0,31,2.0,9,1,0,0,,,0,0,,0.29,0.281,0.323,0.604,10.0,0.0,0.0,0,1,0,0,0.281,94,53,8
Count/Balls-Strikes,1-1 Count,18,19.0,19,8.0,9,0,0,2,,,0,0,,0.474,0.474,0.79,1.263,15.0,0.0,0.0,0,0,0,0,0.412,298,197,7
Count/Balls-Strikes,2-1 Count,6,7.0,7,2.0,3,1,0,0,,,0,0,,0.429,0.429,0.571,1.0,4.0,0.0,0.0,0,0,0,0,0.429,219,130,2
Count/Balls-Strikes,3-1 Count,3,3.0,2,0.0,0,0,0,0,,,1,0,0.0,0.0,0.333,0.0,0.333,0.0,1.0,0.0,0,0,0,0,0.0,20,-52,0
Count/Balls-Strikes,0-2 Count,24,25.0,25,0.0,2,2,0,0,,,0,16,,0.08,0.08,0.16,0.24,4.0,1.0,0.0,0,0,0,0,0.222,-25,24,0
Count/Balls-Strikes,1-2 Count,35,42.0,41,2.0,3,0,0,0,,,0,16,,0.073,0.095,0.073,0.168,3.0,1.0,1.0,0,0,0,1,0.12,-45,-14,3
Count/Balls-Strikes,2-2 Count,30,42.0,41,1.0,8,1,1,0,,,0,16,,0.195,0.191,0.268,0.459,11.0,1.0,0.0,0,1,0,0,0.308,46,96,6
Count/Balls-Strikes,Full Count,18,22.0,18,0.0,5,1,0,0,,,4,6,1.5,0.278,0.409,0.333,0.742,6.0,0.0,0.0,0,0,0,0,0.417,143,82,4
Count/Balls-Strikes,After 1-0,49,88.0,83,14.0,23,3,0,4,,,5,16,3.2,0.277,0.318,0.458,0.776,38.0,4.0,0.0,0,0,2,0,0.302,146,87,16
Count/Balls-Strikes,After 2-0,25,29.0,24,5.0,6,0,0,2,,,5,5,1.0,0.25,0.379,0.5,0.879,12.0,3.0,0.0,0,0,2,0,0.235,181,79,4
Count/Balls-Strikes,After 3-0,5,5.0,1,1.0,0,0,0,0,,,4,0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0,0,2,0,0.0,189,8,0
Count/Balls-Strikes,After 0-1,57,133.0,127,6.0,25,4,1,0,,,3,38,12.67,0.197,0.218,0.244,0.462,31.0,3.0,1.0,0,2,0,1,0.275,49,53,20
Count/Balls-Strikes,After 1-1,46,84.0,81,11.0,19,3,0,2,,,3,21,7.0,0.235,0.262,0.346,0.608,28.0,1.0,0.0,0,0,0,1,0.293,94,79,14
Count/Balls-Strikes,After 2-1,26,36.0,34,2.0,11,3,0,0,,,2,10,5.0,0.324,0.361,0.412,0.773,14.0,1.0,0.0,0,0,0,0,0.458,149,92,8
Count/Balls-Strikes,After 3-1,7,7.0,5,0.0,0,0,0,0,,,2,2,1.0,0.0,0.286,0.0,0.286,0.0,1.0,0.0,0,0,0,0,0.0,3,-51,0
