Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,62,237.0,213,33.0,49,10,2,8,2,0,18,60,3.33,0.23,0.289,0.409,0.698,87.0,2.0,1.0,2,3,5,1,0.277,100,90,29
Platoon Splits,vs RHB,57,133.0,122,15.0,26,6,1,2,2,0,8,39,4.88,0.213,0.26,0.328,0.587,40.0,0.0,0.0,2,1,2,0,0.293,70,62,17
Platoon Splits,vs LHB,53,104.0,91,15.0,23,4,1,6,0,0,10,21,2.1,0.253,0.327,0.517,0.843,47.0,2.0,1.0,0,2,3,1,0.258,140,130,12
Platoon Splits,vs RHB as RHP,57,133.0,122,15.0,26,6,1,2,2,0,8,39,4.88,0.213,0.26,0.328,0.587,40.0,0.0,0.0,2,1,2,0,0.293,70,66,17
Platoon Splits,vs LHB as RHP,53,104.0,91,15.0,23,4,1,6,0,0,10,21,2.1,0.253,0.327,0.517,0.843,47.0,2.0,1.0,0,2,3,1,0.258,140,125,12
Home or Away,Home,29,109.0,99,12.0,20,5,1,3,0,0,9,35,3.89,0.202,0.275,0.364,0.639,36.0,2.0,1.0,0,0,1,0,0.279,84,79,11
Home or Away,Away,33,128.0,114,21.0,29,5,1,5,2,0,9,25,2.78,0.254,0.302,0.447,0.749,51.0,0.0,0.0,2,3,4,1,0.276,114,100,18
First or Second Half,1st Half,36,143.0,127,16.0,30,7,2,4,0,0,12,34,2.83,0.236,0.301,0.417,0.718,53.0,2.0,1.0,0,3,5,1,0.283,106,99,17
First or Second Half,2nd Half,26,94.0,86,17.0,19,3,0,4,2,0,6,26,4.33,0.221,0.272,0.395,0.667,34.0,0.0,0.0,2,0,0,0,0.268,91,79,12
Months,April/March,13,48.0,45,5.0,9,3,0,3,0,0,3,10,3.33,0.2,0.25,0.467,0.717,21.0,1.0,0.0,0,0,0,0,0.188,101,101,3
Months,May,9,36.0,33,1.0,6,1,1,0,0,0,2,13,6.5,0.182,0.25,0.273,0.523,9.0,0.0,1.0,0,0,1,0,0.3,53,48,4
Months,June,10,37.0,32,6.0,8,2,1,1,0,0,3,8,2.67,0.25,0.297,0.469,0.766,15.0,0.0,0.0,0,2,2,1,0.28,118,105,4
Months,July,8,34.0,27,7.0,9,1,0,2,0,0,5,5,1.0,0.333,0.424,0.593,1.017,16.0,1.0,0.0,1,1,2,0,0.333,192,173,6
Months,August,10,35.0,33,4.0,7,1,0,0,1,0,2,12,6.0,0.212,0.257,0.242,0.5,8.0,0.0,0.0,0,0,0,0,0.333,48,40,6
Months,Sept/Oct,12,47.0,43,10.0,10,2,0,2,1,0,3,12,4.0,0.233,0.283,0.419,0.701,18.0,0.0,0.0,1,0,0,0,0.276,101,87,6
Game Outcome for Pitcher,in Wins,4,18.0,15,1.0,2,1,0,0,0,0,2,3,1.5,0.133,0.235,0.2,0.435,3.0,0.0,0.0,1,0,0,0,0.167,30,66,1
Game Outcome for Pitcher,in Losses,9,36.0,31,16.0,15,2,2,5,1,0,3,8,2.67,0.484,0.514,1.161,1.676,36.0,0.0,0.0,1,1,3,1,0.526,362,222,6
Game Outcome for Pitcher,in No Dec.,34,127.0,114,16.0,23,6,0,3,1,0,11,31,2.82,0.202,0.268,0.333,0.601,38.0,2.0,0.0,0,2,2,0,0.244,74,68,14
Game Outcome for Pitcher,in Saves,15,56.0,53,0.0,9,1,0,0,0,0,2,18,9.0,0.17,0.214,0.189,0.403,10.0,0.0,1.0,0,0,0,0,0.257,20,83,8
Game Outcome for Pitcher,in Sv Situ,22,80.0,72,8.0,16,2,1,1,0,0,5,22,4.4,0.222,0.275,0.319,0.594,23.0,1.0,1.0,0,2,2,1,0.294,73,74,12
Game Outcome for Pitcher,in non-Sv,40,157.0,141,25.0,33,8,1,7,2,0,13,38,2.92,0.234,0.297,0.454,0.751,64.0,1.0,0.0,2,1,3,0,0.268,114,105,17
Pitching Role,as Reliever,62,237.0,213,33.0,49,10,2,8,2,0,18,60,3.33,0.23,0.289,0.409,0.698,87.0,2.0,1.0,2,3,5,1,0.277,100,93,29
Batting Order Positions,Batting 1st,30,30.0,25,2.0,5,1,0,0,0,0,3,7,2.33,0.2,0.276,0.24,0.516,6.0,0.0,0.0,1,1,0,0,0.263,54,39,4
Batting Order Positions,Batting 2nd,31,31.0,30,10.0,11,2,1,5,0,0,1,5,5.0,0.367,0.387,1.0,1.387,30.0,2.0,0.0,0,0,1,0,0.3,279,242,3
Batting Order Positions,Batting 3rd,29,29.0,24,5.0,5,1,0,1,1,0,5,6,1.2,0.208,0.345,0.375,0.72,9.0,0.0,0.0,0,0,2,0,0.235,111,81,3
Batting Order Positions,Batting 4th,29,30.0,27,1.0,7,3,1,0,0,0,3,12,4.0,0.259,0.333,0.444,0.778,12.0,0.0,0.0,0,0,1,0,0.467,124,100,3
Batting Order Positions,Batting 5th,26,26.0,26,3.0,3,0,0,1,0,0,0,2,,0.115,0.115,0.231,0.346,6.0,0.0,0.0,0,0,0,0,0.087,-4,-9,2
Batting Order Positions,Batting 6th,22,22.0,18,4.0,5,1,0,1,0,0,2,5,2.5,0.278,0.318,0.5,0.818,9.0,0.0,0.0,0,2,1,1,0.286,133,124,3
Batting Order Positions,Batting 7th,20,20.0,19,3.0,3,1,0,0,0,0,0,5,,0.158,0.158,0.211,0.368,4.0,0.0,0.0,1,0,0,0,0.214,6,6,2
Batting Order Positions,Batting 8th,22,22.0,19,0.0,5,0,0,0,0,0,2,7,3.5,0.263,0.364,0.263,0.627,5.0,0.0,1.0,0,0,0,0,0.417,90,94,5
Batting Order Positions,Batting 9th,27,27.0,25,2.0,5,1,0,0,1,0,2,11,5.5,0.2,0.259,0.24,0.499,6.0,0.0,0.0,0,0,0,0,0.357,48,78,4
Batting Order Positions,"Bat1-2,non-P",36,61.0,55,12.0,16,3,1,5,0,0,4,12,3.0,0.291,0.333,0.655,0.988,36.0,2.0,0.0,1,1,1,0,0.282,176,150,7
Batting Order Positions,"Bat3-6,non-P",45,107.0,95,13.0,20,5,1,3,1,0,10,25,2.5,0.211,0.28,0.379,0.659,36.0,0.0,0.0,0,2,4,1,0.246,90,73,11
Batting Order Positions,"Bat7-9,non-P",34,69.0,63,5.0,13,2,0,0,1,0,4,23,5.75,0.206,0.265,0.238,0.503,15.0,0.0,1.0,1,0,0,0,0.325,50,52,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,45,60.0,58,10.0,15,6,0,1,,,0,14,,0.259,0.254,0.414,0.668,24.0,0.0,0.0,1,1,0,0,0.318,89,83,8
Swung or Took First Pitch of PA,Took 1st Pitch,60,177.0,155,20.0,34,4,2,7,,,18,46,2.56,0.219,0.301,0.407,0.708,63.0,2.0,1.0,1,2,5,1,0.26,104,93,21
Count/Balls-Strikes,First Pitch,14,16.0,16,5.0,6,5,0,0,,,0,0,,0.375,0.375,0.688,1.063,11.0,0.0,0.0,0,0,0,0,0.375,198,124,1
Count/Balls-Strikes,1-0 Count,12,15.0,14,2.0,3,1,0,0,,,0,0,,0.214,0.214,0.286,0.5,4.0,0.0,0.0,1,0,0,0,0.214,44,13,2
Count/Balls-Strikes,2-0 Count,3,3.0,3,1.0,1,0,0,1,,,0,0,,0.333,0.333,1.333,1.667,4.0,0.0,0.0,0,0,0,0,0.0,342,195,0
Count/Balls-Strikes,3-0 Count,3,5.0,0,0.0,0,0,0,0,,,5,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,5,0,,,,0
Count/Balls-Strikes,0-1 Count,21,24.0,22,6.0,10,0,0,1,,,0,0,,0.455,0.435,0.591,1.026,13.0,0.0,0.0,1,1,0,1,0.409,195,149,9
Count/Balls-Strikes,1-1 Count,19,20.0,19,3.0,3,1,0,0,,,0,0,,0.158,0.15,0.211,0.361,4.0,1.0,0.0,0,1,0,0,0.15,4,-19,2
Count/Balls-Strikes,2-1 Count,11,11.0,11,1.0,3,2,0,0,,,0,0,,0.273,0.273,0.455,0.727,5.0,0.0,0.0,0,0,0,0,0.273,106,56,1
Count/Balls-Strikes,3-1 Count,5,5.0,0,0.0,0,0,0,0,,,5,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-2 Count,23,26.0,24,3.0,4,0,0,1,,,0,13,,0.167,0.192,0.292,0.484,7.0,0.0,1.0,0,1,0,0,0.273,38,151,3
Count/Balls-Strikes,1-2 Count,34,39.0,39,5.0,9,1,1,3,,,0,18,,0.231,0.231,0.539,0.769,21.0,0.0,0.0,0,0,0,0,0.333,112,261,4
