Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,69,254,235,7.0,38,8,0,1,1,0,18,74,4.11,0.162,0.221,0.209,0.43,49.0,4.0,0.0,1,0,3,2,0.231,100,19,29
Platoon Splits,vs RHB,68,194,181,5.0,28,5,0,1,0,0,13,58,4.46,0.155,0.211,0.199,0.41,36.0,3.0,0.0,0,0,3,2,0.221,91,14,22
Platoon Splits,vs LHB,45,60,54,2.0,10,3,0,0,1,0,5,16,3.2,0.185,0.254,0.241,0.495,13.0,1.0,0.0,1,0,0,0,0.263,130,36,7
Platoon Splits,vs RHB as LHP,68,194,181,5.0,28,5,0,1,0,0,13,58,4.46,0.155,0.211,0.199,0.41,36.0,3.0,0.0,0,0,3,2,0.221,91,10,22
Platoon Splits,vs LHB as LHP,45,60,54,2.0,10,3,0,0,1,0,5,16,3.2,0.185,0.254,0.241,0.495,13.0,1.0,0.0,1,0,0,0,0.263,130,49,7
Home or Away,Home,36,125,117,4.0,18,5,0,0,1,0,7,32,4.57,0.154,0.202,0.197,0.398,23.0,2.0,0.0,1,0,0,1,0.212,86,12,13
Home or Away,Away,33,129,118,3.0,20,3,0,1,0,0,11,42,3.82,0.17,0.24,0.22,0.461,26.0,2.0,0.0,0,0,3,1,0.253,114,25,16
First or Second Half,1st Half,38,142,131,6.0,21,5,0,1,1,0,10,43,4.3,0.16,0.22,0.221,0.441,29.0,3.0,0.0,1,0,1,2,0.23,105,21,15
First or Second Half,2nd Half,31,112,104,1.0,17,3,0,0,0,0,8,31,3.88,0.164,0.223,0.192,0.416,20.0,1.0,0.0,0,0,2,0,0.233,93,16,14
Months,April/March,11,37,35,3.0,6,1,0,1,0,0,2,13,6.5,0.171,0.216,0.286,0.502,10.0,1.0,0.0,0,0,0,0,0.238,135,38,4
Months,May,10,38,36,0.0,3,1,0,0,1,0,2,13,6.5,0.083,0.132,0.111,0.243,4.0,0.0,0.0,0,0,0,1,0.13,13,-32,2
Months,June,12,49,44,3.0,9,2,0,0,0,0,4,14,3.5,0.205,0.271,0.25,0.521,11.0,2.0,0.0,1,0,0,1,0.3,142,41,7
Months,July,13,42,38,0.0,4,2,0,0,0,0,4,12,3.0,0.105,0.191,0.158,0.348,6.0,0.0,0.0,0,0,2,0,0.154,62,-2,2
Months,August,11,38,34,1.0,6,1,0,0,0,0,4,9,2.25,0.177,0.263,0.206,0.469,7.0,1.0,0.0,0,0,1,0,0.24,118,30,5
